dealer_id,dealer_class,first_seen_d,last_seen_d,valid_from,valid_to,active_days_struct,n_members_struct,n_tables_struct,grain_key,six_layer_status,ucc_class,admit_to_risk_decision,audit_rn,run_id,snapshot_sync_time
1150,REAL,2026-03-28,2026-08-04,2026-03-28,2026-08-04,13,6051,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,20,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1151,REAL,2026-03-23,2026-08-06,2026-03-23,2026-08-06,107,45118,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,21,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1157,REAL,2026-03-26,2026-08-06,2026-03-26,2026-08-06,100,45708,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,22,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1158,REAL,2026-03-30,2026-06-01,2026-03-30,2026-06-01,6,1919,2,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,23,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1185,REAL,2026-03-30,2026-07-21,2026-03-30,2026-07-21,8,5055,5,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,24,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1202,REAL,2026-04-10,2026-07-28,2026-04-10,2026-07-28,6,1738,3,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,25,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1205,REAL,2026-03-24,2026-08-06,2026-03-24,2026-08-06,119,49861,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,26,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1210,REAL,2026-03-22,2026-08-05,2026-03-22,2026-08-05,95,65590,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,27,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1215,REAL,2026-03-31,2026-07-05,2026-03-31,2026-07-05,9,3711,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,28,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1220,REAL,2026-03-31,2026-07-24,2026-03-31,2026-07-24,12,5749,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,29,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1221,REAL,2026-03-30,2026-07-26,2026-03-30,2026-07-26,98,41799,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,30,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1222,REAL,2026-04-16,2026-06-05,2026-04-16,2026-06-05,6,2394,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,31,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1256,REAL,2026-03-31,2026-04-07,2026-03-31,2026-04-07,2,669,1,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,32,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1257,REAL,2026-03-27,2026-07-22,2026-03-27,2026-07-22,9,5089,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,33,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1258,REAL,2026-04-27,2026-07-26,2026-04-27,2026-07-26,6,2184,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,34,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1266,REAL,2026-06-30,2026-06-30,2026-06-30,2026-06-30,1,474,2,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,35,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1267,REAL,2026-03-27,2026-07-06,2026-03-27,2026-07-06,5,3166,3,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,36,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1283,REAL,2026-03-23,2026-08-03,2026-03-23,2026-08-03,6,4384,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,37,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1291,REAL,2026-03-21,2026-05-05,2026-03-21,2026-05-05,22,13946,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,38,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1295,REAL,2026-06-07,2026-06-07,2026-06-07,2026-06-07,1,1,1,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,39,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1296,REAL,2026-03-24,2026-07-09,2026-03-24,2026-07-09,17,2832,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,40,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1299,REAL,2026-03-21,2026-08-05,2026-03-21,2026-08-05,106,43153,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,41,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1300,REAL,2026-04-03,2026-08-06,2026-04-03,2026-08-06,9,3795,5,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,42,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1301,REAL,2026-03-24,2026-08-04,2026-03-24,2026-08-04,8,5428,5,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,43,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1302,REAL,2026-03-22,2026-08-06,2026-03-22,2026-08-06,108,39845,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,44,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1304,REAL,2026-03-22,2026-08-06,2026-03-22,2026-08-06,109,47465,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,45,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1305,REAL,2026-05-06,2026-07-21,2026-05-06,2026-07-21,6,3137,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,46,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1306,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,85,65214,5,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,47,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1307,REAL,2026-03-21,2026-08-04,2026-03-21,2026-08-04,85,67426,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,48,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1318,REAL,2026-03-23,2026-08-05,2026-03-23,2026-08-05,73,70780,5,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,49,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1323,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,112,47751,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,50,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1325,REAL,2026-03-24,2026-08-06,2026-03-24,2026-08-06,91,67255,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,51,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1330,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,86,64304,5,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,52,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1331,REAL,2026-03-22,2026-08-03,2026-03-22,2026-08-03,85,64190,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,53,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1346,REAL,2026-03-21,2026-07-22,2026-03-21,2026-07-22,7,4182,5,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,54,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1353,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,108,45636,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,55,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1354,REAL,2026-03-22,2026-07-26,2026-03-22,2026-07-26,22,10620,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,56,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1360,REAL,2026-04-10,2026-08-05,2026-04-10,2026-08-05,7,3306,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,57,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1363,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,103,45322,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,58,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1370,REAL,2026-04-14,2026-07-31,2026-04-14,2026-07-31,6,1243,5,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,59,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1374,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,66,52814,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,60,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1382,REAL,2026-03-23,2026-08-05,2026-03-23,2026-08-05,111,47644,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,61,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1383,REAL,2026-03-22,2026-08-06,2026-03-22,2026-08-06,111,49343,8,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,62,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1384,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,91,65612,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,63,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1385,REAL,2026-03-22,2026-08-05,2026-03-22,2026-08-05,112,50050,8,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,64,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1391,REAL,2026-04-03,2026-07-23,2026-04-03,2026-07-23,6,2321,2,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,65,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1393,REAL,2026-03-22,2026-06-24,2026-03-22,2026-06-24,8,3183,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,66,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1396,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,86,69793,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,67,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1398,REAL,2026-07-17,2026-07-22,2026-07-17,2026-07-22,3,2049,3,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,68,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1399,REAL,2026-03-28,2026-08-06,2026-03-28,2026-08-06,114,44184,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,69,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1400,REAL,2026-03-22,2026-08-06,2026-03-22,2026-08-06,72,60717,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,70,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1401,REAL,2026-03-23,2026-08-05,2026-03-23,2026-08-05,84,60129,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,71,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1402,REAL,2026-03-25,2026-08-06,2026-03-25,2026-08-06,83,62131,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,72,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1405,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,110,48390,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,73,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1485,REAL,2026-03-22,2026-08-05,2026-03-22,2026-08-05,108,48334,8,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,74,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1490,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,117,49569,8,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,75,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1491,REAL,2026-03-22,2026-07-26,2026-03-22,2026-07-26,16,8848,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,76,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1505,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,79,63193,4,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,77,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1506,REAL,2026-03-22,2026-07-30,2026-03-22,2026-07-30,11,3045,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,78,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1507,REAL,2026-03-21,2026-08-06,2026-03-21,2026-08-06,123,49052,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,79,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1508,REAL,2026-03-21,2026-08-02,2026-03-21,2026-08-02,7,2818,3,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,80,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1509,REAL,2026-03-22,2026-08-06,2026-03-22,2026-08-06,114,45723,6,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,81,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1623,REAL,2026-03-22,2026-08-06,2026-03-22,2026-08-06,103,44640,8,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,82,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1645,REAL,2026-03-22,2026-08-06,2026-03-22,2026-08-06,112,48782,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,83,A168_HF9F_20260827_0900,2026-08-27 09:00:00
1646,REAL,2026-03-22,2026-08-06,2026-03-22,2026-08-06,112,48818,7,DEALER,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,84,A168_HF9F_20260827_0900,2026-08-27 09:00:00
