member_id,bet_date,stake,game_pnl,net_pnl,rebate,validbet,n_rounds,n_tables,n_ip,late_def,late_share_d,hedge_rate_d,stake_cv_d,rn
101176024,2026-08-04,4826.6526588021,-41.3164700184,-41.3164700184,0E-10,4604.4124777773,77,29,3,shoe_pos>=0.80,0.2077922,0E-7,0.6752746743095477,111
101176024,2026-08-06,171.7310489737,86.3706158073,86.3706158073,0E-10,171.7310489737,5,4,1,shoe_pos>=0.80,0E-7,0E-7,0.2630668208833335,112
101191616,2026-08-05,825.0070634165,-568.1555492769,-568.1555492769,0E-10,825.0070634165,4,4,1,shoe_pos>=0.80,0.5000000,0E-7,0.7530104628769383,113
101191616,2026-08-06,1030.7451262425,-1030.7451262425,-1030.7451262425,0E-10,1030.7451262425,2,2,2,shoe_pos>=0.80,0E-7,0E-7,0.3534652885771914,114
101222815,2026-08-05,560.8108108110,-344.5945945948,-344.5945945948,0E-10,493.2432432434,7,1,2,shoe_pos>=0.80,0E-7,0E-7,0.26859634710384606,115
101222815,2026-08-06,2425.6756756755,246.6216216216,246.6216216216,0E-10,2222.9729729728,14,2,2,shoe_pos>=0.80,0.1428571,0E-7,0.2620958939258074,116
101290614,2026-08-05,7.0712784870,-1.0606917730,-1.0606917730,0E-10,5.0509132050,5,3,2,shoe_pos>=0.80,0.6000000,0E-7,0.3912303982179759,117
101290614,2026-08-06,5.6570227897,-5.6570227897,-5.6570227897,0E-10,5.6570227897,2,1,1,shoe_pos>=0.80,0E-7,0E-7,0.4040610178387408,118
101300553,2026-08-04,105.0522692831,-22.1020727917,-22.1020727917,0E-10,92.7233966044,9,5,1,shoe_pos>=0.80,0.1111111,0E-7,0.11063400828220461,119
101300553,2026-08-05,678.3448488429,284.4116816071,284.4116816071,0E-10,584.0803431536,22,8,3,shoe_pos>=0.80,0.1363636,0E-7,1.3586436891541538,120
101300553,2026-08-06,2208.9230216013,-260.5373333675,-260.5373333675,0E-10,2167.3130763106,69,21,2,shoe_pos>=0.80,0.0434783,0E-7,1.1188021439031854,121
101301271,2026-08-05,28.0000000000,-28.0000000000,-28.0000000000,0E-10,28.0000000000,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,122
101366515,2026-08-04,30.3084786685,-30.3084786685,-30.3084786685,0E-10,30.3084786685,1,1,1,shoe_pos>=0.80,1.0000000,0E-7,,123
101366515,2026-08-05,33.6475483523,-33.6475483523,-33.6475483523,0E-10,33.6475483523,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,124
101382908,2026-08-04,574.3199856167,-87.2396167777,-87.2396167777,0E-10,492.6412041203,28,8,2,shoe_pos>=0.80,0.1785714,0E-7,0.5387118658666616,125
101406618,2026-08-05,1118.0000000000,116.1000000000,116.1000000000,0E-10,1118.0000000000,12,3,1,shoe_pos>=0.80,0.2500000,0E-7,0.4622715965981464,126
101406618,2026-08-06,1581.0000000000,223.0500000000,223.0500000000,0E-10,1259.0000000000,17,4,1,shoe_pos>=0.80,0E-7,0E-7,0.6836207021613906,127
101411074,2026-08-04,1604.1381442391,-34.6961533365,-34.6961533365,0E-10,1504.5488671999,72,15,1,shoe_pos>=0.80,0.1527778,0E-7,0.4313602462014235,128
101431224,2026-08-04,24682.3985776624,555.9843219654,555.9843219654,0E-10,20839.6638112167,89,10,1,shoe_pos>=0.80,0.4606742,0E-7,0.9392578951508875,129
101431224,2026-08-05,23022.0623888795,-14570.8744140940,-14570.8744140940,0E-10,20638.0313560688,27,4,1,shoe_pos>=0.80,0.7407407,0E-7,1.2558534120308633,130
101444673,2026-08-04,148.9738782012,0.2568515141,0.2568515141,0E-10,141.2683327770,19,1,1,shoe_pos>=0.80,0.4210526,0E-7,0.6594686723760529,131
101459021,2026-08-04,918.0000000000,-918.0000000000,-918.0000000000,0E-10,918.0000000000,4,3,2,shoe_pos>=0.80,0.2500000,0E-7,0.6166308647361458,132
101459021,2026-08-05,1348.0000000000,-1024.0000000000,-1024.0000000000,0E-10,1348.0000000000,8,5,2,shoe_pos>=0.80,0E-7,0E-7,1.1509550422387989,133
101462342,2026-08-05,19082.3412698412,2066.7162698410,2066.7162698410,0E-10,16883.2671957671,80,19,1,shoe_pos>=0.80,0.2500000,0E-7,0.3846772096963875,134
101462342,2026-08-06,7316.4682539684,1010.2513227509,1010.2513227509,0E-10,7184.1931216933,34,12,1,shoe_pos>=0.80,0.2058824,0E-7,0.5149503935366345,135
101470435,2026-08-05,31.5176983998,-17.7792144819,-17.7792144819,0E-10,17.7792144819,2,1,1,shoe_pos>=0.80,1.0000000,0E-7,0.1813094310700221,136
101470435,2026-08-06,329.9256505564,-65.5608534013,-65.5608534013,0E-10,319.8238241462,24,3,1,shoe_pos>=0.80,0E-7,0E-7,0.3175424365351965,137
101472312,2026-08-05,121.6259899787,-20.1026345562,-20.1026345562,0E-10,111.5241635685,10,1,1,shoe_pos>=0.80,0E-7,0E-7,0.3885291746507275,138
101473268,2026-08-06,639.6476482924,-157.8713431369,-157.8713431369,0E-10,519.8399870673,33,7,2,shoe_pos>=0.80,0.0909091,0E-7,0.763017720309536,139
101475972,2026-08-05,40.4073056408,26.5678034589,26.5678034589,0E-10,40.4073056408,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,140
101478559,2026-08-04,1926.3863560475,-667.8139367631,-667.8139367631,0E-10,1926.3863560475,10,5,2,shoe_pos>=0.80,0.3000000,0E-7,0.3513641844633356,141
101478559,2026-08-05,1284.2575706985,-256.8515141397,-256.8515141397,0E-10,1284.2575706985,5,2,1,shoe_pos>=0.80,0E-7,0E-7,0.0,142
101478559,2026-08-06,513.7030282794,-513.7030282794,-513.7030282794,0E-10,513.7030282794,2,1,1,shoe_pos>=0.80,0E-7,0E-7,0.0,143
101495897,2026-08-06,65.4971361055,-4.3664757403,-4.3664757403,0E-10,65.4971361055,10,9,1,shoe_pos>=0.80,0.1000000,0E-7,0.3513641844577887,144
101501093,2026-08-04,166.9534841909,82.8346133100,82.8346133100,0E-10,159.2479387667,17,8,2,shoe_pos>=0.80,0.0588235,0E-7,1.7428043102714994,145
101501093,2026-08-05,529.3709706423,-97.7320011304,-97.7320011304,0E-10,485.7062132385,43,8,2,shoe_pos>=0.80,0.4418605,0E-7,1.5002807059719008,146
101501093,2026-08-06,102.7406056560,38.9130043921,38.9130043921,0E-10,100.1720905146,13,2,1,shoe_pos>=0.80,0.5384615,0E-7,1.2121348247341683,147
101506309,2026-08-04,90.5123646358,-3.2325844515,-3.2325844515,0E-10,90.5123646358,20,13,1,shoe_pos>=0.80,0.3500000,0E-7,0.2802580520250287,148
101511651,2026-08-04,2.2224018102,-2.2224018102,-2.2224018102,0E-10,2.2224018102,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,149
101521460,2026-08-06,32.5871915257,32.5871915257,32.5871915257,0E-10,32.5871915257,3,1,1,shoe_pos>=0.80,0E-7,0E-7,0.47405955465172706,150
101531076,2026-08-04,1580.6642180175,-128.4257570704,-128.4257570704,0E-10,1542.1364908965,112,9,2,shoe_pos>=0.80,0.0089286,0E-7,0.5093578949345947,151
101542517,2026-08-05,860.4432459087,85.4022027657,85.4022027657,0E-10,565.0672062684,40,1,1,shoe_pos>=0.80,0.2500000,0.2500000,0.5472984715657816,152
101542517,2026-08-06,2003.4200949516,193.2786694170,193.2786694170,0E-10,1476.8801982015,59,1,1,shoe_pos>=0.80,0.1525424,0.2372881,0.6579356688548574,153
101573839,2026-08-06,218.3237870189,103.5111601982,103.5111601982,0E-10,218.3237870189,11,4,1,shoe_pos>=0.80,0E-7,0E-7,0.5338636348563413,154
101578180,2026-08-04,2904.9906249199,-811.6507846813,-811.6507846813,0E-10,2904.9906249199,9,6,1,shoe_pos>=0.80,0.7777778,0E-7,1.0161557568331854,155
101594379,2026-08-05,8.0814611282,-8.0814611282,-8.0814611282,0E-10,8.0814611282,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,156
101612910,2026-08-06,34.6749544090,-11.0189299568,-11.0189299568,0E-10,32.3632907817,17,11,2,shoe_pos>=0.80,0.7058824,0E-7,1.3105303170556195,157
101617406,2026-08-04,182.1077235250,182.1077235250,182.1077235250,0E-10,182.1077235250,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,158
101617406,2026-08-05,1592.4793876659,1027.4060565587,1027.4060565587,0E-10,1592.4793876659,5,1,1,shoe_pos>=0.80,0E-7,0E-7,0.8136773068148283,159
101617406,2026-08-06,515.2441373642,-515.2441373642,-515.2441373642,0E-10,515.2441373642,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,160
101629391,2026-08-05,92.4665450903,92.4665450903,92.4665450903,0E-10,92.4665450903,3,3,1,shoe_pos>=0.80,0.3333333,0E-7,0.6009252125761753,161
101648018,2026-08-04,5134.4617676512,-1051.1648216165,-1051.1648216165,0E-10,4202.8613258668,55,9,1,shoe_pos>=0.80,0.1636364,0E-7,0.5243371097431454,162
101648018,2026-08-05,15055.8652043240,1492.1788713943,1492.1788713943,0E-10,13401.2277502363,180,15,1,shoe_pos>=0.80,0.1555556,0E-7,0.8309879810293518,163
