window_id,bet_ip,n_member_raw,n_member_eff,n_prof_A,n_prof_B,n_prof_C,n_orders,n_rounds,stake,net_pnl,game_pnl,share_p50,share_p90,rn
W1,42.114.44.137,29,5,2,3,3,364,343,13484.1464440761,-726.7373360792,-726.7373360792,0.01754390075802803,0.5999997854232788,7494
W1,42.114.44.146,29,5,1,3,3,595,371,37218.4331976394,3898.2672103459,3898.2672103459,0.006838600151240826,0.9333330392837524,7495
W1,42.114.44.153,26,5,1,1,1,848,610,36390.5014593480,-633.0571367307,-633.0571367307,0.013421300798654556,0.5266665816307068,7496
W1,42.114.44.154,26,5,0,3,3,536,440,43361.4214975884,230.0923552829,230.0923552829,0.015316350385546684,0.9408448338508606,7497
W1,42.114.44.158,31,5,1,2,2,487,376,38838.2318311299,-3404.9890114293,-3404.9890114293,0.01642340049147606,0.20000000298023224,7498
W1,42.114.44.166,24,5,0,1,1,409,218,8859.1023218353,-870.2625165050,-870.2625165050,0.006438950076699257,0.3045165538787842,7499
W1,42.114.44.177,24,5,1,1,1,374,302,26344.4879421596,-4654.0527492568,-4654.0527492568,0.01667740009725094,1.0,7500
W1,42.114.44.18,26,5,2,0,0,376,275,10877.3075256232,-755.6081773333,-755.6081773333,0.012920649722218513,0.4934782385826111,7501
W1,42.114.44.180,23,5,1,2,2,316,280,10648.2645742845,-243.5727542055,-243.5727542055,0.008923700079321861,0.16075466573238373,7502
W1,42.114.44.181,28,5,2,3,3,358,274,20301.7717885292,2431.3471481617,2431.3471481617,0.0122079998254776,0.9499998092651367,7503
W1,42.114.44.183,25,5,2,3,3,331,239,28480.3095306819,-2105.1541240831,-2105.1541240831,0.013129100203514099,0.2222221940755844,7504
W1,42.114.44.189,24,5,1,3,3,539,327,15679.5551669784,251.6164863591,251.6164863591,0.010668499395251274,1.0,7505
W1,42.114.44.19,20,5,0,3,3,640,522,20805.7061461868,2947.7458515735,2947.7458515735,0.021170999854803085,0.405651330947876,7506
W1,42.114.44.195,25,5,2,3,3,465,349,25008.8729904928,-1328.5659043542,-1328.5659043542,0.0106905996799469,0.32258060574531555,7507
W1,42.114.44.204,33,5,2,1,1,1060,924,61541.2539399177,-877.0854853661,-877.0854853661,0.022503500804305077,0.8999998569488525,7508
W1,42.114.44.212,32,5,2,2,2,645,439,57395.5095203508,652.1790266063,652.1790266063,0.01464810036122799,0.6755746603012085,7509
W1,42.114.44.221,30,5,2,1,1,501,335,73679.0999353553,-3293.8222361023,-3293.8222361023,0.018834151327610016,1.0,7510
W1,42.114.44.227,32,5,1,4,4,719,603,28909.4902779554,2198.7341891882,2198.7341891882,0.024660151451826096,1.0,7511
W1,42.114.44.23,26,5,2,2,2,449,355,31857.7939391426,-850.5156548629,-850.5156548629,0.010516850277781487,0.34810492396354675,7512
W1,42.114.44.239,27,5,1,2,2,368,352,16407.8106643004,-2976.4148506591,-2976.4148506591,0.009569399990141392,0.7132648229598999,7513
W1,42.114.44.24,28,5,1,4,4,332,278,11849.4542005064,610.4993696920,610.4993696920,0.014397500082850456,1.0,7514
W1,42.114.44.241,23,5,1,3,3,468,451,18887.7324046881,291.2806444735,291.2806444735,0.014159300364553928,0.20154301822185516,7515
W1,42.114.44.245,23,5,1,3,3,435,295,11810.1539259448,-2160.4674631707,-2160.4674631707,0.019960099831223488,0.1612921506166458,7516
W1,42.114.44.249,31,5,0,1,1,792,405,40475.4074075899,-1732.0759433553,-1732.0759433553,0.01893940009176731,0.7863636016845703,7517
W1,42.114.44.39,26,5,0,1,1,456,334,107258.9143435936,-16402.6008965584,-16402.6008965584,0.00999009981751442,0.10091906785964966,7518
W1,42.114.44.45,26,5,1,4,4,1472,1443,59888.4042111479,-695.7296875113,-695.7296875113,0.008176600560545921,0.49285709857940674,7519
W1,42.114.44.46,36,5,0,4,4,463,374,138991.1911255562,26965.5137952278,26965.5137952278,0.013407649472355843,0.44066956639289856,7520
W1,42.114.44.47,28,5,0,2,2,1781,1141,42146.9526063005,903.2765109653,903.2765109653,0.009164899587631226,1.0,7521
W1,42.114.44.62,18,5,3,2,2,624,582,22543.6986469274,-114.2953906865,-114.2953906865,0.04019340127706528,0.1797727346420288,7522
W1,42.114.44.65,36,5,3,4,4,1030,840,163757.6094165828,3518.8918515728,3518.8918515728,0.014979850500822067,0.7035703659057617,7523
W1,42.114.44.71,27,5,1,5,5,724,642,53989.8370600609,6414.6063187376,6414.6063187376,0.046875,0.21543854475021362,7524
W1,42.114.44.82,23,5,3,3,3,345,329,27043.9099776026,-2266.1518428857,-2266.1518428857,0.020383700728416443,0.3236622214317322,7525
W1,42.114.44.94,25,5,2,2,2,809,708,28197.1865253163,-4799.1457009537,-4799.1457009537,0.01498700026422739,0.6666666865348816,7526
W1,42.114.44.98,26,5,0,3,3,512,475,203465.0773916051,-36397.6840715336,-36397.6840715336,0.015669049695134163,0.6931816339492798,7527
W1,42.115.200.181,7,5,2,3,3,414,410,43354.8273334355,-3675.9296918094,-3675.9296918094,0.053054701536893845,0.813278317451477,7528
W1,42.115.235.160,6,5,2,2,2,671,609,12851.3384935788,-941.6385938752,-941.6385938752,0.12246434390544891,0.31152087450027466,7529
W1,42.116.118.189,9,5,2,2,2,1401,912,81589.0084837201,-8195.8131120571,-8195.8131120571,0.06896550208330154,0.4034670889377594,7530
W1,42.116.13.187,7,5,3,4,4,540,219,6423.5755918840,256.5398522989,256.5398522989,0.5100671052932739,1.0,7531
W1,42.116.177.125,16,5,2,2,2,334,330,6386.3570815099,-202.0969351444,-202.0969351444,0.42213115096092224,1.0,7532
W1,42.116.182.49,5,5,1,1,1,1097,1095,5832.0027223103,-312.8026594822,-312.8026594822,0.9890710115432739,1.0,7533
W1,42.116.209.110,5,5,1,1,1,1339,1336,4951.8498437996,-128.3143572658,-128.3143572658,1.0,1.0,7534
W1,42.116.54.90,7,5,2,4,4,1046,1043,263375.2027306845,32410.2024894643,32410.2024894643,0.23284590244293213,0.9851239323616028,7535
W1,42.116.87.136,5,5,3,3,3,1284,1272,6055.5069641671,-338.8243485641,-338.8243485641,0.9956139922142029,1.0,7536
W1,42.117.137.122,8,5,4,4,4,543,512,22960.9257433437,3077.0977115869,3077.0977115869,0.6039271354675293,0.9321167469024658,7537
