dealer_id,平均每局秒数,局速
2251,40.993636194609515,87.81850877803771
2174,40.994594966466146,87.81645489959894
2196,40.99530521553766,87.81493346793187
2169,40.99587702995864,87.81370861682555
2233,40.99708090619352,87.81112997379627
1307,40.99770026622245,87.80980339441136
1401,40.99779275564126,87.80960529892536
2171,40.99826175230997,87.80860080725652
1325,41.00160370234655,87.80144372240663
2235,41.00231042490644,87.7999303622953
2103,41.00300651387868,87.79843982371082
2101,41.008886668986925,87.78585063911304
986,41.00949017060523,87.78455876977488
2252,41.01498000930151,87.77280884163737
1384,41.02174723413818,87.75832924552006
970,41.02262735593654,87.75644643050954
2202,41.02618030538549,87.74884654634614
1400,41.0290089739379,87.74279686567037
2246,41.03178383899303,87.7368630651362
1505,41.047558374583,87.70314587649507
2288,41.05546436908144,87.68625700190917
532,41.10016013721539,87.59089959701325
1296,41.252086708514675,87.26831264167149
1087,41.27380634249095,87.22238918618558
1391,41.27406846879158,87.22183524800943
878,41.31011372073938,87.14572959872177
1144,41.31120198129951,87.14343391968175
1751,41.33357734983622,87.0962600098843
1158,41.46141999892447,86.827706337443
2060,41.50518415877532,86.73615291594514
796,41.50824684622777,86.7297530858537
1993,41.51661772383757,86.71226601229104
759,41.60386931638575,86.53041313592759
1215,41.62509837751763,86.48628208274498
1393,41.63145483158461,86.47307701744742
1202,41.640417312994806,86.45446497186138
1300,41.641101086001726,86.453045335302
2064,41.64553479794932,86.4438412777273
1148,41.670728157037026,86.39157891441981
626,41.681525942128125,86.36919879081077
2092,41.68734377638023,86.35714521201362
2091,41.699220610375924,86.33254884155365
2065,41.71872342783061,86.29218979405385
2080,41.74169804449575,86.24469460160623
2290,41.76571068968419,86.19510935053171
2100,41.778942214058304,86.16781108423149
1680,41.783887162897095,86.15761348304372
2075,41.805675660418636,86.11270941396262
2272,41.835232655633014,86.05186995452907
2268,41.886709750886915,85.94611563931142
989,41.979104251088316,85.75695132672274
2285,42.07056364711661,85.57051981039321
2279,42.07056364711661,85.57051981039321
1698,42.07056364711661,85.57051981039321
2158,42.07056364711661,85.57051981039321
1360,42.25184708133932,85.20337567892867
2059,42.41936974856703,84.86689032247142
2154,42.554083133123996,84.59822736017942
2109,42.69226575980509,84.32440714799006
2073,42.95018244023175,83.818037443954
1129,43.022883621565065,83.67639955671203
2164,43.0322148692349,83.65825488972808
1185,43.03875222077634,83.645547657447
1952,43.111058513558035,83.50525651945736
2140,43.21555736941363,83.30333377923633
2110,43.33252486504536,83.07847306871282
2034,43.3516736395513,83.04177665509066
2198,43.35766015196068,83.03031084663372
2162,43.369138371356286,83.0083357703428
2068,43.396637911369865,82.95573512750869
801,43.41083861496021,82.92859836067231
2072,43.44471085769836,82.86394198344821
1491,43.47303627606777,82.8099509116143
2191,43.55401449042711,82.6559857252942
1257,43.55640579405694,82.65144780360188
627,43.69227313389046,82.39443136703306
2104,43.6950242572271,82.38924365408872
1302,43.74878979575835,82.2879905205752
1220,43.771177394593465,82.24590276716351
2274,43.783151470137206,82.22340967062229
1346,43.817190898919115,82.159534332193
1110,43.81776655434848,82.15845496220838
969,43.825924378348844,82.14316186285609
1115,43.88715738887577,82.0285526378727
1957,43.892991618910784,82.0176494520137
2224,43.91382580866938,81.97873753211671
2208,43.92145864564997,81.96449095746387
2071,43.9962049758911,81.82523928990504
2077,44.01733269320868,81.7859642948205
2173,44.07178775265359,81.6849096343554
2152,44.07215302403855,81.68423262726533
1305,44.07631261721582,81.67652387949241
2136,44.14420088801093,81.55091558079874
2083,44.15769355510307,81.52599717436934
2209,44.17989577847978,81.48502699170186
1354,44.181132991218405,81.48274515086675
1711,44.24778317928965,81.36000814804649
1509,44.3767885790436,81.12349079942338
1966,44.38396933861244,81.11036605435221
1963,44.38438066175755,81.10961438066953
1687,44.39330442510621,81.09331005249643
1114,44.435721729374784,81.01590026881853
1399,44.4992190380678,80.90029618093531
2107,44.603264339872595,80.71158138938769
2201,44.614732437475816,80.69083469334102
1996,44.669903398044994,80.59117495556428
2175,44.67663754636955,80.57902737786806
2074,44.701023479899554,80.53506876903593
2117,44.79453092014531,80.36695386804425
2229,44.8015587245454,80.35434709167095
1095,44.84761176187566,80.27183295990604
2216,44.878784199811676,80.21607679860246
2234,44.91314493433293,80.15470760873069
2105,44.93436417160268,80.11685636079622
2069,45.00672831701479,79.9880403357162
2156,45.05718651879032,79.89846411068481
1703,45.06713727844145,79.88082264373412
1507,45.105563287286614,79.81277114467808
1949,45.13918624572007,79.75332077107036
2254,45.153064129042974,79.72880843062073
2205,45.17447456313798,79.6910209762035
2262,45.192853403567064,79.65861256540737
2276,45.19787026443383,79.6497706404728
993,45.21421350414982,79.62098024041903
2222,45.24736934404081,79.56263650660452
1984,45.27569088086217,79.51286727955164
576,45.28282063991723,79.50034801556876
2220,45.37368557765312,79.3411413282466
2188,45.38248950164016,79.32574963455659
2218,45.41085430189712,79.27620070890416
2278,45.464694078529114,79.18232098475978
1991,45.52430485390418,79.07863747844274
1258,45.61479213598007,78.92176707214215
2122,45.634027789353404,78.88849997238013
1935,45.65080550149995,78.85950664948759
2239,45.68628251550792,78.7982694538126
2187,45.70056630808351,78.77364091576328
2258,45.70715829021529,78.76228001622815
598,45.72421025619935,78.73290713669367
2089,45.91769078757773,78.40115515943846
2081,45.93509246781437,78.37145429765782
2212,45.94009146827007,78.36292625769913
2280,45.96172114977682,78.3260485017211
2248,46.07963851583842,78.12561287264903
2264,46.106341301478864,78.0803659188748
1007,46.20859163398186,77.90758975117855
1222,46.284147762669846,77.7804102272691
2241,46.34485239174185,77.67852985203338
2287,46.34542349799732,77.67757263358622
2256,46.35294927663793,77.66496104735269
2289,46.47211387353962,77.4658112130719
2266,46.50828591041483,77.40556181611144
1267,46.57005127606298,77.30289963950288
2242,46.58794903242453,77.2732020783841
2066,46.6799164276146,77.12096069371572
2232,46.708758081241996,77.0733401589999
2250,46.785937764506606,76.94619734075485
