dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率,対打注额,種子注额,対打客数,对打局占比,异常对关联,風險單密度,赏,罚,综合分
2141,90031098.54104598,65703,21425,4,-881386.526983561,21425,0.1325205645459114,0.14007,3420800.7386203725,942570.6433593947,152.0,0.03799576806297436,0.0023134407865698673,0.010469389562426237,76.17056856187291,71.07023411371237,5.100334448160538
2129,58794431.82288584,44970,27584,7,-1192374.5560403585,27584,0.1394280516664995,0.1197071,2776215.7046046667,535425.0307367025,109.0,0.04721902429413426,0.002423838114298421,0.009106730248701669,76.33779264214047,71.23745819397993,5.100334448160538
1401,81171574.82655284,60127,20161,4,-807183.6529303472,20161,0.1323416947732222,0.139626,3221661.710253671,642361.3939599006,135.0,0.0396895306902411,0.0022452475593327456,0.007913624878320969,71.40468227424749,66.30434782608697,5.100334448160524
1148,2408578.5893649384,4719,1285,7,-212380.307423833,1285,0.1352092612328331,0.136965,27878.6175956864,0.0,2.0,0.011574717851758808,0.0004238186056367875,0.0,41.137123745819395,36.24581939799331,4.891304347826086
2109,3946953.1200406984,6007,2031,6,25365.1019984041,2031,0.1024986278398926,0.1221073,39217.4893131342,0.0,7.0,0.00993614267015409,0.001165307141668054,0.0,42.97658862876254,38.25250836120401,4.724080267558534
1942,60936951.09447524,47107,28901,7,-536773.8148206976,28901,0.1376443800944539,0.1145981,2336055.662771153,853690.1886458709,121.0,0.03833561772969878,0.002568620374891205,0.014009401082806544,77.75919732441471,73.0769230769231,4.68227424749162
915,3582929.166537776,6093,1919,6,-204001.4998949617,1919,0.1325529469531685,0.149036,33990.882808713905,0.0,7.0,0.009486897794733594,0.0011488593467914,0.0,46.40468227424749,41.847826086956516,4.556856187290975
1714,51451799.944279365,41364,24992,7,-1437459.9381234031,24992,0.1392437952229683,0.0975512,1345709.407157535,614686.2732498033,109.0,0.02615475860154348,0.002635141669084228,0.01194683711581497,70.40133779264214,65.96989966555185,4.4314381270902885
1220,3318450.2451760806,5749,1502,7,-34946.9224188323,1502,0.0868721484897844,0.1338216,9343.8853911764,0.0,3.0,0.0028157376789841254,0.0005218298834579927,0.0,37.37458193979933,32.98494983277592,4.3896321070234094
1385,68461616.77785647,50049,32928,8,-2578135.707139461,32928,0.1360637935713042,0.1189565,2891898.2236852734,983682.5345218838,139.0,0.04224116168726886,0.002777278267298048,0.01436838013501385,84.03010033444816,79.68227424749165,4.347826086956516
1331,89801780.06038511,64183,22248,4,-1566028.6690908172,22248,0.1326867697628984,0.1878821,3726093.5825176626,728319.8759723632,143.0,0.0414924245378225,0.0022280043002041038,0.008110305558337725,76.2123745819398,71.98996655518394,4.222408026755858
2075,3489733.697902789,4772,1594,4,113892.258862733,1594,0.1347571394280407,0.1587202,15662.5933114553,0.0,5.0,0.004488191554807746,0.0010477787091366304,0.0,44.81605351170569,40.59364548494983,4.222408026755858
1354,7121946.553939189,10619,4143,6,-207786.1807331276,4143,0.0811622608026332,0.1030654,83617.04692128059,47698.5865362644,6.0,0.011740757430288708,0.0005650249552688577,0.0066974086613837405,43.97993311036789,39.79933110367893,4.180602006688957
2106,68444472.91595358,48872,32592,7,-1260692.070549743,32592,0.1371387560390242,0.1331308,3025508.7511191997,764182.374813107,136.0,0.04420384323558711,0.0027827795056474054,0.011164997584998355,84.94983277591973,81.02006688963212,3.929765886287612
2066,3283035.905274489,4637,1636,3,-313398.7919741975,1636,0.0649936650009477,0.0611247,67351.39796708,0.0,2.0,0.020514974526740323,0.00043131334914815614,0.0,29.4314381270903,25.543478260869566,3.887959866220733
2252,96391699.82547548,65282,23993,4,-2460022.77338884,23993,0.1321255209377966,0.1477097,3591229.177875825,1068763.1128320459,159.0,0.03725662255544844,0.002435587145001685,0.011087708949703377,77.67558528428094,73.82943143812709,3.846153846153854
1346,2318473.865289726,4182,1184,5,-75898.7353296161,1184,0.0872859406583775,0.0768581,10977.1932165266,0.0,3.0,0.004734663340772593,0.0007173601147776184,0.0,29.347826086956523,25.54347826086957,3.8043478260869534
1935,58692280.19803492,45029,30991,6,-898147.4649310345,30991,0.0710348662813276,0.0602433,3249363.2442738237,449723.4411017343,88.0,0.05536270244246901,0.001954296120278043,0.007662395115410621,59.69899665551839,56.27090301003344,3.4280936454849495
2205,54939585.94391481,42085,27525,7,-854411.3469242197,27525,0.0735482291141917,0.0436331,2354586.772518303,435641.8490351746,76.0,0.0428577451406712,0.0018058690744920992,0.0079294709188362,53.92976588628763,50.585284280936456,3.3444816053511772
1129,2378905.027212518,4323,1245,8,-51343.9162195075,1245,0.0942872246197575,0.0626506,16459.191724379,16459.191724379,1.0,0.006918809929820973,0.0002313208420078649,0.006918809929820973,31.772575250836123,28.59531772575251,3.177257525083615
986,102329919.6268298,67652,24986,4,-3013736.0319098607,24986,0.1322080366865663,0.1531258,5207960.118707425,1052728.0348814789,150.0,0.05089381617516637,0.002217229350203985,0.010287587821044912,80.01672240802675,76.83946488294315,3.177257525083604
2145,97017873.48096065,64633,22554,4,-2746804.5556139615,22554,0.1324736239807092,0.2204487,3646283.476713938,823170.0981306161,159.0,0.03758362604628214,0.0024600436309625113,0.008484726252963684,77.59197324414717,74.49832775919731,3.0936454849498602
471,42570151.2044291,38647,20270,7,-597080.960041669,20270,0.1377713328328241,0.123779,1663703.9930901364,241845.1379542454,90.0,0.03908146778950226,0.002328770667839677,0.005681096522135051,63.46153846153846,60.45150501672241,3.0100334448160524
