uid,dealer_id,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix,z_score,net_pnl_all,game_pnl_all,stake_all,win_rate_all,win_rate_other
143523608,970,43.9605567217,-8.8078817109,-8.8078817109,0.3958333,55,55,0.501506434545,-1.4642560881554585,-135.9553643721,-135.9553643721,3013.8701826576,0.4994312,0.5013519
147425893,1304,3324.3462555360,-430.5944559336,-430.5944559336,0.4375000,127,127,0.506678200000,-1.4643571284413037,-1417.0066968016,-1417.0066968016,296608.0187086842,0.5080024,0.5088115
78168680,1942,4072.2135645107,-1149.2530888580,-1149.2530888580,0.4375000,121,121,0.506678200000,-1.4643571284413037,-18884.5434702056,-18884.5434702056,641390.2320271034,0.5093172,0.5099146
142183461,2167,926.4437870595,-162.2791294779,-162.2791294779,0.3783784,41,41,0.498749360976,-1.464380786237174,-1740.1268645101,-1740.1268645101,42801.0442643478,0.4887526,0.4908807
148993184,2235,1677.9619598005,-430.9010855530,-430.9010855530,0.3783784,41,41,0.498749360976,-1.464380786237174,-2488.9089298346,-2488.9089298346,116448.8111049282,0.4942035,0.4960733
148218519,583,3797.5854183678,-771.8257269080,-771.8257269080,0.3783784,53,41,0.498749360976,-1.464380786237174,-2844.6966984061,-2844.6966984061,135968.4365374812,0.4980784,0.5015823
102250812,2196,16449.7973304411,-2121.7050060669,-2121.7050060669,0.3783784,41,41,0.498749360976,-1.464380786237174,8613.3405774600,8613.3405774600,415965.1056783447,0.5018007,0.5075377
144316075,2106,2739.2248517258,-667.6284641030,-667.6284641030,0.4090909,69,69,0.499218579710,-1.4644031032416618,-9286.2422142288,-9286.2422142288,978077.8416674564,0.4950166,0.4954028
48785505,583,18768.0009000106,-3783.3345405066,-3783.3345405066,0.4197531,90,90,0.501109658889,-1.4644219108617835,-64907.4964863893,-64907.4964863893,4912840.5613429984,0.4999200,0.5002679
148056924,-1,647.0751110093,-90.9542078843,-90.9542078843,0.4318182,142,140,0.495548310714,-1.4644649169830388,-169.9572362148,-169.9572362148,2826.6689807772,0.4703770,0.4823529
147390563,1157,1521.3303395122,209.3966155572,209.3966155572,0.3913043,54,53,0.499266730189,-1.4644745807509907,-16550.8474670157,-16550.8474670157,1218017.5830341792,0.5031056,0.5037751
149974445,-1,363.2401017070,-62.7886461522,-62.7886461522,0.4000000,69,68,0.494527448529,-1.4645006584085085,-162.9391313371,-162.9391313371,1203.8814799432,0.4221106,0.4316547
145860288,2170,106.6515430515,-27.9429149559,-27.9429149559,0.3666667,30,30,0.500357153333,-1.4645062790403938,-533.8667748047,-533.8667748047,51689.2779597306,0.5030415,0.5034874
144155014,2233,1088.0921843959,-362.7214849795,-362.7214849795,0.3666667,30,30,0.500357153333,-1.4645062790403938,-359.4601027609,-359.4601027609,5410.9933972334,0.4393064,0.4545455
147469680,526,1501.3074089589,-431.3738905878,-431.3738905878,0.3666667,30,30,0.500357153333,-1.4645062790403938,-3251.8774755925,-3251.8774755925,233303.3401399081,0.5012761,0.5021404
147554637,1302,3432.9420875836,-948.3862536601,-948.3862536601,0.3666667,30,30,0.500357153333,-1.4645062790403938,-6162.3513301728,-6162.3513301728,768241.9334370498,0.5035406,0.5041757
135444165,1094,1097.1092757918,-151.9561543612,-151.9561543612,0.4477612,220,220,0.499413100909,-1.4645853408861482,-4344.0383140427,-4344.0383140427,221954.7500553360,0.4949529,0.4952219
149368632,2235,3818.7913291861,-1027.8136553797,-1027.8136553797,0.3958333,50,50,0.501531062000,-1.4645975568536742,-3386.5538888043,-3386.5538888043,994038.6842145094,0.5042431,0.5047591
120187306,2276,3611.1353994734,-850.9797238372,-850.9797238372,0.4090909,71,71,0.499237933803,-1.4647174829047578,-11644.8118296276,-11644.8118296276,694838.5173606013,0.5008963,0.5013160
152624802,2235,23425.2333024402,-1306.7278716981,-1141.6557332282,0.4462366,211,211,0.499937747393,-1.4647731368359045,-3227.3107206853,-17342.5498744837,1951349.3254542582,0.5055233,0.5061579
140737731,1205,698.4129538979,-147.9154397018,-147.9154397018,0.3913043,55,55,0.499289963636,-1.4647896366605728,950.8532559169,950.8532559169,42636.8673950314,0.5203704,0.5226074
133648785,1017,1242.3858926234,-297.0279665471,-297.0279665471,0.3913043,56,55,0.499289963636,-1.4647896366605728,940.8734781270,940.8734781270,274299.2977489204,0.5055489,0.5062559
149745493,1710,533.4671400369,-201.0538139420,-201.0538139420,0.4000000,65,63,0.494549430159,-1.464840513231416,-4767.7076985703,-4767.7076985703,232188.0345303058,0.4897155,0.4901892
150576499,986,2674.4156144712,-526.5255740994,-526.5255740994,0.4035088,73,66,0.500521336364,-1.464858395510764,6249.4747025334,6249.4747025334,947248.3982988282,0.4973819,0.4977207
73539171,2145,63217.4209274017,-3557.3178029475,-3557.3178029475,0.4311927,122,122,0.501348980328,-1.4649122955812721,-74371.0179958640,-74371.0179958640,6258919.0476833337,0.4958822,0.4967742
142009960,2169,893.2718222121,-305.6850964425,-305.6850964425,0.2682927,52,43,0.379303209302,-1.4649509431637857,-8002.9908305467,-8002.9908305467,256944.7640441776,0.3787569,0.3791009
137377337,1645,2155.0078607215,-356.9378340377,-356.9378340377,0.4177215,89,89,0.500133938202,-1.46499526132479,-6106.3887356074,-6106.3887356074,1633520.0382257434,0.4967995,0.4970062
147870006,2246,3286.0398227558,-437.3790164371,-437.3790164371,0.4472362,226,226,0.499161720354,-1.465001810183398,-3711.9073385623,-3711.9073385623,321934.3238820954,0.4983778,0.4988608
147671468,462,3032.6582453991,-226.1814781827,-226.1814781827,0.4351145,159,154,0.499114053247,-1.4650189479886038,-4506.0565898722,-4506.0565898722,262043.5056707269,0.4933089,0.4940161
141621502,2123,290.0000000000,-57.7500000000,-57.7500000000,0.3913043,57,57,0.499311566667,-1.465082586201864,-178.7500000000,-178.7500000000,13325.0000000000,0.5013112,0.5035682
146406963,2123,665.2080121787,-54.1970300456,-54.1970300456,0.3770492,68,67,0.470680108955,-1.4650829638308516,-2213.2514329290,-2213.2514329290,160477.8676380218,0.4951716,0.4956817
142994527,1994,4247.5648578973,-455.3942903769,-455.3942903769,0.4177215,87,87,0.500139186207,-1.4650885561056175,-8038.8305722971,-8038.8305722971,396618.1579137581,0.4943387,0.4950993
150291174,2251,765.1704962011,-171.2129320716,-171.2129320716,0.4000000,60,60,0.498776891667,-1.4651024526571332,219.4133044278,219.4133044278,84485.4919150080,0.5088125,0.5098885
152667746,2288,1356.0000000000,-243.4500000000,-243.4500000000,0.3714286,40,39,0.495257066667,-1.4652244376547097,1383.0000000000,1383.0000000000,161645.0000000000,0.5145341,0.5159078
142024935,2209,3320.8443391421,-483.0955147641,-483.0955147641,0.4388489,150,150,0.500989258000,-1.465250407959532,-8354.8367800266,-8354.8367800266,504212.8646969317,0.4973704,0.4977321
32447709,2188,1747.6234156558,-126.3422726218,-126.3422726218,0.3636364,43,37,0.491151683784,-1.4652689476530292,-4033.9174399174,-4033.9174399174,402753.0624528641,0.5091606,0.5097379
150886737,1330,413.5596036812,-104.6881166526,-104.6881166526,0.3571429,34,33,0.495595845455,-1.4653055463177342,-130.5880740183,-130.5880740183,41526.2391473379,0.5018206,0.5031741
149404159,789,1230.0710328861,-237.6826300329,-237.6826300329,0.4360902,142,142,0.499619485915,-1.4653107675117643,-1938.7199208719,-1938.7199208719,120363.1274326536,0.4982818,0.4989660
122080465,2147,5318.2752597400,-2084.8472166122,-2084.8472166122,0.4155844,82,82,0.499079729268,-1.46533929016375,-23824.1042920125,-23824.1042920125,1275401.9691885904,0.4962926,0.4966817
