member_id,罕见度,相似度,是否种子,T4新命中
114749708,0.627298919231728,1.0,0,1
90473758,0.6420772824247897,1.0,0,1
143884807,0.5386042138182923,1.0,0,1
72634316,0.5377176540802034,1.0,0,1
77445482,0.5268772988175822,1.0,0,1
26491812,0.5740879200587293,1.0,0,1
107587651,0.622612932500899,1.0,0,1
128092932,0.5200980834549972,1.0,0,1
122558344,0.5459497136529846,1.0,0,1
136075977,0.6073615458675876,1.0,0,1
148520207,0.5867362977473376,1.0,0,1
84773768,0.5849901194742081,1.0,0,1
126976807,0.5972487671562918,1.0,0,1
90740232,0.5508118745419046,1.0,0,1
110750769,0.536304490090848,1.0,0,1
123483915,0.6181481211440922,1.0,0,1
136938584,0.6312961385319605,1.0,0,1
124605471,0.5165485232677776,1.0,0,1
34513931,0.5254785063353653,1.0,0,1
133831900,0.56355607818847,1.0,0,1
148007548,0.7283158677675363,1.0,0,1
54585191,0.6164604639195637,1.0,0,1
136043350,0.5186052087693025,1.0,0,1
68632453,0.5182659554358393,1.0,0,1
128096699,0.5564193564628365,1.0,0,1
142478759,0.5776984705879727,1.0,0,1
145244009,0.6195999865745792,1.0,0,1
123927271,0.5227603528533533,1.0,0,1
75623101,0.5515194793354011,1.0,0,1
93388807,0.5476703387091222,1.0,0,1
148374604,0.5566923336591989,1.0,0,1
140821456,0.6032467058086536,1.0,0,1
116824512,0.6003644054944584,1.0,0,1
134200468,0.616184987485499,1.0,0,1
135104178,0.5384649406267079,1.0,0,1
141059906,0.5696605541915876,1.0,0,1
81527006,0.5227551075255166,1.0,0,1
122562885,0.5149350634376835,1.0,0,1
137459054,0.5622977073155802,1.0,0,1
128842157,0.5719072284178514,1.0,0,1
139961817,0.5198916411086304,1.0,0,1
69491783,0.5244889278801242,1.0,0,1
27701696,0.5168254049385618,1.0,0,1
123957748,0.5198252695402744,1.0,0,1
134297219,0.6376626829944685,1.0,0,1
151381338,0.6265211879978302,1.0,0,1
117707005,0.5309869563886419,1.0,0,1
148404445,0.538038898251586,1.0,0,1
147857665,0.5427866906167644,1.0,0,1
114480560,0.546548407010384,1.0,0,1
140122164,0.5435151847341544,1.0,0,1
146515674,0.5264299355416026,1.0,0,1
151591057,0.5255552669235398,1.0,0,1
11967691,0.5262010638080578,1.0,0,1
114476876,0.5615245765456209,1.0,0,1
33834057,0.662784513902115,1.0,0,1
88689591,0.5651344655318814,1.0,0,1
147578370,0.5267181264252498,1.0,0,1
108472049,0.5307414937003049,1.0,0,1
142234873,0.5142514108281422,1.0,0,1
37711348,0.7350195557005144,1.0,0,1
20839104,0.7060730405184448,1.0,0,1
108222334,0.5897746255867993,1.0,0,1
129670612,0.6961717615695214,1.0,0,1
115062782,0.5193591874394722,1.0,0,1
92250114,0.5660853837172699,1.0,0,1
150074697,0.6016938823916554,1.0,0,1
42857550,0.5887695045495003,1.0,0,1
134287668,0.5188027575969967,1.0,0,1
141524253,0.5943871456024592,1.0,0,1
144728547,0.7200954136142365,1.0,0,1
128551308,0.5379289722606067,1.0,0,1
140133205,0.5729133882486737,1.0,0,1
146526335,0.513086102692729,1.0,0,1
145144429,0.5401957054488374,1.0,0,1
136305029,0.6566398346481204,1.0,0,1
153911735,0.5111262835605394,1.0,0,1
153649650,0.5185266544734305,1.0,0,1
152304920,0.5252608981337722,1.0,0,1
149991334,0.5316332779501607,1.0,0,1
152517987,0.5183256244617417,1.0,0,1
151047202,0.5224406830706579,1.0,0,1
51576515,0.7869625477529153,1.0,1,0
51576495,0.7888283243250875,1.0,1,0
147684953,0.7609101718874186,1.0,1,0
6255961,0.7596897274466214,1.0,1,0
148998707,0.7434796630094656,1.0,1,0
141556233,0.7742776881794381,1.0,1,0
148859740,0.7341295257071374,1.0,1,0
46444109,0.7366183271363878,1.0,1,0
149241109,0.7150269752252653,1.0,1,0
146517701,0.7616950527963691,1.0,1,0
134570649,0.6914864488270496,1.0,1,0
134634730,0.6905029341053572,1.0,1,0
152629484,0.6950224025398778,1.0,1,0
127775974,0.7168939876797759,1.0,1,0
134880255,0.6902028544742416,1.0,1,0
146490510,0.7073522136133786,1.0,1,0
146490625,0.6904190160461311,1.0,1,0
139931094,0.7051158556433652,1.0,1,0
151174104,0.6433434479101037,1.0,1,0
84877977,0.7238109122276838,1.0,1,0
118670037,0.7403548935961286,1.0,1,0
152174446,0.699900934335887,1.0,1,0
26979969,0.6247653583896103,1.0,1,0
146554769,0.6516590819939438,1.0,1,0
150867837,0.618070102170682,1.0,1,0
151093430,0.6036175140300847,1.0,1,0
150477051,0.6180830071108998,1.0,1,0
112955939,0.7371778524582847,1.0,1,0
144709469,0.5815337968530715,1.0,1,0
125894801,0.5736091349323755,1.0,1,0
142078611,0.7646144358108399,1.0,1,0
91946082,0.5865862856501753,1.0,1,0
109001057,0.624550941333755,1.0,1,0
151111771,0.5540403395303296,1.0,1,0
149258387,0.5764952874634842,1.0,1,0
99441221,0.7212828651982327,1.0,1,0
153260150,0.622662679428787,1.0,1,0
147668619,0.6947918856155731,1.0,1,0
97017302,0.5625968797504248,1.0,1,0
151882655,0.5322647426950567,1.0,1,0
