table_id,sec_elapsed,n_orders,n_player,n_rounds,valid_bet,game_pnl
116,16,335741,65398,134259,27809949.6997765009,-750833.2130779428
116,17,336132,65467,134485,27892049.5189693536,-562225.9176209496
116,18,337489,65216,135529,29339611.5448401219,-816510.0036526190
116,19,343275,65272,137031,30913943.7208025436,-868532.5372538711
116,20,361185,66528,140706,35687278.9979563704,-844982.8273473391
116,21,393965,68055,146804,41878216.0849746756,-700172.1031028797
116,22,437503,70150,153736,50690980.8364569631,-756185.1219720445
116,23,486083,70040,160131,62888323.5750153217,-1653436.2704419456
116,24,491545,65637,162079,67950083.4091414512,-1135614.4464355874
116,25,206509,40300,97285,29290790.5874014166,-821745.3094547638
116,26,5,4,4,104.3395947660,27.7142832162
2,0,61177,889,53386,387812.2815876948,-11220.5601219022
2,1,109440,10830,81476,7163259.4148653747,-71789.1923266438
2,2,273967,27853,153269,23216614.8831411527,-371860.4388623262
2,3,380738,42148,182137,31629453.8539943403,-223675.5718424069
2,4,429796,52525,190195,35992756.9474445008,-1127797.9599707920
2,5,472412,60850,195600,39148979.0250399423,-910417.9477015836
2,6,520521,67525,200357,42436060.0673413214,-984026.8305495031
2,7,570406,73017,205774,46068577.8157757667,-1047477.6718079322
2,8,636544,79018,211921,52542323.9465337394,-1595556.8239898475
2,9,730014,84905,220844,62518319.4470751597,-1752192.1389046351
2,10,841810,90179,230041,76974635.7340045880,-2629587.1926811881
2,11,943791,93375,237327,95289256.5224617057,-1613601.7701437214
2,12,971149,90966,240160,107054378.8237798409,-2514436.8716726022
2,13,415651,61554,158041,47233951.3002444637,-610569.1768404275
2,14,9,8,8,352.4823425526,-278.1198916578
2,15,3,3,2,1056.6125784859,-1041.4343313788
2,17,2,2,2,12.2298781372,7.2701218628
2,18,2,2,2,24.6484354730,23.4160136993
2,19,2,2,2,20.5030984140,-0.0220565067
2,20,4,2,1,89.4372182053,58.6976274599
2,21,1,1,1,7.7837164652,7.3945306419
2,22,3,2,2,43.3511493955,-2.8758237767
2,24,4,3,2,1152.6140858119,-90.1367883183
2,25,1,1,1,21.0061968281,19.9558869867
3,0,52890,801,47817,357527.8537970138,-5523.6145002680
3,1,90595,9976,69072,6879831.0673694279,-482421.1976672916
3,2,235048,24956,137823,21335125.0097012152,234002.2777579392
3,3,318988,37562,163256,28856067.0571584516,-987523.6759718935
3,4,369845,47342,173750,32942627.5072384085,-712816.1680956614
3,5,413239,55025,180528,35687614.5142306078,-435601.5089209655
3,6,456094,61496,186673,38744438.5970308023,-830774.3544383670
3,7,507626,67100,193434,42460849.8111543204,-63859.6654407508
3,8,570251,72421,200984,47628364.4207959723,-102507.6455733906
3,9,658710,78563,210638,58082418.6653441836,-815400.5492470649
3,10,759385,84403,220585,70407454.5753990843,-2567897.4851903913
3,11,855170,87509,228533,88634414.7851784956,-1607655.9845237928
3,12,875527,85451,231313,100054953.4933454914,-2066267.8026249467
3,13,375345,57165,149399,43496659.2274871636,201322.8388496770
3,14,4,4,4,61.8754187961,152.2826549582
31,0,35555,468,32730,191471.9472793679,-5978.4511714873
31,1,33175,6125,27965,2509196.3098353025,-266639.3892723872
31,2,90550,15477,62321,8781956.6181797618,18064.3368476634
31,3,123873,22748,77339,12247942.5077122561,102694.9294963352
31,4,138288,28048,82432,13391003.9562686878,-298597.6285019773
31,5,148686,31788,84987,14056641.6080625182,-536369.6955093690
31,6,157607,34640,86901,14106175.5798998375,89990.5522954054
31,7,163972,36671,88571,14453748.5664827525,-342874.4960722957
31,8,171395,38247,90466,14279539.3357605466,-431517.0287211149
31,9,176685,39269,91156,14641534.1271985667,-246939.8444131509
31,10,180456,40152,92490,14629563.7086469500,-209317.6929641481
31,11,182608,40530,92704,14848610.7043539002,-540647.9520226223
31,12,182010,40915,92286,15082862.8493429856,-167112.6758586097
31,13,181174,41436,92115,14352473.2516966286,-504473.6085162382
31,14,178524,41063,91490,14614920.1810041199,-361047.3240918679
31,15,175599,41465,91004,15196324.2839344997,-702005.7630366704
31,16,176082,41460,91136,15777062.8443407318,-496820.5249532610
31,17,174346,41330,91253,15573936.3404897475,-89719.3859633102
31,18,175624,41568,91751,15909387.0315060991,-484360.8253123022
31,19,178629,42144,93208,16548193.3905999597,-500778.3607996884
31,20,187683,43133,96579,19289986.2018608907,-619863.4195304342
31,21,204766,44775,102207,21741964.8545665238,272378.9652043666
31,22,228141,46519,109379,26774573.9776340305,-231660.8745572253
31,23,249171,46676,115018,31537836.1068820517,-903528.8396543898
31,24,249021,44122,116326,33355125.6156518010,-1571576.1732653502
31,25,103940,26579,61637,14292840.6528663310,-76269.9459668119
31,26,4,4,4,31.3808191978,-11.8808191978
32,0,33181,452,30402,181277.2199912837,-4847.8553579252
32,1,28428,5856,24083,2184923.9910100889,-7023.7797345340
32,2,80576,14729,57152,8357900.6604437710,-444353.5332584261
32,3,118401,21246,75511,11262735.9438991976,-743284.6552158255
32,4,132155,25847,80824,12312036.2335426097,-243906.5221503060
32,5,139731,29338,82182,13100639.2185314026,18991.6641068403
32,6,141830,32223,81378,12535384.3619748621,-395655.1319206500
32,7,149688,34224,83303,13067652.4337827961,-48629.8248612956
32,8,154701,35513,84468,12774369.2921244067,13536.4717056431
32,9,159705,36744,85887,13375730.4378494683,-537029.5150725060
32,10,164050,37027,86969,13471626.1751668462,31866.2779179524
32,11,165521,37834,87369,13194026.7106024962,-117587.4955528617
32,12,163950,38026,86402,13513950.8251013638,-428569.7045680385
32,13,164067,38240,86624,13615961.6036705783,-797920.4808481048
32,14,163034,38525,86031,13359193.4489906267,-383698.3417253204
32,15,163101,38372,86070,14329719.5681729783,-896135.7739874808
32,16,162288,38681,86102,14529381.9335940113,-407733.9931675992
32,17,162002,38791,86412,14254046.9752326235,-298123.2260291670
32,18,162143,38668,86708,15202938.7553095314,305172.0921112607
32,19,164856,39235,88218,15852450.7070221338,-565437.7615285820
32,20,173229,40204,91398,17756170.1193869203,-205841.5014812454
32,21,190478,42049,97392,20417257.2912218170,-196896.6405922452
32,22,211735,43339,104257,24742392.8599680136,306663.5572068809
32,23,232167,44123,110118,29483775.6092747530,-621869.1281972760
32,24,232615,41635,111039,30970919.2663839916,-141414.8663352475
32,25,96671,25028,58218,13062799.0020365666,-449354.7113142772
33,0,33555,451,30834,178817.6673745750,-15510.5945667081
33,1,28018,5643,23883,2102174.0587008763,29528.6503642493
33,2,76096,14054,54491,7165970.3234880527,-172658.3915622154
33,3,108820,20475,71070,10620975.1568216804,-354426.2008565337
33,4,122803,24943,76646,11575574.0642426428,-196693.4710185258
33,5,128256,28108,77343,12063787.9310513621,-210576.5343000670
33,6,130896,30503,77127,12353579.9834741560,-206991.5614669256
33,7,138319,32459,79233,12519985.0898980118,-150463.9052334819
33,8,143713,33950,80827,12573118.4553517977,-75538.6501513470
33,9,147406,34948,81642,12636016.9446455698,-411184.8215720379
33,10,150964,35291,82852,12521600.3576319978,-583644.2545026717
33,11,153065,35815,83051,12767384.7440476450,353884.4615780916
33,12,152594,36081,82933,12704066.1096198049,-171566.3743182508
33,13,151582,36363,82122,12896169.5978622894,-43653.1008773965
33,14,150693,36410,81895,12835039.9481918238,-326797.0589252084
33,15,149109,36468,81598,13127145.9519957835,-186712.7338053968
33,16,148816,36596,81524,13449588.8340649455,-285996.0505420759
33,17,148637,36691,81904,14425317.3361357347,-71024.1333661812
33,18,149865,37044,82450,13844476.1672691982,-288471.9131081321
33,19,151582,37314,83616,13988143.7510132274,-381835.2564015838
33,20,160490,38403,87410,16948244.5427151075,-127482.9585567730
33,21,176588,39923,93098,18682341.2376915641,-944404.0482761355
33,22,196244,41550,99911,22896432.3032804277,-613363.9299800060
33,23,214495,42182,105950,28118075.4851925460,-366327.4623689934
33,24,215575,39852,106848,29571904.6613875580,306543.5350287924
33,25,91120,23763,55895,11958280.5065486604,-240371.7079628009
33,26,2,2,2,132.7024485958,127.7024485958
35,0,34024,426,31343,181512.9186523524,-7633.0842107893
35,1,26687,5436,22985,1838480.0098841580,-288091.3140851513
35,2,67168,13296,49126,6981456.4386139016,98538.7103925727
35,3,94320,19454,62624,10015999.6365205590,-86681.4468715139
35,4,106069,23792,67074,11019114.3243976408,-446067.7559076734
35,5,114814,26686,70217,10915288.7267699212,-546677.4208460004
35,6,123232,29265,73226,11308034.5073317236,-163259.1779852205
35,7,130072,30948,75455,12097195.3954245723,-186308.6696918291
35,8,135544,32395,76888,11799539.8452950677,-443340.8322563807
35,9,138839,33112,77842,11803449.7362587527,-170248.0016329809
35,10,142324,33794,79627,12534304.6342201919,77250.3929734577
35,11,143662,34177,79596,12285386.4498857250,-86347.5323733082
35,12,142411,34547,79114,12543650.9387507972,-332829.4828703889
35,13,141730,34663,78529,12369995.5604880038,-766518.1334010700
35,14,141408,34886,78455,11943270.1362070980,-269436.3109848452
35,15,140415,34909,78368,12916525.5260684999,-312017.9805110808
35,16,139455,35026,78245,12438808.3043995757,-133862.6016640898
35,17,138361,35067,78269,12847643.8780751518,-456195.4736759914
35,18,139460,35371,78844,13188255.1978747828,-188468.4184750624
35,19,142578,35509,80241,14427394.2197063065,-396256.6566545858
35,20,149224,36638,83403,15459204.2204180850,-371686.5180280699
35,21,162875,37970,88588,19011092.3395880738,69062.1085753492
35,22,180910,39606,95575,22574608.2014712947,-1180343.1070512078
35,23,197809,40067,101237,26849775.1433570256,-525523.2546873880
35,24,198183,37933,102099,27239811.5880219303,-879834.9425940652
35,25,83202,22875,52583,11538073.0766200799,-649186.2215959837
36,0,33203,417,30592,175291.8779856096,-1175.8571392815
36,1,25599,5312,22038,2031808.5783631557,-10453.9739640029
36,2,64793,12879,47703,6396338.5383080810,-212807.7731702198
36,3,88567,18554,59475,8991000.1792063506,162861.5890725059
36,4,99043,22729,63859,10031729.2464882146,-330021.4591432408
36,5,107844,25478,66949,10161576.7006950480,-110162.4905880799
36,6,116174,27775,69603,10786737.5175593010,-235200.1931968842
36,7,123452,29706,72258,10874308.0540740786,-420034.1177583602
36,8,127899,30856,73511,10898147.4489535633,58383.7657332159
36,9,130686,31608,74602,11198554.9525722512,-222838.8409364327
36,10,135378,32214,76113,11410872.4004996233,-403847.9678988526
36,11,136073,32854,76130,11738052.5513570908,-645205.2713336508
36,12,134637,32804,75604,11881682.0755933231,-636913.1055820001
36,13,134261,32939,75644,11902402.3697631262,-651047.4949332223
36,14,133254,33178,74876,11132679.7727164322,-112394.1028386903
36,15,131905,33139,74381,11829051.4412755095,-395601.0919829934
36,16,132157,33621,75165,11860973.7742397013,-520119.2425079919
36,17,132251,33553,75199,12736253.2848231302,-148004.0589572069
36,18,134534,33662,76381,12216874.7125928086,-208287.9623761838
36,19,136609,34428,77544,13236275.0294756250,-364018.0153252736
36,20,142842,35014,80515,14720927.9595847556,3028.5124717990
36,21,156521,36625,85970,17679379.2463721455,-197910.9672563128
36,22,172898,38024,92121,20925599.2603265362,-638852.1571228253
36,23,190153,38489,98265,24047563.4025904962,-385230.7889320817
36,24,190512,36567,99176,26010017.6964002658,-657465.6123361859
36,25,80208,21887,50686,11063801.0611022870,-230042.6386566240
37,0,20198,331,18742,168064.7137662381,-39112.6063016597
37,1,19559,3704,15772,3348140.0865607985,-158342.6792795058
37,2,54431,8715,37062,8754747.9808740819,53458.0120483216
37,3,80586,12559,48785,11657837.3948587154,-338929.7747573899
37,4,95024,15025,53745,12669562.3856205186,-272802.3798553306
37,5,106543,17152,57016,13384561.0660857990,-438299.5431603821
37,6,113339,18493,58915,14025777.2087433590,-225309.6821178508
37,7,121388,19581,61245,14567551.9576414846,-430823.5552541954
37,8,126773,20726,62279,15370344.1794268421,-390024.6009458825
37,9,130627,21100,62870,15361022.9587816623,-570561.3726441041
37,10,135527,21874,64405,15990159.0385224257,-237050.0236960186
37,11,137619,21995,64834,16341228.1674542684,-539271.6188357273
37,12,138105,22157,64613,15311006.2669212048,-604262.0714976127
37,13,138895,22284,64849,15838079.4216566471,-355838.5107273407
37,14,140759,22488,65196,15828537.4230886086,-849187.5778449030
37,15,142615,22651,65417,15603831.6794504263,-219606.0446420969
37,16,144346,22854,66015,15279840.7455577123,-50016.5692189020
37,17,145556,22939,66537,15697594.0627278367,-688149.0718801819
37,18,148490,23195,67523,16384023.1820947039,-679168.1507173953
37,19,149638,23565,68159,17374253.8845427386,-303482.1741061375
37,20,157011,24470,70782,18621500.8151902362,-355543.6165752686
37,21,171897,25845,74334,20662098.2622350059,-229186.7367133306
37,22,191696,27111,78952,24413361.0036186667,-612438.0259599142
37,23,218876,28226,84500,29522456.3754780149,-107351.6714308630
37,24,224744,27229,86761,33882800.4479750959,-16644.2163109699
37,25,94291,16388,48774,14661895.7243869904,-534203.4225572393
37,26,1,1,1,0E-10,0E-10
5,0,54416,798,49037,353760.2256695451,-56102.6716346440
5,1,88713,9443,68827,6171156.1167755900,-29545.7329856457
5,2,217950,23570,131964,19633991.0594744821,-349020.1172853558
5,3,297285,35593,157679,25800104.2986662600,-145839.7336306464
5,4,343922,44926,167839,29585075.2090317460,-626596.5491730210
5,5,383370,52211,174410,32860866.5530603433,-768289.5710054297
5,6,425721,58079,181132,36049771.7939917868,-178416.7291699859
5,7,470972,63411,187256,38444083.7269450834,-1009243.7140766463
5,8,528815,68614,195838,43429744.0048605862,-832695.4364661403
5,9,609708,74220,205686,54091693.1960899912,-1713727.6234567109
5,10,703078,79911,216188,65849956.8700805089,-640701.8545341429
5,11,787357,83082,224372,82714894.1494499580,-575888.2816414788
5,12,799613,80624,227028,90174980.7589832008,-2088795.2238469137
5,13,341425,54355,143521,39346082.2730756082,-582728.6559706612
5,14,4,3,3,77.0727665437,-77.0727665437
6,0,50394,710,45800,351820.5277682658,12776.2223112640
6,1,75796,8965,59800,5833125.0901983038,-347811.3833578214
6,2,194669,22223,121367,18036533.5551411271,-178987.6688779895
6,3,266665,33277,145754,24892752.2564890281,-940083.1442820650
6,4,306570,42041,155236,27755739.0293885132,-792736.8243589124
6,5,341899,48651,162057,30400306.3635985752,-474829.2050329246
6,6,379196,54408,168403,33858164.4337490210,-550081.9474987011
6,7,420322,59540,175024,36043983.8572359106,-937212.2471019193
6,8,471597,64292,183105,40963970.1047404721,-1336911.7361340575
6,9,542912,69856,193251,48855483.5989370758,-493662.9256906584
6,10,625779,74982,203877,60247242.7363326772,-1275142.9763605798
6,11,703269,78169,212514,73994607.0454274265,-1229694.5928903442
6,12,716720,76151,215594,83612038.1235062447,-1592783.8096404841
6,13,308317,51081,134166,37665608.3886356467,-464414.1906970363
6,14,3,3,3,78.0018089932,22.2887765495
7,0,51704,732,46948,307866.5901529555,-19411.8663342379
7,1,74792,8815,58707,5177420.1448417756,-23877.3974251488
7,2,185465,21579,118123,16064748.7547589786,-84086.0682537644
7,3,256226,32286,143914,23236487.7007044380,-318623.8536484926
7,4,294660,40463,153080,26254493.1184278307,-455179.2905861265
7,5,326010,47003,159340,29039472.4130139759,-670075.7683505636
7,6,360156,52470,166184,30939135.1637127020,-191909.1265906046
7,7,397273,57369,172732,33836851.3590392096,-552287.6425143099
7,8,448648,62017,181624,38921068.1955236058,-733133.6717335127
7,9,514012,67377,191605,46868373.1868135265,-1616846.3075836091
7,10,593658,72120,203311,57380640.4186189678,-1553685.6575494328
7,11,664293,74913,211962,69446480.5144700610,-1189854.4156796282
7,12,674613,73376,215352,77949719.9576795525,-2009187.9968639217
