uid,n_shoes,n_orders,entry_pos_p50,exit_pos_p50,bet_density_p50,entry_round_avg
3774826,5504,19992,0.5319,0.8269,0.5,27.82
3798668,59,416,0.3469,0.4898,1.0,21.41
3813771,379,382,0.5417,0.5417,1.0,26.07
3823662,15,350,0.4667,0.6087,4.4,23.47
3824899,152,1550,0.3022,0.5313,1.0,18.74
3826395,22,1540,0.1489,0.3762,4.6102,6.86
3827808,131,609,0.4118,0.6136,0.8667,21.05
3829065,57,149,0.3774,0.6731,0.5,22.32
3829219,102,234,0.5521,0.5757,1.0,27.22
3832454,782,4014,0.3196,0.4255,1.0,18.49
3834480,261,1027,0.42,0.6522,0.8,22.73
3864026,174,692,0.3301,0.6598,0.5584,18.92
3896435,72,967,0.536,0.9579,1.0,27.18
3899655,32,155,0.5249,0.5568,1.0,25.94
3908923,696,1370,0.4717,0.6042,1.0,25.15
3908989,10,169,0.505,0.8755,1.0,24.5
3911196,109,2742,0.5882,0.8824,2.3143,29.1
3914124,86,131,0.549,0.5743,1.0,26.4
3926359,181,625,0.4706,0.5,1.0,25.29
3935714,936,2926,0.4286,0.66,0.7958,22.25
3949283,118,197,0.5,0.5685,1.0,26.61
3986890,21,196,0.5283,0.7347,1.0,29.14
3990578,183,393,0.4706,0.6981,1.0,24.03
3990900,123,520,0.587,0.7255,1.0,28.15
3995104,82,197,0.4186,0.6177,1.0,23.1
4006899,223,4253,0.5294,0.8,1.7778,24.81
4020175,43,656,0.1176,0.1923,1.0,8.28
4020367,81,131,0.2745,0.2941,1.0,15.52
4032317,16,131,0.4463,0.6113,0.9615,25.25
4058969,260,513,0.4808,0.6535,1.0,24.8
4072530,575,1225,0.48,0.6,1.0,25.0
4074477,721,3246,0.5,0.62,1.0,24.91
4101170,45,248,0.6667,0.8696,1.0,31.42
4101234,319,474,0.566,0.6471,1.0,28.97
4106324,532,1493,0.1442,0.2222,1.0,11.31
4180904,128,276,0.6288,0.6531,1.0,29.8
4215750,136,598,0.5625,0.6629,1.0,26.25
4215834,75,332,0.46,0.5625,1.1579,25.25
4216771,35,1131,0.3148,0.5472,3.0,20.71
4218122,2392,4493,0.5273,0.6327,1.0,26.82
4250451,1769,3996,0.5098,0.6444,1.0,26.37
4251460,171,320,0.4545,0.6538,1.0,25.01
4253248,31,326,0.5686,0.6875,1.7143,27.39
4331537,398,4859,0.3901,0.7234,1.0,20.59
4341682,34,162,0.6633,0.75,1.0,32.29
4342186,255,312,0.3333,0.4082,1.0,19.79
4345126,2956,6950,0.4894,0.6735,1.0,25.19
4363947,571,1386,0.26,0.3878,1.0,17.99
4380884,46,212,0.7367,0.8284,1.0,34.09
4390272,2951,5312,0.4727,0.6,1.0,24.44
4443618,48,218,0.3982,0.8446,0.2733,22.02
4501996,336,716,0.55,0.6105,1.0,25.63
4502110,193,1188,0.5385,0.6383,2.0,28.59
4502230,966,1945,0.6122,0.7273,1.0,29.49
4502324,40,111,0.6116,0.6607,1.0,28.5
4517510,1899,2084,0.5283,0.551,1.0,26.1
4559920,21,317,0.549,0.6364,1.125,26.14
4591646,49,112,0.4082,0.52,1.0,25.18
4600418,2047,19691,0.25,0.3673,1.4,14.26
4616813,39,561,0.34,0.5098,1.6667,20.38
4669171,51,605,0.3617,0.68,1.0,21.29
4697334,29,258,0.42,0.5962,1.0,22.83
4697803,19,125,0.2245,0.3333,1.0,13.26
4708799,734,2559,0.5,0.6766,1.0,25.9
4713785,706,1406,0.5859,0.6311,1.0,29.98
4714398,25,350,0.3922,0.6531,1.1538,24.12
4725699,506,8761,0.5102,1.0,1.0,25.99
4732661,26,447,0.4398,0.6633,1.9,21.58
4737157,89,304,0.3469,0.4074,1.0,19.2
4743506,30,222,0.5841,0.7011,1.0,29.37
4747423,63,117,0.6038,0.6304,1.0,28.9
4752382,1013,24982,0.3265,0.6154,2.0,17.87
4753707,26,235,0.4082,0.7387,0.9068,22.04
4757086,49,164,0.6222,0.6735,1.0,31.35
4759646,91,285,0.56,0.6304,1.0,28.07
4774102,108,3988,0.5217,0.6735,3.8661,25.87
4775580,8,181,0.4933,0.8225,1.0,23.5
4789427,32,278,0.4749,0.6077,1.0,23.59
4807204,598,753,0.4489,0.5,1.0,24.07
4815518,165,812,0.6596,0.78,1.0,30.98
4826061,2230,9334,0.5294,0.6531,1.0,26.54
4837129,455,1024,0.4894,0.5306,1.0,24.58
4859774,54,222,0.6851,0.7653,1.0,32.61
4859933,95,1110,0.6346,0.9149,1.0,31.32
4898835,271,885,0.3922,0.4348,1.0,19.61
4902247,76,1021,0.2246,0.5102,1.0,14.37
4921233,240,687,0.3148,0.4174,1.0,19.73
4956894,103,281,0.3913,0.4681,1.0,20.04
4976100,43,176,0.2807,0.3818,1.0,18.05
4981325,133,134,0.4615,0.4615,1.0,23.62
4986748,11,262,0.4792,0.549,2.3,25.18
4992187,280,559,0.5294,0.6567,1.0,27.09
4993034,117,3148,0.6275,0.75,5.4,29.33
5030780,261,4007,0.6889,1.0,1.5,33.54
5033780,19,113,0.56,0.7609,0.7222,27.95
5040776,32,249,0.3846,0.5866,1.0,22.66
5053333,404,882,0.5204,0.7129,1.0,26.59
5055759,52,437,0.3787,0.5798,1.0,22.13
5057430,120,3924,0.0208,1.0,1.0,9.62
5062485,11,197,0.1087,0.6304,1.0,12.0
5076920,162,500,0.57,0.6969,1.0,27.83
5087052,156,313,0.6899,0.7698,1.0,33.28
5093110,148,1281,0.4343,0.5213,2.0,22.7
5101455,468,1591,0.5204,0.64,1.0,26.59
5102585,124,485,0.55,0.6078,1.3333,25.38
5109161,110,207,0.4369,0.5296,1.0,24.64
5113519,183,1420,0.0893,0.1667,1.75,6.03
5116018,430,2931,0.3131,0.6526,1.0,18.38
5116572,90,1807,0.606,0.8367,2.0,28.58
5140222,46,408,0.5237,0.5844,3.0,27.37
5147036,906,2066,0.4854,0.6296,1.0,24.81
5167143,103,1118,0.5625,0.6939,1.3846,27.85
5182499,212,9079,0.3715,0.76,2.7321,20.62
5227642,286,428,0.6042,0.6391,1.0,29.47
5276469,770,4619,0.5306,0.6373,2.0,26.32
5276632,30,589,0.6515,0.8103,1.875,29.07
5289687,479,3545,0.6792,0.8333,1.0,32.22
5308446,36,176,0.5208,0.6771,1.0,27.64
5328225,19,104,0.5957,0.6383,1.0,29.0
5328575,1510,4686,0.5532,0.6939,1.0,27.32
5344682,85,182,0.4694,0.4808,1.0,25.61
5351099,50,504,0.4596,0.6225,1.0,20.92
5353535,17,258,0.193,0.32,2.0,9.12
5364172,7,396,0.6346,0.7451,6.0,30.29
5383143,2581,6151,0.4694,0.6731,1.0,24.62
5388004,33,302,0.5833,0.7045,1.0,24.88
5390194,79,287,0.5319,0.6458,1.0,25.18
5394766,350,1071,0.4681,0.6288,1.0,24.2
5396958,60,110,0.4183,0.5051,1.0,22.32
5408466,14,246,0.2737,0.6156,1.0,16.5
5411296,21,156,0.58,0.62,2.0,27.48
5424770,20,237,0.2022,0.5,0.8931,13.85
5437679,74,298,0.7113,0.8,1.0,34.14
5458116,132,1584,0.4124,0.5,2.0,21.9
5458309,184,2194,0.4537,0.5979,2.6905,22.91
5465491,308,2424,0.4074,0.7021,0.9,22.18
5472645,152,246,0.5959,0.6391,1.0,28.96
5484612,752,2043,0.3958,0.7447,0.4444,21.72
5487658,239,9950,0.3265,0.7143,2.0909,17.41
5492827,74,1316,0.3608,0.6424,2.0,20.05
5499178,336,6194,0.4286,0.7473,1.75,22.9
5501762,14,671,0.1809,0.486,3.1466,10.5
5512859,1620,6462,0.4706,0.6667,1.0,24.84
5515550,16,596,0.4545,0.6105,3.8661,25.19
5533709,105,158,0.5556,0.6538,1.0,28.94
5536978,44,120,0.306,0.4286,1.0,19.23
5547833,191,544,0.1429,0.2449,1.0,11.62
5557426,69,137,0.5217,0.7273,1.0,28.45
5563924,62,112,0.6491,0.677,1.0,30.6
5580084,656,2128,0.2609,0.4563,1.0,17.36
5598324,178,1301,0.375,0.7031,0.8,20.78
5606781,475,1217,0.5,0.5957,1.0,24.29
5606953,142,657,0.5455,0.6563,1.1667,25.61
5620908,519,1488,0.4043,0.62,0.6,21.43
5636252,802,20550,0.4886,0.9375,1.9314,23.56
5648004,4553,9625,0.46,0.6538,1.0,23.96
5680217,187,854,0.617,0.75,1.0,29.82
5692616,547,1751,0.6522,0.7347,1.0,30.68
5698676,12,410,0.8652,1.0,4.0,41.25
5715992,292,1950,0.4234,0.5051,2.0,22.86
5724141,102,149,0.3675,0.3764,1.0,18.29
5730387,799,1671,0.463,0.6038,1.0,24.63
5731926,160,1302,0.4412,0.7347,1.0,22.78
5732159,251,3403,0.3469,0.72,1.0,20.04
5732163,809,7393,0.6154,0.9091,1.0,30.28
5733505,9,103,0.4902,0.4902,4.0,24.22
5734344,45,252,0.5098,0.6792,1.0,26.0
5743326,303,1077,0.58,0.76,2.0,30.52
5748084,296,2327,0.2627,0.6105,0.9077,17.09
5750804,149,371,0.5208,0.5714,1.0,25.19
5753030,2225,5026,0.3878,0.4898,1.0,21.06
5762770,5,123,0.3846,0.58,2.1875,22.2
5765330,23,167,0.4528,0.5833,1.0,23.13
5782598,24,104,0.3684,0.5042,0.6667,19.21
5785362,703,3308,0.2321,0.3922,1.0,13.81
5787328,61,324,0.6667,0.7059,2.0,31.92
5788231,397,12224,0.6471,0.96,3.0,30.69
5788502,333,1505,0.2041,0.5918,1.0,18.34
5789535,1099,4041,0.2444,0.5306,0.8,16.82
5793560,81,244,0.3958,0.4667,1.0,22.48
5797970,792,1977,0.5294,0.6311,1.0,26.67
5798334,81,3541,0.4906,0.9302,2.8462,25.32
5799454,136,256,0.5896,0.6153,1.0,28.68
5799615,72,266,0.4218,0.5251,1.0,22.65
5802057,94,423,0.5544,0.6252,1.0,27.38
5802067,149,1135,0.62,0.7692,1.0,28.95
5809163,144,568,0.4129,0.5155,1.0,22.85
5810738,20,113,0.5,0.5153,1.0,23.3
5820225,572,4309,0.451,0.54,1.2,24.71
5823154,2061,2780,0.4423,0.5106,1.0,23.65
5824952,1159,3601,0.4423,0.6667,1.0,23.25
5825945,468,1620,0.3204,0.4,1.0,18.17
5826794,294,427,0.4271,0.5104,1.0,22.24
5827552,315,1064,0.4255,0.7347,0.75,22.4
5829383,669,15137,0.7255,0.8727,3.375,35.88
5832590,125,8086,0.4902,0.8261,4.0,23.49
5837371,750,6960,0.4787,0.68,2.0,24.91
5843966,8,171,0.6176,0.9191,1.3765,31.75
5845346,161,237,0.38,0.4043,1.0,21.52
5847566,118,1149,0.6345,0.7449,2.0,30.81
5849761,102,2091,0.4693,0.8156,1.7574,24.88
5852326,53,1040,0.5472,0.86,1.6429,25.51
5853299,16,139,0.3004,0.3795,1.5,19.88
5854340,3,152,0.52,0.6981,1.8,22.67
5859012,77,887,0.6154,0.9,1.1818,30.9
5860586,1117,4729,0.4792,0.6078,1.0,24.49
5861445,580,1508,0.7547,0.8431,1.0,36.94
5869752,156,324,0.1313,0.2022,1.0,12.18
5880266,11,175,0.3077,0.7544,1.0,20.82
5881605,62,2075,0.3542,0.8084,1.7181,19.32
5883259,5300,12908,0.34,0.4565,1.0,19.37
5884139,114,216,0.5004,0.5834,1.0,26.48
5884781,53,122,0.2917,0.3333,1.0,17.19
5884937,46,603,0.0638,0.3725,1.0,4.54
5892712,134,370,0.4862,0.5745,1.0,25.42
5894590,603,1333,0.5306,0.5882,1.0,26.12
5900090,146,352,0.4021,0.4662,1.0,21.95
5905786,187,1985,0.5319,0.902,0.9524,26.91
5914921,131,549,0.3617,0.4375,1.0,20.45
5916510,64,332,0.2997,0.4898,1.0,20.97
5916585,93,174,0.4808,0.58,1.0,26.61
5929741,41,151,0.7308,0.875,1.0,35.59
5933725,15,170,0.3137,0.4167,3.0,17.6
5939332,90,130,0.5377,0.5377,1.0,27.24
5942359,43,382,0.4889,0.6154,1.4,24.37
5942483,304,1288,0.3862,0.6563,0.8889,21.51
5945294,180,382,0.4043,0.4211,1.0,22.3
5946154,285,353,0.5769,0.6,1.0,27.22
5950125,2870,8016,0.4808,0.7048,1.0,25.24
5950467,2782,6231,0.4681,0.6087,1.0,24.41
5953004,9,112,0.587,0.7778,1.0,28.78
5966507,26,563,0.5904,0.7217,2.1333,29.23
5967629,9030,16625,0.5417,0.74,1.0,28.12
5973753,799,945,0.4783,0.5,1.0,24.74
5989509,568,1616,0.5294,0.6565,1.0,26.99
5994845,24,185,0.6926,0.7478,1.0,31.58
6000209,36,177,0.3566,0.4747,1.0,19.72
6007127,70,197,0.643,0.7473,1.0,30.04
6013005,226,4864,0.6496,0.8823,2.1484,30.77
6019845,29,195,0.6667,0.8039,1.0,32.86
6034848,93,593,0.4348,0.58,1.0,23.74
6035811,57,400,0.5102,0.6078,1.0,27.74
6037804,25,147,0.58,0.7736,1.0,27.16
6041591,58,142,0.408,0.4422,1.0,24.5
6044328,1283,3360,0.4468,0.7059,1.0,24.25
6047343,312,2891,0.4953,0.643,1.0,25.58
6051638,57,264,0.56,0.6667,1.0,27.33
6054792,48,215,0.5911,0.6764,1.0,28.85
6064082,8,107,0.4167,0.8013,0.873,21.25
6069248,200,387,0.5835,0.6304,1.0,27.78
6073471,60,2670,0.2476,0.3711,5.8452,12.17
6074159,3033,7203,0.5,0.5714,1.0,24.71
6085711,35,101,0.38,0.4694,1.0,23.29
6089756,137,332,0.5098,0.6939,1.0,26.74
6089822,58,162,0.52,0.6493,1.0,25.95
6092882,67,383,0.3469,0.4118,2.0,19.69
6094783,25,116,0.4583,0.4792,1.5,24.84
6099271,224,781,0.5,0.5436,1.0,26.41
6104426,209,2272,0.5294,0.7234,1.0,26.85
6110073,43,122,0.25,0.2653,1.0,16.74
6110568,9,106,0.2979,0.6522,1.0,16.44
6115166,132,381,0.5333,0.6217,1.0,27.95
6116876,172,503,0.5208,0.6563,1.0,24.84
6127020,199,1235,0.38,0.5098,1.0,20.07
6157767,54,176,0.6252,0.7369,1.0,28.11
6158343,97,1098,0.566,0.8511,1.0,26.14
6161682,467,855,0.5208,0.7292,1.0,25.85
6162055,816,4736,0.48,0.6262,1.0,24.7
6171528,4,129,0.2833,0.4053,4.25,14.25
6183921,88,276,0.5565,0.6314,1.0,27.52
6186355,32,164,0.557,0.7254,1.0,29.0
6191921,677,4554,0.5417,0.6122,1.0,26.04
6209134,452,706,0.5444,0.5833,1.0,26.36
6215609,43,344,0.2241,0.383,1.0,12.72
6252595,31,203,0.2453,0.4444,1.0,13.77
6253924,313,2222,0.1915,0.4118,1.0,14.37
6255961,20883,83047,0.3668,0.7547,0.4162,21.38
6257686,295,846,0.5098,0.7,1.0,26.15
6270374,2363,8521,0.3725,0.4894,1.0,19.98
6275950,31,245,0.2766,0.4906,0.9231,18.74
6276202,64,1263,0.6243,0.7732,2.6304,28.16
6312901,786,5675,0.6222,0.8571,0.875,31.41
6316922,138,226,0.1919,0.2918,1.0,13.41
6319872,232,585,0.4286,0.4687,1.0,23.33
6324676,223,508,0.5882,0.6304,1.0,27.99
6325957,647,3603,0.4615,0.5745,1.0,25.91
6332739,154,245,0.4951,0.5607,1.0,25.45
6339628,47,970,0.75,0.8627,3.0,31.66
6363208,158,388,0.4467,0.6464,1.0,24.24
6374933,572,1439,0.3131,0.4078,1.0,19.11
6378967,264,833,0.5938,0.6535,1.0,29.6
6386679,167,631,0.2632,0.7234,0.4286,18.66
6387522,12,125,0.622,0.9699,0.9833,28.42
6395506,571,1423,0.3958,0.6275,0.8,22.31
6400203,12,116,0.4798,0.7521,0.963,23.17
6404006,14,720,0.3713,0.7549,2.4533,19.93
6410939,199,1364,0.5472,0.7308,1.0,26.72
6412653,236,8758,0.3394,0.5359,5.0,19.88
6421039,284,1499,0.4375,0.5251,1.0,22.35
6428922,849,1488,0.4894,0.6087,1.0,24.97
6453613,22,102,0.2836,0.3786,1.0,17.36
6472498,17,127,0.5652,0.6923,1.0,27.94
6473090,142,617,0.5508,0.684,1.0,27.23
6481598,14,116,0.5407,0.5879,2.0,27.79
6529161,95,392,0.5306,0.7045,1.0,26.59
6532134,648,1426,0.5523,0.6176,1.0,26.86
6555603,364,2964,0.4167,0.66,0.7673,21.47
6581583,872,1805,0.52,0.6336,1.0,26.22
6589414,781,1452,0.6275,0.7333,1.0,31.42
6594911,1792,6903,0.6346,0.6869,1.5,31.64
6597783,179,841,0.5192,0.7115,1.0,27.37
6601503,60,215,0.4087,0.5914,1.0,23.45
6610639,1294,4813,0.2128,0.5532,0.7143,16.16
6612981,165,1471,0.1875,0.3846,0.8182,10.25
6637260,265,1197,0.4468,0.6538,1.0,22.66
6637744,1875,6022,0.4255,0.6122,1.0,23.33
6667752,27,118,0.551,0.6471,1.0,28.74
6679654,354,987,0.3125,0.4,1.0,19.19
6688969,502,1258,0.4444,0.5817,1.0,23.11
6692185,307,8819,0.3922,0.7021,2.3077,19.92
6709037,138,377,0.4721,0.5643,1.0,24.52
6717896,968,2269,0.4255,0.5213,1.0,23.09
6734064,75,240,0.46,0.6154,1.0,23.03
6757963,75,135,0.5,0.5849,1.0,25.2
6761025,30,111,0.4421,0.5093,1.0,20.67
6764832,582,1068,0.5957,0.7011,1.0,30.12
6784255,126,1612,0.1937,0.5895,0.9758,14.4
6786988,110,896,0.6735,0.9608,0.7143,32.43
6795629,4,123,0.4071,0.5751,2.8583,20.25
6806541,70,186,0.567,0.6311,1.0,28.47
6817116,152,384,0.5408,0.5644,1.0,27.0
6884217,67,318,0.3585,0.4706,1.0,20.3
6915448,17,282,0.6957,1.0,1.0,31.65
6937003,60,196,0.2662,0.2918,1.0,15.22
6946571,102,160,0.5414,0.6931,1.0,26.18
6952366,831,1805,0.5185,0.6596,1.0,26.5
6964193,9,212,0.5283,0.5686,3.6667,23.89
6980715,431,2242,0.32,0.5208,0.8,18.6
6981313,14,130,0.2633,0.35,1.0,13.07
6994514,256,573,0.1562,0.2708,1.0,9.91
7027840,530,1008,0.4898,0.625,1.0,25.89
7035408,121,1475,0.3148,0.4255,1.4667,17.74
7040132,16,186,0.6749,0.8811,1.1125,34.75
7048632,377,385,0.551,0.5556,1.0,26.7
7048706,107,107,0.549,0.549,1.0,26.3
7050114,405,692,0.4898,0.5918,1.0,24.53
7050843,84,620,0.5639,0.612,2.3333,29.8
7051400,90,145,0.5483,0.5885,1.0,27.72
7057105,4,159,0.3873,0.6861,1.6071,18.25
7059117,94,191,0.4813,0.5313,1.0,24.53
7061849,104,970,0.24,0.4343,1.0,15.31
7063878,108,217,0.4344,0.5114,1.0,23.05
7066016,86,272,0.5698,0.6265,1.0,28.97
7066162,26,239,0.5689,0.7911,1.0,27.65
7067784,758,2012,0.3469,0.4681,1.0,20.21
7072768,122,411,0.5521,0.5979,1.6667,27.98
7076751,73,1008,0.38,0.5,1.8571,21.67
7076927,263,697,0.4902,0.5636,1.0,24.55
7079277,8036,18819,0.4375,0.6667,1.0,23.3
7085710,85,756,0.5294,0.6596,1.1,28.18
7098982,145,358,0.2708,0.375,1.0,16.81
7107627,463,1525,0.4118,0.5476,1.0,21.71
7114903,52,390,0.4674,0.5766,1.0,25.31
7121799,58,156,0.5601,0.5962,2.0,28.43
7126278,42,281,0.1458,0.3675,1.0,12.95
7150205,237,465,0.4889,0.5918,1.0,24.86
7160448,19,134,0.52,0.6538,1.0,27.63
7163064,80,1911,0.2113,0.2999,6.2188,13.41
7195062,20,101,0.6925,0.7491,1.5833,31.05
7196771,699,2040,0.5294,0.617,2.0,26.71
7199670,71,213,0.3273,0.3913,1.0,19.04
7207783,78,323,0.5542,0.6667,1.0,27.71
7212510,122,282,0.6315,0.68,1.0,31.3
7212821,513,1170,0.6923,0.7556,1.0,33.34
7221725,117,341,0.386,0.4808,1.0,21.77
7237594,129,686,0.3125,0.375,1.25,19.6
7244385,85,141,0.4043,0.5833,1.0,23.82
7297592,782,1358,0.4904,0.6391,1.0,25.39
7302028,382,611,0.5051,0.549,1.0,23.85
7303283,7,123,0.5333,0.6735,1.6923,22.86
7311353,93,579,0.5745,0.6415,1.0,26.81
7312854,56,516,0.4181,0.57,1.1183,22.63
7315301,182,460,0.3609,0.4241,1.0,21.15
7322386,148,302,0.4733,0.5809,1.0,24.08
7337445,412,2131,0.59,0.7347,1.0,29.17
7354522,54,182,0.4848,0.564,1.0,24.85
7356474,24,146,0.7374,0.7474,1.0,32.63
7361877,301,847,0.6,0.6731,1.0,29.98
7366652,35,196,0.5918,0.7451,1.0,27.57
7378611,47,400,0.4423,0.6923,1.0,23.79
7391140,138,1462,0.5352,0.704,1.0714,26.3
7404737,356,1145,0.5816,0.6906,1.0,28.65
7405833,29,285,0.54,0.7292,1.0,26.41
7416995,61,155,0.4792,0.52,1.0,22.98
7433521,189,379,0.56,0.6383,1.0,28.7
7439015,118,488,0.6307,0.7901,1.0,32.35
7441469,25,152,0.2642,0.3913,1.0,16.16
7461216,7,412,0.6122,1.0,3.9545,34.29
7462908,12509,30405,0.3725,0.6735,0.75,21.58
7479184,347,8701,0.5,0.7083,2.0769,24.8
7506504,160,380,0.6104,0.6629,1.0,29.48
7558483,26,227,0.2527,0.4687,1.0,16.0
7593527,566,1421,0.4583,0.5148,1.0,23.94
7604023,843,2677,0.4681,0.7174,1.0,24.32
7604054,60,165,0.1856,0.2396,1.0,9.65
7652964,3641,19499,0.3333,0.5306,1.0,20.13
7672136,27,178,0.5319,0.6327,1.0,24.56
7697855,16312,61570,0.4583,0.5833,1.0,24.95
7701880,80,175,0.3061,0.3301,1.0,18.02
7721141,502,2208,0.5625,0.7011,1.0,27.46
7731625,35,461,0.3529,0.5,1.0,18.63
7745202,4360,40154,0.383,0.5385,2.0,22.62
7753096,75,457,0.5556,0.7115,1.0,27.93
7759673,533,1269,0.2745,0.4667,1.0,17.37
7769131,170,1423,0.4534,0.6972,1.0,23.38
7771482,512,1528,0.6042,0.6701,1.0,29.46
7781597,9,100,0.4375,0.5319,1.8125,23.33
7794351,78,2200,0.3169,0.6363,3.0,19.47
7805330,46,466,0.6737,0.9223,0.8708,34.26
7830560,1699,2184,0.551,0.6471,1.0,28.39
7837563,109,1213,0.4706,0.7059,1.0,24.83
7842300,104,645,0.4945,0.7429,1.0,25.04
7846363,5697,27485,0.4082,0.7391,0.7143,22.36
7848870,189,388,0.5,0.5686,1.0,26.13
7849681,366,878,0.5,0.6373,1.0,25.72
7850444,637,5513,0.28,0.7451,0.7222,17.67
7859513,220,500,0.4592,0.5,1.0,22.02
7865925,266,744,0.6225,0.6804,1.0,29.79
7872469,29,191,0.3061,0.5208,0.7222,16.52
7873855,188,2369,0.3021,0.4815,1.1548,18.26
7875818,162,192,0.4086,0.4168,1.0,22.46
7883334,126,590,0.5,0.5444,2.0,25.4
7932829,960,2781,0.2653,0.381,1.0,15.89
7948166,6424,9860,0.5192,0.6327,1.0,26.26
7980324,618,2993,0.0957,0.375,0.3297,6.03
7997768,199,474,0.449,0.4894,1.0,22.52
8001969,39,171,0.6,0.64,1.0,28.59
8004058,48,100,0.4279,0.6772,1.0,24.63
8014307,17,111,0.4706,0.7843,1.0,27.71
8024360,208,4169,0.3,0.8041,0.8775,17.78
8024372,553,775,0.5098,0.5532,1.0,26.2
8040918,348,2052,0.5772,0.683,1.125,29.2
8140717,78,136,0.5317,0.6068,1.0,28.58
8174492,60,220,0.38,0.55,1.0,21.45
8204612,662,1067,0.566,0.6889,1.0,26.64
8232784,433,1533,0.4694,0.566,1.0,24.45
8267835,12,125,0.7371,0.9005,1.3864,31.17
8296869,512,4857,0.5047,0.8333,1.0,25.19
8350735,1201,2207,0.5682,0.6429,1.0,28.72
8354334,166,259,0.5093,0.52,1.0,27.49
8367869,91,216,0.3878,0.58,1.0,21.3
8417419,15,244,0.4694,0.7143,0.9744,18.67
8441185,107,648,0.3191,0.5306,0.7143,16.73
8443092,1302,5443,0.5091,0.72,1.0,26.05
8482904,18,677,0.2244,0.7049,3.0,17.83
8512453,22,149,0.3308,0.5951,3.3333,22.0
8564030,345,812,0.75,0.7885,1.0,37.26
8577817,67,4976,0.3654,0.6809,5.9,18.96
8581979,87,166,0.5,0.6444,1.0,25.62
8623748,324,857,0.6596,0.7308,1.0,32.01
8757184,204,902,0.4369,0.6399,1.0,23.04
8765586,2100,3491,0.4167,0.5306,1.0,22.37
8788462,7255,15633,0.4773,0.7021,1.0,24.47
8837928,1936,25088,0.4038,0.7609,1.0,22.39
8841165,119,756,0.6078,0.7021,1.0,28.0
8877478,15,121,0.4706,0.6042,3.0,24.53
8883388,38,180,0.5859,0.6451,1.0714,27.58
8884424,850,7099,0.3609,0.75,0.8571,20.06
8885088,57,127,0.4889,0.6471,1.0,28.51
8897704,476,8898,0.6327,0.95,1.2857,30.21
9086850,173,694,0.463,0.6304,1.0,24.75
9092229,623,783,0.5833,0.6222,1.0,28.02
9151294,72,147,0.5743,0.6311,1.0,27.75
9580398,106,824,0.5264,0.5789,1.0,25.85
9649529,14,124,0.352,0.603,1.0,23.43
9728620,94,248,0.3976,0.5102,1.0,22.53
9734551,24,109,0.6635,0.7345,2.0,32.21
9903447,255,1347,0.5185,0.5918,1.0,26.4
9943383,476,1725,0.4792,0.5851,1.0,24.49
10001802,15,111,0.3725,0.7018,0.8182,21.6
