member_id,bet_month,zero_kind,vb_sum_state,n_orders,n_rounds_month,n_days_month,n_tables_month,n_vb_null,n_vb_blank,n_vb_true_zero,n_vb_positive,vb_null_share,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_order_nocomm,n_hedge_rounds,n_hedge_eq,n_zero_pnl_rounds,hedge_eq_share,verdict_hint
149367984,2026-04-01,游戏输赢为零,有值,3,3,1,2,0,0,1,2,0E-7,4.2164737630,6.3247106445,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149368078,2026-04-01,游戏输赢为零,有值,4,4,1,2,0,0,0,4,0E-7,10.4703819072,10.4703819072,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149368977,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,26.1759547680,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149369214,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,2.9515316341,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149369380,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,4.2164737630,4.2164737630,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149369721,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,42.1647376299,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149371999,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,52.1509003165,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149372274,2026-05-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,5.1891409442,5.1891409442,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149372295,2026-04-01,游戏输赢为零,有值,40,40,1,4,0,0,3,37,0E-7,639.8616515352,693.9040207527,0E-10,0E-10,40,0,0,3,0E-7,两者皆低·判UNKNOWN
149373008,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,10.3782886202,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149373355,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,5.1891443102,5.1891443102,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149373562,2026-05-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,43.6452513966,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149373601,2026-07-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,4.0878060744,4.0878060744,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149374465,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,10.0000000000,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
