首行,末行,段号,导出,交付件,涉表,触注单主表,含聚合,豁免候选,剔测试线_age022,版本去重_rn1,一般注单_category,非重对_bet38,会员号_gt0,汇率_gt0,荷官哨兵_eid,空串归NULL,显式转型_CAST,零除守卫,百家乐_101,窗口谓词_dt,裁定,优先级
935,936,PIT-01,不需要,,ods_a168_bet02,是,是,一览/占比,,,,,,,,,,,✓,✓,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
944,947,PIT-01,不需要,,ods_a168_bet02,是,是,一览/占比,,,,,,,,,,,✓,✓,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
955,1005,?,不需要,,ods_a168_agent、ods_a168_bet02,是,是,一览/占比,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
1013,1014,?,不需要,,ods_a168_bet02,是,是,,,,,,,,,,,,✓,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P1 屏幕核验
1022,1030,?,不需要,,ods_a168_bet02、ods_a168_game_log,是,是,,,,,,,,,✓,,,✓,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P1 屏幕核验
1039,1047,?,需要,T_table_span.csv,ods_a168_game_info,否,是,,,,,,,,,,,,✓,✓,旁路·未触注单主表,—
1055,1055,?,不需要,,ods_a168_agent,否,是,,✓,,,,,,,,,,,,旁路·未触注单主表,—
1064,1068,?,需要,L_label_dist.csv,ods_a168_dailyreport_member,否,是,,,,,,,,,,,,,,旁路·未触注单主表,—
1081,1084,?,需要,R_rebate_dist.csv,ods_a168_member_dtl,否,是,,,,,,,,,,,,,,旁路·未触注单主表,—
1098,1168,A-06M,需要,V_recon.csv,ods_a168_agent、ods_a168_bet02、ods_a168_game_info,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
1181,1246,C-00,需要,I_ip_player.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
1255,1315,C-01,需要,C01_ip_chain.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
1351,1412,C-08,需要,C08_subnet_all.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
1421,1482,?,需要,C08_subnet_sparse.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
1490,1497,?,不需要,,ods_a168_bet02,是,是,,,,,,,,,,,,✓,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P1 屏幕核验
1506,1574,D-05,需要,S_second_dist.csv,ods_a168_agent、ods_a168_bet02、ods_a168_game_info,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
1583,1654,D-03S,需要,D03S_daily_roi_diff.csv,ods_a168_agent、ods_a168_bet02、ods_a168_game_info,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
1667,1763,D-06,需要,S_player_tail.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
1772,1894,S-01,需要,S01_player_score.csv,ods_a168_agent、ods_a168_bet02、ods_a168_dailyreport_member,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✅ 合规,—
1913,2032,S-02,需要,S02_dealer_score.csv,ods_a168_agent、ods_a168_bet02、ods_a168_game_info,是,是,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✅ 合规,—
2041,2140,S-03,需要,S03_agent_score.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
2166,2170,S-04,不需要,,ods_a168_alert_ip_setting,否,是,,,,,,,,,✓,,,,,旁路·未触注单主表,—
2179,2243,S-05,需要,S05_member_month_panel.csv,ods_a168_agent、ods_a168_bet02、ods_a168_dailyreport_member,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
2260,2333,C-02,需要,I_ip_agg.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
2341,2413,X-01,需要,X_combo.csv,ods_a168_agent、ods_a168_bet02、ods_a168_game_info,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
2421,2477,P-01,需要,P_player_month.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
2485,2547,B-01,需要,B_online_base.csv,ods_a168_agent、ods_a168_bet02、ods_a168_game_info,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
2555,2565,A-01,需要,A_anchor.csv,ods_a168_alert_ip_setting、ods_a168_bet02,是,是,,,,,,,,,✓,,,✓,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P0 交付件
2573,2585,V-01,需要,V_ipmatch.csv,ods_a168_bet02、ods_a168_game_log,是,是,,,,,,,,,✓,,,✓,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P0 交付件
2610,2680,V-01,不需要,,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
2696,2736,?,不需要,,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
2745,2790,?,不需要,,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
2848,2858,?,不需要,,ods_a168_bet02,是,是,一览/占比,,,✓,✓,,,,,,,✓,✓,豁免·一览/占比（缺 剔测试线、版本去重）,—
2956,2962,DX-03,不需要,,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
2986,3062,R01,需要,R01_late_shoe.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✅ 合规,—
3108,3127,R02,不需要,,ods_a168_bet02,是,是,,,,✓,✓,✓,,,✓,✓,,✓,✓,⛔ 缺闸：剔测试线、版本去重,P1 屏幕核验
3132,3204,?,需要,R02_same_table.csv,ods_a168_bet02,是,是,,,,✓,✓,✓,,,✓,✓,✓,✓,✓,⛔ 缺闸：剔测试线、版本去重,P0 交付件
3225,3234,R02-1,不需要,,ods_a168_bet02,是,是,一览/占比,,,✓,✓,✓,,,✓,✓,,✓,✓,豁免·一览/占比（缺 剔测试线、版本去重）,—
3341,3472,?,需要,R03_player_dealer.csv,ods_a168_bet02,是,是,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,⛔ 缺闸：剔测试线,P0 交付件
3523,3562,?,需要,R03chk_settlement_form.csv,ods_a168_bet02,是,是,,,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,⛔ 缺闸：剔测试线,P0 交付件
3584,3635,?,需要,R03inv_pair_census.csv,ods_a168_bet02,是,是,,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,⛔ 缺闸：剔测试线,P0 交付件
3658,3743,RC-00,不需要,,ods_a168_bet02,是,是,一览/占比,,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,豁免·一览/占比（缺 剔测试线）,—
3769,3806,BZ-00,不需要,,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
3827,3833,TL-13b,不需要,,ods_a168_bet_limit_default,否,是,一览/占比,,,,,,,,✓,✓,,,,旁路·未触注单主表,—
3852,3869,BZ-01,不需要,,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
3897,3919,TL-14,需要,TL14_limit_treatment.csv,ods_a168_bet_limit_default、ods_a168_log_mem_change,否,是,,,,,,,,,✓,✓,,,✓,旁路·未触注单主表,—
3922,3975,TL-14,需要,TL14_limit_treatment.csv,ods_a168_bet02,是,是,,,,,,,,,,✓,,,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P0 交付件
3985,4029,T02,需要,T02_daily_roi.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
4043,4114,T03,需要,T03_arbitrage.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
4153,4231,B01,需要,B01_bt_panel.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
4245,4323,?,需要,B01_bt_panel_delta.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
4338,4430,K01,需要,K01_risk_feature_matrix.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
4457,4464,K01b,需要,K01b_seed_manual.csv,ods_a168_dailyreport_member,否,否,,,,,,✓,,,✓,✓,,✓,✓,旁路·未触注单主表,—
4470,4472,K01b,不需要,,ods_a168_alert_ip_setting,否,否,一览/占比,,,,,,,,,,,,,旁路·未触注单主表,—
4476,4482,K01b,需要,K01b_seed_goldip.csv,ods_a168_alert_ip_setting、ods_a168_bet02,是,否,,,,✓,✓,,,,,,,✓,✓,免检·非聚合,—
4546,4636,E02c,需要,E02_segment_econ.csv,ods_a168_dailyreport_member,否,是,,,,✓,,✓,✓,,✓,✓,✓,✓,✓,旁路·未触注单主表,—
4653,4725,?,需要,C06_hedge_pairs.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,✓,✓,✓,✅ 合规,—
4750,4756,?,不需要,,ods_a168_bet02,是,是,,,,✓,✓,,,,✓,✓,,✓,✓,⛔ 缺闸：剔测试线、版本去重,P1 屏幕核验
4789,4793,TG-03,不需要,,ods_a168_alert_ip_setting,否,否,,,,,,,,,,✓,,,,旁路·未触注单主表,—
4797,4800,TG-05,不需要,,ods_a168_bet02,是,是,,,,,,,,,,,,,,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P1 屏幕核验
4810,4844,DX-04,需要,DX04_bet09_profile.csv,ods_a168_bet02,是,是,,,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,⛔ 缺闸：剔测试线,P0 交付件
4859,4912,DX-05,需要,DX05_product_panorama.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,,✓,✅ 合规,—
4931,4940,?,需要,V_table_counts.csv,ods_a168_agent、ods_a168_alert_ip_setting、ods_a168_bet01、ods_a168_bet02、ods_a168_dailyreport_member、ods_a168_employee、ods_a168_game_No、ods_a168_game_info、ods_a168_member_dtl,是,是,一览/占比,,,,,,,,,,,,,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
4982,5081,R03b,需要,R03b_player_dealer_daily.csv,ods_a168_bet02,是,是,,,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,⛔ 缺闸：剔测试线,P0 交付件
5105,5115,S04p,需要,S04_analyst_score.csv,ods_a168_alert_ip_setting,否,是,,,,,,,,,✓,,,,,旁路·未触注单主表,—
5134,5141,EX,不需要,,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
5145,5159,EX,不需要,,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
5165,5167,EX,不需要,,(仅CTE),否,是,一览/占比,,,,,,,,,,,,✓,旁路·未触注单主表,—
5171,5180,EX,不需要,,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
5187,5196,?,不需要,,ods_a168_game_info,否,是,一览/占比,,,,,,,,,,,✓,✓,旁路·未触注单主表,—
5203,5260,?,需要,S02b_dealer_pace.csv,ods_a168_agent、ods_a168_bet02、ods_a168_game_info,是,是,,✓,✓,✓,✓,✓,✓,✓,✓,✓,,✓,✓,✅ 合规,—
5265,5273,?,不需要,,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
5280,5286,?,不需要,,ods_a168_dailyreport_member,否,是,一览/占比,,,✓,,,✓,,✓,✓,,✓,✓,旁路·未触注单主表,—
5290,5317,?,不需要,,ods_a168_agent、ods_a168_bet02,是,是,一览/占比,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
5320,5330,?,不需要,,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
5335,5344,?,不需要,,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
5390,5440,EX-10,不需要,,ods_a168_dailyreport_member,否,是,,,,✓,,,✓,,✓,✓,✓,✓,✓,旁路·未触注单主表,—
5460,5476,EX-11,不需要,,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
5486,5494,EX-11,不需要,,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
5524,5571,EX-12,不需要,,ods_a168_dailyreport_member,否,是,一览/占比,,,✓,,,✓,,✓,✓,,✓,✓,旁路·未触注单主表,—
5594,5609,EX-13,不需要,,ods_a168_betchange_log,否,是,一览/占比,,,,,,,,✓,,,,✓,旁路·未触注单主表,—
5615,5619,EX-13,不需要,,ods_a168_betchange_log,否,是,一览/占比,,,,,,,,,,,,✓,旁路·未触注单主表,—
5657,5671,EX-14,不需要,,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
5691,5717,?,不需要,,ods_a168_SMR_log、ods_a168_change_log、ods_a168_conversion、ods_a168_iphistory、ods_a168_log_age_cash_change、ods_a168_log_mem_change、ods_a168_tablelimit,否,是,一览/占比,,,,,,,,,,,,✓,旁路·未触注单主表,—
5748,5759,EX-15,不需要,,ods_a168_change_log,否,是,一览/占比,,,,,,,,,,,,✓,旁路·未触注单主表,—
5770,5775,EX-15,不需要,,ods_a168_change_log,否,否,一览/占比,,,,,,,,,,,,✓,旁路·未触注单主表,—
5784,5806,?,不需要,,ods_a168_log_age_cash_change,否,是,一览/占比,,,,,,,,✓,✓,,,✓,旁路·未触注单主表,—
5816,5822,?,不需要,,ods_a168_log_age_cash_change,否,是,一览/占比,,,,,,,,✓,✓,,,✓,旁路·未触注单主表,—
5827,5842,?,不需要,,ods_a168_log_mem_change,否,是,一览/占比,,,,,,,,,,,,✓,旁路·未触注单主表,—
5882,5896,EX-16,不需要,,ods_a168_log_age_cash_change,否,是,一览/占比,,,,,,,,✓,✓,,,✓,旁路·未触注单主表,—
5925,5966,EX-16b,需要,EV01_disposal_events.csv,ods_a168_change_log,否,否,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
5980,5987,?,不需要,,ods_a168_log_mem_change,否,是,,,,,,,,,,,,,✓,旁路·未触注单主表,—
6035,6052,EX-17,不需要,,ods_a168_agent_dtl,否,是,,,,,,,,,✓,✓,,,,旁路·未触注单主表,—
6062,6069,?,不需要,,ods_a168_agent_dtl,否,是,,,,,,,,,✓,✓,,,,旁路·未触注单主表,—
6102,6135,EX-17b,需要,EV02_member_disposal.csv,ods_a168_log_mem_change,否,否,,,,,,,,,,✓,✓,,✓,旁路·未触注单主表,—
6186,6199,EX-18,不需要,,ods_a168_agent_dtl,否,是,,,,,,,,,✓,✓,,,,旁路·未触注单主表,—
6207,6221,EX-18,不需要,,ods_a168_dailyreport_member,否,是,,,,✓,,,✓,,✓,✓,,✓,✓,旁路·未触注单主表,—
6229,6243,?,不需要,,ods_a168_log_age_cash_change,否,是,,,,,,,,,✓,✓,,,✓,旁路·未触注单主表,—
6254,6266,?,不需要,,ods_a168_agent、ods_a168_agent_dtl、ods_a168_dailyreport_member、ods_a168_log_age_cash_change,否,是,,,,,,,,,✓,✓,,✓,✓,旁路·未触注单主表,—
6311,6322,EX-19,不需要,,ods_a168_agent,否,是,,,,,,,,,✓,,,,,旁路·未触注单主表,—
6330,6334,EX-19,不需要,,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
6347,6372,?,不需要,,ods_a168_agent、ods_a168_agent_dtl,否,是,一览/占比,,,,,,,,✓,✓,,,,旁路·未触注单主表,—
6383,6397,?,不需要,,ods_a168_agent、ods_a168_log_age_cash_change,否,是,一览/占比,,,,,,,,✓,✓,,,✓,旁路·未触注单主表,—
6491,6499,P0C-00,不需要,,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
6506,6515,P0C-01,不需要,,ods_a168_dailyreport_member,否,是,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
6522,6555,P0C-02,需要,P0C02_标签口径.csv,ods_a168_dailyreport_member,否,是,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
6561,6575,P0C-03,需要,P0C03_标记次数分布.csv,ods_a168_dailyreport_member,否,是,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
6587,6622,P0C-04,需要,P0C04_同日泄漏检验.csv,ods_a168_bet02、ods_a168_dailyreport_member,是,是,,,,,,,,,,✓,,,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P0 交付件
6627,6658,P0C-05,需要,P0C05_标记时点定位.csv,ods_a168_bet02、ods_a168_dailyreport_member,是,是,,,,,,,,,,✓,,,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P0 交付件
6665,6698,P0C-06,需要,P0C06_LabelB骨架.csv,ods_a168_bet02、ods_a168_dailyreport_member,是,是,,,,,,,,,,✓,,,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P0 交付件
6704,6712,P0C-07,不需要,,ods_a168_dailyreport_member,否,是,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
6789,6826,P0C-09,需要,P0C09_安慰剂检验.csv,ods_a168_bet02、ods_a168_dailyreport_member,是,是,,,,,,,,,,✓,,,✓,⛔ 缺闸：剔测试线、版本去重、一般注单、非重对,P0 交付件
6861,6927,C06d,需要,C06d_hedge_pairs_dated.csv,ods_a168_agent、ods_a168_bet02,是,是,,✓,✓,✓,✓,✓,✓,,✓,✓,,✓,✓,✅ 合规,—
6962,7009,TL-00,需要,TL00_table_inventory.csv,information_schema,否,是,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
7016,7025,TL-01,不需要,,ods_a168_member_dtl,否,是,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
7032,7063,TL-02,需要,TL02_config_change.csv,ods_a168_member_dtl,否,是,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
7070,7118,TL-03,需要,TL03_pseudo_treatment.csv,ods_a168_member_dtl,否,否,,,,,,,,,✓,✓,,,✓,旁路·未触注单主表,—
7124,7131,K01c,需要,K01c_seed_dated.csv,ods_a168_alert_ip_setting,否,否,,,,,,,,,,✓,,,,旁路·未触注单主表,—
7177,7183,TL-04,需要,TL04_log_schema.csv,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
7190,7202,TL-05,不需要,,ods_a168_member_dtl,否,是,一览/占比,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
7211,7260,TL-03b,需要,TL03b_pseudo_treatment.csv,ods_a168_member_dtl,否,否,,,,,,,,,✓,✓,,,✓,旁路·未触注单主表,—
7267,7273,TL-06,需要,TL06_log_mem_change.csv,ods_a168_log_mem_change,否,是,,,,,,,,,,,,,✓,旁路·未触注单主表,—
7313,7327,TL-07,需要,TL07_mem_change_shape.csv,ods_a168_log_mem_change,否,是,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
7335,7366,TL-08,需要,TL08_treatment_events.csv,ods_a168_bet02、ods_a168_log_mem_change,是,否,,,,,,,,,,✓,,,✓,免检·非聚合,—
7397,7401,TL-09,需要,TL09_member_schema.csv,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
7409,7426,TL-10,需要,TL10_treatment_ledger.csv,ods_a168_log_mem_change,否,否,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
7429,7469,TL-10,需要,TL10_treatment_ledger.csv,ods_a168_bet02,是,否,,,,,,,,,,✓,,,✓,免检·非聚合,—
7500,7516,TL-11,需要,TL11_treatment_episode.csv,ods_a168_log_mem_change,否,否,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
7519,7626,TL-11,需要,TL11_treatment_episode.csv,ods_a168_bet02,是,是,,,✓,,,,,,,✓,,,✓,⛔ 缺闸：剔测试线、一般注单、非重对,P0 交付件
7640,7647,TL-11b,不需要,,ods_a168_log_mem_change,否,否,,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
7650,7675,TL-11b,不需要,,(仅CTE),否,是,,,,,,,,,,,,,,旁路·未触注单主表,—
7690,7714,TL-12,不需要,,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
7733,7748,TL-13,不需要,,information_schema,否,否,元数据,,,,,,,,,,,,,豁免·元数据(information_schema),—
7763,7771,TL-11c,需要,TL11c_population_reconcile.csv,ods_a168_log_mem_change,否,否,一览/占比,,,,,,,,,✓,,,✓,旁路·未触注单主表,—
7774,7849,TL-11c,需要,TL11c_population_reconcile.csv,ods_a168_bet02,是,是,一览/占比,,,,,,,,,✓,,,✓,豁免·一览/占比（缺 剔测试线、版本去重、一般注单、非重对）,—
