late_def,intake_ver,player_id,total_orders,late_orders,late_ratio,stake_late,stake_early,pnl_late,pnl_early,roi_late,roi_early,stake_ramp,stake_all,valid_bet,pnl_all
bet04>=40,M2A+ext,2037260,49,10,0.2041,2190.81,2315.41,-1364.09,552.86,-0.6226,0.2388,3.6901,4506.22,4143.03,-811.23
bet04>=40,M2A+ext,2342940,150,25,0.1667,147.04,1201.55,40.96,-82.34,0.2786,-0.0685,0.6119,1348.6,1264.57,-41.38
bet04>=40,M2A+ext,2383841,84,24,0.2857,88.15,226.83,-25.64,-31.18,-0.2908,-0.1375,0.9715,314.98,280.13,-56.82
bet04>=40,M2A+ext,2416591,1035,245,0.2367,563896.39,1755864.95,27126.58,-25500.75,0.0481,-0.0145,1.0355,2319761.34,2084774.63,1625.84
bet04>=40,M2A+ext,2487518,109,29,0.2661,298.48,617.92,16.11,-180.17,0.054,-0.2916,1.3325,916.39,881.36,-164.05
bet04>=40,M2A+ext,2491095,95,30,0.3158,1849,3629,48.55,45.8,0.0263,0.0126,1.1039,5478,4913,94.35
bet04>=40,M2A+ext,2532267,34,4,0.1176,340,1250,-301,374,-0.8853,0.2992,2.04,1590,1490,73
bet04>=40,M2A+ext,2532548,2490,432,0.1735,27644.58,145186.23,-1281.35,-4396.53,-0.0464,-0.0303,0.9071,172830.81,160320.05,-5677.88
bet04>=40,M2A+ext,2592877,913,284,0.3111,52529.06,118792.93,-5705.79,-3681.62,-0.1086,-0.031,0.9794,171321.99,153019.34,-9387.4
bet04>=40,M2A+ext,2604375,33,0,0,,1718.03,,-573.81,,-0.334,,1718.03,1718.03,-573.81
bet04>=40,M2A+ext,2680170,97,17,0.1753,1194.89,5366.4,33.46,-1300,0.028,-0.2422,1.0478,6561.29,5797.23,-1266.54
bet04>=40,M2A+ext,2867846,399,66,0.1654,10411.71,70312.5,-480.74,-47.7,-0.0462,-0.0007,0.7471,80724.21,73579.7,-528.44
bet04>=40,M2A+ext,2890331,206,0,0,,292731.42,,5520.49,,0.0189,,292731.42,261595.86,5520.49
bet04>=40,M2A+ext,2919580,127,36,0.2835,8395.71,18956.76,3073.8,-557.12,0.3661,-0.0294,1.1195,27352.47,24606.85,2516.68
bet04>=40,M2A+ext,2933872,1849,427,0.2309,15966.92,50828.45,31.84,114.95,0.002,0.0023,1.0461,66795.37,60318.59,146.79
bet04>=40,M2A+ext,2934234,2652,323,0.1218,69585.01,476548.25,-3554.19,-18973.05,-0.0511,-0.0398,1.0529,546133.26,497745.76,-22527.24
bet04>=40,M2A+ext,2977254,42,3,0.0714,288.42,1430.14,-162.38,-274.93,-0.563,-0.1922,2.6217,1718.56,1627.16,-437.31
bet04>=40,M2A+ext,2993884,185,3,0.0162,187.46,5704.28,116.73,-588.6,0.6227,-0.1032,1.9937,5891.74,5707.74,-471.86
bet04>=40,M2A+ext,3015805,5011,1386,0.2766,102961.59,267916.05,-5922.96,664.04,-0.0575,0.0025,1.0051,370877.63,335830.76,-5258.91
bet04>=40,M2A+ext,3024166,5322,1224,0.23,16193.43,46069.58,533.2,-769.47,0.0329,-0.0167,1.1768,62263.01,58396.93,-236.26
bet04>=40,M2A+ext,3033014,51,0,0,,6874.32,,-3076.52,,-0.4475,,6874.32,6772.83,-3076.52
bet04>=40,M2A+ext,3059904,112,17,0.1518,9601.72,36504.99,-1774.66,-8627.62,-0.1848,-0.2363,1.4698,46106.71,39663.92,-10402.28
bet04>=40,M2A+ext,3060035,2064,329,0.1594,1519.25,7700.43,31.3,-703.92,0.0206,-0.0914,1.0404,9219.68,8632.83,-672.62
bet04>=40,M2A+ext,3061411,97,26,0.268,8959.52,24008.61,735.49,-2281.31,0.0821,-0.095,1.0191,32968.13,30659.78,-1545.82
bet04>=40,M2A+ext,3078091,536,120,0.2239,4426.35,13413.23,242.81,-422.06,0.0549,-0.0315,1.144,17839.58,16406.5,-179.25
bet04>=40,M2A+ext,3105456,131,0,0,,33699.43,,2489.23,,0.0739,,33699.43,30615.2,2489.23
bet04>=40,M2A+ext,3112521,553,29,0.0524,6949.59,115412.08,-1387.8,-10765.6,-0.1997,-0.0933,1.088,122361.68,110443.33,-12153.4
bet04>=40,M2A+ext,3124237,229,27,0.1179,341.07,2769.9,-99.89,-266.96,-0.2929,-0.0964,0.9212,3110.97,2864.6,-366.85
bet04>=40,M2A+ext,3206119,13983,3519,0.2517,183797.24,549059.9,5381.35,-13966.56,0.0293,-0.0254,0.9954,732857.14,660886.45,-8585.21
bet04>=40,M2A+ext,3249020,43,12,0.2791,1595.08,4864.64,-626.31,-760.93,-0.3927,-0.1564,0.8471,6459.71,5676.82,-1387.24
bet04>=40,M2A+ext,3288497,93,6,0.0645,886.46,4697.78,263.93,-1873.67,0.2977,-0.3988,2.7361,5584.25,4925.45,-1609.74
bet04>=40,M2A+ext,3377663,66,45,0.6818,585.88,277.48,-5.27,-59.94,-0.009,-0.216,0.9853,863.36,329.17,-65.21
bet04>=40,M2A+ext,3531354,204,42,0.2059,1055.98,3275.42,-154.27,222.47,-0.1461,0.0679,1.2435,4331.4,3931.71,68.2
bet04>=40,M2A+ext,3546191,924,174,0.1883,1904.53,8063.08,-186.35,-285.05,-0.0978,-0.0354,1.0181,9967.61,9216.18,-471.4
bet04>=40,M2A+ext,3602936,74,17,0.2297,91.75,316.68,20.45,-99.1,0.2229,-0.313,0.9714,408.42,385.57,-78.65
bet04>=40,M2A+ext,3604354,1849,439,0.2374,742402.45,2404878.33,-11400.72,-84854.15,-0.0154,-0.0353,0.9915,3147280.78,2875169.65,-96254.87
bet04>=40,M2A+ext,3624833,73,5,0.0685,393.7,10701.67,23.62,2039.52,0.06,0.1906,0.5003,11095.37,10328.97,2063.15
bet04>=40,M2A+ext,3657903,9383,1377,0.1468,48602.61,284673.39,-1201.93,-2334.41,-0.0247,-0.0082,0.9926,333276,304495.14,-3536.33
bet04>=40,M2A+ext,3670972,3161,119,0.0376,413562.8,10611919.65,-74156.21,-244277.47,-0.1793,-0.023,0.9962,11025482.45,10027791.42,-318433.68
bet04>=40,M2A+ext,3693164,619,83,0.1341,5508.58,31062.76,180.53,-934.39,0.0328,-0.0301,1.1452,36571.34,33562.2,-753.86
bet04>=40,M2A+ext,3710803,1526,330,0.2163,6916.56,25507.07,42.22,-430.38,0.0061,-0.0169,0.9828,32423.63,26241.41,-388.17
bet04>=40,M2A+ext,3722945,156,38,0.2436,2962.08,10794.77,506.4,-2042.1,0.171,-0.1892,0.8521,13756.84,12086.88,-1535.71
bet04>=40,M2A+ext,3738854,1366,262,0.1918,4107.81,15413.68,-483,-574.53,-0.1176,-0.0373,1.123,19521.5,17740.55,-1057.53
bet04>=40,M2A+ext,3774826,19992,6250,0.3126,305409.75,655580.43,-8514.56,-9893.18,-0.0279,-0.0151,1.0243,960990.18,870231.78,-18407.74
bet04>=40,M2A+ext,3794706,81,21,0.2593,272.11,803.9,36.82,61.02,0.1353,0.0759,0.9671,1076,972.58,97.84
bet04>=40,M2A+ext,3798668,416,49,0.1178,21347.4,265123.07,2003.92,-22493.26,0.0939,-0.0848,0.6031,286470.46,258237.75,-20489.34
bet04>=40,M2A+ext,3813771,382,75,0.1963,800,3410,-30,-250.5,-0.0375,-0.0735,0.9603,4210,3810,-280.5
bet04>=40,M2A+ext,3823662,350,17,0.0486,98.61,1929.35,-62.43,-274.38,-0.6331,-0.1422,1.0012,2027.96,2004.77,-336.82
bet04>=40,M2A+ext,3824899,1550,329,0.2123,101441.75,493622.46,3063.51,-18556.51,0.0302,-0.0376,0.7627,595064.21,533197.75,-15493
bet04>=40,M2A+ext,3826395,1540,159,0.1032,980.04,7633.54,134.12,113.33,0.1369,0.0148,1.1151,8613.59,8090.52,247.45
bet04>=40,M2A+ext,3827808,609,122,0.2003,7942.63,26689.42,112.4,-1910.5,0.0142,-0.0716,1.1879,34632.06,30397.21,-1798.1
bet04>=40,M2A+ext,3829065,149,32,0.2148,5105.36,22069.47,-742.15,275.99,-0.1454,0.0125,0.8458,27174.83,25429.94,-466.17
bet04>=40,M2A+ext,3829219,234,52,0.2222,6387.73,29831.16,-1470.46,-3339.42,-0.2302,-0.1119,0.7495,36218.88,33620.48,-4809.88
bet04>=40,M2A+ext,3832454,4014,414,0.1031,40209.09,376031.68,2815.93,-2679.69,0.07,-0.0071,0.9298,416240.77,380562.82,136.24
bet04>=40,M2A+ext,3834480,1027,244,0.2376,20015.83,68905.35,-815.47,-992.16,-0.0407,-0.0144,0.9322,88921.18,78852.68,-1807.64
bet04>=40,M2A+ext,3836001,51,7,0.1373,38.73,209.12,-15.88,41.18,-0.41,0.1969,1.164,247.85,224.61,25.3
bet04>=40,M2A+ext,3846199,39,10,0.2564,41.14,239.15,14.62,-120.08,0.3553,-0.5021,0.4989,280.3,267.44,-105.46
bet04>=40,M2A+ext,3864026,692,151,0.2182,1884.43,7389.36,-119.69,-144.64,-0.0635,-0.0196,0.9137,9273.79,8239.77,-264.33
bet04>=40,M2A+ext,3871296,47,13,0.2766,1615.6,6739.89,7.52,-959.63,0.0047,-0.1424,0.6269,8355.49,7464.03,-952.11
bet04>=40,M2A+ext,3876367,63,18,0.2857,136.11,226.95,-46.46,-74.24,-0.3413,-0.3271,1.4994,363.06,339.5,-120.7
bet04>=40,M2A+ext,3880020,72,19,0.2639,2164,6071,194.8,-1098,0.09,-0.1809,0.9943,8235,7615,-903.2
bet04>=40,M2A+ext,3896435,967,357,0.3692,359133.93,580998.6,22598.56,-77671.15,0.0629,-0.1337,1.0562,940132.53,862187.27,-55072.59
bet04>=40,M2A+ext,3899655,155,29,0.1871,11432.92,46248.29,-493.28,-1311.11,-0.0431,-0.0283,1.0741,57681.22,54324.45,-1804.39
bet04>=40,M2A+ext,3905387,85,23,0.2706,778.89,7013.65,-195.64,1791.58,-0.2512,0.2554,0.2994,7792.54,7442.33,1595.93
bet04>=40,M2A+ext,3905738,41,7,0.1707,22.74,160.31,1.83,5.6,0.0806,0.035,0.6889,183.05,178.89,7.44
bet04>=40,M2A+ext,3908923,1370,377,0.2752,3250.67,8910.46,125.92,165.82,0.0387,0.0186,0.9609,12161.13,11154.69,291.73
bet04>=40,M2A+ext,3908989,169,50,0.2959,5925.66,13525.83,-539.2,151.04,-0.091,0.0112,1.0427,19451.49,16547.99,-388.16
bet04>=40,M2A+ext,3911155,40,14,0.35,628.22,1191.01,-79.18,-498,-0.126,-0.4181,0.9796,1819.23,1766.88,-577.18
bet04>=40,M2A+ext,3911196,2742,972,0.3545,12120.42,21603.47,-402.24,-845.1,-0.0332,-0.0391,1.0216,33723.88,31377.28,-1247.34
bet04>=40,M2A+ext,3914124,131,27,0.2061,6631.69,21621.11,-1551.78,324.48,-0.234,0.015,1.1815,28252.79,23456.99,-1227.3
bet04>=40,M2A+ext,3926359,625,112,0.1792,5274.25,25168.4,-323.55,1347.94,-0.0613,0.0536,0.9599,30442.65,27035.03,1024.39
bet04>=40,M2A+ext,3930789,52,11,0.2115,1191,3552,-119,285.5,-0.0999,0.0804,1.2498,4743,4463,166.5
bet04>=40,M2A+ext,3935714,2926,584,0.1996,11087.41,42612.15,-113.16,-685.98,-0.0102,-0.0161,1.0434,53699.56,47025.3,-799.14
bet04>=40,M2A+ext,3947398,52,0,0,,55405.08,,-5406.81,,-0.0976,,55405.08,49435.96,-5406.81
bet04>=40,M2A+ext,3949283,197,54,0.2741,164743.76,460141.19,-33129.67,-84416.07,-0.2011,-0.1835,0.9481,624884.95,565823.31,-117545.74
bet04>=40,M2A+ext,3986890,196,78,0.398,1104.52,1388.49,299.68,260.99,0.2713,0.188,1.2034,2493.01,1998.26,560.67
bet04>=40,M2A+ext,3990578,393,93,0.2366,56636.4,183962.43,-3510.07,1676.94,-0.062,0.0091,0.9931,240598.83,217135.33,-1833.13
bet04>=40,M2A+ext,3990900,520,143,0.275,5880.95,16566.76,-964.57,815.91,-0.164,0.0492,0.9359,22447.7,20248.23,-148.66
bet04>=40,M2A+ext,3995104,197,25,0.1269,1798.04,15608.95,44.63,1922.06,0.0248,0.1231,0.7925,17406.98,15051.11,1966.69
bet04>=40,M2A+ext,4006899,4253,986,0.2318,43331.11,142463.26,-3683.48,-308.55,-0.085,-0.0022,1.0078,185794.37,165420.35,-3992.03
bet04>=40,M2A+ext,4012156,86,20,0.2326,5476.12,6466.19,411.15,111.26,0.0751,0.0172,2.7947,11942.31,11242.36,522.41
bet04>=40,M2A+ext,4020175,656,22,0.0335,1021.93,35228.29,101.64,5080.53,0.0995,0.1442,0.836,36250.22,34223.72,5182.18
bet04>=40,M2A+ext,4020367,131,0,0,,4440.56,,-80.77,,-0.0182,,4440.56,4440.56,-80.77
bet04>=40,M2A+ext,4032317,131,40,0.3053,3216.24,4808.38,-814.36,458.89,-0.2532,0.0954,1.5217,8024.62,7108.61,-355.47
bet04>=40,M2A+ext,4058969,513,127,0.2476,57744.93,156462.43,-3856.87,-5777.75,-0.0668,-0.0369,1.1217,214207.36,196665.78,-9634.62
bet04>=40,M2A+ext,4072530,1225,252,0.2057,3377.8,13153.34,-414.25,190.68,-0.1226,0.0145,0.9915,16531.14,14599.93,-223.57
bet04>=40,M2A+ext,4074477,3246,896,0.276,22876.87,56796.4,-551.12,-1264.25,-0.0241,-0.0223,1.0564,79673.27,72331.82,-1815.37
bet04>=40,M2A+ext,4097765,43,5,0.1163,41.14,192.87,-15.43,-37.93,-0.375,-0.1967,1.6213,234.01,194.41,-53.36
bet04>=40,M2A+ext,4101170,248,98,0.3952,2830.67,1395.73,-758.9,220.99,-0.2681,0.1583,3.1042,4226.4,3765.57,-537.91
bet04>=40,M2A+ext,4101234,474,108,0.2278,1691.08,6386.62,77.29,-178.96,0.0457,-0.028,0.8973,8077.7,7615.47,-101.66
bet04>=40,M2A+ext,4106324,1493,45,0.0301,881.46,34081.93,173.71,-471.11,0.1971,-0.0138,0.8322,34963.39,31168.35,-297.4
bet04>=40,M2A+ext,4110387,69,36,0.5217,305.72,292.92,10.54,-83.92,0.0345,-0.2865,0.9567,598.64,557.21,-73.38
bet04>=40,M2A+ext,4180904,276,57,0.2065,10322.33,25629.59,-3364.76,-1016.25,-0.326,-0.0397,1.5474,35951.92,30188.26,-4381.01
bet04>=40,M2A+ext,4213436,89,11,0.1236,70.25,588.55,-14.01,91.81,-0.1995,0.156,0.8463,658.8,617.6,77.8
bet04>=40,M2A+ext,4215750,598,164,0.2742,10599.92,29141.38,-535.98,-2609.12,-0.0506,-0.0895,0.9626,39741.3,32563.7,-3145.1
bet04>=40,M2A+ext,4215834,332,49,0.1476,668.07,3426.13,218.83,199.14,0.3276,0.0581,1.1262,4094.2,3766.1,417.97
bet04>=40,M2A+ext,4216771,1131,273,0.2414,3805.85,11846.57,-12.79,-915.44,-0.0034,-0.0773,1.0097,15652.42,14306.09,-928.22
bet04>=40,M2A+ext,4218122,4493,1088,0.2422,55220.16,164364.25,-394.93,3293.73,-0.0072,0.02,1.0514,219584.42,200994.2,2898.79
bet04>=40,M2A+ext,4220638,63,19,0.3016,2334.94,6341.99,-426,-752.97,-0.1824,-0.1187,0.8526,8676.93,8343.67,-1178.96
bet04>=40,M2A+ext,4250451,3996,928,0.2322,51707.83,171394.42,1537.18,-256.61,0.0297,-0.0015,0.9974,223102.25,201593.15,1280.57
bet04>=40,M2A+ext,4251460,320,83,0.2594,5443.13,15912.79,1449.05,-1740.91,0.2662,-0.1094,0.9767,21355.92,19659.81,-291.86
bet04>=40,M2A+ext,4253248,326,80,0.2454,2916.33,8215.43,-690.21,979.85,-0.2367,0.1193,1.0916,11131.76,10571.14,289.64
bet04>=40,M2A+ext,4328486,63,14,0.2222,522.57,7847.93,120.64,208.75,0.2309,0.0266,0.2331,8370.5,7423.99,329.38
bet04>=40,M2A+ext,4331537,4859,943,0.1941,130855.86,521278.33,3285.56,-6907.93,0.0251,-0.0133,1.0424,652134.19,586052.51,-3622.37
bet04>=40,M2A+ext,4341682,162,51,0.3148,7185,12865,-1327.75,27.4,-0.1848,0.0021,1.2155,20050,17990,-1300.35
bet04>=40,M2A+ext,4342186,312,45,0.1442,9524.44,41970.63,2561.64,-5078.28,0.269,-0.121,1.3465,51495.06,47772.01,-2516.64
bet04>=40,M2A+ext,4344660,56,17,0.3036,935.28,1815.47,117.4,-207.84,0.1255,-0.1145,1.1819,2750.75,2592.9,-90.43
bet04>=40,M2A+ext,4345126,6950,1625,0.2338,40889.95,128138.31,-1079.86,-3847.68,-0.0264,-0.03,1.0457,169028.26,154431.8,-4927.54
bet04>=40,M2A+ext,4363947,1386,163,0.1176,6713.88,52359.97,179.69,338.61,0.0268,0.0065,0.9621,59073.86,53525.13,518.3
bet04>=40,M2A+ext,4380884,212,88,0.4151,13573.8,43685.55,-1175.34,-2039.4,-0.0866,-0.0467,0.4378,57259.35,55861.68,-3214.75
bet04>=40,M2A+ext,4381458,32,0,0,,127.51,,-4.41,,-0.0346,,127.51,110.7,-4.41
bet04>=40,M2A+ext,4383177,72,42,0.5833,663.56,1230.95,-278.06,-436,-0.419,-0.3542,0.385,1894.51,1894.51,-714.07
bet04>=40,M2A+ext,4390272,5312,1182,0.2225,37134.29,123167.83,1730.51,-445.68,0.0466,-0.0036,1.0534,160302.13,144535.07,1284.83
bet04>=40,M2A+ext,4414625,81,11,0.1358,4543.25,13901.82,-159.17,484.65,-0.035,0.0349,2.0797,18445.07,16979.84,325.48
bet04>=40,M2A+ext,4443618,218,62,0.2844,685.2,1511.11,-134.9,31.24,-0.1969,0.0207,1.1409,2196.32,1982.03,-103.66
bet04>=40,M2A+ext,4479816,34,12,0.3529,580.88,1035.03,-122.53,81.45,-0.2109,0.0787,1.0289,1615.91,1452.4,-41.08
bet04>=40,M2A+ext,4496430,85,11,0.1294,328,2455,8,-454.5,0.0244,-0.1851,0.8988,2783,2366,-446.5
bet04>=40,M2A+ext,4501996,716,167,0.2332,15231.59,41229.58,3586.14,402.42,0.2354,0.0098,1.2145,56461.17,50147.37,3988.56
bet04>=40,M2A+ext,4502110,1188,362,0.3047,36677,86190,-547.35,-730.1,-0.0149,-0.0085,0.971,122867,110157,-1277.45
bet04>=40,M2A+ext,4502230,1945,686,0.3527,3339237.41,5354462.22,195597.51,-57830.1,0.0586,-0.0108,1.1445,8693699.63,7825379.51,137767.42
bet04>=40,M2A+ext,4502324,111,34,0.3063,1933.95,13525.7,1277.07,-2267.95,0.6603,-0.1677,0.3238,15459.65,15248.76,-990.89
bet04>=40,M2A+ext,4517510,2084,461,0.2212,246950.01,870101.92,-26452.14,-33810.06,-0.1071,-0.0389,0.9992,1117051.93,976866.9,-60262.2
bet04>=40,M2A+ext,4559920,317,77,0.2429,60026.33,139851.55,-27605.66,17674.85,-0.4599,0.1264,1.3378,199877.88,180044.66,-9930.81
bet04>=40,M2A+ext,4591646,112,25,0.2232,223.94,1243.23,-43.21,-334.79,-0.193,-0.2693,0.6268,1467.17,1244.43,-378
bet04>=40,M2A+ext,4600418,19691,607,0.0308,44769.47,1284248.07,-2618.33,-16986.96,-0.0585,-0.0132,1.096,1329017.54,1210684.57,-19605.29
bet04>=40,M2A+ext,4605089,46,18,0.3913,105.77,235.09,-17.87,8.41,-0.169,0.0358,0.6999,340.87,281.22,-9.46
bet04>=40,M2A+ext,4616813,561,79,0.1408,76192.83,387217.8,-5524.55,-4981.58,-0.0725,-0.0129,1.2005,463410.63,403299.7,-10506.13
bet04>=40,M2A+ext,4669171,605,101,0.1669,384.07,1775.13,-45.57,54.87,-0.1186,0.0309,1.0797,2159.2,1942.33,9.31
bet04>=40,M2A+ext,4697334,258,48,0.186,5304.54,21380.63,-1580.24,968.62,-0.2979,0.0453,1.0854,26685.18,23753.91,-611.62
bet04>=40,M2A+ext,4697803,125,0,0,,248404.78,,-54253.84,,-0.2184,,248404.78,226408.46,-54253.84
bet04>=40,M2A+ext,4702580,50,12,0.24,261.03,518.5,-71.65,-136.49,-0.2745,-0.2632,1.5942,779.53,701.83,-208.14
bet04>=40,M2A+ext,4708799,2559,633,0.2474,39819.89,116291.01,-2148.22,-851.73,-0.0539,-0.0073,1.0419,156110.9,142587.25,-2999.94
bet04>=40,M2A+ext,4713467,71,5,0.0704,123.93,1908.71,5.16,-372.45,0.0417,-0.1951,0.857,2032.63,1671.6,-367.29
bet04>=40,M2A+ext,4713785,1406,364,0.2589,75058.17,212378.51,-1409.2,-10250.67,-0.0188,-0.0483,1.0117,287436.68,254795.04,-11659.87
bet04>=40,M2A+ext,4714398,350,41,0.1171,1651.74,19151.58,-809.94,-2016.27,-0.4904,-0.1053,0.65,20803.31,19279.66,-2826.21
bet04>=40,M2A+ext,4725699,8761,2895,0.3304,249131.25,476175.42,-2420.14,-2416.46,-0.0097,-0.0051,1.0601,725306.66,661975.87,-4836.59
bet04>=40,M2A+ext,4732661,447,30,0.0671,617.04,6364.08,118.12,-1301.09,0.1914,-0.2044,1.3477,6981.13,6382.15,-1182.97
bet04>=40,M2A+ext,4737157,304,27,0.0888,2199.06,18031.64,-1113.47,-1053.37,-0.5063,-0.0584,1.2512,20230.69,18788.68,-2166.83
bet04>=40,M2A+ext,4743506,222,90,0.4054,34621.91,53560.12,-822.33,-10870.53,-0.0238,-0.203,0.9481,88182.03,82685.78,-11692.86
bet04>=40,M2A+ext,4747423,117,28,0.2393,4009.57,14535.73,629.77,1237.49,0.1571,0.0851,0.8768,18545.3,17012.14,1867.27
bet04>=40,M2A+ext,4752106,71,12,0.169,274.2,1792.92,16.96,-116.86,0.0619,-0.0652,0.7519,2067.12,1916.44,-99.89
bet04>=40,M2A+ext,4752382,24982,2728,0.1092,71454.7,518039.38,2000.82,-4712.61,0.028,-0.0091,1.1252,589494.09,468742.36,-2711.79
bet04>=40,M2A+ext,4753707,235,20,0.0851,358.95,7952.57,-195.91,-630.28,-0.5458,-0.0793,0.4852,8311.52,7239.71,-826.2
bet04>=40,M2A+ext,4757086,164,59,0.3598,3572.1,5109.2,-441.2,-668,-0.1235,-0.1307,1.2443,8681.3,8033.92,-1109.2
bet04>=40,M2A+ext,4757916,67,7,0.1045,642.25,7081.98,88.94,-875.83,0.1385,-0.1237,0.7773,7724.23,7064.07,-786.89
bet04>=40,M2A+ext,4759646,285,43,0.1509,1030.81,5186.5,61.25,255.22,0.0594,0.0492,1.1185,6217.31,5662.38,316.47
bet04>=40,M2A+ext,4774102,3988,974,0.2442,22979.66,82640.84,89.35,-8788.72,0.0039,-0.1063,0.8605,105620.5,98441.24,-8699.38
bet04>=40,M2A+ext,4775580,181,29,0.1602,1924.46,4494.04,322.43,1172.81,0.1675,0.261,2.2445,6418.51,5901.05,1495.24
bet04>=40,M2A+ext,4789427,278,53,0.1906,16290.68,24619.44,-3958.98,-1811.11,-0.243,-0.0736,2.8091,40910.13,37666.94,-5770.09
bet04>=40,M2A+ext,4807204,753,93,0.1235,4721.76,29431.37,202.82,-186.37,0.043,-0.0063,1.1386,34153.13,28615.46,16.45
bet04>=40,M2A+ext,4815518,812,266,0.3276,5485.45,10744.5,-21.96,22.44,-0.004,0.0021,1.0479,16229.95,14890.8,0.48
bet04>=40,M2A+ext,4826061,9334,2452,0.2627,26629.29,76902.45,-542,476.5,-0.0204,0.0062,0.9719,103531.74,94144.29,-65.49
bet04>=40,M2A+ext,4837129,1024,201,0.1963,56776.89,219745.59,-2249.45,-7074.48,-0.0396,-0.0322,1.0579,276522.47,247671.7,-9323.92
bet04>=40,M2A+ext,4859774,222,97,0.4369,3315.47,4190.76,-905.83,-578.72,-0.2732,-0.1381,1.0195,7506.22,7004.86,-1484.55
bet04>=40,M2A+ext,4859933,1110,438,0.3946,16010.22,20167.44,-549.78,-132.82,-0.0343,-0.0066,1.218,36177.66,32034.15,-682.6
bet04>=40,M2A+ext,4882989,36,12,0.3333,532.49,2923.5,-325.39,1133.01,-0.6111,0.3876,0.3643,3455.99,3351.64,807.61
bet04>=40,M2A+ext,4885387,94,18,0.1915,2459.89,10256.68,-1296.79,71.39,-0.5272,0.007,1.0126,12716.58,11700.53,-1225.4
