dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used
2026-05-24,113,114653460,4,1,4,0,17,39,残靴：截断／换荷官／开收台可疑,87.0
2026-05-25,35,114653544,4,1,4,0,32,42,残靴：截断／换荷官／开收台可疑,87.0
2026-05-26,903,1246444,4,2,3,1,3,5,残靴：截断／换荷官／开收台可疑,87.0
2026-05-26,911,1246445,4,3,2,2,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-05-31,7,114661029,4,1,4,0,12,26,残靴：截断／换荷官／开收台可疑,87.0
2026-06-03,35,114664752,4,1,4,0,15,43,残靴：截断／换荷官／开收台可疑,87.0
2026-06-04,1,114665972,4,1,4,0,18,30,残靴：截断／换荷官／开收台可疑,87.0
2026-06-04,113,114665970,4,1,4,0,18,38,残靴：截断／换荷官／开收台可疑,87.0
2026-06-07,901,1256445,4,1,2,2,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-06-10,116,114672454,4,1,4,0,36,52,残靴：截断／换荷官／开收台可疑,87.0
2026-06-12,907,1260801,4,2,3,1,4,4,残靴：截断／换荷官／开收台可疑,87.0
2026-06-13,3,114674991,4,2,3,1,14,26,残靴：截断／换荷官／开收台可疑,87.0
2026-06-13,3,114675754,4,1,4,0,22,39,残靴：截断／换荷官／开收台可疑,87.0
2026-06-15,911,1263381,4,1,3,1,4,4,残靴：截断／换荷官／开收台可疑,87.0
2026-06-16,6,114678907,4,1,4,0,14,32,残靴：截断／换荷官／开收台可疑,87.0
2026-06-17,113,114680016,4,1,4,0,21,39,残靴：截断／换荷官／开收台可疑,87.0
2026-06-18,909,1266039,4,1,4,0,6,12,残靴：截断／换荷官／开收台可疑,87.0
2026-06-21,7,114684339,4,3,2,2,3,7,残靴：截断／换荷官／开收台可疑,87.0
2026-06-23,33,114686601,4,1,4,0,10,17,残靴：截断／换荷官／开收台可疑,87.0
2026-06-27,115,114691125,4,1,4,0,29,67,残靴：截断／换荷官／开收台可疑,87.0
2026-06-27,37,114691122,4,1,4,0,24,63,残靴：截断／换荷官／开收台可疑,87.0
2026-06-27,905,1272627,4,2,3,1,3,5,残靴：截断／换荷官／开收台可疑,87.0
2026-06-28,3,114692129,4,1,4,0,8,17,残靴：截断／换荷官／开收台可疑,87.0
2026-06-30,2,114694395,4,1,4,0,22,53,残靴：截断／换荷官／开收台可疑,87.0
2026-06-30,35,114694392,4,1,4,0,8,13,残靴：截断／换荷官／开收台可疑,87.0
2026-07-02,913,1277707,4,1,4,0,9,15,残靴：截断／换荷官／开收台可疑,87.0
2026-07-04,115,114699258,4,1,4,0,27,50,残靴：截断／换荷官／开收台可疑,87.0
2026-07-06,913,1281210,4,1,4,0,9,12,残靴：截断／换荷官／开收台可疑,87.0
2026-07-10,32,114705877,4,1,4,0,9,18,残靴：截断／换荷官／开收台可疑,87.0
2026-07-11,7,114706976,4,1,4,0,11,17,残靴：截断／换荷官／开收台可疑,87.0
2026-07-16,116,114712391,4,1,4,0,17,36,残靴：截断／换荷官／开收台可疑,87.0
2026-07-18,5,114714693,4,1,4,0,15,33,残靴：截断／换荷官／开收台可疑,87.0
2026-07-21,33,114717969,4,1,4,0,13,19,残靴：截断／换荷官／开收台可疑,87.0
2026-07-24,908,1297315,4,2,3,1,9,11,残靴：截断／换荷官／开收台可疑,87.0
2026-07-26,911,1298942,4,2,3,1,8,10,残靴：截断／换荷官／开收台可疑,87.0
2026-08-05,3,114734678,4,1,4,0,23,39,残靴：截断／换荷官／开收台可疑,87.0
2026-03-22,35,114585411,3,1,3,0,5,8,残靴：截断／换荷官／开收台可疑,87.0
2026-03-24,5,114587587,3,1,3,0,10,15,残靴：截断／换荷官／开收台可疑,87.0
2026-03-27,905,124406,3,2,2,1,3,4,残靴：截断／换荷官／开收台可疑,87.0
2026-03-31,37,114595178,3,1,3,0,17,27,残靴：截断／换荷官／开收台可疑,87.0
2026-04-02,909,126084,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0
2026-04-03,910,126694,3,1,3,0,2,3,残靴：截断／换荷官／开收台可疑,87.0
2026-04-07,7,114603060,3,1,3,0,9,15,残靴：截断／换荷官／开收台可疑,87.0
2026-04-07,905,129086,3,1,3,0,5,7,残靴：截断／换荷官／开收台可疑,87.0
2026-04-11,33,114607425,3,1,3,0,11,20,残靴：截断／换荷官／开收台可疑,87.0
2026-04-12,3,114608365,3,1,3,0,8,14,残靴：截断／换荷官／开收台可疑,87.0
2026-04-16,912,1215552,3,1,3,0,6,9,残靴：截断／换荷官／开收台可疑,87.0
2026-04-17,3,114613702,3,1,3,0,10,17,残靴：截断／换荷官／开收台可疑,87.0
2026-04-19,911,1217424,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0
2026-04-22,1,114619030,3,1,3,0,14,19,残靴：截断／换荷官／开收台可疑,87.0
2026-04-22,907,1219565,3,2,2,1,4,5,残靴：截断／换荷官／开收台可疑,87.0
2026-04-24,32,114621223,3,1,3,0,5,7,残靴：截断／换荷官／开收台可疑,87.0
2026-04-26,906,1222286,3,1,3,0,11,26,残靴：截断／换荷官／开收台可疑,87.0
2026-04-27,112,114624391,3,1,3,0,38,50,残靴：截断／换荷官／开收台可疑,87.0
2026-04-27,905,1222936,3,3,1,2,1,4,残靴：截断／换荷官／开收台可疑,87.0
2026-04-29,2,114626577,3,1,3,0,17,27,残靴：截断／换荷官／开收台可疑,87.0
2026-05-03,908,1227239,3,1,3,0,10,11,残靴：截断／换荷官／开收台可疑,87.0
2026-05-09,1,114637856,3,1,3,0,13,23,残靴：截断／换荷官／开收台可疑,87.0
2026-05-14,112,114642921,3,1,3,0,24,60,残靴：截断／换荷官／开收台可疑,87.0
2026-05-15,116,114643965,3,1,3,0,22,36,残靴：截断／换荷官／开收台可疑,87.0
2026-05-16,905,1238197,3,2,2,1,4,5,残靴：截断／换荷官／开收台可疑,87.0
2026-05-16,911,1238194,3,1,3,0,3,5,残靴：截断／换荷官／开收台可疑,87.0
2026-05-17,905,1238946,3,2,2,1,1,2,残靴：截断／换荷官／开收台可疑,87.0
2026-05-19,1,114648133,3,1,3,0,11,19,残靴：截断／换荷官／开收台可疑,87.0
2026-05-19,32,114648129,3,1,3,0,14,20,残靴：截断／换荷官／开收台可疑,87.0
2026-05-19,907,1240657,3,1,3,0,5,8,残靴：截断／换荷官／开收台可疑,87.0
2026-05-21,905,1242334,3,1,3,0,7,8,残靴：截断／换荷官／开收台可疑,87.0
2026-05-24,905,1244755,3,1,2,1,8,9,残靴：截断／换荷官／开收台可疑,87.0
2026-05-25,2,114653503,3,1,3,0,29,46,残靴：截断／换荷官／开收台可疑,87.0
2026-05-25,33,114653542,3,2,2,1,12,17,残靴：截断／换荷官／开收台可疑,87.0
2026-05-30,36,114660065,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0
2026-05-30,902,1249727,3,1,2,1,2,4,残靴：截断／换荷官／开收台可疑,87.0
2026-05-31,2,114661031,3,1,3,0,7,14,残靴：截断／换荷官／开收台可疑,87.0
2026-05-31,8,114661030,3,1,2,1,7,7,残靴：截断／换荷官／开收台可疑,87.0
2026-06-04,909,1253902,3,3,1,2,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-06-06,36,114668163,3,1,3,0,8,14,残靴：截断／换荷官／开收台可疑,87.0
2026-06-09,36,114671356,3,1,3,0,6,12,残靴：截断／换荷官／开收台可疑,87.0
2026-06-10,31,114672459,3,1,3,0,4,5,残靴：截断／换荷官／开收台可疑,87.0
2026-06-11,2,114673571,3,1,3,0,12,21,残靴：截断／换荷官／开收台可疑,87.0
2026-06-11,907,1259926,3,1,3,0,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-06-13,37,114675312,3,1,3,0,15,30,残靴：截断／换荷官／开收台可疑,87.0
2026-06-15,908,1263383,3,1,3,0,4,6,残靴：截断／换荷官／开收台可疑,87.0
2026-06-17,36,114679732,3,1,3,0,6,10,残靴：截断／换荷官／开收台可疑,87.0
2026-06-17,911,1265179,3,1,3,0,4,7,残靴：截断／换荷官／开收台可疑,87.0
2026-06-19,6,114682255,3,1,3,0,9,16,残靴：截断／换荷官／开收台可疑,87.0
2026-06-20,912,1267578,3,1,3,0,6,9,残靴：截断／换荷官／开收台可疑,87.0
2026-06-25,3,114688852,3,1,3,0,7,9,残靴：截断／换荷官／开收台可疑,87.0
2026-06-25,912,1271625,3,1,3,0,5,7,残靴：截断／换荷官／开收台可疑,87.0
2026-06-26,901,1272488,3,1,3,0,3,6,残靴：截断／换荷官／开收台可疑,87.0
2026-06-27,901,1273382,3,1,3,0,9,15,残靴：截断／换荷官／开收台可疑,87.0
2026-06-29,36,114693277,3,2,2,1,8,14,残靴：截断／换荷官／开收台可疑,87.0
2026-06-29,911,1275065,3,1,2,1,2,2,残靴：截断／换荷官／开收台可疑,87.0
2026-06-30,6,114694399,3,1,3,0,10,18,残靴：截断／换荷官／开收台可疑,87.0
2026-07-01,115,114695556,3,1,3,0,18,28,残靴：截断／换荷官／开收台可疑,87.0
2026-07-02,8,114696755,3,1,3,0,12,17,残靴：截断／换荷官／开收台可疑,87.0
2026-07-06,115,114701381,3,1,3,0,14,26,残靴：截断／换荷官／开收台可疑,87.0
2026-07-08,2,114703654,3,1,3,0,8,17,残靴：截断／换荷官／开收台可疑,87.0
2026-07-13,6,114709043,3,1,3,0,9,13,残靴：截断／换荷官／开收台可疑,87.0
2026-07-15,6,114711268,3,3,1,2,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-07-15,911,1289493,3,1,3,0,8,9,残靴：截断／换荷官／开收台可疑,87.0
2026-07-17,1,114713532,3,1,3,0,13,24,残靴：截断／换荷官／开收台可疑,87.0
2026-07-20,31,114716849,3,1,3,0,10,21,残靴：截断／换荷官／开收台可疑,87.0
2026-07-20,6,114716851,3,1,2,1,2,2,残靴：截断／换荷官／开收台可疑,87.0
2026-07-20,7,114716852,3,1,3,0,3,4,残靴：截断／换荷官／开收台可疑,87.0
2026-07-22,33,114719079,3,2,2,1,4,5,残靴：截断／换荷官／开收台可疑,87.0
2026-07-22,902,1295538,3,2,2,1,2,2,残靴：截断／换荷官／开收台可疑,87.0
2026-07-27,116,114724603,3,1,3,0,17,35,残靴：截断／换荷官／开收台可疑,87.0
2026-07-29,116,114726861,3,1,3,0,20,33,残靴：截断／换荷官／开收台可疑,87.0
2026-07-29,7,114726864,3,1,3,0,8,10,残靴：截断／换荷官／开收台可疑,87.0
2026-08-01,6,114730280,3,1,3,0,7,10,残靴：截断／换荷官／开收台可疑,87.0
2026-08-01,903,12103753,3,3,1,2,4,4,残靴：截断／换荷官／开收台可疑,87.0
2026-08-04,913,12105993,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0
2026-08-05,6,114734681,3,1,3,0,10,14,残靴：截断／换荷官／开收台可疑,87.0
2026-08-06,901,12107519,3,1,3,0,8,25,残靴：截断／换荷官／开收台可疑,87.0
2026-03-27,7,114590920,2,1,2,0,4,9,残靴：截断／换荷官／开收台可疑,87.0
2026-04-03,5,114598749,2,1,2,0,6,10,残靴：截断／换荷官／开收台可疑,87.0
2026-04-03,7,114598748,2,1,2,0,7,13,残靴：截断／换荷官／开收台可疑,87.0
2026-04-03,912,126693,2,2,1,1,1,1,残靴：截断／换荷官／开收台可疑,87.0
2026-04-05,913,127774,2,1,2,0,17,25,残靴：截断／换荷官／开收台可疑,87.0
2026-04-06,113,114601975,2,1,2,0,13,19,残靴：截断／换荷官／开收台可疑,87.0
2026-04-07,5,114603062,2,1,2,0,3,4,残靴：截断／换荷官／开收台可疑,87.0
2026-04-09,902,1210570,2,1,2,0,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-04-11,32,114607426,2,1,2,0,11,16,残靴：截断／换荷官／开收台可疑,87.0
2026-04-12,911,1212619,2,1,2,0,8,12,残靴：截断／换荷官／开收台可疑,87.0
2026-04-17,36,114613701,2,1,2,0,7,8,残靴：截断／换荷官／开收台可疑,87.0
2026-04-19,913,1217336,2,2,1,1,1,1,残靴：截断／换荷官／开收台可疑,87.0
2026-04-20,905,1218179,2,1,2,0,8,8,残靴：截断／换荷官／开收台可疑,87.0
2026-04-21,112,114617920,2,1,2,0,16,23,残靴：截断／换荷官／开收台可疑,87.0
2026-04-21,37,114617919,2,1,2,0,12,26,残靴：截断／换荷官／开收台可疑,87.0
2026-04-21,911,1218371,2,1,2,0,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-04-24,905,1220953,2,2,1,1,1,1,残靴：截断／换荷官／开收台可疑,87.0
2026-04-25,35,114622316,2,1,2,0,4,6,残靴：截断／换荷官／开收台可疑,87.0
2026-04-25,7,114622319,2,2,1,1,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-04-26,115,114623282,2,1,2,0,11,14,残靴：截断／换荷官／开收台可疑,87.0
2026-04-29,3,114626578,2,2,1,1,3,7,残靴：截断／换荷官／开收台可疑,87.0
2026-05-01,7,114628880,2,1,2,0,2,2,残靴：截断／换荷官／开收台可疑,87.0
2026-05-01,901,1225779,2,2,1,1,3,4,残靴：截断／换荷官／开收台可疑,87.0
2026-05-02,36,114630099,2,1,2,0,4,5,残靴：截断／换荷官／开收台可疑,87.0
2026-05-08,113,114636769,2,1,2,0,16,29,残靴：截断／换荷官／开收台可疑,87.0
2026-05-11,911,1234010,2,1,2,0,3,4,残靴：截断／换荷官／开收台可疑,87.0
2026-05-13,113,114641869,2,1,2,0,17,21,残靴：截断／换荷官／开收台可疑,87.0
2026-05-13,912,1235660,2,1,2,0,2,3,残靴：截断／换荷官／开收台可疑,87.0
2026-05-14,6,114642926,2,1,2,0,3,4,残靴：截断／换荷官／开收台可疑,87.0
2026-05-15,905,1237337,2,1,2,0,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-05-17,36,114645969,2,1,2,0,4,7,残靴：截断／换荷官／开收台可疑,87.0
2026-05-17,6,114645970,2,2,1,1,6,6,残靴：截断／换荷官／开收台可疑,87.0
2026-05-17,910,1238947,2,1,2,0,9,15,残靴：截断／换荷官／开收台可疑,87.0
2026-05-20,2,114649200,2,1,2,0,10,11,残靴：截断／换荷官／开收台可疑,87.0
2026-05-20,31,114649201,2,1,2,0,8,11,残靴：截断／换荷官／开收台可疑,87.0
2026-05-23,902,1244011,2,1,2,0,3,5,残靴：截断／换荷官／开收台可疑,87.0
2026-05-24,6,114653461,2,1,2,0,7,7,残靴：截断／换荷官／开收台可疑,87.0
2026-05-24,7,114653459,2,1,2,0,2,3,残靴：截断／换荷官／开收台可疑,87.0
2026-05-24,901,1244754,2,1,2,0,3,4,残靴：截断／换荷官／开收台可疑,87.0
2026-05-25,1,114653507,2,1,2,0,14,19,残靴：截断／换荷官／开收台可疑,87.0
2026-05-25,112,114653546,2,1,2,0,15,26,残靴：截断／换荷官／开收台可疑,87.0
2026-05-25,112,114654530,2,1,2,0,21,34,残靴：截断／换荷官／开收台可疑,87.0
2026-05-26,31,114655616,2,1,2,0,2,3,残靴：截断／换荷官／开收台可疑,87.0
2026-05-27,901,1247311,2,1,2,0,2,3,残靴：截断／换荷官／开收台可疑,87.0
2026-05-29,37,114658963,2,1,2,0,21,34,残靴：截断／换荷官／开收台可疑,87.0
2026-05-29,8,114658970,2,1,2,0,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-06-04,902,1253904,2,2,1,1,7,8,残靴：截断／换荷官／开收台可疑,87.0
2026-06-06,112,114668190,2,1,2,0,11,19,残靴：截断／换荷官／开收台可疑,87.0
2026-06-06,913,1255665,2,2,1,1,3,3,残靴：截断／换荷官／开收台可疑,87.0
2026-06-09,901,1258204,2,1,2,0,3,5,残靴：截断／换荷官／开收台可疑,87.0
2026-06-12,1,114674645,2,1,2,0,6,7,残靴：截断／换荷官／开收台可疑,87.0
2026-06-13,908,1261681,2,1,2,0,2,2,残靴：截断／换荷官／开收台可疑,87.0
2026-06-15,115,114677806,2,1,2,0,12,25,残靴：截断／换荷官／开收台可疑,87.0
2026-06-20,901,1267579,2,1,2,0,5,5,残靴：截断／换荷官／开收台可疑,87.0
2026-06-20,903,1267580,2,2,1,1,4,4,残靴：截断／换荷官／开收台可疑,87.0
2026-06-25,911,1271627,2,1,2,0,2,3,残靴：截断／换荷官／开收台可疑,87.0
2026-06-26,2,114689986,2,1,2,0,3,6,残靴：截断／换荷官／开收台可疑,87.0
2026-06-27,6,114691131,2,2,1,1,1,1,残靴：截断／换荷官／开收台可疑,87.0
2026-06-28,7,114692130,2,1,2,0,7,9,残靴：截断／换荷官／开收台可疑,87.0
