bet_id,biz_date,bet_time,table_id,shoe_id,round_no,member_id,play_type,fx_rate,stake_raw,payout_raw,rebate_raw,bet41_val,validbet_val,diff_abs,diff_rel,diff_kind,in_clean,chk_def
5350095934,2026-03-27,2026-03-27 14:11:59,35,114589883,36,126558303,Banker,4.54360000,350.0000,350.0000,0.0000,0.0000,350.0000,-350.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095942,2026-03-27,2026-03-27 14:12:00,35,114589883,36,114172453,Player,4.54360000,13.0000,13.0000,0.0000,0.0000,13.0000,-13.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095965,2026-03-27,2026-03-27 14:12:02,35,114589883,36,147732484,Player,3.79770000,100.0000,100.0000,0.0000,0.0000,100.0000,-100.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095967,2026-03-27,2026-03-27 14:12:02,35,114589883,36,130481964,Banker,4.54360000,50.0000,50.0000,0.0000,0.0000,50.0000,-50.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095977,2026-03-27,2026-03-27 14:12:02,35,114589883,36,146883849,Player,4.54360000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095987,2026-03-27,2026-03-27 14:12:02,35,114589883,36,24405473,Banker,3.79770000,3000.0000,3000.0000,0.0000,0.0000,3000.0000,-3000.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095988,2026-03-27,2026-03-27 14:12:02,35,114589883,36,146517223,Player,0.56740000,500.0000,500.0000,0.0000,0.0000,500.0000,-500.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350095989,2026-03-27,2026-03-27 14:12:02,35,114589883,36,147757116,Player,3.79770000,1500.0000,1500.0000,0.0000,0.0000,1500.0000,-1500.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114895,2026-03-27,2026-03-27 14:28:41,37,114589921,8,129533265,Player,3.79770000,20.0000,20.0000,0.0000,0.0000,20.0000,-20.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114896,2026-03-27,2026-03-27 14:28:44,37,114589921,8,146931615,Player,3.79770000,300.0000,300.0000,0.0000,0.0000,300.0000,-300.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114900,2026-03-27,2026-03-27 14:28:41,37,114589921,8,142994527,Banker,3.79770000,100.0000,100.0000,0.0000,0.0000,100.0000,-100.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114914,2026-03-27,2026-03-27 14:29:03,37,114589921,8,5731926,Player,4.54360000,8000.0000,8000.0000,0.0000,0.0000,8000.0000,-8000.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114916,2026-03-27,2026-03-27 14:28:41,37,114589921,8,147411291,Banker,0.56740000,35.0000,35.0000,0.0000,0.0000,35.0000,-35.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114917,2026-03-27,2026-03-27 14:28:41,37,114589921,8,147411291,Tie,0.56740000,5.0000,5.0000,0.0000,0.0000,5.0000,-5.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114918,2026-03-27,2026-03-27 14:28:41,37,114589921,8,147411291,Super6,0.56740000,5.0000,5.0000,0.0000,0.0000,5.0000,-5.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114919,2026-03-27,2026-03-27 14:28:41,37,114589921,8,147411291,SuperLucky7,0.56740000,5.0000,5.0000,0.0000,0.0000,5.0000,-5.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114931,2026-03-27,2026-03-27 14:28:42,37,114589921,8,132290240,Player,3.79770000,200.0000,200.0000,0.0000,0.0000,200.0000,-200.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114940,2026-03-27,2026-03-27 14:28:43,37,114589921,8,114510770,Banker,4.54360000,50.0000,50.0000,0.0000,0.0000,50.0000,-50.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114943,2026-03-27,2026-03-27 14:28:43,37,114589921,8,6255961,Player,3.79770000,100.0000,100.0000,0.0000,0.0000,100.0000,-100.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114944,2026-03-27,2026-03-27 14:28:43,37,114589921,8,139990304,Banker,1.00000000,15.0000,15.0000,0.0000,0.0000,15.0000,-15.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114963,2026-03-27,2026-03-27 14:28:44,37,114589921,8,134972381,Super6,4.54360000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114964,2026-03-27,2026-03-27 14:28:44,37,114589921,8,134972381,Lucky7,4.54360000,10.0000,10.0000,0.0000,0.0000,10.0000,-10.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114966,2026-03-27,2026-03-27 14:28:44,37,114589921,8,147143322,Banker,4.54360000,400.0000,400.0000,0.0000,0.0000,400.0000,-400.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114967,2026-03-27,2026-03-27 14:28:44,37,114589921,8,147143322,Super6,4.54360000,50.0000,50.0000,0.0000,0.0000,50.0000,-50.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114979,2026-03-27,2026-03-27 14:28:50,37,114589921,8,147707436,Player,4.54360000,2500.0000,2500.0000,0.0000,0.0000,2500.0000,-2500.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114988,2026-03-27,2026-03-27 14:29:00,37,114589921,8,147756727,Player,0.56740000,75.0000,75.0000,0.0000,0.0000,75.0000,-75.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350114998,2026-03-27,2026-03-27 14:28:52,37,114589921,8,132403270,Player,1.00000000,900.0000,900.0000,0.0000,0.0000,900.0000,-900.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115014,2026-03-27,2026-03-27 14:28:45,37,114589921,8,49926535,Banker,3.79770000,61.0000,61.0000,0.0000,0.0000,61.0000,-61.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115022,2026-03-27,2026-03-27 14:28:51,37,114589921,8,145730476,Player,4.54360000,100.0000,100.0000,0.0000,0.0000,100.0000,-100.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115029,2026-03-27,2026-03-27 14:28:47,37,114589921,8,144776461,Banker,4.54360000,20.0000,20.0000,0.0000,0.0000,20.0000,-20.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115030,2026-03-27,2026-03-27 14:28:47,37,114589921,8,144776461,BPair,4.54360000,1.0000,1.0000,0.0000,0.0000,1.0000,-1.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115031,2026-03-27,2026-03-27 14:28:47,37,114589921,8,144776461,PPair,4.54360000,1.0000,1.0000,0.0000,0.0000,1.0000,-1.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115032,2026-03-27,2026-03-27 14:28:47,37,114589921,8,144776461,Super6,4.54360000,1.0000,1.0000,0.0000,0.0000,1.0000,-1.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115033,2026-03-27,2026-03-27 14:28:47,37,114589921,8,144776461,Lucky7,4.54360000,1.0000,1.0000,0.0000,0.0000,1.0000,-1.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115034,2026-03-27,2026-03-27 14:28:47,37,114589921,8,144776461,SuperLucky7,4.54360000,1.0000,1.0000,0.0000,0.0000,1.0000,-1.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115040,2026-03-27,2026-03-27 14:28:56,37,114589921,8,106677270,Player,4.54360000,460.0000,460.0000,0.0000,0.0000,460.0000,-460.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115041,2026-03-27,2026-03-27 14:28:56,37,114589921,8,106677270,Tie,4.54360000,60.0000,60.0000,0.0000,0.0000,60.0000,-60.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115042,2026-03-27,2026-03-27 14:28:56,37,114589921,8,106677270,Lucky7,4.54360000,60.0000,60.0000,0.0000,0.0000,60.0000,-60.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115043,2026-03-27,2026-03-27 14:28:47,37,114589921,8,106677270,SuperLucky7,4.54360000,30.0000,30.0000,0.0000,0.0000,30.0000,-30.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115047,2026-03-27,2026-03-27 14:28:47,37,114589921,8,147143322,Tie,4.54360000,50.0000,50.0000,0.0000,0.0000,50.0000,-50.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115048,2026-03-27,2026-03-27 14:28:47,37,114589921,8,147756727,PPair,0.56740000,5.0000,5.0000,0.0000,0.0000,5.0000,-5.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115055,2026-03-27,2026-03-27 14:29:01,37,114589921,8,145715570,Tie,306.20800000,2000.0000,2000.0000,0.0000,0.0000,2000.0000,-2000.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115056,2026-03-27,2026-03-27 14:28:47,37,114589921,8,145715570,BPair,306.20800000,1000.0000,1000.0000,0.0000,0.0000,1000.0000,-1000.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115057,2026-03-27,2026-03-27 14:28:47,37,114589921,8,145715570,PPair,306.20800000,1000.0000,1000.0000,0.0000,0.0000,1000.0000,-1000.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115058,2026-03-27,2026-03-27 14:28:47,37,114589921,8,145715570,Super6,306.20800000,1000.0000,1000.0000,0.0000,0.0000,1000.0000,-1000.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115059,2026-03-27,2026-03-27 14:28:47,37,114589921,8,145715570,Lucky7,306.20800000,2000.0000,2000.0000,0.0000,0.0000,2000.0000,-2000.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115060,2026-03-27,2026-03-27 14:28:47,37,114589921,8,145715570,SuperLucky7,306.20800000,1000.0000,1000.0000,0.0000,0.0000,1000.0000,-1000.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115064,2026-03-27,2026-03-27 14:28:47,37,114589921,8,47966605,Player,3.79770000,25.0000,25.0000,0.0000,0.0000,25.0000,-25.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115074,2026-03-27,2026-03-27 14:28:48,37,114589921,8,147756727,BPair,0.56740000,5.0000,5.0000,0.0000,0.0000,5.0000,-5.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
5350115082,2026-03-27,2026-03-27 14:29:01,37,114589921,8,48408655,Tie,3.79770000,350.0000,350.0000,0.0000,0.0000,350.0000,-350.0000,-1.0000000000,NEG,1,bet41_ne_validbet_v1
