uid,n_shoes,n_orders,entry_pos_p50,exit_pos_p50,bet_density_p50,entry_round_avg,audit_rn,batch_id
6115166,132,381,0.5333,0.6217,1.0,27.95,310,1
6116876,172,503,0.5208,0.6563,1.0,24.84,311,1
6127020,199,1235,0.38,0.5098,1.0,20.07,312,1
6157767,54,176,0.6252,0.7369,1.0,28.11,313,1
6158343,97,1098,0.566,0.8511,1.0,26.14,314,1
6161682,467,855,0.5208,0.7292,1.0,25.85,315,1
6162055,816,4736,0.48,0.6262,1.0,24.7,316,1
6171528,4,129,0.2833,0.4053,4.25,14.25,317,1
6183921,88,276,0.5565,0.6314,1.0,27.52,318,1
6186355,32,164,0.557,0.7254,1.0,29.0,319,1
6191921,677,4554,0.5417,0.6122,1.0,26.04,320,1
6209134,452,706,0.5444,0.5833,1.0,26.36,321,1
6215609,43,344,0.2241,0.383,1.0,12.72,322,1
6252595,31,203,0.2453,0.4444,1.0,13.77,323,1
6253924,313,2222,0.1915,0.4118,1.0,14.37,324,1
6255961,20883,83047,0.3668,0.7547,0.4162,21.38,325,1
6257686,295,846,0.5098,0.7,1.0,26.15,326,1
6270374,2363,8521,0.3725,0.4894,1.0,19.98,327,1
6275950,31,245,0.2766,0.4906,0.9231,18.74,328,1
6276202,64,1263,0.6243,0.7732,2.6304,28.16,329,1
6312901,786,5675,0.6222,0.8571,0.875,31.41,330,1
6316922,138,226,0.1919,0.2918,1.0,13.41,331,1
6319872,232,585,0.4286,0.4687,1.0,23.33,332,1
6324676,223,508,0.5882,0.6304,1.0,27.99,333,1
6325957,647,3603,0.4615,0.5745,1.0,25.91,334,1
6332739,154,245,0.4951,0.5607,1.0,25.45,335,1
6339628,47,970,0.75,0.8627,3.0,31.66,336,1
6363208,158,388,0.4467,0.6464,1.0,24.24,337,1
6374933,572,1439,0.3131,0.4078,1.0,19.11,338,1
6378967,264,833,0.5938,0.6535,1.0,29.6,339,1
6386679,167,631,0.2632,0.7234,0.4286,18.66,340,1
6387522,12,125,0.622,0.9699,0.9833,28.42,341,1
6395506,571,1423,0.3958,0.6275,0.8,22.31,342,1
6400203,12,116,0.4798,0.7521,0.963,23.17,343,1
6404006,14,720,0.3713,0.7549,2.4533,19.93,344,1
6410939,199,1364,0.5472,0.7308,1.0,26.72,345,1
6412653,236,8758,0.3394,0.5359,5.0,19.88,346,1
6421039,284,1499,0.4375,0.5251,1.0,22.35,347,1
6428922,849,1488,0.4894,0.6087,1.0,24.97,348,1
6453613,22,102,0.2836,0.3786,1.0,17.36,349,1
