table_id,table_flag,n_shoes,n_shoes_old,n_shoes_delta,avg_max_round,avg_max_round_old,avg_maxround_inflation,sd_max_round,min_max_round,ceiling_observed,ceiling_old,p50_max_round,p90_max_round,p99_max_round,collision_flag,n_stub_shoes,avg_gap,avg_n_bettors,avg_bets_per_round,round_at_pos080,corr_len_density,corr_density_lo95,corr_density_hi95,corr_density_verdict,corr_len_bettors,corr_bettors_lo95,corr_bettors_hi95,audit_rn,batch_id
901,正常,3408,3306,102,51.1089,51.8669,0.758,6.1975,1,63,63,52.0,55.0,59.0,—,13,1.944,150.8815,11.9488,40.89,0.101953,0.068612,0.135066,CI > 0：低估假说得证,0.300828,0.269979,0.33106,11,1
907,正常,3248,3148,100,51.0748,51.8034,0.7286,6.084,1,64,64,52.0,55.0,58.0,—,10,2.7087,122.3565,9.1755,40.86,0.086178,0.051939,0.120215,CI > 0：低估假说得证,0.280624,0.248631,0.312006,12,1
902,正常,3420,3313,107,51.0678,51.8563,0.7885,6.0412,2,63,63,52.0,55.0,58.3,—,10,2.138,142.5605,11.1648,40.85,0.083266,0.049888,0.116458,CI > 0：低估假说得证,0.290125,0.259128,0.320525,13,1
7,正常,6058,5950,108,48.9394,49.3617,0.4223,4.9044,1,58,58,49.0,52.0,55.0,—,16,0.8003,172.4738,18.2354,39.15,0.104666,0.079694,0.129507,CI > 0：低估假说得证,0.246317,0.222515,0.269826,14,1
8,正常,6081,5975,106,48.9291,49.3115,0.3823,4.4169,1,59,59,49.0,52.0,55.0,—,8,0.9369,160.4827,16.2189,39.14,0.081218,0.056197,0.106136,CI > 0：低估假说得证,0.21413,0.190017,0.237984,15,1
2,正常,6042,5936,106,48.8613,49.3034,0.4421,4.7859,1,60,60,49.0,52.0,55.0,—,13,0.5316,223.0677,26.1651,39.09,0.095978,0.070934,0.120902,CI > 0：低估假说得证,0.226303,0.202242,0.250092,16,1
1,正常,5973,5863,110,48.8205,49.3176,0.4971,5.0227,1,58,58,49.0,52.0,55.0,—,15,0.4974,242.3789,29.1155,39.06,0.105524,0.080378,0.130536,CI > 0：低估假说得证,0.242459,0.218441,0.266184,17,1
6,正常,5899,5786,113,48.8025,49.2841,0.4816,4.9419,1,58,58,49.0,52.0,55.0,—,21,0.7252,184.7098,19.7955,39.04,0.103115,0.0778,0.128297,CI > 0：低估假说得证,0.245172,0.221036,0.269009,18,1
5,正常,6058,5949,109,48.795,49.2202,0.4252,4.6835,2,59,59,49.0,52.0,55.0,—,5,0.6803,194.2674,21.5731,39.04,0.085467,0.060414,0.110412,CI > 0：低估假说得证,0.221891,0.197814,0.245701,19,1
3,正常,6019,5909,110,48.7516,49.1928,0.4411,4.9061,1,61,61,49.0,52.0,55.0,—,16,0.6468,206.7428,23.5218,39.0,0.099334,0.074256,0.124286,CI > 0：低估假说得证,0.236449,0.212454,0.260159,20,1
115,正常,4547,4433,114,48.3776,49.0005,0.6228,5.3432,1,59,59,49.0,52.0,55.0,—,12,0.66,340.7601,43.0806,38.7,0.117354,0.088589,0.145923,CI > 0：低估假说得证,0.257355,0.230008,0.284295,21,1
113,正常,4584,4475,109,48.2424,48.8581,0.6157,5.4381,1,60,60,49.0,52.0,55.0,—,12,0.5916,350.904,44.7656,38.59,0.127747,0.099164,0.15612,CI > 0：低估假说得证,0.261688,0.234515,0.288453,22,1
112,正常,4562,4449,113,48.0951,48.6601,0.565,5.4781,1,58,58,49.0,52.0,55.0,—,18,0.6854,359.7258,46.0178,38.48,0.144761,0.11623,0.173054,CI > 0：低估假说得证,0.267659,0.240508,0.294392,23,1
116,正常,4612,4502,110,48.0603,48.6237,0.5634,5.1738,1,58,58,49.0,52.0,54.0,—,9,0.6444,320.2353,39.0544,38.45,0.124122,0.095603,0.152438,CI > 0：低估假说得证,0.259688,0.232569,0.286403,24,1
31,正常,4552,4445,107,47.2594,47.8216,0.5622,5.1034,1,58,58,48.0,51.0,54.0,—,11,0.8227,207.2781,21.1710,37.81,0.089664,0.060771,0.118407,CI > 0：低估假说得证,0.258592,0.231278,0.285498,25,1
35,正常,4598,4487,111,47.206,47.7865,0.5805,5.2411,1,56,56,48.0,51.0,53.0,—,15,1.0087,173.6564,16.5679,37.76,0.106904,0.07824,0.135391,CI > 0：低估假说得证,0.271307,0.244317,0.297876,26,1
33,正常,4568,4461,107,47.0876,47.6084,0.5208,4.9766,1,56,56,48.0,50.0,53.0,—,12,0.9413,183.6659,18.0575,37.67,0.121916,0.093246,0.150385,CI > 0：低估假说得证,0.271366,0.244288,0.298021,27,1
32,正常,4532,4422,110,47.0708,47.6291,0.5583,5.0657,1,60,60,48.0,51.0,53.0,—,12,0.8831,193.8228,19.6714,37.66,0.091146,0.062195,0.119943,CI > 0：低估假说得证,0.259399,0.232036,0.286352,28,1
36,正常,4529,4416,113,47.0572,47.6612,0.604,5.3518,1,56,56,48.0,51.0,53.0,—,17,1.0232,168.6977,16.1083,37.65,0.10064,0.071725,0.129386,CI > 0：低估假说得证,0.278639,0.251555,0.305287,29,1
37,正常,2868,2757,111,46.9616,47.8847,0.923,6.2224,1,57,57,48.0,51.0,53.0,—,12,1.0565,213.3096,27.6732,37.57,0.105922,0.069591,0.141973,CI > 0：低估假说得证,0.318995,0.28573,0.351492,30,1
