dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used,audit_rn,batch_id
2026-08-06,912,12107518,5,1,5,0,9,11,残靴：截断／换荷官／开收台可疑,87.0,85,1
2026-03-23,912,123408,4,2,2,2,5,5,残靴：截断／换荷官／开收台可疑,87.0,86,1
2026-03-24,907,3122494,4,2,3,1,3,4,残靴：截断／换荷官／开收台可疑,87.0,87,1
2026-03-24,911,123646,4,1,4,0,6,18,残靴：截断／换荷官／开收台可疑,87.0,88,1
2026-03-25,37,114588672,4,1,4,0,15,28,残靴：截断／换荷官／开收台可疑,87.0,89,1
2026-03-25,909,123900,4,1,3,1,5,6,残靴：截断／换荷官／开收台可疑,87.0,90,1
2026-03-27,902,124405,4,2,3,1,5,5,残靴：截断／换荷官／开收台可疑,87.0,91,1
2026-03-28,905,124681,4,3,2,2,4,4,残靴：截断／换荷官／开收台可疑,87.0,92,1
2026-03-30,2,114594054,4,1,4,0,12,28,残靴：截断／换荷官／开收台可疑,87.0,93,1
2026-04-07,1,114603058,4,1,4,0,21,42,残靴：截断／换荷官／开收台可疑,87.0,94,1
2026-04-08,36,114604179,4,1,3,1,8,10,残靴：截断／换荷官／开收台可疑,87.0,95,1
2026-04-08,902,129852,4,1,4,0,4,9,残靴：截断／换荷官／开收台可疑,87.0,96,1
2026-04-08,908,129853,4,1,4,0,4,11,残靴：截断／换荷官／开收台可疑,87.0,97,1
2026-04-08,909,129850,4,1,4,0,6,10,残靴：截断／换荷官／开收台可疑,87.0,98,1
2026-04-13,33,114609359,4,1,4,0,13,24,残靴：截断／换荷官／开收台可疑,87.0,99,1
2026-04-14,913,1214141,4,1,4,0,15,26,残靴：截断／换荷官／开收台可疑,87.0,100,1
2026-04-16,113,114612618,4,1,4,0,27,70,残靴：截断／换荷官／开收台可疑,87.0,101,1
2026-04-17,32,114613697,4,1,4,0,12,29,残靴：截断／换荷官／开收台可疑,87.0,102,1
2026-04-18,115,114614769,4,1,4,0,27,51,残靴：截断／换荷官／开收台可疑,87.0,103,1
2026-04-18,33,114614770,4,1,4,0,9,17,残靴：截断／换荷官／开收台可疑,87.0,104,1
2026-04-23,913,1220256,4,3,2,2,2,2,残靴：截断／换荷官／开收台可疑,87.0,105,1
2026-05-03,6,114631148,4,1,4,0,9,19,残靴：截断／换荷官／开收台可疑,87.0,106,1
2026-05-04,911,1228157,4,2,3,1,4,5,残靴：截断／换荷官／开收台可疑,87.0,107,1
2026-05-05,5,114633468,4,1,4,0,19,48,残靴：截断／换荷官／开收台可疑,87.0,108,1
2026-05-13,7,114641868,4,1,4,0,8,20,残靴：截断／换荷官／开收台可疑,87.0,109,1
2026-05-14,911,1236484,4,1,4,0,9,18,残靴：截断／换荷官／开收台可疑,87.0,110,1
2026-05-16,6,114645028,4,1,4,0,10,17,残靴：截断／换荷官／开收台可疑,87.0,111,1
2026-05-17,33,114645968,4,1,4,0,11,20,残靴：截断／换荷官／开收台可疑,87.0,112,1
2026-05-18,905,1239814,4,2,3,1,8,12,残靴：截断／换荷官／开收台可疑,87.0,113,1
2026-05-19,3,114648132,4,1,4,0,15,25,残靴：截断／换荷官／开收台可疑,87.0,114,1
2026-05-22,3,114651388,4,1,4,0,4,15,残靴：截断／换荷官／开收台可疑,87.0,115,1
2026-05-23,907,1244010,4,2,3,1,6,10,残靴：截断／换荷官／开收台可疑,87.0,116,1
2026-05-24,113,114653460,4,1,4,0,17,39,残靴：截断／换荷官／开收台可疑,87.0,117,1
2026-05-25,35,114653544,4,1,4,0,32,42,残靴：截断／换荷官／开收台可疑,87.0,118,1
2026-05-26,903,1246444,4,2,3,1,3,5,残靴：截断／换荷官／开收台可疑,87.0,119,1
2026-05-26,911,1246445,4,3,2,2,3,3,残靴：截断／换荷官／开收台可疑,87.0,120,1
2026-05-31,7,114661029,4,1,4,0,12,26,残靴：截断／换荷官／开收台可疑,87.0,121,1
2026-06-03,35,114664752,4,1,4,0,15,43,残靴：截断／换荷官／开收台可疑,87.0,122,1
2026-06-04,1,114665972,4,1,4,0,18,30,残靴：截断／换荷官／开收台可疑,87.0,123,1
2026-06-04,113,114665970,4,1,4,0,18,38,残靴：截断／换荷官／开收台可疑,87.0,124,1
2026-06-07,901,1256445,4,1,2,2,3,3,残靴：截断／换荷官／开收台可疑,87.0,125,1
2026-06-10,116,114672454,4,1,4,0,36,52,残靴：截断／换荷官／开收台可疑,87.0,126,1
2026-06-12,907,1260801,4,2,3,1,4,4,残靴：截断／换荷官／开收台可疑,87.0,127,1
2026-06-13,3,114674991,4,2,3,1,14,26,残靴：截断／换荷官／开收台可疑,87.0,128,1
2026-06-13,3,114675754,4,1,4,0,22,39,残靴：截断／换荷官／开收台可疑,87.0,129,1
2026-06-15,911,1263381,4,1,3,1,4,4,残靴：截断／换荷官／开收台可疑,87.0,130,1
2026-06-16,6,114678907,4,1,4,0,14,32,残靴：截断／换荷官／开收台可疑,87.0,131,1
