uid,n_orders_all,n_orders_late,late_def,late_share,shoe_pos_p50,stake_late_avg,stake_early_avg,stake_ramp,roi_late,roi_early,stake_late,game_pnl_late,stake_all,game_pnl_all,audit_rn,batch_id
147586065,1224,208,shoe_pos>=0.80,0.1699346,0.9157801866531372,502.523291592314,679.672506410288,0.739360922875,0.053505814396,0.030699195477,104524.8446512013,5592.6869376405,795072.1111640536,26791.9324585834,69659,1
150023364,612,104,shoe_pos>=0.80,0.1699346,0.852615237236023,2.428232279033,2.856748199547,0.849998708118,-0.504238888432,-0.342345990713,252.5361570194,-127.3385511043,1703.7642423893,-624.1606677411,69660,1
114296024,153,26,shoe_pos>=0.80,0.1699346,0.9042552709579468,6.471106111788,4.736125380545,1.366329138660,-0.370370370372,-0.059909196706,168.2487589065,-62.3143551508,769.7366822357,-98.3490134660,69661,1
140818123,153,26,shoe_pos>=0.80,0.1699346,0.9309262037277222,57.796472063665,39.940809296422,1.447053103875,0.416200876237,-0.020889162292,1502.7082736553,625.4285002234,6575.1910543009,519.4685841950,69662,1
143448742,153,26,shoe_pos>=0.80,0.1699346,0.875,52.346153846154,55.834645669291,0.937521017975,-0.055143277002,-0.164377379777,1361.0000000000,-75.0500000000,8452.0000000000,-1240.6500000000,69663,1
144012514,153,26,shoe_pos>=0.80,0.1699346,0.9693616628646851,125.996704700646,88.496677055396,1.423745036458,-0.610710306536,-0.148653881592,3275.9143222168,-2000.6346399080,14514.9923082521,-3671.3672080438,69664,1
149246676,153,26,shoe_pos>=0.80,0.1699346,0.9368351101875305,35.961656036292,36.609176866111,0.982312608880,-0.380947012401,-0.119915946352,935.0030569436,-356.1866211288,5584.3685189397,-913.7196804424,69665,1
149727933,153,26,shoe_pos>=0.80,0.1699346,0.8979166746139526,139.615384615385,144.488188976378,0.966275413959,-0.086914600551,0.071525885559,3630.0000000000,-315.5000000000,21980.0000000000,997.0000000000,69666,1
152600599,153,26,shoe_pos>=0.80,0.1699346,0.9081632494926453,368.022497214642,319.093507316692,1.153337466216,0.264286870649,-0.118029497022,9568.5849275807,2528.8513670518,50093.4603568006,-2254.2792967227,69667,1
152645743,1589,270,shoe_pos>=0.80,0.1699182,0.8979591727256775,56.433333333333,55.373009855951,1.019148741962,0.173098378946,-0.050488108767,15237.0000000000,2637.5000000000,88274.0000000000,-1050.0000000000,69668,1
122401634,3184,541,shoe_pos>=0.80,0.1699121,0.8958333134651184,64.749174081633,62.664596467457,1.033265635330,-0.020079010016,-0.002325022939,35029.3031781636,-703.3537293739,200651.8316416528,-1088.4299073489,69669,1
146391095,206,35,shoe_pos>=0.80,0.1699029,0.9166666865348816,22.648487641229,33.597405413833,0.674114187160,0.203191489361,-0.089721478111,792.6970674430,161.0692977460,6537.8533932084,-354.3946197805,69670,1
149105876,206,35,shoe_pos>=0.80,0.1699029,0.8600000143051147,12.225286575900,9.564960991329,1.278132402943,0.223623289984,-0.018489918017,427.8850301565,95.6850581786,2063.4933596737,65.4427942587,69671,1
152043100,206,35,shoe_pos>=0.80,0.1699029,0.8627451062202454,5.143106950900,5.173183599736,0.994186046512,-0.028571428571,-0.027616279069,180.0087432815,-5.1431069509,1064.6231388363,-29.5728649670,69672,1
153091811,206,35,shoe_pos>=0.80,0.1699029,0.918367326259613,405.885714285714,319.064327485380,1.272112484290,0.206666197381,-0.046935483871,14206.0000000000,2935.9000000000,68766.0000000000,375.1000000000,69673,1
110823401,5986,1017,shoe_pos>=0.80,0.1698964,0.9019607901573181,7.360370599583,7.303840327369,1.007739801211,-0.000860866755,-0.023827917313,7485.4968997760,-6.4440154250,43778.2794864748,-871.2254379767,69674,1
126892116,930,158,shoe_pos>=0.80,0.1698925,0.936170220375061,1.021951518600,1.030590373284,0.991617567068,-0.278481012650,-0.089776072600,161.4683399388,-44.9658668170,957.0841081140,-116.3931257821,69675,1
132056305,1760,299,shoe_pos>=0.80,0.1698864,0.8979591727256775,68.709463182757,65.007135435695,1.056952636387,-0.014442556301,0.052386797384,20544.1294916443,-296.7097468407,115519.5543631949,4678.7485923841,69676,1
146036235,518,88,shoe_pos>=0.80,0.1698842,0.9111111164093018,2.577949175232,2.780432260915,0.927175681088,-0.059242408241,-0.076950509174,226.8595274204,-13.4397047369,1422.4453996140,-105.4406463632,69677,1
151560781,518,88,shoe_pos>=0.80,0.1698842,0.8799999952316284,17.727272727273,14.283720930233,1.241082265179,0.447756410256,-0.075952458483,1560.0000000000,698.5000000000,7702.0000000000,232.0000000000,69678,1
148054925,6693,1137,shoe_pos>=0.80,0.1698790,0.8979591727256775,9.647061278848,10.656888697586,0.905241816125,-0.052715019482,-0.028756912922,10968.7086740500,-578.2156914444,70178.3822778404,-2280.9031193945,69679,1
4342186,312,53,shoe_pos>=0.80,0.1698718,0.8799999952316284,190.660151504426,159.807229432713,1.193063368793,0.217373790021,-0.113872711062,10104.9880297346,2196.5595461359,51495.0604528073,-2516.6402117216,69680,1
139999588,4062,690,shoe_pos>=0.80,0.1698671,0.8958333134651184,10.488975137529,10.564562046388,0.992845239724,0.019817455869,-0.027880674505,7237.3928448953,143.4267133124,42861.0960653157,-849.7861608346,69681,1
150309058,365,62,shoe_pos>=0.80,0.1698630,0.9056603908538818,6.996975231039,5.567550483611,1.256742125938,0.194377990431,-0.050832942361,433.8124643244,84.3235950392,2120.7802608584,-1.4299417269,69682,1
142903734,21409,3636,shoe_pos>=0.80,0.1698351,0.8979591727256775,208.855055460522,162.820511100641,1.282731850236,-0.084709431360,-0.069177535190,759396.9816544562,-64328.0864925064,3653205.9254461499,-264514.6565358805,69683,1
144867453,895,152,shoe_pos>=0.80,0.1698324,0.8852459192276001,3.625809527376,4.440245071478,0.816578695322,0.334448160535,-0.062945965361,551.1230481611,184.3220896859,3850.2251362693,-23.3430760735,69684,1
147102701,1319,224,shoe_pos>=0.80,0.1698256,0.8979591727256775,20.213095872234,20.727068012833,0.975202853569,-0.096186435842,-0.036000821721,4527.7334753804,-435.5065454409,27223.8729494327,-1252.5862163902,69685,1
