member_id,treat_time,treat_field,n_treat_events,n_pre,n_post,d_pre,d_post,stake_pre,stake_post,d_stake,d_validbet,d_revenue,hold_pre_pct,hold_post_pct,d_hold_pct,roi_pre,roi_post,d_roi,d_bets_per_day,verdict_exposure,audit_rn,batch_id
151760021,2026-06-22 19:00:32,mem016,2,401,0,2,0,77145.57,0.00,-77145.57,-71965.12,-9061.47,12.591482,,,-0.117459,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,51,1
148912354,2026-05-04 10:00:08,mem015,2,334,0,2,0,212593.44,0.00,-212593.44,-192806.26,-8794.13,4.561120,,,-0.041366,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,52,1
153249067,2026-07-27 15:58:52,mem016,2,1349,0,6,0,291951.83,0.00,-291951.83,-264575.93,-8658.93,3.272757,,,-0.029659,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,53,1
152651066,2026-07-13 19:46:45,mem016,2,985,0,6,0,182058.39,0.00,-182058.39,-163085.85,-8654.60,5.306773,,,-0.047537,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,54,1
150868015,2026-06-08 00:02:04,mem017,1,61,0,1,0,27875.15,0.00,-27875.15,-26739.77,-8634.09,32.289312,,,-0.309741,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,55,1
151129985,2026-06-15 16:08:15,mem016,2,475,0,4,0,108116.04,0.00,-108116.04,-91538.59,-8612.50,9.408602,,,-0.079660,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,56,1
152298135,2026-07-06 19:46:24,mem016,2,3368,0,5,0,169707.18,0.00,-169707.18,-157362.04,-8498.66,5.400704,,,-0.050078,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,57,1
149885586,2026-05-18 17:07:50,mem016,2,123,0,1,0,104491.97,0.00,-104491.97,-86335.54,-6982.67,8.087831,,,-0.066825,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,58,1
144107314,2026-05-20 23:57:30,mem015,1,2622,440,28,5,89414.25,17217.18,-72197.07,-59023.38,-6614.99,9.747698,3.352663,-6.395035,-0.079033,-0.026235,0.052798,-5.6429,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,59,1
144792545,2026-04-13 05:08:21,mem017,1,220,0,1,0,25957.26,0.00,-25957.26,-24469.26,-4977.88,20.343409,,,-0.191772,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,60,1
151133233,2026-06-15 00:01:06,mem017,1,129,0,1,0,11621.48,0.00,-11621.48,-10153.69,-4317.04,42.517007,,,-0.371471,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,61,1
151222053,2026-06-15 16:09:52,mem016,2,421,0,1,0,31251.08,0.00,-31251.08,-29178.90,-4317.04,14.795088,,,-0.138141,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,62,1
152100542,2026-06-29 17:36:58,mem016,2,41,0,1,0,23804.18,0.00,-23804.18,-21041.27,-4317.04,20.517029,,,-0.181357,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,63,1
17655668,2026-04-08 10:19:06,mem015,7,154,666,4,6,52141.36,235739.83,183598.47,163366.11,-4040.10,8.352856,0.040016,-8.312840,-0.079116,-0.000361,0.078755,72.5000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,64,1
148591455,2026-04-13 20:42:46,mem015,12,0,5713,0,13,0.00,911222.88,911222.88,852344.45,-3818.30,,-0.447977,,,0.004190,,,NO_BASELINE —— 处置前无注单，无从比对,65,1
153073736,2026-07-16 19:01:29,mem015,5,71,208,1,2,64961.45,93493.89,28532.44,25327.04,-2711.60,-0.559558,-3.504766,-2.945208,0.005334,0.032709,0.027375,33.0000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,66,1
152056456,2026-07-06 19:46:04,mem016,2,669,0,4,0,69393.02,0.00,-69393.02,-62943.36,-2584.40,4.105911,,,-0.037243,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,67,1
152513111,2026-07-05 22:51:17,mem016,2,118,0,2,0,104426.93,0.00,-104426.93,-92423.98,-2552.20,2.761400,,,-0.024440,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,68,1
145472714,2026-05-20 22:50:20,mem015,1,907,0,5,0,55053.91,0.00,-55053.91,-49434.56,-1753.48,3.547083,,,-0.031850,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,69,1
147646117,2026-03-29 22:52:33,mem016,1,464,0,2,0,126176.91,0.00,-126176.91,-111598.14,-1148.42,1.029065,,,-0.009102,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,70,1
