内容前40字,n,涉实体数,最早,最晚,其中层级7数,audit_rn,batch_id
mem015:2=>0;mem017:N=>Y;cash:13200.0000=,1,1,2023-07-11 02:27:01,2023-07-11 02:27:01,1,29,1
mem015:2=>0;mem017:N=>Y;cash:13660.0000=,1,1,2020-04-08 10:47:56,2020-04-08 10:47:56,1,30,1
mem015:2=>0;mem017:N=>Y;cash:14000.0000=,1,1,2021-09-07 20:28:04,2021-09-07 20:28:04,1,31,1
mem015:2=>0;mem017:N=>Y;cash:14800.0000=,1,1,2021-07-07 17:56:09,2021-07-07 17:56:09,1,32,1
mem015:2=>0;mem017:N=>Y;cash:16000.0000=,1,1,2021-03-29 19:00:51,2021-03-29 19:00:51,1,33,1
mem015:2=>0;mem017:N=>Y;cash:16800.0000=,1,1,2021-11-24 17:14:22,2021-11-24 17:14:22,1,34,1
mem015:2=>0;mem017:N=>Y;cash:17870.0000=,1,1,2020-06-02 09:49:22,2020-06-02 09:49:22,1,35,1
mem015:2=>0;mem017:N=>Y;cash:24800.0000=,1,1,2022-01-15 16:37:44,2022-01-15 16:37:44,1,36,1
mem015:2=>0;mem017:N=>Y;cash:3563468.000,1,1,2021-05-09 07:08:01,2021-05-09 07:08:01,1,37,1
mem015:2=>0;mem017:N=>Y;cash:39500.0000=,1,1,2022-06-13 15:09:31,2022-06-13 15:09:31,1,38,1
mem015:2=>0;mem017:N=>Y;cash:426060.0000,1,1,2021-07-22 02:02:23,2021-07-22 02:02:23,1,39,1
mem015:2=>0;mem017:N=>Y;cash:50000.0000=,1,1,2022-02-20 22:34:46,2022-02-20 22:34:46,1,40,1
mem015:2=>0;mem017:N=>Y;cash:6075.0000=>,1,1,2021-05-07 19:36:09,2021-05-07 19:36:09,1,41,1
mem015:2=>0;mem017:N=>Y;cash:6202.0000=>,1,1,2020-08-01 01:34:42,2020-08-01 01:34:42,1,42,1
mem015:2=>0;mem017:N=>Y;cash:645608.0000,1,1,2021-07-30 13:46:21,2021-07-30 13:46:21,1,43,1
mem015:2=>0;mem017:N=>Y;cash:8059.5000=>,1,1,2021-05-01 22:13:03,2021-05-01 22:13:03,1,44,1
mem015:2=>0;mem017:N=>Y;cash:868458.0000,1,1,2021-07-28 18:20:30,2021-07-28 18:20:30,1,45,1
mem015:2=>0;mem017:N=>Y;cash:907000.0000,1,1,2020-04-24 10:09:01,2020-04-24 10:09:01,1,46,1
mem015:2=>0;mem017:N=>Y;cash:927825.0000,1,1,2021-01-10 23:32:46,2021-01-10 23:32:46,1,47,1
mem015:2=>1;,1,1,2020-06-29 23:05:30,2020-06-29 23:05:30,1,48,1
mem016:N=>Y;cash:33209.5000=>31209.5000;,1,1,2020-06-17 02:34:14,2020-06-17 02:34:14,1,49,1
