dt,n_orders,n_members,stake_sum,validbet_sum,ggr_sum,late_stake_share,stake_ramp_day,hold_pct,audit_rn,batch_id
2026-06-01,841961,18764,93717340.5461,84851908.8260,2093143.1076,0.210363,0.906640,2.233464,73,1
2026-06-02,954543,20680,94341788.7169,84963123.0607,1859748.9500,0.219744,0.980836,1.971289,74,1
2026-06-03,897157,18173,93011683.7083,83712585.9319,1250237.4529,0.210030,0.922984,1.344172,75,1
2026-06-04,856947,18184,90084749.5235,81094662.6873,1733056.4780,0.214218,0.916314,1.923807,76,1
2026-06-05,925045,18846,95153988.5735,85610127.3580,2264640.3319,0.214440,0.927157,2.379974,77,1
2026-06-06,882372,19008,93426976.2350,84318933.8374,1309240.4812,0.215963,0.966873,1.401352,78,1
2026-06-07,740603,16360,73597223.4181,66278351.8770,2169420.4433,0.218875,0.960625,2.947693,79,1
2026-06-08,805170,17357,99633431.5896,89830907.9349,1905715.0670,0.228853,1.000766,1.912727,80,1
2026-06-09,895804,21344,95686553.1106,86056396.3031,696359.1198,0.211766,0.923883,0.727750,81,1
2026-06-10,1007639,23232,109769366.4595,99219904.9271,2029589.5422,0.228453,0.980403,1.848958,82,1
2026-06-11,876829,19450,99944961.2092,90184823.5834,2303477.0839,0.208991,0.898663,2.304746,83,1
2026-06-12,884741,19947,122301329.8045,109857607.9980,2304494.3027,0.216290,0.923511,1.884276,84,1
2026-06-13,881125,19436,88907122.7604,80055598.4805,1927532.7485,0.215245,0.938806,2.168030,85,1
2026-06-14,798251,16918,78693853.2634,70838007.4865,1473454.1075,0.218074,0.915240,1.872388,86,1
2026-06-15,856107,19541,100201012.3191,90099355.9450,1554876.9394,0.216679,0.957200,1.551758,87,1
2026-06-16,964956,22653,104347014.2792,93904642.7178,1676197.4735,0.223306,0.971854,1.606368,88,1
2026-06-17,948161,20427,113064898.4947,101851308.6781,3017131.2871,0.209374,0.902426,2.668495,89,1
2026-06-18,902646,19869,109817827.1408,98895543.5051,1384660.6114,0.218988,0.974598,1.260871,90,1
2026-06-19,935986,19224,98461211.0706,88930805.5536,1946179.9071,0.218447,0.958353,1.976596,91,1
2026-06-20,916314,19768,89362067.6166,80408252.7799,1274810.9067,0.216419,0.967222,1.426568,92,1
2026-06-21,771127,17069,82054141.3674,72498011.3472,1185001.9864,0.223728,0.969771,1.444171,93,1
2026-06-22,770086,17607,79350799.6716,71414113.3797,2198616.4369,0.219501,0.963718,2.770755,94,1
2026-06-23,895772,20156,108136688.5179,97545977.8979,3088384.1940,0.209666,0.901799,2.856000,95,1
2026-06-24,876050,17912,101736923.8778,91332669.7427,1982090.6262,0.220653,0.980038,1.948251,96,1
2026-06-25,883823,18304,104156381.3754,94329041.5519,3024455.7528,0.212092,0.918524,2.903764,97,1
2026-06-26,867446,18124,119552396.7578,107844801.3358,1476604.9115,0.208491,0.895775,1.235111,98,1
2026-06-27,891559,19040,104708614.4660,93958826.5837,1999943.6118,0.189145,0.804353,1.910009,99,1
2026-06-28,773802,16345,83023193.2926,74486772.8158,1294477.7787,0.214081,0.910360,1.559176,100,1
2026-06-29,798253,17305,89495830.0832,81043288.5357,1599100.6568,0.216498,0.963999,1.786788,101,1
2026-06-30,969741,19831,118246196.7630,106391133.7023,713898.0002,0.221536,0.947284,0.603739,102,1
2026-07-01,989913,21699,136486610.8159,122928597.9584,1824544.8325,0.209722,0.907933,1.336794,103,1
2026-07-02,964686,19330,103771285.6057,93816341.9955,2412220.1874,0.204747,0.880862,2.324555,104,1
2026-07-03,944494,19628,103338380.4203,92600672.0096,1684298.1677,0.209699,0.921362,1.629886,105,1
2026-07-04,912840,19415,129328757.4599,116361269.3221,2769809.4306,0.229171,1.010499,2.141681,106,1
2026-07-05,821837,17188,88446617.7424,79643284.9735,1395825.6012,0.228202,0.965583,1.578156,107,1
2026-07-06,867505,18224,109365979.3544,98539780.2170,1745315.2106,0.222047,0.971935,1.595848,108,1
2026-07-07,912798,19954,118207811.6340,106824459.8108,3128199.2035,0.221317,0.955056,2.646356,109,1
2026-07-08,864702,18518,111319206.6432,100401529.3608,1768587.3891,0.203126,0.893329,1.588753,110,1
2026-07-09,927720,18820,122192945.2852,110265948.4668,1803182.6468,0.210734,0.910731,1.475685,111,1
2026-07-10,1026360,20341,111016039.9661,100398765.3945,1282674.9679,0.210228,0.892562,1.155396,112,1
2026-07-11,968400,20464,107547676.5619,97195787.4783,1191557.4401,0.213596,0.931657,1.107934,113,1
2026-07-12,801491,16811,108785956.9322,98513857.0438,2589055.5104,0.198071,0.842534,2.379954,114,1
2026-07-13,821075,17706,109688981.7374,99208227.3018,1164516.7429,0.215082,0.903630,1.061653,115,1
2026-07-14,988794,23578,129834876.9535,116806404.7236,1448403.9928,0.207562,0.892811,1.115574,116,1
2026-07-15,1008201,20378,152549613.0395,137813562.0690,4069543.6425,0.182245,0.752747,2.667685,117,1
2026-07-16,931746,19482,119135119.5852,107675239.4569,1863873.5972,0.212300,0.888909,1.564504,118,1
2026-07-17,932007,18303,92861036.1436,83995477.8644,1539946.9693,0.217333,0.928096,1.658335,119,1
2026-07-18,928476,19207,97006842.6605,87328978.3798,2392839.3951,0.209561,0.904864,2.466671,120,1
2026-07-19,791417,16861,81610818.1509,73324017.3730,922470.1151,0.213570,0.901654,1.130328,121,1
2026-07-20,797056,17313,85807153.6632,77309867.3252,2289183.1103,0.212796,0.923137,2.667823,122,1
2026-07-21,933039,20368,108516825.2531,97832876.1178,1513468.8992,0.203271,0.852718,1.394686,123,1
2026-07-22,903350,17461,96695972.5983,87297772.9638,-121578.1694,0.206344,0.885259,-0.125732,124,1
2026-07-23,906668,17040,99419317.9538,89249883.6498,1957247.7368,0.218615,0.912590,1.968680,125,1
2026-07-24,890824,17892,92456742.5751,83377785.1998,2297840.6289,0.221733,0.928615,2.485314,126,1
2026-07-25,897708,18672,108648856.6523,98188002.7627,224225.0107,0.216799,0.959928,0.206376,127,1
2026-07-26,741265,16371,74191816.2191,66749523.7766,747459.6413,0.229491,1.007237,1.007469,128,1
2026-07-27,816375,17336,88742959.3554,79185409.3231,1128365.9267,0.217992,0.937321,1.271499,129,1
2026-07-28,870102,17682,112581319.4817,100692088.9207,2018585.5945,0.242787,1.075540,1.793002,130,1
2026-07-29,827673,16435,93332921.8342,84152287.9023,2475408.8061,0.231863,1.015241,2.652235,131,1
2026-07-30,871185,16295,97503888.3155,87796629.1269,2544007.9084,0.234168,0.993421,2.609135,132,1
2026-07-31,962480,19082,93174502.2258,84340161.1501,1738216.9376,0.230985,1.018978,1.865550,133,1
2026-08-01,1003869,21089,88775638.2642,79831547.6499,1924580.5061,0.229207,0.966984,2.167915,134,1
2026-08-02,817411,16720,79601070.7610,71032552.4940,1065030.4537,0.231838,0.995605,1.337960,135,1
2026-08-03,846646,17467,85073038.5677,76466594.2279,2283608.3824,0.225710,0.991615,2.684292,136,1
2026-08-04,752185,16470,78929181.7717,70732643.3826,1106405.4280,0.218830,0.957557,1.401770,137,1
2026-08-05,819123,17073,84189297.1906,75223035.6951,2011625.8292,0.211242,0.898666,2.389408,138,1
2026-08-06,822545,17268,93464429.1766,82764907.5357,2336199.7032,0.231166,0.990593,2.499560,139,1
