member_id,bet_date,stake,game_pnl,net_pnl,rebate,validbet,n_rounds,n_tables,n_ip,late_def,late_share_d,hedge_rate_d,stake_cv_d,audit_rn,batch_id
101054871,2026-08-04,37987.0000000000,-872.0500000000,-872.0500000000,0E-10,34704.0000000000,156,29,1,shoe_pos>=0.80,0.3012821,0E-7,0.3759894243628068,96,1
101054871,2026-08-05,14382.0000000000,-524.7000000000,-524.7000000000,0E-10,13782.0000000000,55,23,1,shoe_pos>=0.80,0.3454545,0E-7,0.39439803421035147,97,1
101054871,2026-08-06,17527.0000000000,-1395.0500000000,-1395.0500000000,0E-10,14922.0000000000,73,26,2,shoe_pos>=0.80,0.2876712,0E-7,0.3742154075852174,98,1
101058105,2026-08-04,4500.6613756614,2182.5396825396,2182.5396825396,0E-10,4431.2169312170,12,1,1,shoe_pos>=0.80,0E-7,0E-7,1.3368287911623606,99,1
101060196,2026-08-04,90.5123646355,-90.5123646355,-90.5123646355,0E-10,90.5123646355,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,100,1
101060196,2026-08-06,163.8516243737,-163.8516243737,-163.8516243737,0E-10,163.8516243737,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,101,1
101090466,2026-08-04,559.0936753518,-240.6012500006,-240.6012500006,0E-10,559.0936753518,6,1,1,shoe_pos>=0.80,0E-7,0E-7,0.5257648700628053,102,1
101094342,2026-08-04,70421.2743549262,-8928.6466561372,-8928.6466561372,0E-10,63786.2032648786,213,22,3,shoe_pos>=0.80,0.2112676,0E-7,0.39889608148452843,103,1
101094342,2026-08-05,72406.5297525039,1653.5018430728,1653.5018430728,0E-10,64296.9984202234,195,24,2,shoe_pos>=0.80,0.1743590,0E-7,0.47359620233857125,104,1
101160729,2026-08-04,56.0000000000,-5.0500000000,-5.0500000000,0E-10,46.0000000000,4,3,1,shoe_pos>=0.80,0.2500000,0E-7,0.37343778907995523,105,1
101160729,2026-08-05,95.0000000000,27.5000000000,27.5000000000,0E-10,95.0000000000,5,3,1,shoe_pos>=0.80,0.2000000,0E-7,0.5393131982083998,106,1
101160729,2026-08-06,60.0000000000,-40.5000000000,-40.5000000000,0E-10,60.0000000000,4,4,1,shoe_pos>=0.80,0.2500000,0E-7,0.4714045207910317,107,1
