"member_id","n_rounds_all","n_rounds_tail","tail_share","tail_win","tail_lose","tail_winrate","norm_winrate","winrate_diff","tail_stake","tail_valid_bet","tail_game_pnl","tail_rebate","tail_net_pnl","tail_roi","norm_game_pnl","norm_roi","tail_profit_share","uid",".share",".n"
123733696,5733,4485,0.7823129,2005,2040,0.4956737,0.4982425,-0.0025688,2897371.093,2491193.143,-12930.26455,0,-12930.26455,-0.00519039,-20558.61458,-0.13484379,0.949684749,123733696,0.7823129,4485
123867381,2905,2099,0.7225473,647,1357,0.3228543,0.2592593,0.063595,27118,25862,-2719.05,0,-2719.05,-0.10513688,-1910.65,-0.133892782,0.648241348,123867381,0.7225473,2099
123963636,948,651,0.6867089,333,312,0.5162791,0.3986486,0.1176305,43201.44722,38994.4816,1016.39934,0,1016.39934,0.02606521,-1779.466866,-0.119365796,0.750389298,123963636,0.6867089,651
124008026,312,223,0.7147436,88,125,0.4131455,0.4868421,-0.0736966,6820.650856,6409.891133,-1154.274425,0,-1154.274425,-0.180077072,-357.4030006,-0.155257793,0.777148393,124008026,0.7147436,223
124568503,370,255,0.6891892,116,118,0.4957265,0.4190476,0.0766789,37519.31696,34326.02963,-1650.926449,0,-1650.926449,-0.048095468,-1865.359816,-0.140242111,0.741159765,124568503,0.6891892,255
124606617,2376,1742,0.733165,928,795,0.5385955,0.399679,0.1389165,255201.554,211148.1407,-3301.397507,0,-3301.397507,-0.015635456,-2281.778906,-0.050255583,0.82036444,124606617,0.733165,1742
124865318,296,229,0.7736486,99,102,0.4925373,0.5,-0.0074627,141827.9818,116893.188,-17496.26918,0,-17496.26918,-0.149677406,4877.371691,0.145818881,0.722099644,124865318,0.7736486,229
124929619,511,388,0.7592955,163,188,0.4643875,0.490566,-0.0261785,8267.122542,7517.914188,-377.7135353,0,-377.7135353,-0.050241799,-473.7062576,-0.334947787,0.883449788,124929619,0.7592955,388
125215055,575,408,0.7095652,160,221,0.4199475,0.2547771,0.1651704,16130.54682,14418.56407,-431.3495751,0,-431.3495751,-0.029916264,-512.8327886,-0.122203814,0.780758259,125215055,0.7095652,408
125600520,2018,1438,0.7125867,442,898,0.3298507,0.4072727,-0.077422,17824.4149,8183.50119,-760.7936928,0,-760.7936928,-0.092966772,-75.73378804,-0.026084003,0.731081892,125600520,0.7125867,1438
125617936,2233,1737,0.7778773,783,793,0.4968274,0.4867841,0.0100433,166036.8687,151793.5741,-3425.709044,0,-3425.709044,-0.022568209,-1286.934951,-0.041553227,0.834627628,125617936,0.7778773,1737
125720927,371,258,0.6954178,103,129,0.4439655,0.5277778,-0.0838123,45886.92371,41478.5061,-5293.837309,0,-5293.837309,-0.127628447,871.6591449,0.044071953,0.634149701,125720927,0.6954178,258
125983269,15847,12206,0.7702404,5830,5494,0.5148357,0.5017815,0.0130542,32201154.6,29458450.9,-220564.644,0,-220564.644,-0.007487313,-264716.5573,-0.035174714,0.803274331,125983269,0.7702404,12206
126022010,775,623,0.803871,323,281,0.5347682,0.4822695,0.0524987,46245.97451,42324.17811,-327.4051948,0,-327.4051948,-0.007735654,-1047.465114,-0.152648095,0.874913436,126022010,0.803871,623
126769783,5950,5254,0.8830252,1912,3206,0.3735834,0.2496285,0.1239549,212053.5252,132651.6998,-12095.7142,0,-12095.7142,-0.091184012,-1051.293206,-0.082318022,0.886288609,126769783,0.8830252,5254
12690705,1464,1012,0.6912568,464,465,0.4994618,0.5287081,-0.0292463,71935.9999,65267.76729,95.84762124,0,95.84762124,0.001468529,3363.455421,0.11231744,0.663529767,12690705,0.6912568,1012
127030726,269,192,0.7137546,83,101,0.451087,0.6438356,-0.1927486,13060.57962,10853.2284,-1719.727099,0,-1719.727099,-0.158453046,643.5480532,0.174758518,0.67840772,127030726,0.7137546,192
127193149,1238,850,0.6865913,394,373,0.5136897,0.4871795,0.0265102,130854.0596,116711.1435,3153.189101,0,3153.189101,0.027017035,-943.5498283,-0.02474179,0.763703004,127193149,0.6865913,850
127729825,1045,792,0.7578947,343,368,0.4824191,0.4611872,0.0212319,75817,67367,-2390,0,-2390,-0.035477311,-1626,-0.079004907,0.782898337,127729825,0.7578947,792
127775695,287,201,0.7003484,96,92,0.5106383,0.4805195,0.0301188,31074.33825,28630.50045,1332.097728,229.0440036,1561.141731,0.046527225,236.059334,0.021252196,0.725636967,127775695,0.7003484,201
128148030,664,573,0.8629518,240,276,0.4651163,0.4047619,0.0603544,36862.06056,32919.16995,-2412.803906,0,-2412.803906,-0.073294798,-792.3000468,-0.135813612,0.858703614,128148030,0.8629518,573
128308013,705,484,0.6865248,223,226,0.4966592,0.505,-0.0083408,70212.76002,62732.91883,851.8613271,0,851.8613271,0.013579176,-2399.428056,-0.078297311,0.69226863,128308013,0.6865248,484
128368078,486,412,0.8477366,179,204,0.4673629,0.5076923,-0.0403294,20508.18439,19271.24369,-2098.293652,0,-2098.293652,-0.108882109,456.495191,0.148956035,0.829782992,128368078,0.8477366,412
128424457,7426,5268,0.7093994,2713,2350,0.5358483,0.5117619,0.0240864,1305140.341,1185867.681,25447.59579,0,25447.59579,0.021459052,-11276.41582,-0.025811683,0.741509528,128424457,0.7093994,5268
128796953,6336,5115,0.8072917,2356,2244,0.5121739,0.484767,0.0274069,1904087,1705351,2045,0,2045,0.001199167,-13090,-0.030440869,0.803701107,128796953,0.8072917,5115
129248109,303,251,0.8283828,116,114,0.5043478,0.4782609,0.0260869,18928.73096,17717.25648,-2203.553949,0,-2203.553949,-0.124373317,674.7133604,0.267473127,0.82924878,129248109,0.8283828,251
129459944,1520,1047,0.6888158,549,443,0.5534274,0.4828375,0.0705899,59660.05487,54341.65769,34.32536283,0,34.32536283,0.000631658,-2956.766627,-0.134168,0.737562573,129459944,0.6888158,1047
129544016,813,619,0.7613776,266,298,0.4716312,0.4269663,0.0446649,16150.61998,14565.6783,-424.0093859,0,-424.0093859,-0.029110171,-113.5115584,-0.028231408,0.784779283,129544016,0.7613776,619
129549816,757,559,0.7384412,243,275,0.469112,0.4076087,0.0615033,45131.09398,40552.51271,2081.814105,0,2081.814105,0.051336254,277.6902699,0.024073813,0.772633141,129549816,0.7384412,559
130003240,1070,733,0.6850467,336,314,0.5169231,0.5117057,0.0052174,17935.74348,15945.3354,-211.0311342,0,-211.0311342,-0.013234663,-100.3786659,-0.015721925,0.714707933,130003240,0.6850467,733
130196154,4542,3221,0.709159,1423,1511,0.4850034,0.4870075,-0.0020041,796364.1353,722028.9358,-24779.03931,0,-24779.03931,-0.034318624,-14713.77611,-0.050060432,0.714246358,130196154,0.709159,3221
130405417,1211,1072,0.8852188,488,477,0.5056995,0.453125,0.0525745,922954.0308,825002.9845,55725.58455,0,55725.58455,0.067545919,-10057.12704,-0.103297622,0.9096422,130405417,0.8852188,1072
130698556,555,436,0.7855856,198,200,0.4974874,0.4770642,0.0204232,66462.67509,60361.29142,-2253.779467,0,-2253.779467,-0.037338159,-2431.13683,-0.153723081,0.813220098,130698556,0.7855856,436
130700394,11948,8402,0.7032139,3793,3814,0.4986197,0.5105787,-0.011959,512299.0587,462453.5754,-4596.136928,0,-4596.136928,-0.009938591,5728.653034,0.035190675,0.730890545,130700394,0.7032139,8402
131049841,648,449,0.6929012,217,226,0.489842,0.4157895,0.0740525,71715.91908,64367.43217,-1223.238714,0,-1223.238714,-0.019004001,-1806.960795,-0.078582613,0.748141076,131049841,0.6929012,449
