"LV3 代理线","综合分","赏侧均值","罚侧均值","综合分分位","领域｜D01 获客","领域｜D06 收入","领域｜D05 留存","领域｜D08 风险","领域｜D11 网络","领域｜D07 盈利","维度｜线下规模","维度｜真实流水","维度｜下线留存","维度｜新增会员质量","维度｜对打渗透率","维度｜单链密度","维度｜退水消耗比"
"33605",-30.77,11.14,41.91,5.9,14.9,3.6,NA,51.9,69.1,53.3,4.7,3.6,NA,25.2,48.1,30.9,46.7
"53785",-30.64,11.27,41.91,6.1,20,2.2,2.8,51.9,69.1,53.3,21.7,2.2,2.8,18.4,48.1,30.9,46.7
"38860",-30.13,11.79,41.91,6.4,11.8,NA,NA,51.9,69.1,53.3,4.7,NA,NA,18.9,48.1,30.9,46.7
"49053",-29.92,27.15,57.07,6.7,43.7,11.2,10,51.9,23.6,53.3,55.3,11.2,10,32.1,48.1,76.4,46.7
"47470",-29.85,12.06,41.91,6.9,3.2,29.9,NA,51.9,69.1,53.3,4.7,29.9,NA,1.6,48.1,30.9,46.7
"28125",-28.57,13.34,41.91,7.5,20.2,10.1,2.8,51.9,69.1,53.3,24.3,10.1,2.8,16.2,48.1,30.9,46.7
"29080",-28.57,13.34,41.91,7.2,19.5,1.1,NA,51.9,69.1,53.3,4.7,1.1,NA,34.2,48.1,30.9,46.7
"49076",-28.14,29.86,58,7.7,43,25.2,8.2,51.9,20.8,53.3,60.5,25.2,8.2,25.5,48.1,79.2,46.7
"44848",-28.07,53.84,81.91,8,56.1,88.2,15,51.9,0.8,1.6,95.5,88.2,15,16.7,48.1,99.2,98.4
"50074",-28.01,13.91,41.91,8.3,20.7,0.3,NA,51.9,69.1,53.3,12.4,0.3,NA,29,48.1,30.9,46.7
"23318",-27.99,13.92,41.91,8.5,10,16.7,18.9,51.9,69.1,53.3,17.9,16.7,18.9,2.2,48.1,30.9,46.7
"5063",-27.75,14.16,41.91,8.8,12.3,17.8,NA,51.9,69.1,53.3,4.7,17.8,NA,20,48.1,30.9,46.7
"42158",-27.7,14.21,41.91,9.1,15.9,22.2,2.8,51.9,69.1,53.3,27.5,22.2,2.8,4.4,48.1,30.9,46.7
"55918",-27.66,14.25,41.91,9.3,4.7,23.8,NA,51.9,69.1,53.3,4.7,23.8,NA,NA,48.1,30.9,46.7
"47617",-27.5,26.19,53.69,9.6,45,12.1,2.8,51.9,33.7,53.3,27.5,12.1,2.8,62.5,48.1,66.3,46.7
"42650",-26.5,32.88,59.38,9.9,37.9,29.6,26.1,51.9,16.7,53.3,52.3,29.6,26.1,23.6,48.1,83.3,46.7
"5188",-25.87,27.24,53.11,10.1,39.1,18.1,12.8,51.9,35.5,53.3,17.9,18.1,12.8,60.3,48.1,64.5,46.7
"31527",-25.1,16.81,41.91,10.4,27.7,5.8,6,51.9,69.1,53.3,39.9,5.8,6,15.6,48.1,30.9,46.7
"7594",-25.04,16.87,41.91,10.7,23.3,1.9,18.9,51.9,69.1,53.3,17.9,1.9,18.9,28.8,48.1,30.9,46.7
"43264",-23.53,18.38,41.91,10.9,18.5,17.5,18.9,51.9,69.1,53.3,27.5,17.5,18.9,9.6,48.1,30.9,46.7
"44016",-23.48,34.21,57.69,11.2,55.6,18.9,6.7,51.9,21.7,53.3,81.3,18.9,6.7,29.9,48.1,78.3,46.7
"55546",-23.25,18.66,41.91,11.5,11,34,NA,51.9,69.1,53.3,21.7,34,NA,0.3,48.1,30.9,46.7
"50928",-23.19,18.72,41.91,11.7,26,4.1,NA,51.9,69.1,53.3,4.7,4.1,NA,47.4,48.1,30.9,46.7
"5385",-22.77,32.16,54.93,12,40.1,20.3,28.2,51.9,30,53.3,52.3,20.3,28.2,27.9,48.1,70,46.7
"52852",-22.2,19.71,41.91,12.3,30.6,4.9,12.8,51.9,69.1,53.3,32.7,4.9,12.8,28.5,48.1,30.9,46.7
"56123",-21.75,36.96,58.71,12.5,54.5,32.3,6.5,51.9,18.7,53.3,74,32.3,6.5,35.1,48.1,81.3,46.7
"37672",-21.63,35.3,56.93,12.8,41.3,45.5,13.2,51.9,24,53.3,68,45.5,13.2,14.5,48.1,76,46.7
"48990",-20.8,21.11,41.91,13.1,19.3,26.8,18.9,51.9,69.1,53.3,32.7,26.8,18.9,6,48.1,30.9,46.7
"40604",-20.67,21.24,41.91,13.3,27.4,20.5,9.5,51.9,69.1,53.3,42,20.5,9.5,12.9,48.1,30.9,46.7
"52847",-20.46,21.46,41.91,13.6,30.7,5.5,18.9,51.9,69.1,53.3,17.9,5.5,18.9,43.6,48.1,30.9,46.7
"50855",-20.18,21.73,41.91,13.9,21.7,NA,NA,51.9,69.1,53.3,21.7,NA,NA,NA,48.1,30.9,46.7
"28134",-19.97,21.95,41.91,14.1,39.1,6.8,2.8,51.9,69.1,53.3,32.7,6.8,2.8,45.5,48.1,30.9,46.7
"24230",-19.9,22.02,41.91,14.4,34.6,16.2,2.8,51.9,69.1,53.3,27.5,16.2,2.8,41.6,48.1,30.9,46.7
"36239",-19.89,22.02,41.91,14.7,36,8.5,7.6,51.9,69.1,53.3,38,8.5,7.6,34,48.1,30.9,46.7
"34382",-19.83,22.08,41.91,15.2,22.1,NA,NA,51.9,69.1,53.3,17.9,NA,NA,26.3,48.1,30.9,46.7
"42779",-19.83,22.08,41.91,14.9,37.8,9.9,2.8,51.9,69.1,53.3,17.9,9.9,2.8,57.8,48.1,30.9,46.7
"8678",-19.83,22.08,41.91,15.5,38.7,8.2,2.8,51.9,69.1,53.3,12.4,8.2,2.8,64.9,48.1,30.9,46.7
"54602",-19.42,22.49,41.91,15.7,17.9,30.7,18.9,51.9,69.1,53.3,17.9,30.7,18.9,NA,48.1,30.9,46.7
"41582",-19.17,43.09,62.27,16,62,37.5,10.9,51.9,8,53.3,74.4,37.5,10.9,49.6,48.1,92,46.7
"42307",-19.09,22.83,41.91,16.3,14.7,11.8,50.1,51.9,69.1,53.3,17.9,11.8,50.1,11.5,48.1,30.9,46.7
"55456",-18.95,38.79,57.73,16.5,49.5,40,16.1,51.9,69.1,5.9,45.9,40,16.1,53.2,48.1,30.9,94.1
"29075",-18.6,36.47,55.07,16.8,60,23,2.8,51.9,29.6,53.3,32.7,23,2.8,87.4,48.1,70.4,46.7
"26933",-18.23,40.74,58.98,17.1,40,37,46,51.9,17.9,53.3,56.9,37,46,23,48.1,82.1,46.7
"24390",-18.12,23.79,41.91,17.3,41.5,9.3,2.8,51.9,69.1,53.3,17.9,9.3,2.8,65.2,48.1,30.9,46.7
"53717",-17.99,23.92,41.91,17.6,17.6,10.4,50.1,51.9,69.1,53.3,17.9,10.4,50.1,17.3,48.1,30.9,46.7
"39710",-17.98,23.93,41.91,17.9,33.3,5.2,NA,51.9,69.1,53.3,4.7,5.2,NA,61.9,48.1,30.9,46.7
"39572",-17.92,54.65,72.58,18.1,57.5,73.2,30.5,51.9,28,2.4,73.6,73.2,30.5,41.4,48.1,72,97.6
"54744",-17.82,41.86,59.69,18.4,14.1,51.8,87.4,51.9,69.1,0,27.5,51.8,87.4,0.8,48.1,30.9,100
"50852",-17.78,40.98,58.76,18.7,39.5,69,15.8,1.3,69.1,53.3,70.3,69,15.8,8.8,98.7,30.9,46.7
"34700",-17.35,35.58,52.93,18.9,9.5,25.8,97.7,51.9,36,53.3,4.7,25.8,97.7,14.2,48.1,64,46.7
"34515",-17.33,24.58,41.91,19.2,22.2,28.8,25.2,51.9,69.1,53.3,36.1,28.8,25.2,8.2,48.1,30.9,46.7
"43547",-17.32,46.41,63.73,19.5,56.9,50.4,21.4,51.9,3.6,53.3,85.6,50.4,21.4,28.2,48.1,96.4,46.7
"6513",-16.97,24.94,41.91,19.7,31.7,12.6,23.8,51.9,69.1,53.3,45.9,12.6,23.8,17.5,48.1,30.9,46.7
"38543",-16.52,25.39,41.91,20,30.6,15.1,NA,51.9,69.1,53.3,4.7,15.1,NA,56.4,48.1,30.9,46.7
"12648",-16.35,64.8,81.16,20.3,65.4,99.2,29.3,2.9,0.3,53.3,99.2,99.2,29.3,31.5,97.1,99.7,46.7
"44004",-16.27,25.64,41.91,20.5,24.3,3.8,50.1,51.9,69.1,53.3,12.4,3.8,50.1,36.2,48.1,30.9,46.7
"29021",-15.95,25.96,41.91,20.8,20.4,12.9,50.1,51.9,69.1,53.3,30.4,12.9,50.1,10.4,48.1,30.9,46.7
"56085",-15.72,41.92,57.64,21.1,50.7,24.4,NA,51.9,69.1,6.1,4.7,24.4,NA,96.7,48.1,30.9,93.9
"25770",-15.67,40.64,56.31,21.3,55,31.5,21.1,51.9,25.9,53.3,61.7,31.5,21.1,48.2,48.1,74.1,46.7
"46266",-15.32,26.6,41.91,21.6,20.4,15.3,50.1,51.9,69.1,53.3,27.5,15.3,50.1,13.4,48.1,30.9,46.7
"46681",-15.25,26.67,41.91,21.9,35.1,24.7,11.7,51.9,69.1,53.3,50,24.7,11.7,20.3,48.1,30.9,46.7
"43071",-15.12,47.15,62.27,22.1,59.4,57.8,12,51.9,8,53.3,85.1,57.8,12,33.7,48.1,92,46.7
"5449",-14.84,48.67,63.51,22.4,67.1,44.9,15.5,51.9,4.3,53.3,71.5,44.9,15.5,62.7,48.1,95.7,46.7
"37524",-14.6,44.51,59.11,22.7,51.7,38.9,35.8,0.3,69.1,53.3,42,38.9,35.8,61.4,99.7,30.9,46.7
"55190",-14.43,44.9,59.33,22.9,34,83.8,27.9,51.9,69.1,1.1,66.5,83.8,27.9,1.4,48.1,30.9,98.9
"18764",-14.19,46.08,60.27,23.2,59.8,43.8,20.8,51.9,14,53.3,82.4,43.8,20.8,37.3,48.1,86,46.7
"23883",-14.01,27.91,41.91,23.5,49.6,9.6,2.8,51.9,69.1,53.3,12.4,9.6,2.8,86.8,48.1,30.9,46.7
"33793",-13.84,66.03,79.87,23.7,63.9,66.3,70.1,0.5,6.5,53.3,67.7,66.3,70.1,60,99.5,93.5,46.7
"45245",-13.82,28.09,41.91,24,11.7,6,83,51.9,69.1,53.3,12.4,6,83,11,48.1,30.9,46.7
"5095",-13.49,66.64,80.13,24.3,66.1,82.5,51.9,1.6,4.7,53.3,85.3,82.5,51.9,46.8,98.4,95.3,46.7
"37640",-13.44,28.48,41.91,24.5,48.2,14.8,2.8,51.9,69.1,53.3,24.3,14.8,2.8,72.1,48.1,30.9,46.7
"31343",-12.91,29,41.91,24.8,22.9,43,27.3,51.9,69.1,53.3,41.1,43,27.3,4.7,48.1,30.9,46.7
"43550",-12.41,48.52,60.93,25.1,49.4,68.5,26.7,51.9,12,53.3,80.3,68.5,26.7,18.6,48.1,88,46.7
"48106",-12.41,29.5,41.91,25.3,41.1,6.3,NA,51.9,69.1,53.3,4.7,6.3,NA,77.5,48.1,30.9,46.7
"46664",-12.39,44.01,56.4,25.6,50.8,46.8,27.6,51.9,25.6,53.3,71.2,46.8,27.6,30.4,48.1,74.4,46.7
"37669",-12.36,29.55,41.91,25.9,50.9,13.7,2.8,51.9,69.1,53.3,12.4,13.7,2.8,89.3,48.1,30.9,46.7
"26367",-12.26,42.9,55.16,26.1,46.3,18.4,60.7,51.9,29.3,53.3,38,18.4,60.7,54.5,48.1,70.7,46.7
"24549",-12.14,45.55,57.69,26.4,57.3,43.3,24.3,51.9,21.7,53.3,78.1,43.3,24.3,36.4,48.1,78.3,46.7
"4786",-11.89,46.02,57.91,26.7,50.6,39.2,43.7,51.9,21.1,53.3,65.6,39.2,43.7,35.6,48.1,78.9,46.7
"4300",-11.85,69.3,81.16,26.9,72.3,100,32.6,2.7,0.5,53.3,100,100,32.6,44.7,97.3,99.5,46.7
"42513",-11.82,30.09,41.91,27.2,48.7,13.4,9.5,51.9,69.1,53.3,24.3,13.4,9.5,73.2,48.1,30.9,46.7
"24229",-10.65,48.73,59.38,27.5,56.9,42.2,39,51.9,16.7,53.3,58.9,42.2,39,54.8,48.1,83.3,46.7
"45467",-10.33,69.75,80.09,27.7,80.8,99.7,17.6,3.5,2.9,53.3,98.1,99.7,17.6,63.6,96.5,97.1,46.7
"40579",-10.12,47.34,57.47,28,44.7,32.6,67.4,51.9,22.4,53.3,64.7,32.6,67.4,24.7,48.1,77.6,46.7
"6122",-10.04,31.87,41.91,28.3,31.4,14.5,50.1,51.9,69.1,53.3,27.5,14.5,50.1,35.3,48.1,30.9,46.7
"16415",-10.03,45.74,55.78,28.5,50.5,55.1,27,51.9,27.5,53.3,76,55.1,27,24.9,48.1,72.5,46.7
"6508",-9.93,49.01,58.93,28.8,54,46.3,41.6,0.8,69.1,53.3,60.1,46.3,41.6,47.9,99.2,30.9,46.7
"45241",-9.63,52.64,62.27,29.1,55.9,76.2,22.6,51.9,8,53.3,89.3,76.2,22.6,22.5,48.1,92,46.7
"49033",-9.4,43.09,52.49,29.3,50.4,33.2,38.4,51.9,37.3,53.3,50.9,33.2,38.4,49.9,48.1,62.7,46.7
"43537",-9.35,32.56,41.91,29.6,50.1,16.4,13.6,51.9,69.1,53.3,44,16.4,13.6,56.2,48.1,30.9,46.7
"42297",-8.96,49.62,58.58,29.9,59.2,57,23.2,1.9,69.1,53.3,90.9,57,23.2,27.4,98.1,30.9,46.7
"21400",-8.94,44.93,53.87,30.1,35.9,45.2,62.8,51.9,33.2,53.3,50.9,45.2,62.8,20.8,48.1,66.8,46.7
"152",-8.87,33.04,41.91,30.4,47.1,26.6,11.4,51.9,69.1,53.3,42.9,26.6,11.4,51.2,48.1,30.9,46.7
"45871",-8.82,33.09,41.91,30.7,12.2,24.9,83,51.9,69.1,53.3,17.9,24.9,83,6.6,48.1,30.9,46.7
"28122",-8.76,33.16,41.91,30.9,33.2,NA,NA,51.9,69.1,53.3,4.7,NA,NA,61.6,48.1,30.9,46.7
"14558",-8.55,65.14,73.69,31.2,54.1,84.4,68,51.9,23.6,3.5,93.3,84.4,68,14.8,48.1,76.4,96.5
"42571",-8.13,52.81,60.93,31.5,56.5,67.9,30.2,51.9,12,53.3,72.8,67.9,30.2,40.3,48.1,88,46.7
"26489",-8.02,33.89,41.91,31.7,7.7,28.5,91.6,51.9,69.1,53.3,12.4,28.5,91.6,3,48.1,30.9,46.7
"42300",-7.97,47.98,55.96,32.3,43.1,27.7,78.2,51.9,26.9,53.3,42,27.7,78.2,44.1,48.1,73.1,46.7
"46275",-7.97,33.94,41.91,32,18.3,6.6,92.7,51.9,69.1,53.3,12.4,6.6,92.7,24.1,48.1,30.9,46.7
"51431",-7.69,34.23,41.91,32.5,15.1,9,97.7,51.9,69.1,53.3,12.4,9,97.7,17.8,48.1,30.9,46.7
"7767",-7.47,54.49,61.96,32.8,62.2,71.8,21.7,51.9,8.9,53.3,96.8,71.8,21.7,27.7,48.1,91.1,46.7
"14334",-7.34,70.17,77.51,33.1,71.4,98.6,39.3,3.2,10.9,53.3,98.9,98.6,39.3,43.8,96.8,89.1,46.7
"37499",-7.3,55.32,62.62,33.3,55.3,47.1,63.6,51.9,6.9,53.3,86.1,47.1,63.6,24.4,48.1,93.1,46.7
"2906",-7.16,47.47,54.62,33.6,64.7,38.1,22.3,51.9,30.9,53.3,53.3,38.1,22.3,76.2,48.1,69.1,46.7
"21641",-6.74,56.19,62.93,33.9,61.1,67.4,35.2,51.9,6,53.3,90.4,67.4,35.2,31.8,48.1,94,46.7
"53720",-6.71,57.16,63.87,34.1,60.6,97.3,10.3,51.9,3.2,53.3,99.7,97.3,10.3,21.4,48.1,96.8,46.7
"53624",-6.7,35.21,41.91,34.4,12.6,29.3,86.2,51.9,69.1,53.3,21.7,29.3,86.2,3.6,48.1,30.9,46.7
"29597",-6.55,35.36,41.91,34.7,43.3,19.5,NA,51.9,69.1,53.3,17.9,19.5,NA,68.8,48.1,30.9,46.7
"3166",-6.34,35.57,41.91,34.9,52.1,19.2,18.9,51.9,69.1,53.3,32.7,19.2,18.9,71.5,48.1,30.9,46.7
"24233",-6.26,51.12,57.38,35.2,44.6,27.9,87.4,51.9,22.7,53.3,21.7,27.9,87.4,67.4,48.1,77.3,46.7
"38955",-6.25,52.95,59.2,35.5,73.6,57.5,7,51.9,17.2,53.3,56.5,57.5,7,90.7,48.1,82.8,46.7
"43373",-5.88,36.03,41.91,35.7,45.5,24.1,29,51.9,69.1,53.3,49.1,24.1,29,41.9,48.1,30.9,46.7
"4333",-5.73,58.49,64.22,36,67.6,76.7,22,51.9,2.1,53.3,92.8,76.7,22,42.5,48.1,97.9,46.7
"6117",-5.4,36.51,41.91,36.3,44.5,40.5,16.4,51.9,69.1,53.3,48.5,40.5,16.4,40.5,48.1,30.9,46.7
"14554",-5.31,53.04,58.36,36.5,42.3,57.3,70.4,51.9,69.1,4,54.9,57.3,70.4,29.6,48.1,30.9,96
"45491",-5.15,36.76,41.91,36.8,22.3,85.2,17.3,51.9,69.1,53.3,44,85.2,17.3,0.5,48.1,30.9,46.7
"53725",-4.99,36.92,41.91,37.1,48.3,14.2,NA,51.9,69.1,53.3,27.5,14.2,NA,69,48.1,30.9,46.7
"50288",-4.96,36.95,41.91,37.3,19.2,29,80.4,51.9,69.1,53.3,32.7,29,80.4,5.8,48.1,30.9,46.7
"51672",-4.84,37.07,41.91,37.6,28.5,62.7,28.4,51.9,69.1,53.3,51.6,62.7,28.4,5.5,48.1,30.9,46.7
"46315",-4.79,37.12,41.91,37.9,39.4,21.9,47.8,51.9,69.1,53.3,59.6,21.9,47.8,19.2,48.1,30.9,46.7
"39508",-4.56,53.53,58.09,38.1,51,77.5,34.6,51.9,20.5,53.3,88,77.5,34.6,14,48.1,79.5,46.7
"29228",-4.54,50,54.53,38.4,35.6,64.9,63.9,51.9,31.2,53.3,63.7,64.9,63.9,7.4,48.1,68.8,46.7
"7726",-4.38,37.53,41.91,38.7,26,8.8,89.3,51.9,69.1,53.3,30.4,8.8,89.3,21.6,48.1,30.9,46.7
"4702",-4.34,59.04,63.38,38.9,69.8,86,10.6,51.9,4.7,53.3,95.2,86,10.6,44.4,48.1,95.3,46.7
"6351",-4.13,51.74,55.87,39.2,44.4,69.9,48.4,51.9,27.2,53.3,76.9,69.9,48.4,11.8,48.1,72.8,46.7
"53706",-3.89,54.51,58.4,39.5,67.6,60,22.9,2.4,69.1,53.3,86.4,60,22.9,48.8,97.6,30.9,46.7
"41554",-3.73,60.4,64.13,39.7,56.4,49.6,79.2,51.9,2.4,53.3,71.7,49.6,79.2,41.1,48.1,97.6,46.7
"55238",-3.69,38.22,41.91,40,4.7,12.3,97.7,51.9,69.1,53.3,4.7,12.3,97.7,NA,48.1,30.9,46.7
"7233",-3.68,38.23,41.91,40.3,36.6,25.5,54.3,51.9,69.1,53.3,53.7,25.5,54.3,19.5,48.1,30.9,46.7
"4534",-3.54,38.37,41.91,40.5,49.8,33.4,20.5,51.9,69.1,53.3,32.7,33.4,20.5,66.8,48.1,30.9,46.7
"29045",-3.28,38.63,41.91,40.8,27.6,1.6,97.7,51.9,69.1,53.3,24.3,1.6,97.7,31,48.1,30.9,46.7
"1649",-3.21,74.79,78,41.1,69.4,95.3,65.1,51.9,11.2,2.9,96.5,95.3,65.1,42.2,48.1,88.8,97.1
"24240",-3.17,38.74,41.91,41.3,54.9,26.3,18.9,51.9,69.1,53.3,24.3,26.3,18.9,85.5,48.1,30.9,46.7
"34921",-2.82,39.09,41.91,41.6,48.8,19.7,NA,51.9,69.1,53.3,4.7,19.7,NA,92.9,48.1,30.9,46.7
"4054",-2.66,39.25,41.91,41.9,49.5,44.4,13.6,51.9,69.1,53.3,21.7,44.4,13.6,77.3,48.1,30.9,46.7
"29781",-2.56,39.36,41.91,42.4,27.1,21.4,81.8,51.9,69.1,53.3,30.4,21.4,81.8,23.8,48.1,30.9,46.7
"41620",-2.56,39.35,41.91,42.1,61.6,28.2,6,51.9,69.1,53.3,44,28.2,6,79.2,48.1,30.9,46.7
"39677",-2.5,39.41,41.91,42.7,33.9,15.6,74.2,51.9,69.1,53.3,34.7,15.6,74.2,33.2,48.1,30.9,46.7
"7084",-2.49,58.44,60.93,42.9,46.7,75.9,64.5,51.9,12,53.3,62.1,75.9,64.5,31.2,48.1,88,46.7
"1184",-2.33,39.58,41.91,43.2,26.2,41.6,64.2,51.9,69.1,53.3,39.9,41.6,64.2,12.6,48.1,30.9,46.7
"18723",-2.19,39.72,41.91,43.5,34.4,7.1,83,51.9,69.1,53.3,30.4,7.1,83,38.4,48.1,30.9,46.7
"55354",-2.17,53.96,56.13,43.7,57.4,39.7,61.3,51.9,26.4,53.3,68.5,39.7,61.3,46.3,48.1,73.6,46.7
"31700",-2.08,62.36,64.44,44,54.4,80.8,59.8,51.9,1.5,53.3,89.1,80.8,59.8,19.7,48.1,98.5,46.7
"35835",-2.05,39.86,41.91,44.3,28.8,11.5,90.3,51.9,69.1,53.3,21.7,11.5,90.3,35.9,48.1,30.9,46.7
"24228",-2.01,58.39,60.4,44.5,62.9,70.4,37.2,51.9,13.6,53.3,79.9,70.4,37.2,46,48.1,86.4,46.7
"16372",-1.88,56.52,58.4,44.8,53.5,84.1,34.9,51.9,19.6,53.3,72.5,84.1,34.9,34.5,48.1,80.4,46.7
"46657",-1.79,40.12,41.91,45.1,29.8,3.3,97.7,51.9,69.1,53.3,12.4,3.3,97.7,47.1,48.1,30.9,46.7
"38479",-1.54,71.26,72.8,45.3,74.7,94.2,41.3,2.1,26.1,53.3,96,94.2,41.3,53.4,97.9,73.9,46.7
"42292",-1.51,51.87,53.38,45.6,60.3,54,32.8,51.9,34.7,53.3,75.7,54,32.8,44.9,48.1,65.3,46.7
"28827",-1.43,58.7,60.13,45.9,61.8,56.2,55.1,51.9,14.4,53.3,72,56.2,55.1,51.5,48.1,85.6,46.7
"55670",-1.27,40.64,41.91,46.1,49.7,22.5,NA,51.9,69.1,53.3,4.7,22.5,NA,94.8,48.1,30.9,46.7
"39601",-1.1,63.34,64.44,46.4,65.1,78.1,45.2,51.9,1.5,53.3,90.7,78.1,45.2,39.5,48.1,98.5,46.7
"24237",-0.78,41.13,41.91,46.7,31.1,4.7,97.7,51.9,69.1,53.3,4.7,4.7,97.7,57.5,48.1,30.9,46.7
"26658",-0.68,41.23,41.91,46.9,21.4,36.2,85.9,51.9,69.1,53.3,21.7,36.2,85.9,21.1,48.1,30.9,46.7
"36816",-0.62,41.29,41.91,47.2,38,11,78.2,51.9,69.1,53.3,24.3,11,78.2,51.8,48.1,30.9,46.7
"28280",-0.51,52.33,52.84,47.5,64,40.3,41.1,51.9,36.3,53.3,52.9,40.3,41.1,75.1,48.1,63.7,46.7
"28285",-0.49,41.42,41.91,47.7,56.8,35.1,17,51.9,69.1,53.3,63.2,35.1,17,50.4,48.1,30.9,46.7
"45950",-0.42,55.18,55.6,48,68.5,52.3,31.4,51.9,28,53.3,78.9,52.3,31.4,58.1,48.1,72,46.7
"19510",-0.38,41.53,41.91,48.3,19.2,35.6,92.1,51.9,69.1,53.3,17.9,35.6,92.1,20.5,48.1,30.9,46.7
"53709",-0.24,41.67,41.91,48.5,41.1,37.3,47.2,51.9,69.1,53.3,58.9,37.3,47.2,23.3,48.1,30.9,46.7
"42528",-0.19,61.41,61.6,48.8,54.4,81.4,55.4,51.9,10,53.3,86.7,81.4,55.4,22.2,48.1,90,46.7
"46995",-0.12,41.79,41.91,49.1,49.8,31.8,35.8,51.9,69.1,53.3,24.3,31.8,35.8,75.3,48.1,30.9,46.7
"4204",-0.08,64.23,64.31,49.3,57.3,98.4,44,51.9,1.9,53.3,97.6,98.4,44,17,48.1,98.1,46.7
"55662",0.13,42.04,41.91,49.6,58.8,47.7,2.8,51.9,69.1,53.3,24.3,47.7,2.8,93.4,48.1,30.9,46.7
"49056",0.24,42.15,41.91,49.9,34.5,14,85.6,51.9,69.1,53.3,36.1,14,85.6,32.9,48.1,30.9,46.7
"56563",0.28,42.19,41.91,50.1,64.4,31,9.1,51.9,69.1,53.3,46.8,31,9.1,81.9,48.1,30.9,46.7
"7606",0.33,42.24,41.91,50.4,12.4,21.6,92.7,51.9,69.1,53.3,12.4,21.6,92.7,NA,48.1,30.9,46.7
"53209",0.34,55.05,54.71,50.7,31.1,80.5,77.4,51.9,30.7,53.3,58.9,80.5,77.4,3.3,48.1,69.3,46.7
"30727",0.58,59.65,59.07,50.9,64.9,74.8,34,51.9,17.6,53.3,93.1,74.8,34,36.7,48.1,82.4,46.7
"54737",0.76,60.18,59.42,51.2,52.4,38.4,97.7,51.9,69.1,0.8,12.4,38.4,97.7,92.3,48.1,30.9,99.2
