"荷官工号","综合分","赏侧均值","罚侧均值","综合分分位","在桌洗码量（原值）","桌面盈亏·平台视角（原值）","领域｜D06 收入","领域｜D04 活跃","领域｜D09 效率","领域｜D08 风险","领域｜D11 网络","维度｜在桌洗码量","维度｜客群广度","维度｜当值时长","维度｜节奏稳定度","维度｜对打局占比","维度｜异常对关联","维度｜風險單密度","维度｜特定玩家复现率"
"1405",18.85,80,61.15,86.8,36907757.21,757493.91,77,79.4,81.8,23.8,84,77,79.4,82,81.5,79.1,95.8,53.7,16
"1396",18.97,81.68,62.72,87.1,67552961.28,591642.38,100,99,63.9,29.4,61,100,99,57.6,70.2,94.4,74.6,42.9,39
"1509",19.19,68.32,49.13,87.5,30956167.23,409561.83,65.2,61.3,73.4,41.9,77.7,65.2,61.3,69.9,76.9,53,53.7,67.6,22.3
"2117",19.56,61.2,41.64,87.8,20614254.62,277031.34,53.7,54.7,68.2,55.7,66.2,53.7,54.7,79.3,57.1,25.8,25.8,81.2,33.8
"2109",19.75,54.86,35.1,88.2,814212.6,-22300.83,44.9,42.2,66.2,77,28.6,44.9,42.2,36.5,95.8,25.8,25.8,17.4,71.4
"2152",19.99,71.03,51.05,88.5,32931785.06,328421.8,69,60.6,77.3,47,54.7,69,60.6,79.3,75.2,56.8,56.1,46,45.3
"2121",20.04,75.1,55.05,88.9,39369110.29,387452.64,80.8,81.9,68.8,32.9,81.2,80.8,81.9,88.1,49.6,74.2,82.6,44.6,18.8
"2209",20.06,69.01,48.95,89.2,29574167.18,-389625.81,61.7,62.7,75.8,44.5,70.7,61.7,62.7,75.2,76.5,54.4,52.6,59.6,29.3
"2220",20.17,74,53.83,89.5,34391960.2,976326.95,72.5,65.9,78.8,42,58.5,72.5,65.9,84.6,73.1,56.1,55.4,62.4,41.5
"2101",20.57,83.37,62.8,89.9,62168748.87,762731.47,97.2,91.6,72.3,23.5,78.4,97.2,91.6,45.9,98.7,95.1,67.2,67.2,21.6
