序号,锚行,段起,段止,段行数,交付件,族,FACT-C·bet02,FACT-C·rn,FACT-C·age022,FACT-C·category,FACT-C·bet38,反证·bet02,反证·rn,反证·age022,反证·category,反证·bet38,FACT-C 摘要,事实层状态(机器),▸闸门声明(人工·必填),▸豁免理由(人工·须点名Gate),治理裁定(PASS/WAIVER_DECLARED/FAIL·人工),复核人,日期
16,2325,2325,2442,118,S03_agent_score.csv,S 评分族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
17,2463,2463,2535,73,S05_member_month_panel.csv,S 评分族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
18,2544,2544,2624,81,I_ip_agg.csv,其他,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
19,2625,2625,2713,89,X_combo.csv,其他,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
20,2714,2714,2777,64,P_player_month.csv,其他,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
21,2778,2778,2847,70,B_online_base.csv,其他,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
22,2866,2866,2901,36,V_ipmatch.csv,其他,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
23,3281,3281,3400,120,R01_late_shoe.csv,R 行为族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
24,3427,3427,3519,93,R02_same_table.csv,R 行为族,FOUND,NOT_FOUND,NOT_FOUND,FOUND,FOUND,,,,,,3/5 FOUND,PARSE_UNKNOWN,,,,,
25,3636,3636,3817,182,R03_player_dealer.csv,R 行为族,FOUND,FOUND,NOT_FOUND,FOUND,FOUND,,,,,,4/5 FOUND,PARSE_UNKNOWN,,,,,
26,3818,3818,3872,55,R03chk_settlement_form.csv,R 行为族,FOUND,FOUND,NOT_FOUND,FOUND,FOUND,,,,,,4/5 FOUND,PARSE_UNKNOWN,,,,,
27,3873,3873,3952,80,R03inv_pair_census.csv,R 行为族,FOUND,FOUND,NOT_FOUND,FOUND,FOUND,,,,,,4/5 FOUND,PARSE_UNKNOWN,,,,,
28,4192,4192,4279,88,TL14_limit_treatment.csv,TL 处置台账族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
29,4280,4280,4337,58,T02_daily_roi.csv,T 经济族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
30,4338,4338,4423,86,T03_arbitrage.csv,T 经济族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
31,4447,4447,4531,85,B01_bt_panel.csv,B 面板族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
32,4532,4532,4632,101,B01_bt_panel_delta.csv,B 面板族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
33,4633,4633,4751,119,K01_risk_feature_matrix.csv,K 种子族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
34,4771,4771,4800,30,K01b_seed_goldip.csv,K 种子族,FOUND,NOT_FOUND,NOT_FOUND,FOUND,FOUND,,,,,,3/5 FOUND,PARSE_UNKNOWN,,,,,
35,4948,4948,5044,97,C06_hedge_pairs.csv,C 关联族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
36,5105,5105,5153,49,DX04_bet09_profile.csv,DX 产品族,FOUND,FOUND,NOT_FOUND,FOUND,FOUND,,,,,,4/5 FOUND,PARSE_UNKNOWN,,,,,
37,5154,5154,5225,72,DX05_product_panorama.csv,DX 产品族,NOT_FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,4/5 FOUND,PARSE_UNKNOWN,,,,,
38,5226,5226,5251,26,V_table_counts.csv,其他,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,0/5 FOUND,PARSE_UNKNOWN,,,,,
39,5252,5252,5410,159,R03b_player_dealer_daily.csv,R 行为族,FOUND,FOUND,NOT_FOUND,FOUND,FOUND,,,,,,4/5 FOUND,PARSE_UNKNOWN,,,,,
40,5522,5522,5585,64,S02b_dealer_pace.csv,S 评分族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
41,6919,6919,6965,47,P0C04_同日泄漏检验.csv,P0C 因果族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
42,6966,6966,7001,36,P0C05_标记时点定位.csv,P0C 因果族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
43,7002,7002,7041,40,P0C06_LabelB骨架.csv,P0C 因果族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
44,7121,7121,7191,71,P0C09_安慰剂检验.csv,P0C 因果族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
45,7192,7192,7298,107,C06d_hedge_pairs_dated.csv,C 关联族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
46,7671,7671,7734,64,TL08_treatment_events.csv,TL 处置台账族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
47,7745,7745,7833,89,TL10_treatment_ledger.csv,TL 处置台账族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
48,7834,7834,7979,146,TL11_treatment_episode.csv,TL 处置台账族,FOUND,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,2/5 FOUND,PARSE_UNKNOWN,,,,,
49,8103,8103,8195,93,TL11c_population_reconcile.csv,TL 处置台账族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
50,8322,8322,8356,35,P01A_crosstab.csv,P01 恒等族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
51,8357,8357,8378,22,P01B_diff_ratio.csv,P01 恒等族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
52,8379,8379,8407,29,P01C_split_by_dim.csv,P01 恒等族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
53,8408,8408,8428,21,P01D_vs_validbet.csv,P01 恒等族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
54,8429,8429,8484,56,P01E_identity_test.csv,P01 恒等族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
55,8517,8517,8539,23,P02C_key_check.csv,P02 处置样本族,FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,,,,,1/5 FOUND,PARSE_UNKNOWN,,,,,
56,8567,8567,8638,72,P11_阿泽尾段投注模型会员名单.csv,P11 契约族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
57,8652,8652,8793,142,P11_阿泽尾段投注总帐.csv,P11 契约族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
58,8799,8799,8920,122,P11_雷欧尾段投注总帐.csv,P11 契约族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
59,8938,8938,9011,74,P12a_platform_daily.csv,P12 评估线,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
60,9012,9012,9079,68,P12b_member_events.csv,P12 评估线,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
61,9080,9080,9143,64,P12c_member_daily_pnl.csv,P12 评估线,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
62,9170,9170,9264,95,R01_late_shoe_w2.csv,R 行为族,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
63,9265,9265,9475,211,P13_personal_entry.csv,P13 个人入场,FOUND,FOUND,FOUND,FOUND,FOUND,,,,,,5/5 FOUND,PROVABLE,,,,,
