db_name,table_name,h_src,table_type,scope_db,scope_pattern,scope_scanned_at
ods_mariadb_2b,ods_a168_ipblacklist,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_iphistory,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_jackpot,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_keyserver_command,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_log_age_cash_change,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_log_realtimebet,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_member,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_member_category,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_member_click_counter,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_member_dtl,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_member_explosion_setting,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_member_odds,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_member_partner_account,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_member_partner_gamelist,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_member_url,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_news,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_odds_default,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_opengame_log,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_orderslist,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_partner_gamelist,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_partner_reportTime,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_partner_setting,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_partner_transation,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_partner_transation_log,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_partner_type,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_passiplist,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_permissionrole,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_permissions,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_permissionsPage,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_permissionsPageRoles,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_permissionsgroup,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_play_set,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_realtimebet,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_realtimelobby,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_realtimelog,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_risklist,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_roles,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_shuffle_gid,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_shuffle_info,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_site,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_sms_setting,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_stream,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_subagent_permissionrole,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_symbol,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_temp_id_list,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_tip,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_urllist,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_wallet_dtl,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_wallet_reporter,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_wallet_reporter_copy,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,ods_a168_white_list,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
ods_mariadb_2b,sync_checkpoint,（未命中五源）,BASE TABLE,ods_mariadb_2b,表名正则五族（见本条 CASE）,2026-08-23 08:56:06
