bet09,commission,n_rows,n_both_null,n_null_asym,n_value_diff,pct_value_diff,d_min,d_max,max_abs_diff,sum_abs_diff,n_both_zero,n_b41_zero_vb_pos,d_sign_uniform,b41_sum,vb_sum,verdict_stratum
SuperTie8,0,1,0,0,1,100.00000000,-10.00000000,-10.00000000,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,10.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
SuperTie9,0,1,0,0,1,100.00000000,-10.00000000,-10.00000000,10.00000000,10.00000000,0,1,UNIFORM_NEG（bet41 ≤ validbet 恒成立）,0.00,10.00,◐ 单向差异（bet41 ≤ validbet）——须逐笔追成因
PPair,1,317814,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,ALL_ZERO_DIFF（差值恒零）,224931646.00,224931646.00,✅ 有值相同
SuperLucky7,1,232128,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,ALL_ZERO_DIFF（差值恒零）,10397112.00,10397112.00,✅ 有值相同
BankerDragonBonus,1,45829,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,849,0,ALL_ZERO_DIFF（差值恒零）,4594070.00,4594070.00,✅ 有值相同
PlayerDragonBonus,1,40209,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,766,0,ALL_ZERO_DIFF（差值恒零）,4735868.00,4735868.00,✅ 有值相同
PerfectPair,1,34009,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,ALL_ZERO_DIFF（差值恒零）,128382501.00,128382501.00,✅ 有值相同
Big,1,13239,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,ALL_ZERO_DIFF（差值恒零）,4989884.00,4989884.00,✅ 有值相同
AnyPair,1,12487,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,ALL_ZERO_DIFF（差值恒零）,16970561.00,16970561.00,✅ 有值相同
BankerNatural,1,10402,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,202,0,ALL_ZERO_DIFF（差值恒零）,1846884.00,1846884.00,✅ 有值相同
PlayerNatural,1,8977,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,154,0,ALL_ZERO_DIFF（差值恒零）,2103804.00,2103804.00,✅ 有值相同
Tip_1_,0,5564,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,5564,0,ALL_ZERO_DIFF（差值恒零）,0.00,0.00,⊘ 零对零——本层二列皆恒为零，**无可比之量**，非「有值相同」
Small,1,1552,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,ALL_ZERO_DIFF（差值恒零）,145900.00,145900.00,✅ 有值相同
Player,-1,3,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,3,0,ALL_ZERO_DIFF（差值恒零）,0.00,0.00,⊘ 零对零——本层二列皆恒为零，**无可比之量**，非「有值相同」
Player,-100,3,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,3,0,ALL_ZERO_DIFF（差值恒零）,0.00,0.00,⊘ 零对零——本层二列皆恒为零，**无可比之量**，非「有值相同」
Player,2,3,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,3,0,ALL_ZERO_DIFF（差值恒零）,0.00,0.00,⊘ 零对零——本层二列皆恒为零，**无可比之量**，非「有值相同」
Banker,-999,1,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,ALL_ZERO_DIFF（差值恒零）,10.00,10.00,✅ 有值相同
Player,100,1,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,ALL_ZERO_DIFF（差值恒零）,0.00,0.00,⊘ 零对零——本层二列皆恒为零，**无可比之量**，非「有值相同」
Player,999,1,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,1,0,ALL_ZERO_DIFF（差值恒零）,0.00,0.00,⊘ 零对零——本层二列皆恒为零，**无可比之量**，非「有值相同」
