table_name,col_pos,column_name,data_type,column_comment,col_family,scope_db,scope_pattern,scope_scanned_at
ods_a168_betchange_log,7,new_bet01,varchar,source_type=bigint(20); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_betchange_log,8,old_bet05,varchar,source_type=int(11); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_betchange_log,9,new_bet05,varchar,source_type=int(11); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_betchange_log,10,old_bet09,varchar,source_type=text; ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_betchange_log,11,new_bet09,varchar,source_type=text; ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_betchange_log,12,old_ip,varchar,source_type=text; ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_betchange_log,13,new_ip,varchar,source_type=text; ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_category,23,status,varchar,source_type=tinyint(1); 軟刪除設定 1:軟刪除 ，因為level和aid是索引唯一，所以軟刪除也請把該筆level1更新成sn,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_categoryLevel,7,status,varchar,source_type=int(11); 狀態,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_change_log,7,operator,varchar,source_type=int(11); 操作者,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_conversion,15,status,varchar,"source_type=int(11); 1:申請,2:完成,9:失敗",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_emp_login,7,status,varchar,source_type=int(11); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_employee,13,status,varchar,"source_type=int(11); 0:下線中,1:上線中,2:連結中,3:己連線,4:暫時離開",状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_game_callwebapi,7,status,varchar,source_type=int(11); 0:待處理 1:處理中 2:完成,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_game_type,15,status,varchar,source_type=int(11); ,状态变更,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
