dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used,stake,valid_bet,profit,n_bets_xagg,n_rounds,roi,roi_late,roi_non_late,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_late,avg_stake_non_late,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_late,hold_rate,hold_rate_late,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_late,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_late,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
2026-07-12,909,1286692,5,1,5,0,5,9,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,11,1
2026-07-22,909,1295535,5,1,5,0,8,17,残靴：截断／换荷官／开收台可疑,87.0,174066619.0805,157166699.1452,324213.1599,1483351,163316,-0.00186258,0.00901271,-0.00455908,-0.00238545,-324213.1599,174066619.0805,OK,91013.4776,21308.7910,4.0043,95.9957,AG03-B-v1,302904.3689,150779358.4364,233199.6822,211890.8912,-69704.6867,0.00133972,0.00121730,-0.00040045,117.3469,962.3472,1.9852,2366.5194,99.2084,1270559.2634,1192.0876,111.2054,118.9761,5.1636,17.8977,56.9735,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.839785,92.951199,6.556519,1,1,204947,16,0.19868437,0.00186258,-0.00901271,0.00057909,0.045029,0.902911,0.082233,0.01357179,2026-03-23,2026-08-06,137,3268,137,137,1.000000,0.934687,1.046996,0.830728,1,0.9707446808510638,0.9707446808510638,0.17287234042553193,A 平台净亏首位 · 立即处置,12,1
2026-03-24,911,123646,4,1,4,0,6,18,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,13,1
2026-04-12,911,1212619,2,1,2,0,8,12,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,14,1
2026-04-19,911,1217424,3,3,1,2,1,1,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,15,1
2026-04-21,911,1218371,2,1,2,0,3,3,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,16,1
2026-05-04,911,1228157,4,2,3,1,4,5,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,17,1
2026-05-11,911,1234010,2,1,2,0,3,4,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,18,1
2026-05-14,911,1236484,4,1,4,0,9,18,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,19,1
2026-05-16,911,1238194,3,1,3,0,3,5,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,20,1
2026-05-25,911,1245596,5,1,4,1,8,13,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,21,1
2026-05-26,911,1246445,4,3,2,2,3,3,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,22,1
2026-06-05,911,1254763,5,1,5,0,13,27,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,23,1
2026-06-08,911,1257339,5,1,5,0,9,21,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,24,1
2026-06-15,911,1263381,4,1,3,1,4,4,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,25,1
2026-06-17,911,1265179,3,1,3,0,4,7,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,26,1
2026-06-25,911,1271627,2,1,2,0,2,3,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,27,1
2026-06-29,911,1275065,3,1,2,1,2,2,残靴：截断／换荷官／开收台可疑,87.0,161485702.9703,145131558.0808,1980530.6716,1395396,161982,-0.01226443,-0.01259545,-0.01217999,-0.01278193,-1980530.6716,161485702.9703,OK,83568.4165,75300.7681,4.0001,95.9999,AG03-B-v1,1905229.9035,139218991.4568,1896962.2551,1821661.4870,-8267.6484,0.01174694,0.01128064,-0.00005120,115.7275,895.9734,12.2269,14456.4283,610.3330,1178727.7589,1182.3504,111.1408,116.9588,5.1636,18.0724,56.9414,203.8715,403.6479,1604.2893,12.9729,-2.1082,22.334989,88.76991,6.403534,1,1,196813,16,0.20324673,0.01226443,0.01259545,0.00057581,0.043283,0.898727,0.082099,-0.00041546,2026-03-23,2026-08-06,137,3245,137,137,1.000000,0.950256,1.020646,0.783963,1,0.9202127659574468,0.898936170212766,0.0851063829787234,A 平台净亏首位 · 立即处置,28,1
