table_id,n_orders,p50,p75,p90,p95,p99,max_progress,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
8,4559584,0.32258060574531555,0.4166666865348816,0.5,0.5454545021057129,0.6000000238418579,0.7222222,519344207.9878,468621010.4139,5759252.1424,4786315,291841,-0.01108947,-0.00841196,-0.01187675,-0.01183704,-5759252.1424,519344207.9878,OK,388248.0094,211509.0113,4.0107,95.9893,AG03-B-v1,5547743.1311,449250701.4213,5371004.1330,5159495.1217,-176738.9981,0.01034190,0.00993463,-0.00034031,108.5061,1605.7408,19.7342,41433.4687,963.8916,3736289.2661,2099.5755,116.9911,106.2404,5.1431,15.4907,52.3519,183.2317,344.8224,1500.1122,12.8578,-2.1082,22.260011,96.839739,7.004609,1,71,391605,16,0.22722258,0.01108947,0.00841196,0.00082849,0.042470,0.902332,0.074778,0.00346478,2026-03-21,2026-08-06,139,5975,139,139,1.000000,1.101192,1.078199,0.757409,4,0.5517241379310345,0.9310344827586207,0.6551724137931034,E 常规,14,1
33,3619303,0.3469387888908386,0.4864864945411682,0.585365891456604,0.6388888955116272,0.7058823704719543,0.8064516,420976946.5247,379093487.6735,5792931.2417,3860407,210796,-0.01376069,-0.01082199,-0.01456705,-0.01445532,-5792931.2417,420976946.5247,OK,292424.1632,240777.1045,4.0159,95.9841,AG03-B-v1,5552154.1372,363412644.6984,5500507.0785,5259729.9740,-51647.0587,0.01306605,0.01249410,-0.00012268,109.0499,1798.3903,27.4812,41675.7643,1298.5723,3028611.1261,1516.5180,112.2241,108.2101,5.1431,15.6401,52.3519,183.0815,364.7868,1428.4751,12.8578,-2.2009,23.323864,91.334333,6.972469,1,134,360592,16,0.21531300,0.01376069,0.01082199,0.00077138,0.042794,0.900509,0.077799,0.00374506,2026-03-21,2026-08-06,139,4461,139,139,1.000000,1.037095,1.029108,0.717710,3,0.5172413793103449,0.7586206896551724,0.5172413793103449,E 常规,15,1
32,3910303,0.34285709261894226,0.4791666865348816,0.5833333134651184,0.6388888955116272,0.7058823704719543,0.8064516,447097711.3728,402355517.6801,7029749.9318,4168755,209323,-0.01572307,-0.00880437,-0.01768119,-0.01643400,-7029749.9318,447097711.3728,OK,317854.5244,295490.3564,4.0174,95.9826,AG03-B-v1,6734259.5753,385658053.7585,6711895.4074,6416405.0510,-22364.1680,0.01501214,0.01435124,-0.00005002,107.2497,1922.1754,33.5833,50573.7405,1589.7218,3216530.2976,1505.9209,113.5274,105.5971,5.1431,15.5063,52.3519,180.7244,359.2188,1404.7163,12.8428,-2.2273,23.166011,90.590122,6.91653,1,131,375285,16,0.22058806,0.01572307,0.00880437,0.00078998,0.042676,0.899927,0.077602,0.00887682,2026-03-21,2026-08-06,139,4422,139,139,1.000000,1.075099,1.058533,0.735294,3,0.4827586206896552,0.6206896551724138,0.5517241379310345,E 常规,16,1
36,3191453,0.3469387888908386,0.4848484992980957,0.5833333134651184,0.6388888955116272,0.7058823704719543,0.8064516,375170399.3348,337465832.5671,7681334.3485,3402142,208488,-0.02047425,-0.02965746,-0.01772100,-0.02123327,-7681334.3485,375170399.3348,OK,284761.8709,316915.4467,4.0186,95.9814,AG03-B-v1,7364418.9018,323439426.7165,7396572.4776,7079657.0309,32153.5758,0.01971523,0.01887051,0.00008570,110.2748,1618.6343,36.8431,55261.3982,1739.4326,2699067.6211,1499.9137,117.2148,108.3514,5.1431,15.5674,52.3519,180.7244,363.5996,1500.0,12.8578,-2.2009,23.356428,96.354997,7.083683,1,134,336226,16,0.23065923,0.02047425,0.02965746,0.00084382,0.044389,0.899500,0.079382,-0.01193646,2026-03-21,2026-08-06,139,4416,139,139,1.000000,1.081802,1.062934,0.768864,3,0.4482758620689655,0.13793103448275862,0.4482758620689655,E 常规,17,1
31,4247564,0.34615379571914673,0.48571428656578064,0.585365891456604,0.6388888955116272,0.7058823704719543,0.8064516,483697348.7041,435687536.8818,8540662.6529,4522103,211380,-0.01765704,-0.01340794,-0.01884784,-0.01838499,-8540662.6529,483697348.7041,OK,352107.7046,346908.6682,4.0195,95.9805,AG03-B-v1,8193753.9847,417613469.2836,8188554.9483,7841646.2802,-5199.0364,0.01692909,0.01621189,-0.00001075,106.9629,2061.1578,40.4043,61443.6162,1921.4089,3479837.0410,1520.7194,112.2788,105.5623,5.137,14.7577,51.9396,176.0275,349.3143,1434.6782,12.6037,-2.2009,23.670034,97.215847,7.24796,1,136,396564,16,0.21890074,0.01765704,0.01340794,0.00080817,0.043379,0.900744,0.075598,0.00543990,2026-03-21,2026-08-06,139,4445,139,139,1.000000,1.063626,1.049698,0.729669,3,0.41379310344827586,0.3793103448275862,0.5862068965517241,E 常规,18,1
35,3354776,0.3513528108596802,0.4888888895511627,0.5897436141967773,0.6470587849617004,0.7058823704719543,0.8064516,400657177.7083,360612936.2373,9003093.2812,3570325,212415,-0.02247081,-0.02347910,-0.02217622,-0.02319896,-9003093.2812,400657177.7083,OK,291736.8452,369110.1365,4.0176,95.9824,AG03-B-v1,8633983.1446,345660108.8986,8711356.4360,8342246.2994,77373.2913,0.02174267,0.02082141,0.00019312,112.2187,1697.6811,42.3845,64770.4553,2006.4839,2882425.7389,1528.1655,117.9415,110.6500,5.1431,15.4907,52.3519,187.2307,385.733,1501.2588,12.8436,-2.2009,24.900995,96.913758,7.244277,1,135,346615,16,0.22611125,0.02247081,0.02347910,0.00080900,0.043822,0.900054,0.078756,-0.00130288,2026-03-21,2026-08-06,139,4487,139,139,1.000000,1.065897,1.050997,0.753704,3,0.3793103448275862,0.06896551724137931,0.4827586206896552,E 常规,19,1
5,6052349,0.3199999928474426,0.40909168124198914,0.5,0.5238094925880432,0.5909091234207153,0.7647059,657551730.3606,593963365.8397,9662174.1874,6360122,291479,-0.01469417,-0.01087470,-0.01575270,-0.01544252,-9662174.1874,657551730.3606,OK,492083.5157,401023.8520,4.0126,95.9874,AG03-B-v1,9261150.3354,569398644.4829,9170090.6717,8769066.8197,-91059.6637,0.01394581,0.01333593,-0.00013848,103.3867,2037.7570,33.1488,69512.0445,1624.1678,4730587.9882,2096.9712,107.7854,102.2304,5.1096,14.2015,51.8914,172.2653,330.6856,1394.0842,12.6037,-2.1082,23.285276,98.164649,7.279987,1,88,447089,16,0.21700112,0.01469417,0.01087470,0.00082847,0.041384,0.903295,0.077872,0.00487799,2026-03-21,2026-08-06,139,5949,139,139,1.000000,1.054338,1.042547,0.723337,4,0.3448275862068966,0.6896551724137931,0.7586206896551724,E 常规,20,1
7,5131842,0.3214285969734192,0.41379308700561523,0.5,0.5416666865348816,0.6000000238418579,0.7647059,568829814.4105,514333488.8341,9729721.5184,5386493,291627,-0.01710480,-0.01290763,-0.01831706,-0.01782282,-9729721.5184,568829814.4105,OK,408428.6027,393103.5801,4.0122,95.9878,AG03-B-v1,9336617.9383,493088529.5349,9321292.9156,8928189.3356,-15325.0227,0.01638679,0.01569571,-0.00002694,105.6030,1763.6690,33.3636,69997.9965,1635.2473,4092300.8231,2098.0360,110.8395,104.1814,5.1431,14.9977,51.9528,175.8861,339.5601,1468.6554,12.8578,-2.1082,22.640773,97.925221,7.041269,1,103,410321,16,0.22410114,0.01710480,0.01290763,0.00079409,0.041516,0.904196,0.079126,0.00540943,2026-03-21,2026-08-06,139,5950,139,139,1.000000,1.063909,1.049587,0.747004,4,0.3103448275862069,0.4827586206896552,0.6896551724137931,E 常规,21,1
37,3348534,0.20652170479297638,0.2800000011920929,0.3499999940395355,0.38983049988746643,0.4259259104728699,0.4901961,498681339.8279,450511965.4009,9587754.3230,3677603,131656,-0.01922621,-0.01806306,-0.01951688,-0.01971241,-9587754.3230,498681339.8279,OK,242455.0031,407246.9954,4.0249,95.9751,AG03-B-v1,9180507.3276,431842471.1179,9345299.3199,8938052.3245,164791.9923,0.01874002,0.01792337,0.00033046,135.5996,3421.8871,72.8243,68976.6498,3477.6040,3587635.5383,947.1655,129.1935,137.3008,5.1891,20.2037,70.582,220.791,500.0,1999.9548,14.7577,-2.6176,24.747999,98.989762,6.711636,1,123,287372,16,0.19993046,0.01922621,0.01806306,0.00053818,0.041981,0.903407,0.159069,0.00145382,2026-03-21,2026-08-06,139,2757,139,139,1.000000,0.940952,0.952757,0.666435,4,0.27586206896551724,0.2413793103448276,0.6206896551724138,E 常规,22,1
3,6538717,0.3181818127632141,0.40909090638160706,0.48148149251937866,0.5238094925880432,0.5909091234207153,0.7647059,716675500.0294,647562356.6865,10171140.1999,6880912,289543,-0.01419211,-0.01979992,-0.01267990,-0.01492686,-10171140.1999,716675500.0294,OK,526577.5382,414698.7577,4.0104,95.9896,AG03-B-v1,9756441.4422,620788309.7181,9644562.6617,9229863.9040,-111878.7805,0.01345736,0.01287872,-0.00015611,104.1541,2236.4981,35.1283,73173.6705,1721.2964,5155938.8491,2083.0432,107.4881,103.2902,5.137,14.3421,51.8914,170.4888,330.481,1410.3199,12.6494,-2.1082,23.042678,98.334093,7.262113,1,96,467693,16,0.21238890,0.01419211,0.01979992,0.00081317,0.041491,0.903564,0.079127,-0.00712002,2026-03-21,2026-08-06,139,5909,139,139,1.000000,1.040642,1.032010,0.707963,4,0.2413793103448276,0.7241379310344828,0.7931034482758621,E 常规,23,1
6,5404108,0.31034478545188904,0.4000000059604645,0.47826090455055237,0.52173912525177,0.5789474248886108,0.7222222,607691555.4431,549318438.3869,10606912.1264,5677413,283608,-0.01745443,-0.01526480,-0.01805869,-0.01820513,-10606912.1264,607691555.4431,OK,456192.7731,434202.7482,4.0164,95.9836,AG03-B-v1,10172709.3782,526565584.4967,10150719.3533,9716516.6051,-21990.0249,0.01670374,0.01598922,-0.00003619,107.0367,1936.8933,37.3999,76308.7203,1833.2029,4371881.6938,2040.3453,110.8498,106.0302,5.1431,14.7043,51.8914,175.6317,338.7942,1500.019,12.8426,-2.1082,23.040422,102.012007,7.27926,1,101,424544,16,0.21627658,0.01745443,0.01526480,0.00083047,0.042536,0.903943,0.078859,0.00279389,2026-03-21,2026-08-06,139,5786,139,139,1.000000,1.045456,1.035625,0.720922,4,0.20689655172413793,0.41379310344827586,0.7241379310344828,E 常规,24,1
113,9283307,0.3617021143436432,0.5,0.6052631735801697,0.6571428775787354,0.7272726893424988,0.8620690,1046855010.3145,940999865.5300,13759026.6133,9882943,218431,-0.01314320,-0.01334495,-0.01308615,-0.01363682,-13759026.6133,1046855010.3145,OK,516751.7794,580778.6730,3.9786,96.0214,AG03-B-v1,13178247.9403,903099112.0946,13242274.8339,12661496.1609,64026.8935,0.01264958,0.01209479,0.00006116,105.9254,4307.9960,62.9903,98985.8030,3074.6428,7531331.0095,1571.4460,115.1079,103.5887,5.1431,15.4914,51.8919,172.3837,336.6933,1428.1123,12.8578,-2.5716,21.734236,92.187542,6.837701,1,51,594243,16,0.22043834,0.01314320,0.01334495,0.00054915,0.037094,0.898883,0.065509,-0.00025879,2026-03-21,2026-08-06,139,4475,139,139,1.000000,1.111201,1.086688,0.734794,5,0.1724137931034483,0.8275862068965517,0.9655172413793104,D VIP 优质 · 加码留存，严禁误伤,25,1
1,8088348,0.3142856955528259,0.40740740299224854,0.47999998927116394,0.5238094925880432,0.5909091234207153,0.7647059,835029318.5861,754154490.4023,15876933.1872,8497872,288634,-0.01901362,-0.02101273,-0.01846513,-0.01968876,-15876933.1872,835029318.5861,OK,563760.3965,651418.0992,3.9970,96.0030,AG03-B-v1,15225515.0880,723280307.8468,15313172.7907,14661754.6915,87657.7027,0.01833849,0.01755837,0.00010498,98.2633,2612.8401,55.0071,114222.5409,2707.9879,6007405.1697,2076.5036,102.0991,97.2608,4.37,13.088,51.1164,157.3736,306.625,1308.999,11.0062,-2.1006,23.42799,100.015379,7.507909,1,94,524164,23,0.21529924,0.01901362,0.02101273,0.00074754,0.036672,0.903147,0.077913,-0.00254760,2026-03-21,2026-08-06,139,5863,139,139,1.000000,1.049746,1.039036,0.717664,5,0.13793103448275862,0.27586206896551724,0.8620689655172413,D VIP 优质 · 加码留存，严禁误伤,26,1
2,7357447,0.3181818127632141,0.40909090638160706,0.5,0.5263158082962036,0.6000000238418579,0.7647059,776262521.2371,700311784.2039,16097651.5686,7729888,292008,-0.02073738,-0.02203458,-0.02037966,-0.02146344,-16097651.5686,776262521.2371,OK,563615.9336,640730.3799,4.0034,95.9966,AG03-B-v1,15456921.1887,671484098.0779,15534035.6350,14893305.2551,77114.4463,0.02001132,0.01918591,0.00009934,100.4235,2398.2623,55.1274,115810.4429,2711.8685,5584622.4549,2100.7770,104.4315,99.3718,5.0,13.6003,51.6356,166.3617,316.2377,1321.0394,12.2634,-2.1082,23.252178,97.13277,7.383893,1,69,492387,16,0.21615828,0.02073738,0.02203458,0.00080481,0.039447,0.902158,0.079917,-0.00165492,2026-03-21,2026-08-06,139,5936,139,139,1.000000,1.050917,1.039911,0.720528,5,0.10344827586206896,0.10344827586206896,0.8275862068965517,D VIP 优质 · 加码留存，严禁误伤,27,1
115,8877261,0.35713401436805725,0.5,0.6000000238418579,0.6571428775787354,0.7272726893424988,0.8620690,991255525.4243,892403213.5112,16412464.3730,9457325,216972,-0.01655725,-0.01699816,-0.01643296,-0.01707506,-16412464.3730,991255525.4243,OK,513278.8688,662216.8170,3.9861,96.0139,AG03-B-v1,15750247.5561,856341284.0264,15899185.5042,15236968.6873,148937.9482,0.01603944,0.01537138,0.00015025,104.8135,4112.9879,75.6432,118075.2833,3702.3380,7131334.7153,1560.9496,112.2695,102.8874,5.1431,15.4898,51.8914,170.4612,332.7233,1381.792,12.8578,-2.5716,21.480152,89.206555,6.766614,1,47,575440,16,0.21990129,0.01655725,0.01699816,0.00057516,0.037761,0.900276,0.066329,-0.00056520,2026-03-21,2026-08-06,139,4433,139,139,1.000000,1.091188,1.071135,0.733004,5,0.06896551724137931,0.5172413793103449,0.9310344827586207,D VIP 优质 · 加码留存，严禁误伤,28,1
