bet09_value,n_rows,n_b14_null,n_b13_null,n_b13_zero,n_pnl_zero_stake_pos,n_exact_refund,pct_pnl_zero,stake_sum,verdict_contamination,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_freecomm,roi_non_freecomm,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_freecomm,avg_stake_non_freecomm,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_freecomm,hold_rate,hold_rate_freecomm,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_freecomm,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_freecomm,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
PlayerDragonBonus,176728,0,0,0,3158,3158,1.786927,29047631.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,4467950.6433,4389417.7474,331654.5065,176725,170114,-0.07422967,-0.02281475,-0.08997131,-0.07458042,-331654.5065,4467950.6433,OK,1567.1112,12945.9515,4.0417,95.9583,AG03-B-v1,318708.5550,4219870.2939,330087.3954,317141.4438,11378.8404,0.07387893,0.07098141,0.00254677,25.2819,25.8028,1.9496,2386.0036,6.6457,32143.5298,1223.8417,26.0470,25.0566,2.1082,6.7449,21.5343,67.9348,102.5992,280.6642,6.7449,-2.5818,15.211417,41.61145,3.748315,30,288,13444,1,0.23440208,0.07422967,0.02281475,0.00035702,0.069354,0.982423,0.227517,0.06715655,2026-03-21,2026-08-06,139,49905,4002,139,1.000000,1.039525,0.979508,0.773815,3,0.5454545454545454,0.45454545454545453,0.5,E 常规,11,1
PlayerNatural,54940,0,0,0,968,968,1.761922,30112276.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,1805978.0319,1767921.5627,344627.9221,54938,54008,-0.19082620,-0.14471922,-0.19835622,-0.19111236,-344627.9221,1805978.0319,OK,516.8082,16100.8047,4.0960,95.9040,AG03-B-v1,328527.1174,1691735.6959,344111.1139,328010.3091,15583.9965,0.19054003,0.18162475,0.00862912,32.8730,32.7344,6.3811,2479.3376,16.7988,12992.6477,388.5468,28.2431,33.7773,3.0349,10.0,25.9023,68.3995,134.4657,261.7596,10.0,-5.2352,13.446568,26.175955,3.287302,30,284,5792,1,0.14038856,0.19082620,0.14471922,0.00029233,0.069830,0.978928,0.163402,0.05363700,2026-03-21,2026-08-06,139,20515,3751,139,1.000000,0.836157,0.754141,0.557596,2,0.5,0.045454545454545456,0.36363636363636365,E 常规,12,1
PerfectPair,355785,0,0,0,3,3,0.000843,941845981.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,6101599.3101,6101599.3101,409269.3898,355779,332475,-0.06707576,-0.10208226,-0.05958766,-0.06731445,-409269.3898,6101599.3101,OK,1456.4214,16493.9654,4.0317,95.9683,AG03-B-v1,392775.4244,5857263.3202,407812.9684,391319.0030,15037.5441,0.06683706,0.06413384,0.00246453,17.1500,18.3521,1.2310,2944.3841,6.6057,43896.3979,2391.9065,31.6146,15.6212,2.5818,5.1891,12.9729,33.9674,64.5911,179.543,5.1891,-5.1636,12.447359,34.599741,3.304971,30,289,12107,1,0.17621294,0.06707576,0.10208226,0.00023870,0.036501,1.000000,0.095590,-0.04249461,2026-03-21,2026-08-06,139,61957,4003,139,1.000000,2.023832,1.008499,0.636127,3,0.45454545454545453,0.5454545454545454,0.5909090909090909,E 常规,13,1
BankerDragonBonus,206969,0,0,0,3741,3741,1.807517,23020560.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,5222509.0661,5129032.1962,657988.5653,206966,197933,-0.12599089,-0.14688122,-0.11900891,-0.12646048,-657988.5653,5222509.0661,OK,2452.4270,26504.4501,4.0582,95.9418,AG03-B-v1,631484.1152,4929301.7542,655536.1382,629031.6882,24052.0230,0.12552130,0.12044626,0.00460545,25.2337,25.9130,3.3243,4733.7307,12.0489,37572.0077,1423.9784,28.5459,24.2916,2.2009,6.8546,21.8479,66.0269,101.033,288.4865,6.7935,-3.0,14.739493,42.08669,3.681285,30,288,14195,1,0.25049872,0.12599089,0.14688122,0.00047815,0.074033,0.982101,0.221433,-0.02787231,2026-03-21,2026-08-06,139,54610,4005,139,1.000000,1.175136,1.046902,0.778342,3,0.4090909090909091,0.3181818181818182,0.5454545454545454,E 常规,14,1
Big,80722,0,0,0,1,1,0.001239,99864007.67,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,11555208.8588,11555208.8588,791105.2447,80722,78659,-0.06846308,-0.07802118,-0.06713640,-0.06850088,-791105.2447,11555208.8588,OK,436.7560,27692.0967,3.6947,96.3053,AG03-B-v1,763413.1480,11147972.5315,790668.4887,762976.3920,27255.3407,0.06842529,0.06602878,0.00235871,143.1482,146.9026,10.0574,5691.4046,30.9328,83130.9990,565.8921,106.3823,150.3610,10.0,25.9457,83.0557,216.2723,500.0,2214.1907,25.9457,4.071,19.271001,85.33934,5.517218,30,284,5550,1,0.12188403,0.06846308,0.07802118,0.00003780,0.005074,1.000000,0.164007,-0.01088477,2026-03-21,2026-08-06,139,25575,3816,139,1.000000,0.707513,0.817177,0.608211,3,0.36363636363636365,0.5,0.6363636363636364,E 常规,15,1
SuperLucky7,3152754,0,0,0,31,31,0.000983,406361546.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,23168819.2362,23168819.2362,3873775.8415,3152739,2044253,-0.16719781,-0.15651710,-0.16886170,-0.16780099,-3873775.8415,23168819.2362,OK,13974.8940,156556.0203,4.0521,95.9479,AG03-B-v1,3717219.8212,22239953.1214,3859800.9474,3703244.9271,142581.1263,0.16659463,0.15983745,0.00615401,7.3488,11.3336,1.8950,27868.8909,31.9497,166682.1528,14706.8561,13.4532,6.8636,2.0439,2.5716,5.2352,12.9729,26.3325,87.2905,2.5716,-2.5716,10.239905,33.944659,2.857724,30,293,225845,1,0.13478683,0.16719781,0.15651710,0.00060318,0.051010,1.000000,0.073627,0.01234460,2026-03-21,2026-08-06,139,121246,4007,139,1.000000,1.960074,1.107797,0.737197,4,0.3181818181818182,0.13636363636363635,0.6818181818181818,E 常规,16,1
PPair,5764241,0,0,0,47,47,0.000815,4645254815.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,71082102.4927,71082102.4927,7537985.8060,5764213,2959918,-0.10604619,-0.14612790,-0.10151636,-0.10653794,-7537985.8060,71082102.4927,OK,34954.8685,308296.4872,4.0268,95.9732,AG03-B-v1,7229689.3188,68204384.1678,7503030.9375,7194734.4503,273341.6187,0.10555443,0.10121724,0.00384544,12.3316,24.0149,2.5467,54230.1137,61.4143,511382.0323,21294.3741,22.7103,11.7260,2.1082,4.2058,10.4704,21.5737,40.8824,129.7286,4.2058,-4.1543,9.720411,30.844979,2.932034,30,294,305252,1,0.10153932,0.10604619,0.14612790,0.00049175,0.043356,1.000000,0.055136,-0.04461154,2026-03-21,2026-08-06,139,122740,4007,139,1.000000,1.936748,1.061421,0.740338,4,0.2727272727272727,0.36363636363636365,0.7727272727272727,E 常规,17,1
BPair,5908587,0,0,0,48,48,0.000812,4638471961.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,72994602.2116,72994602.2116,7697206.9765,5908562,2997513,-0.10544899,-0.10500180,-0.10550104,-0.10593236,-7697206.9765,72994602.2116,OK,35283.5633,311733.8285,4.0279,95.9721,AG03-B-v1,7385473.1480,70037627.1060,7661923.4132,7350189.5847,276450.2652,0.10496562,0.10069497,0.00378727,12.3540,24.3517,2.5679,55375.5898,62.6747,525141.0231,21564.8417,22.9257,11.7248,2.1082,4.2165,10.4704,21.5448,40.0906,129.7272,4.2165,-4.1543,9.50809,30.766764,2.929946,30,294,306367,1,0.10425761,0.10544899,0.10500180,0.00048337,0.043604,1.000000,0.056182,0.00049924,2026-03-21,2026-08-06,139,122812,4007,139,1.000000,1.955322,1.043690,0.726206,4,0.22727272727272727,0.4090909090909091,0.8181818181818182,E 常规,18,1
Lucky7,4378264,0,0,0,32,32,0.000731,1871764344.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,62510876.0777,62510876.0777,11462353.7282,4378252,2509813,-0.18336575,-0.19317615,-0.18179883,-0.18414376,-11462353.7282,62510876.0777,OK,48634.0233,474863.8390,4.0604,95.9396,AG03-B-v1,10987489.8892,59919167.8677,11413719.7049,10938855.8659,426229.8157,0.18258774,0.17499124,0.00681849,14.2776,24.9066,4.5670,82462.9765,93.6000,449718.5329,18056.2086,28.7282,13.2158,2.1082,4.2165,10.5412,25.8178,50.0,166.3617,4.2165,-4.1543,11.858251,39.455166,3.386144,30,293,270165,1,0.13772336,0.18336575,0.19317615,0.00077801,0.051193,1.000000,0.068447,-0.01137732,2026-03-21,2026-08-06,139,122461,4007,139,1.000000,2.173774,1.126991,0.775911,4,0.18181818181818182,0.09090909090909091,0.7272727272727273,D VIP 优质 · 加码留存，严禁误伤,19,1
Super6,4644658,0,0,0,40,40,0.000861,2746796241.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,78033104.0313,78033104.0313,16018553.0553,4644632,2642938,-0.20527894,-0.21153584,-0.20432352,-0.20603318,-16018553.0553,78033104.0313,OK,58855.4927,673389.3401,4.0695,95.9305,AG03-B-v1,15345163.7152,74795775.4736,15959697.5626,15286308.2225,614533.8474,0.20452470,0.19589517,0.00787530,16.8007,29.5251,6.0609,115241.3889,130.4506,561389.2376,19013.9424,29.8180,15.7507,2.2009,5.1636,12.9089,29.5622,60.0,200.0,5.1636,-4.4018,11.6199,38.733,3.253709,30,293,264472,1,0.13247079,0.20527894,0.21153584,0.00075424,0.052269,1.000000,0.074640,-0.00721232,2026-03-21,2026-08-06,139,122794,4007,139,1.000000,1.893121,1.141076,0.783778,5,0.13636363636363635,0.0,0.8636363636363636,D VIP 优质 · 加码留存，严禁误伤,20,1
Tie,9642347,0,0,0,75,75,0.000778,6315860341.00,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,151322168.6408,151322168.6408,22734964.0583,9642278,3807834,-0.15024212,-0.15093979,-0.15015962,-0.15121921,-22734964.0583,151322168.6408,OK,147854.7629,945658.4673,4.0412,95.9588,AG03-B-v1,21789305.5910,145053227.9066,22587109.2953,21641450.8281,797803.7043,0.14926504,0.14301573,0.00527222,15.6936,39.7397,5.9706,163560.8925,184.4742,1088648.6953,27394.4892,34.4620,14.7440,2.5716,5.1431,12.8426,26.176,47.033,175.5186,5.1431,-4.2165,9.144859,34.126968,3.051387,30,295,435484,1,0.10575446,0.15024212,0.15093979,0.00097709,0.048401,1.000000,0.048159,-0.00078018,2026-03-21,2026-08-06,139,123242,4007,139,1.000000,2.337359,1.047987,0.723567,5,0.09090909090909091,0.2727272727272727,0.9090909090909091,D VIP 优质 · 加码留存，严禁误伤,21,1
Player,44221794,0,0,0,4193998,4193998,9.484007,323804267734.07,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,5949905006.6650,5344104138.6698,72134359.7740,44221416,5729664,-0.01212362,-0.01109573,-0.01226111,-0.01262385,-72134359.7740,5949905006.6650,OK,2976369.3786,2899032.1810,3.9753,96.0247,AG03-B-v1,69235327.5930,5127372060.8879,69157990.3955,66258958.2145,-77337.1976,0.01162338,0.01113614,-0.00001300,134.5480,932.7081,12.5896,518952.2286,584.8321,42805071.9904,41220.6043,205.6814,128.5989,8.7345,25.7123,78.5279,234.6094,466.64,1753.2863,20.439,0.0,18.148493,68.188546,5.232822,30,300,1172802,1,0.11798199,0.01212362,0.01109573,0.00055694,0.036031,0.898183,0.077179,0.00116538,2026-03-21,2026-08-06,139,123342,4007,139,1.000000,1.599402,1.024750,0.720748,5,0.045454545454545456,0.6363636363636364,0.9545454545454546,D VIP 优质 · 加码留存，严禁误伤,22,1
Banker,46822113,0,0,0,4439480,4439480,9.481588,330779501341.07,◐ 有净输赢为零者 —— 系 push 抑或取消单，二者同形，须再拆（★ 本件答不了）,7087430852.4402,6350184695.0650,82523237.9170,46821669,5757553,-0.01164360,-0.01209187,-0.01157312,-0.01234377,-82523237.9170,7087430852.4402,OK,4962397.5580,3354897.8449,3.9939,96.0061,AG03-B-v1,79168340.0721,6088293372.3434,77560840.3590,74205942.5141,-1607499.7131,0.01094344,0.01047008,-0.00022681,151.3707,1102.9312,14.3330,593692.3591,669.0278,50988711.1686,41421.2446,231.4740,143.5587,10.2807,25.9457,84.3302,258.1778,514.3107,2076.9045,21.0824,0.0,19.822562,80.048058,5.834131,30,297,1151732,1,0.13588185,0.01164360,0.01209187,0.00078146,0.039042,0.895978,0.088859,-0.00051875,2026-03-21,2026-08-06,139,123348,4007,139,1.000000,1.612400,1.063832,0.756867,5,0.0,0.6818181818181818,1.0,D VIP 优质 · 加码留存，严禁误伤,23,1
