table_id,n_rounds,mean_sec,p50,p90,p99,stake,valid_bet,profit,n_bets,n_rounds_xagg,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
606,10784,46.184532640949556,46.0,56.0,66.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,17,1
607,10628,46.74435453519006,46.0,56.0,67.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,18,1
608,10661,46.64646843635681,46.0,56.0,66.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,19,1
610,10539,46.99715343011671,46.0,57.0,68.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,20,1
612,45650,73.87259583789704,70.0,90.0,135.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,21,1
613,46045,73.51404061244435,70.0,88.0,130.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,22,1
615,45506,72.97828857733046,69.0,88.0,132.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,23,1
616,45057,79.18720731517855,73.0,117.0,173.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,24,1
617,47233,75.72646243092753,68.0,113.9248046875,172.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,25,1
619,51635,71.0599786966205,63.0,105.0,165.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,26,1
621,4770,68.79433962264152,61.0,101.0,171.3994140625,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,27,1
622,9037,86.15248423149275,57.0,93.0,179.1298828125,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,28,1
623,2812,70.00711237553342,60.0,99.0,164.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,29,1
625,17293,69.39489967038686,59.0,95.0,164.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,30,1
626,11214,140.31326912787586,126.0,198.0,308.3603515625,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,31,1
627,12385,120.40904319741622,96.0,155.0,361.30078125,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,32,1
628,29711,121.01854531991518,104.0,176.0,351.390625,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,33,1
629,1937,456.1744966442953,82.0,134.7999267578125,359.1300048828125,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,34,1
630,938,2636.5095948827293,67.0,104.0,362.9998779296875,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,35,1
631,60742,64.27343518488031,58.0,89.0,138.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,36,1
632,66150,59.894603174603176,56.0,75.0,117.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,37,1
633,63986,61.83469821523458,58.0,79.0,125.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,38,1
635,4267,309.1832669322709,87.0,165.0,427.490234375,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,39,1
637,4607,209.47796830909485,109.0,212.0,444.720703125,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,40,1
641,1167,497.541559554413,48.0,74.0,226.7894287109375,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,41,1
642,5450,64.98880733944954,48.0,70.0,236.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,42,1
651,2765,221.6741410488246,76.0,140.0,409.75341796875,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,43,1
652,11792,137.1993724559023,91.0,152.0,393.16015625,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,44,1
653,5670,74.3573192239859,59.0,102.0,206.40087890625,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,45,1
661,69066,51.88942460834564,48.0,62.0,74.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,46,1
662,69002,51.80433900466653,49.0,62.0,73.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,47,1
663,68818,49.55526170478654,49.0,62.0,74.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,48,1
665,68722,52.07913040947586,49.0,62.0,73.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,49,1
666,68866,51.6787819824006,48.0,62.0,73.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,50,1
667,66120,47.3875983061101,46.0,56.0,67.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,51,1
668,65927,46.29728335886662,46.0,56.0,65.4326171875,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,52,1
669,66036,46.509176812647645,46.0,56.0,66.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,53,1
670,65856,46.609116861030124,46.0,56.0,66.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,54,1
680,40102,72.80025933868635,51.0,61.0,69.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,55,1
918,21,52.42857142857143,54.0,62.0,64.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,56,1
921,33,39250.06060606061,28.0,21268.685546875,685936.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,57,1
922,31,5931.354838709677,19.0,163.59999084472656,100148.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,58,1
923,349,427.29226361031516,17.0,34.600006103515625,117.324951171875,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,59,1
925,602,265.54152823920265,20.0,48.29998779296875,447.83642578125,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,Z 证据不足 · 不动作,60,1
926,15,4923.266666666666,28.0,466.0,73071.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,61,1
927,134,5209.29104477612,42.0,78.19999694824219,113839.5390625,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,62,1
929,660,146.33333333333334,150.0,167.0,190.800048828125,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,Z 证据不足 · 不动作,63,1
931,23301,100.16042229947213,54.0,79.0,181.490234375,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,64,1
932,21804,96.73605760410933,54.0,80.0,168.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,65,1
933,21536,84.12699665676077,54.0,80.0,161.140625,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,66,1
935,22636,86.14596218413148,54.0,80.0,178.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,67,1
936,20865,62.875341480948954,55.0,82.0,171.69921875,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,68,1
937,21005,63.768436086646034,55.0,83.0,180.451171875,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,69,1
938,20924,63.970655706365896,55.0,83.0,177.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,70,1
939,20651,65.45484480170452,55.0,82.0,175.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,71,1
940,38,42.31578947368421,37.0,67.60000610351562,155.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,72,1
941,32,45.71875,36.0,78.69998168945312,143.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,73,1
942,53,53.0377358490566,38.0,100.79998779296875,297.14019775390625,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,74,1
943,26,69.15384615384616,33.5,78.89999389648438,702.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,75,1
945,64,119.859375,52.5,100.39997863769531,3179.882080078125,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,76,1
946,8,549.625,39.5,2915.4990234375,4138.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,77,1
947,27,141.7037037037037,46.0,120.59996032714844,2552.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,78,1
948,55,5400.436363636363,53.0,92.0,275547.71875,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,79,1
951,50465,55.02282770236798,54.0,64.0,78.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,80,1
952,50500,55.20445544554455,54.0,64.0,78.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,81,1
953,50278,54.80259755757986,53.0,64.0,81.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,82,1
955,49804,55.2398200947715,54.0,64.0,79.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,Z 证据不足 · 不动作,83,1
956,50204,55.424986056887896,54.0,64.0,78.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,84,1
957,50489,54.54273208025511,53.0,63.0,79.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,85,1
958,49728,55.0132722007722,53.0,64.0,82.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,86,1
959,49398,55.37025790517835,54.0,65.0,83.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,87,1
971,43221,59.02649175169478,52.0,73.0,236.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,88,1
972,43352,59.13316571323122,52.0,72.0,238.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,89,1
973,45006,59.02512998266898,52.0,71.0,236.0,,,,,,,,,,,,NULL_DENOM,,,,,AG03-B-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,Z 证据不足 · 不动作,90,1
