bet_ip,m_a,m_b,n_same_round,n_opposite_round,opposite_rate,hedge_coverage,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_hedge,roi_non_hedge,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,agent_cost,agent_pct,company_retain_pct,agent_formula_version,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,net_margin,net_margin_a_legacy,ngr_rate,net_margin_rate,net_margin_a_rate_legacy,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_hedge,avg_stake_non_hedge,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_hedge,hold_rate,hold_rate_hedge,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_hedge,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_hedge,ramp_recent,stake_ramp,vip_tier,economic_value,risk_value,pr_stake,action_priority,audit_rn,batch_id
42.118.225.67,149046308,149251902,54,23,0.4259259,0E-7,218616.2857,201339.5102,-28156.0139,1207,852,0.12879193,0.12879193,,0.12879193,28156.0139,218616.2857,OK,0.0000,-1117.3416,3.8716,96.1284,AG03-B-v1,-27038.6723,193383.2916,-28156.0139,-27038.6723,-1117.3416,-0.12879193,-0.12368096,-0.00511097,181.1237,236.3140,-33.0470,-2559.6376,-433.1694,19874.2078,77.4545,181.1237,,52.3519,78.5279,183.2317,235.5836,407.6908,1687.8665,78.5279,0.0,5.191671,21.493855,2.306489,8,48,1,2,1.00000000,-0.12879193,-0.12879193,0E-8,0.000000,0.920972,0.000000,,2026-04-20,2026-05-02,11,65,39,13,0.846154,,,0.000000,5,0.9948293691830403,0.9710444674250258,0.8583247156153051,A 平台净亏首位 · 立即处置,11,1
171.254.200.218,153893297,153893331,400,0,0E-7,,139840.2945,121415.9143,-20011.5814,957,545,0.14310311,0.14321033,-1.00000000,0.14310311,20011.5814,139840.2945,OK,0.0000,-792.6958,3.0920,96.9080,AG03-B-v1,-19218.8857,116604.5044,-20011.5814,-19218.8857,-792.6958,-0.14310311,-0.13743453,-0.00566858,146.1236,222.7815,-36.7185,-1819.2347,-307.8705,12712.7540,49.5455,146.2627,13.1149,2.5685,2.5685,2.5685,26.176,104.7038,5266.3452,2.5685,0.0,40.764339,2050.346246,56.890307,19,58,1,5,0.99990621,-0.14310311,-0.14321033,0E-8,0.000000,0.868247,0.040752,1.14321033,2026-03-26,2026-08-06,11,65,56,134,0.082090,11.152391,0.017578,0.049653,5,0.9943123061013444,0.9777662874870734,0.8055842812823164,A 平台净亏首位 · 立即处置,12,1
43.173.1.184,125699147,93612856,36,19,0.5277778,0.1578947,817753.3063,746056.0141,-17745.7186,1849,1785,0.02170058,0.02054976,0.08659818,0.02170058,17745.7186,817753.3063,OK,0.0000,-709.8287,4.0000,96.0000,AG03-B-v1,-17035.8898,716213.7736,-17745.7186,-17035.8898,-709.8287,-0.02170058,-0.02083255,-0.00086802,442.2679,417.9586,-9.9416,-341.2638,-58.9559,15726.0251,34.3269,441.4862,491.3228,130.8798,385.2773,642.1288,898.9803,1155.8318,1481.629,385.2773,0.0,3.0,3.845617,1.147921,24,128,1,5,0.98257621,-0.02170058,-0.02054976,0E-8,0.000000,0.912324,0.000000,-0.06604841,2026-04-02,2026-08-06,52,301,184,127,0.409449,0.898567,1.356563,2.426015,5,0.9937952430196484,0.889348500517063,0.9146845915201655,A 平台净亏首位 · 立即处置,13,1
103.193.207.8,152193495,152763197,33,11,0.3333333,0E-7,274470.1087,254184.7826,-16233.0163,1399,1049,0.05914311,0.06177113,-1.00000000,0.05914311,16233.0163,274470.1087,OK,0.0000,-649.3207,4.0000,96.0000,AG03-B-v1,-15583.6957,244017.3913,-16233.0163,-15583.6957,-649.3207,-0.05914311,-0.05677739,-0.00236572,196.1902,242.3115,-15.4748,-3246.6033,-96.0534,54894.0217,209.8000,195.8446,679.3478,33.9674,135.8696,339.6739,339.6739,475.5435,679.3478,135.8696,-6.7935,3.5,5.0,1.44396,15,68,1,8,0.99752488,-0.05914311,-0.06177113,0E-8,0.000000,0.926093,0.000000,1.06177113,2026-07-15,2026-07-23,5,169,36,9,0.555556,0.288283,1.000000,3.333333,5,0.9932781799379524,0.9353671147880042,0.8660806618407446,A 平台净亏首位 · 立即处置,14,1
172.56.60.248,142756791,142903814,48,0,0E-7,,9172571.8194,8293245.5540,-16037.2777,13123,8737,0.00174839,0.00488805,-0.46523001,0.00174839,16037.2777,9172571.8194,OK,0.0000,-641.4911,4.0000,96.0000,AG03-B-v1,-15395.7866,7961515.7319,-16037.2777,-15395.7866,-641.4911,-0.00174839,-0.00167846,-0.00006994,698.9691,949.2097,-1.8356,-2004.6597,-9.3186,1146571.4774,1092.1250,697.9175,900.8610,34.1997,136.7989,820.7935,2735.978,3419.9727,3419.9727,102.5992,-13.6799,25.0,25.0,5.109464,29,162,1,14,0.99332155,-0.00174839,-0.00488805,0E-8,0.000000,0.904135,0.044121,0.47011807,2026-05-05,2026-05-12,8,1721,230,8,1.000000,0.774723,,0.000000,5,0.9912099276111686,0.8086866597724922,0.953981385729059,A 平台净亏首位 · 立即处置,15,1
172.56.60.248,142756791,146618930,31,13,0.4193548,0E-7,9172571.8194,8293245.5540,-16037.2777,13123,8737,0.00174839,0.00488805,-0.46523001,0.00174839,16037.2777,9172571.8194,OK,0.0000,-641.4911,4.0000,96.0000,AG03-B-v1,-15395.7866,7961515.7319,-16037.2777,-15395.7866,-641.4911,-0.00174839,-0.00167846,-0.00006994,698.9691,949.2097,-1.8356,-2004.6597,-9.3186,1146571.4774,1092.1250,697.9175,900.8610,34.1997,136.7989,820.7935,2735.978,3419.9727,3419.9727,102.5992,-13.6799,25.0,25.0,5.109464,29,162,1,14,0.99332155,-0.00174839,-0.00488805,0E-8,0.000000,0.904135,0.044121,0.47011807,2026-05-05,2026-05-12,8,1721,230,8,1.000000,0.774723,,0.000000,5,0.9912099276111686,0.8086866597724922,0.953981385729059,A 平台净亏首位 · 立即处置,16,1
172.56.60.248,146618930,146650259,46,20,0.4347826,0.0500000,9172571.8194,8293245.5540,-16037.2777,13123,8737,0.00174839,0.00488805,-0.46523001,0.00174839,16037.2777,9172571.8194,OK,0.0000,-641.4911,4.0000,96.0000,AG03-B-v1,-15395.7866,7961515.7319,-16037.2777,-15395.7866,-641.4911,-0.00174839,-0.00167846,-0.00006994,698.9691,949.2097,-1.8356,-2004.6597,-9.3186,1146571.4774,1092.1250,697.9175,900.8610,34.1997,136.7989,820.7935,2735.978,3419.9727,3419.9727,102.5992,-13.6799,25.0,25.0,5.109464,29,162,1,14,0.99332155,-0.00174839,-0.00488805,0E-8,0.000000,0.904135,0.044121,0.47011807,2026-05-05,2026-05-12,8,1721,230,8,1.000000,0.774723,,0.000000,5,0.9912099276111686,0.8086866597724922,0.953981385729059,A 平台净亏首位 · 立即处置,17,1
172.56.60.248,146649963,146650259,33,4,0.1212121,0E-7,9172571.8194,8293245.5540,-16037.2777,13123,8737,0.00174839,0.00488805,-0.46523001,0.00174839,16037.2777,9172571.8194,OK,0.0000,-641.4911,4.0000,96.0000,AG03-B-v1,-15395.7866,7961515.7319,-16037.2777,-15395.7866,-641.4911,-0.00174839,-0.00167846,-0.00006994,698.9691,949.2097,-1.8356,-2004.6597,-9.3186,1146571.4774,1092.1250,697.9175,900.8610,34.1997,136.7989,820.7935,2735.978,3419.9727,3419.9727,102.5992,-13.6799,25.0,25.0,5.109464,29,162,1,14,0.99332155,-0.00174839,-0.00488805,0E-8,0.000000,0.904135,0.044121,0.47011807,2026-05-05,2026-05-12,8,1721,230,8,1.000000,0.774723,,0.000000,5,0.9912099276111686,0.8086866597724922,0.953981385729059,A 平台净亏首位 · 立即处置,18,1
42.114.214.35,142715512,146810177,175,114,0.6514286,0.5350877,2637544.4711,1951662.6649,-15910.9545,4090,2311,0.00603249,0.00603249,,0.00603249,15910.9545,2637544.4711,OK,0.0000,-1068.1760,3.9643,96.0357,AG03-B-v1,-14842.7785,1875034.7895,-15910.9545,-14842.7785,-1068.1760,-0.00603249,-0.00562750,-0.00040499,644.8764,844.5100,-6.8849,-2651.8257,-151.5329,439590.7452,385.1667,644.8764,,129.0889,129.0889,258.1778,1290.8889,2581.7778,12300.2227,129.0889,0.0,19.999999,95.2849,4.995599,4,34,1,3,1.00000000,-0.00603249,-0.00603249,0E-8,0.000000,0.739954,0.000000,,2026-07-01,2026-07-07,6,105,17,7,0.857143,,,0.000000,5,0.9881075491209927,0.8319544984488108,0.9229576008273009,A 平台净亏首位 · 立即处置,19,1
42.114.214.35,142715512,149292574,769,553,0.7191157,0.6943942,2637544.4711,1951662.6649,-15910.9545,4090,2311,0.00603249,0.00603249,,0.00603249,15910.9545,2637544.4711,OK,0.0000,-1068.1760,3.9643,96.0357,AG03-B-v1,-14842.7785,1875034.7895,-15910.9545,-14842.7785,-1068.1760,-0.00603249,-0.00562750,-0.00040499,644.8764,844.5100,-6.8849,-2651.8257,-151.5329,439590.7452,385.1667,644.8764,,129.0889,129.0889,258.1778,1290.8889,2581.7778,12300.2227,129.0889,0.0,19.999999,95.2849,4.995599,4,34,1,3,1.00000000,-0.00603249,-0.00603249,0E-8,0.000000,0.739954,0.000000,,2026-07-01,2026-07-07,6,105,17,7,0.857143,,,0.000000,5,0.9881075491209927,0.8319544984488108,0.9229576008273009,A 平台净亏首位 · 立即处置,20,1
42.114.214.35,142720866,147598878,56,44,0.7857143,0.8409091,2637544.4711,1951662.6649,-15910.9545,4090,2311,0.00603249,0.00603249,,0.00603249,15910.9545,2637544.4711,OK,0.0000,-1068.1760,3.9643,96.0357,AG03-B-v1,-14842.7785,1875034.7895,-15910.9545,-14842.7785,-1068.1760,-0.00603249,-0.00562750,-0.00040499,644.8764,844.5100,-6.8849,-2651.8257,-151.5329,439590.7452,385.1667,644.8764,,129.0889,129.0889,258.1778,1290.8889,2581.7778,12300.2227,129.0889,0.0,19.999999,95.2849,4.995599,4,34,1,3,1.00000000,-0.00603249,-0.00603249,0E-8,0.000000,0.739954,0.000000,,2026-07-01,2026-07-07,6,105,17,7,0.857143,,,0.000000,5,0.9881075491209927,0.8319544984488108,0.9229576008273009,A 平台净亏首位 · 立即处置,21,1
42.114.214.35,142720866,147706722,121,72,0.5950413,0.1250000,2637544.4711,1951662.6649,-15910.9545,4090,2311,0.00603249,0.00603249,,0.00603249,15910.9545,2637544.4711,OK,0.0000,-1068.1760,3.9643,96.0357,AG03-B-v1,-14842.7785,1875034.7895,-15910.9545,-14842.7785,-1068.1760,-0.00603249,-0.00562750,-0.00040499,644.8764,844.5100,-6.8849,-2651.8257,-151.5329,439590.7452,385.1667,644.8764,,129.0889,129.0889,258.1778,1290.8889,2581.7778,12300.2227,129.0889,0.0,19.999999,95.2849,4.995599,4,34,1,3,1.00000000,-0.00603249,-0.00603249,0E-8,0.000000,0.739954,0.000000,,2026-07-01,2026-07-07,6,105,17,7,0.857143,,,0.000000,5,0.9881075491209927,0.8319544984488108,0.9229576008273009,A 平台净亏首位 · 立即处置,22,1
42.114.214.35,146810177,147598865,71,43,0.6056338,0.2325581,2637544.4711,1951662.6649,-15910.9545,4090,2311,0.00603249,0.00603249,,0.00603249,15910.9545,2637544.4711,OK,0.0000,-1068.1760,3.9643,96.0357,AG03-B-v1,-14842.7785,1875034.7895,-15910.9545,-14842.7785,-1068.1760,-0.00603249,-0.00562750,-0.00040499,644.8764,844.5100,-6.8849,-2651.8257,-151.5329,439590.7452,385.1667,644.8764,,129.0889,129.0889,258.1778,1290.8889,2581.7778,12300.2227,129.0889,0.0,19.999999,95.2849,4.995599,4,34,1,3,1.00000000,-0.00603249,-0.00603249,0E-8,0.000000,0.739954,0.000000,,2026-07-01,2026-07-07,6,105,17,7,0.857143,,,0.000000,5,0.9881075491209927,0.8319544984488108,0.9229576008273009,A 平台净亏首位 · 立即处置,23,1
42.114.214.35,149027175,149292574,31,17,0.5483871,0.2352941,2637544.4711,1951662.6649,-15910.9545,4090,2311,0.00603249,0.00603249,,0.00603249,15910.9545,2637544.4711,OK,0.0000,-1068.1760,3.9643,96.0357,AG03-B-v1,-14842.7785,1875034.7895,-15910.9545,-14842.7785,-1068.1760,-0.00603249,-0.00562750,-0.00040499,644.8764,844.5100,-6.8849,-2651.8257,-151.5329,439590.7452,385.1667,644.8764,,129.0889,129.0889,258.1778,1290.8889,2581.7778,12300.2227,129.0889,0.0,19.999999,95.2849,4.995599,4,34,1,3,1.00000000,-0.00603249,-0.00603249,0E-8,0.000000,0.739954,0.000000,,2026-07-01,2026-07-07,6,105,17,7,0.857143,,,0.000000,5,0.9881075491209927,0.8319544984488108,0.9229576008273009,A 平台净亏首位 · 立即处置,24,1
183.253.9.49,119145005,126004578,53,53,1.0000000,0.9245283,220102.0000,199356.0000,-13357.6000,436,294,0.06068823,0.06310325,-1.00000000,0.06068823,13357.6000,220102.0000,OK,0.0000,-534.3040,4.0000,96.0000,AG03-B-v1,-12823.2960,191381.7600,-13357.6000,-12823.2960,-534.3040,-0.06068823,-0.05826070,-0.00242753,504.8211,678.0816,-45.4340,-2226.2667,-143.6301,36683.6667,49.0000,504.8322,500.0000,300.0,400.0,510.0,1000.0,1011.7,2000.0,400.0,0.0,2.52925,5.0,1.262053,27,49,1,3,0.99772833,-0.06068823,-0.06310325,0E-8,0.000000,0.905744,0.000000,1.06310325,2026-06-12,2026-06-20,6,93,64,9,0.666667,1.009664,,0.000000,5,0.9865563598759048,0.9358841778697001,0.859875904860393,A 平台净亏首位 · 立即处置,25,1
183.253.9.49,119145005,129993438,39,39,1.0000000,0.9743590,220102.0000,199356.0000,-13357.6000,436,294,0.06068823,0.06310325,-1.00000000,0.06068823,13357.6000,220102.0000,OK,0.0000,-534.3040,4.0000,96.0000,AG03-B-v1,-12823.2960,191381.7600,-13357.6000,-12823.2960,-534.3040,-0.06068823,-0.05826070,-0.00242753,504.8211,678.0816,-45.4340,-2226.2667,-143.6301,36683.6667,49.0000,504.8322,500.0000,300.0,400.0,510.0,1000.0,1011.7,2000.0,400.0,0.0,2.52925,5.0,1.262053,27,49,1,3,0.99772833,-0.06068823,-0.06310325,0E-8,0.000000,0.905744,0.000000,1.06310325,2026-06-12,2026-06-20,6,93,64,9,0.666667,1.009664,,0.000000,5,0.9865563598759048,0.9358841778697001,0.859875904860393,A 平台净亏首位 · 立即处置,26,1
183.253.9.49,119145005,143882604,38,38,1.0000000,0.9473684,220102.0000,199356.0000,-13357.6000,436,294,0.06068823,0.06310325,-1.00000000,0.06068823,13357.6000,220102.0000,OK,0.0000,-534.3040,4.0000,96.0000,AG03-B-v1,-12823.2960,191381.7600,-13357.6000,-12823.2960,-534.3040,-0.06068823,-0.05826070,-0.00242753,504.8211,678.0816,-45.4340,-2226.2667,-143.6301,36683.6667,49.0000,504.8322,500.0000,300.0,400.0,510.0,1000.0,1011.7,2000.0,400.0,0.0,2.52925,5.0,1.262053,27,49,1,3,0.99772833,-0.06068823,-0.06310325,0E-8,0.000000,0.905744,0.000000,1.06310325,2026-06-12,2026-06-20,6,93,64,9,0.666667,1.009664,,0.000000,5,0.9865563598759048,0.9358841778697001,0.859875904860393,A 平台净亏首位 · 立即处置,27,1
125.212.158.122,143571573,148364001,30,30,1.0000000,1.0000000,66371.3354,60245.2525,-11915.4950,574,403,0.17952773,0.17793519,1.00000000,0.17952773,11915.4950,66371.3354,OK,0.0000,-385.1141,3.5749,96.4251,AG03-B-v1,-11530.3809,58289.9386,-11915.4950,-11530.3809,-385.1141,-0.17952773,-0.17372531,-0.00580242,115.6295,149.4919,-29.5670,-595.7748,-83.3251,3318.5668,20.1500,115.6069,128.5777,5.1636,25.7155,258.1778,258.1778,387.2667,771.4661,16.7816,0.0,15.059639,30.000001,4.496485,26,90,1,8,0.99806275,-0.17952773,-0.17793519,0E-8,0.000000,0.907700,0.000000,-0.82206481,2026-03-22,2026-07-30,20,143,114,131,0.152672,0.899121,0.906972,2.380670,4,0.9860392967942089,0.9901758014477766,0.7456049638055843,A 平台净亏首位 · 立即处置,28,1
172.56.61.15,146618930,146649963,39,3,0.0769231,0E-7,1381420.6897,1256724.1379,-11960.3448,7744,4183,0.00865800,0.00701117,0.44105263,0.00865800,11960.3448,1381420.6897,OK,0.0000,-478.4138,4.0000,96.0000,AG03-B-v1,-11481.9310,1206455.1724,-11960.3448,-11481.9310,-478.4138,-0.00865800,-0.00831168,-0.00034632,178.3859,300.4361,-2.8593,-1328.9272,-10.7364,153491.1877,464.7778,178.6318,131.0345,34.4828,68.9655,137.931,344.8276,689.6552,2835.8701,34.4828,-6.8966,10.0,41.120118,2.586596,29,160,1,15,0.99620581,-0.00865800,-0.00701117,0E-8,0.000000,0.909733,0.088456,-0.43404147,2026-04-15,2026-04-23,9,1114,244,9,1.000000,1.363243,,0.000000,5,0.9855222337125129,0.8562564632885212,0.9203722854188211,A 平台净亏首位 · 立即处置,29,1
184.22.248.177,141511958,141850370,79,39,0.4936709,0.0769231,174649.5116,152774.9186,-11024.9659,3978,1069,0.06312623,0.06317738,-1.00000000,0.06312623,11024.9659,174649.5116,OK,0.0000,-440.9986,4.0000,96.0000,AG03-B-v1,-10583.9672,146663.9219,-11024.9659,-10583.9672,-440.9986,-0.06312623,-0.06060118,-0.00252505,43.9038,142.9139,-10.3133,-1378.1207,-23.5576,21831.1890,133.6250,43.9128,8.4025,2.1006,2.1006,21.0062,63.0186,147.0434,801.5946,2.1006,-2.1006,69.999998,381.599091,20.900426,29,126,1,8,0.99995189,-0.06312623,-0.06317738,0E-8,0.000000,0.874751,0.000000,1.06317738,2026-05-07,2026-05-14,8,468,198,8,1.000000,5.226169,,0.000000,5,0.9850051706308169,0.937952430196484,0.8345398138572906,A 平台净亏首位 · 立即处置,30,1
