t,c,v,n,pct
ods_a168_bet02,bet03,114692621,15424,0.0000749
ods_a168_bet02,bet03,114623724,15423,0.0000749
ods_a168_bet02,bet03,114611994,15417,0.0000749
ods_a168_bet02,bet03,114610908,15394,0.0000748
ods_a168_bet02,bet03,114740846,15376,0.0000747
ods_a168_bet02,bet03,114675843,15363,0.0000746
ods_a168_bet02,bet03,114728354,15358,0.0000746
ods_a168_bet02,bet03,114606801,15349,0.0000746
ods_a168_bet02,bet03,114611999,15347,0.0000745
ods_a168_bet02,bet03,114681699,15269,0.0000742
ods_a168_bet02,bet03,114603535,15267,0.0000742
ods_a168_bet02,bet03,114717221,15224,0.0000739
ods_a168_bet02,bet03,114608727,15217,0.0000739
ods_a168_bet02,bet03,114708491,15207,0.0000739
ods_a168_bet02,bet03,114698430,15205,0.0000739
ods_a168_bet02,bet03,114601324,15184,0.0000738
ods_a168_bet02,bet03,114600338,15173,0.0000737
ods_a168_bet02,bet03,114712860,15167,0.0000737
ods_a168_bet02,bet03,114700698,15166,0.0000737
ods_a168_bet02,bet03,114699457,15154,0.0000736
ods_a168_bet02,bet03,114731822,15141,0.0000735
ods_a168_bet02,bet03,114598043,15131,0.0000735
ods_a168_bet02,bet03,114742924,15101,0.0000734
ods_a168_bet02,bet03,114662957,15092,0.0000733
ods_a168_bet02,bet03,114715177,15088,0.0000733
ods_a168_bet02,bet03,114708399,15065,0.0000732
ods_a168_bet02,bet03,114700431,15006,0.0000729
ods_a168_bet02,bet03,114679478,14977,0.0000727
ods_a168_bet02,bet03,114710615,14951,0.0000726
ods_a168_bet02,bet03,114598245,14943,0.0000726
ods_a168_bet02,bet03,114676773,14934,0.0000725
ods_a168_bet02,bet03,114648040,14934,0.0000725
ods_a168_bet02,bet03,114693280,14926,0.0000725
ods_a168_bet02,bet03,114696650,14910,0.0000724
ods_a168_bet02,bet03,114614952,14900,0.0000724
ods_a168_bet02,bet03,114623620,14898,0.0000724
ods_a168_bet02,bet03,114708312,14879,0.0000723
ods_a168_bet02,bet03,114735254,14860,0.0000722
ods_a168_bet02,bet03,114591387,14843,0.0000721
ods_a168_bet02,bet03,114739749,14835,0.0000721
ods_a168_bet02,bet03,114589151,14824,0.000072
ods_a168_bet02,bet03,114743112,14813,0.000072
ods_a168_bet02,bet03,114616119,14806,0.0000719
ods_a168_bet02,bet03,114627913,14796,0.0000719
ods_a168_bet02,bet03,114687295,14693,0.0000714
ods_a168_bet02,bet03,114719651,14690,0.0000714
ods_a168_bet02,bet03,114671546,14664,0.0000712
ods_a168_bet02,bet03,114672763,14639,0.0000711
ods_a168_bet02,bet03,114626761,14628,0.0000711
ods_a168_bet02,bet03,114719278,14607,0.000071
ods_a168_bet02,bet03,114633923,14598,0.0000709
ods_a168_bet02,bet03,114695781,14594,0.0000709
ods_a168_bet02,bet03,114711628,14593,0.0000709
ods_a168_bet02,bet03,114729371,14584,0.0000708
ods_a168_bet02,bet03,114639210,14573,0.0000708
ods_a168_bet02,bet03,114706163,14550,0.0000707
ods_a168_bet02,bet03,114615221,14510,0.0000705
ods_a168_bet02,bet03,114710715,14503,0.0000704
ods_a168_bet02,bet03,114600441,14492,0.0000704
ods_a168_bet02,bet03,114647936,14470,0.0000703
ods_a168_bet02,bet03,114648043,14452,0.0000702
ods_a168_bet02,bet03,114595695,14444,0.0000702
ods_a168_bet02,bet03,114625942,14442,0.0000701
ods_a168_bet02,bet03,114695083,14434,0.0000701
ods_a168_bet02,bet03,114630453,14432,0.0000701
ods_a168_bet02,bet03,114669656,14424,0.0000701
ods_a168_bet02,bet03,114704027,14412,0.00007
ods_a168_bet02,bet03,114596851,14410,0.00007
ods_a168_bet02,bet03,114697172,14380,0.0000698
ods_a168_bet02,bet03,114605641,14375,0.0000698
ods_a168_bet02,bet03,114695962,14373,0.0000698
ods_a168_bet02,bet03,114666500,14363,0.0000698
ods_a168_bet02,bet03,114741924,14360,0.0000698
ods_a168_bet02,bet03,114632726,14331,0.0000696
ods_a168_bet02,bet03,114693382,14326,0.0000696
ods_a168_bet02,bet03,114716186,14301,0.0000695
ods_a168_bet02,bet03,114747396,14300,0.0000695
ods_a168_bet02,bet03,114618384,14298,0.0000695
ods_a168_bet02,bet03,114598045,14273,0.0000693
ods_a168_bet02,bet03,114648038,14272,0.0000693
ods_a168_bet02,bet03,114645118,14258,0.0000693
ods_a168_bet02,bet03,114618382,14251,0.0000692
ods_a168_bet02,bet03,114638303,14250,0.0000692
ods_a168_bet02,bet03,114594600,14243,0.0000692
ods_a168_bet02,bet03,114647410,14232,0.0000691
ods_a168_bet02,bet03,114700334,14224,0.0000691
ods_a168_bet02,bet03,114661351,14221,0.0000691
ods_a168_bet02,bet03,114704122,14163,0.0000688
ods_a168_bet02,bet03,114683266,14157,0.0000688
ods_a168_bet02,bet03,114651855,14119,0.0000686
ods_a168_bet02,bet03,114687838,14119,0.0000686
ods_a168_bet02,bet03,114684663,14116,0.0000686
ods_a168_bet02,bet03,114612624,14115,0.0000686
ods_a168_bet02,bet03,114659330,14108,0.0000685
ods_a168_bet02,bet03,114632820,14107,0.0000685
ods_a168_bet02,bet03,114671895,14098,0.0000685
ods_a168_bet02,bet03,114627123,14085,0.0000684
ods_a168_bet02,bet03,114637228,14081,0.0000684
ods_a168_bet02,bet03,114620593,14072,0.0000684
ods_a168_bet02,bet03,114631617,14061,0.0000683
ods_a168_bet02,bet03,114663987,14052,0.0000683
ods_a168_bet02,bet03,114661434,14033,0.0000682
ods_a168_bet02,bet03,114647323,14032,0.0000682
ods_a168_bet02,bet03,114590274,14010,0.0000681
ods_a168_bet02,bet03,114688308,14007,0.000068
ods_a168_bet02,bet03,114719454,14005,0.000068
ods_a168_bet02,bet03,114694983,14003,0.000068
ods_a168_bet02,bet03,114720687,13999,0.000068
ods_a168_bet02,bet03,114672939,13998,0.000068
ods_a168_bet02,bet03,114602428,13973,0.0000679
ods_a168_bet02,bet03,114723850,13967,0.0000678
ods_a168_bet02,bet03,114661661,13953,0.0000678
ods_a168_bet02,bet03,114614245,13926,0.0000676
ods_a168_bet02,bet03,114647942,13922,0.0000676
ods_a168_bet02,bet03,114640140,13910,0.0000676
ods_a168_bet02,bet03,114647145,13904,0.0000675
ods_a168_bet02,bet03,114605735,13902,0.0000675
ods_a168_bet02,bet03,114677708,13877,0.0000674
ods_a168_bet02,bet03,114688764,13868,0.0000674
ods_a168_bet02,bet03,114678084,13867,0.0000674
ods_a168_bet02,bet03,114717318,13844,0.0000672
ods_a168_bet02,bet03,114684785,13843,0.0000672
ods_a168_bet02,bet03,114693476,13829,0.0000672
ods_a168_bet02,bet03,114724988,13816,0.0000671
ods_a168_bet02,bet03,114647411,13812,0.0000671
ods_a168_bet02,bet03,114726112,13805,0.0000671
ods_a168_bet02,bet03,114624948,13799,0.000067
ods_a168_bet02,bet03,114691238,13796,0.000067
ods_a168_bet02,bet03,114725171,13794,0.000067
ods_a168_bet02,bet03,114682440,13792,0.000067
ods_a168_bet02,bet03,114710614,13784,0.000067
ods_a168_bet02,bet03,114745226,13773,0.0000669
ods_a168_bet02,bet03,114729100,13768,0.0000669
ods_a168_bet02,bet03,114597944,13761,0.0000668
ods_a168_bet02,bet03,114660518,13756,0.0000668
ods_a168_bet02,bet03,114635020,13743,0.0000668
ods_a168_bet02,bet03,114706348,13739,0.0000667
ods_a168_bet02,bet03,114712588,13728,0.0000667
ods_a168_bet02,bet03,114746240,13723,0.0000667
