ip,n_member_log,country,city,in_bet_ip
163.171.185.32,3408,PH,Cebu City,0
161.49.30.20,3405,PH,Makati,0
112.48.136.251,3383,CN,Xiamen,0
210.61.180.71,3368,TW,Taipei,0
210.61.180.73,3338,TW,Taipei,0
210.61.180.72,3301,TW,Taipei,0
117.0.18.50,3270,VN,Hanoi,0
161.49.30.21,3263,PH,Makati,0
117.0.18.48,3260,VN,Hanoi,0
167.179.10.165,3241,KH,Phnom Penh,0
117.0.18.49,3193,VN,Hanoi,0
210.61.180.45,3190,TW,Taipei,0
163.171.186.20,3159,PH,Manila,0
117.0.18.51,3149,VN,Hanoi,0
171.109.103.64,3081,CN,Nanning,0
163.171.219.72,3024,IN,Hyderabad,0
180.101.58.90,2987,CN,Suqian,0
163.171.219.75,2957,IN,Hyderabad,0
180.101.58.91,2944,CN,Suqian,0
180.101.58.89,2935,CN,Suqian,0
183.246.188.172,2934,CN,Jiaxing,0
163.171.205.39,2932,IN,Chennai,0
163.171.205.40,2884,IN,Chennai,0
112.16.230.169,2855,CN,Beijing,0
112.16.230.170,2836,CN,Beijing,0
34.92.193.204,2815,HK,Hong Kong,0
45.116.82.108,2781,HK,Hong Kong,0
45.116.82.109,2757,HK,Hong Kong,0
111.180.136.84,2684,CN,Shiyan,0
163.171.198.27,2683,HK,Hong Kong,0
111.180.136.85,2679,CN,Shiyan,0
167.179.254.77,2672,TH,Bangkok,0
222.186.132.26,2650,CN,Zhenjiang,0
122.228.233.20,2632,CN,Shanghai,0
111.47.209.38,2606,CN,Beijing,0
222.186.132.22,2597,CN,Zhenjiang,0
119.84.164.202,2595,CN,Chongqing,0
34.150.82.28,2582,HK,Hong Kong,0
210.61.207.98,2578,TW,Kaohsiung,0
119.84.164.201,2575,CN,Chongqing,0
122.228.233.17,2568,CN,Shanghai,0
157.148.78.203,2544,CN,Guangzhou,0
122.228.233.19,2538,CN,Shanghai,0
157.148.78.247,2536,CN,Guangzhou,0
203.211.1.67,2534,TW,Taipei,0
122.228.233.18,2507,CN,Shanghai,0
210.61.207.97,2500,TW,Kaohsiung,0
157.148.78.205,2500,CN,Guangzhou,0
183.204.228.70,2482,CN,Nanyang,0
222.186.132.21,2477,CN,Zhenjiang,0
203.211.1.66,2469,TW,Taipei,0
183.204.228.71,2467,CN,Nanyang,0
163.171.199.129,2461,IN,New Delhi,0
210.61.207.27,2399,TW,Kaohsiung,0
180.101.58.34,2379,CN,Suqian,0
114.124.132.157,2359,ID,Jayapura,0
180.101.58.56,2346,CN,Suqian,0
210.61.207.67,2345,TW,Kaohsiung,0
114.124.132.158,2330,ID,Jayapura,0
114.124.132.18,2318,ID,Jayapura,0
120.240.48.28,2297,CN,Guangzhou,0
180.101.58.121,2293,CN,Suqian,0
120.240.48.29,2286,CN,Guangzhou,0
120.240.48.27,2280,CN,Guangzhou,0
114.124.132.17,2271,ID,Jayapura,0
42.113.11.170,2249,VN,Hanoi,0
120.240.48.26,2222,CN,Guangzhou,0
163.171.199.131,2219,IN,New Delhi,0
210.61.207.52,2214,TW,Kaohsiung,0
1.194.195.26,2207,CN,Anyang,0
153.43.142.100,2170,CA,North York,0
112.17.51.55,2156,CN,Beijing,0
112.192.17.68,2150,CN,Meishan,0
61.163.111.97,2137,CN,Zhumadian,0
61.163.111.9,2127,CN,Zhumadian,0
58.220.74.161,2126,CN,Yangzhou,0
1.194.195.25,2124,CN,Anyang,0
112.17.51.54,2118,CN,Beijing,0
27.128.219.36,2113,CN,Shijiazhuang,0
58.220.74.162,2089,CN,Yangzhou,0
112.17.51.56,2082,CN,Beijing,0
58.220.74.116,2070,CN,Yangzhou,0
153.43.142.72,2057,CA,North York,0
27.128.219.52,2050,CN,Shijiazhuang,0
112.17.51.57,2044,CN,Beijing,0
112.192.17.18,2042,CN,Meishan,0
42.113.11.168,2041,VN,Hanoi,0
123.159.198.139,2001,CN,Wenzhou,0
27.222.17.176,1995,CN,Jinan,0
42.113.11.169,1975,VN,Hanoi,0
140.150.8.94,1970,ID,Jakarta,0
211.91.67.56,1969,CN,Hefei,0
58.220.74.128,1954,CN,Yangzhou,0
211.91.67.65,1949,CN,Hefei,0
140.150.8.93,1937,ID,Jakarta,0
140.150.11.26,1917,MY,Ipoh,0
111.47.209.37,1902,CN,Beijing,0
203.211.1.23,1901,TW,Taipei,0
203.211.1.33,1900,TW,Taipei,0
27.222.17.177,1884,CN,Jinan,0
203.211.1.22,1881,TW,Taipei,0
203.176.130.99,1862,KH,Phnom Penh,0
122.189.225.156,1859,CN,Yichang,0
122.189.225.157,1849,CN,Yichang,0
140.150.8.121,1843,ID,Jakarta,0
153.43.240.93,1818,CA,North York,0
153.43.240.92,1816,CA,North York,0
140.150.11.25,1798,MY,Ipoh,0
222.212.211.13,1794,CN,Chengdu,0
202.191.99.141,1784,MM,Yangon,0
222.212.211.15,1758,CN,Chengdu,0
202.191.99.138,1753,MM,Yangon,0
222.212.211.16,1753,CN,Chengdu,0
111.48.161.25,1737,CN,Beijing,0
120.221.107.144,1722,CN,Zibo,0
120.221.107.145,1698,CN,Zibo,0
110.72.104.21,1698,CN,Wuzhou,0
183.205.177.21,1693,CN,Zhoukou,0
115.223.7.154,1690,CN,Wenzhou,0
117.68.54.93,1668,CN,Lu'an,0
45.120.87.59,1639,MM,Kaba,0
138.113.120.28,1623,KH,Phnom Penh,0
110.72.104.22,1608,CN,Wuzhou,0
34.92.245.246,1602,HK,Hong Kong,0
202.191.96.185,1587,MM,Yangon,0
202.191.96.189,1585,MM,Yangon,0
180.101.58.185,1568,CN,Suqian,0
123.31.34.167,1563,VN,Hanoi,0
180.101.58.87,1549,CN,Suqian,0
180.163.117.173,1543,CN,Shanghai,0
117.68.54.96,1535,CN,Lu'an,0
45.120.87.38,1528,MM,Kaba,0
58.26.7.194,1526,MY,Kuala Lumpur,0
58.26.7.182,1526,MY,Kuala Lumpur,0
180.163.117.174,1511,CN,Shanghai,0
223.111.139.25,1511,CN,Zhenjiang,0
222.212.211.14,1502,CN,Chengdu,0
153.43.255.171,1494,CA,North York,0
223.111.139.18,1494,CN,Zhenjiang,0
180.101.58.84,1490,CN,Suqian,0
223.111.139.19,1483,CN,Zhenjiang,0
123.31.34.168,1482,VN,Hanoi,0
223.111.139.26,1471,CN,Zhenjiang,0
180.97.211.75,1470,CN,Suzhou,0
120.240.48.25,1468,CN,Guangzhou,0
120.240.48.33,1465,CN,Guangzhou,0
153.43.255.172,1461,CA,North York,0
117.168.153.114,1441,CN,Nanchang,0
123.31.34.169,1434,VN,Hanoi,0
120.240.48.24,1430,CN,Guangzhou,0
180.97.211.37,1427,CN,Suzhou,0
180.101.58.85,1422,CN,Suqian,0
180.97.211.36,1418,CN,Suzhou,0
180.97.211.40,1382,CN,Suzhou,0
120.240.48.22,1380,CN,Guangzhou,0
120.240.48.21,1368,CN,Guangzhou,0
125.76.110.137,1364,CN,Lanzhou,0
117.176.244.145,1340,CN,Beijing,0
36.150.31.37,1337,CN,Beijing,0
36.150.31.40,1333,CN,Beijing,0
111.62.90.18,1332,CN,Beijing,0
36.150.31.39,1331,CN,Beijing,0
