member_id,bet_month,标注,证据等级,n_orders,n_rounds,n_equal_hedge,n_hedge_rounds,hedge_eq_share,n_zero_pnl_rounds,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_no_commission,n_validbet_true_zero,n_validbet_positive,样本纯度判据,来源
148109889,2026-04-01,T-05 自我对冲/打水,OBSERVED,264,132,132,132,1.0,71,0.0,15115.5188246124,-178.071625345,0.0,0,264,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148109889,2026-05-01,T-05 自我对冲/打水,OBSERVED,12,6,6,6,1.0,3,0.0,155.6420233464,-1.008790892,0.0,0,12,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148109889,2026-06-01,T-05 自我对冲/打水,OBSERVED,16,8,8,8,1.0,5,0.0,427.301731997,-3.7388901552,0.0,0,16,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148124319,2026-05-01,T-05 自我对冲/打水,OBSERVED,56,28,28,28,1.0,15,0.0,372.6896289606,-2.4157126348,0.0,0,56,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148124319,2026-06-01,T-05 自我对冲/打水,OBSERVED,28,14,14,14,1.0,11,0.0,756.0808424904,-2.8041459818,0.0,0,28,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148162760,2026-04-01,T-05 自我对冲/打水,OBSERVED,30,15,15,15,1.0,6,0.0,18323.168337566,-274.8475250637,0.0,0,30,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148228117,2026-05-01,T-05 自我对冲/打水,OBSERVED,42,21,21,21,1.0,9,0.0,785.415765961,-10.7364173514,0.0,0,42,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148235446,2026-04-01,T-05 自我对冲/打水,OBSERVED,40,20,20,20,1.0,11,0.0,382.001836547,-4.1873278236,0.0,0,40,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148745170,2026-04-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,18,0.0,1945.6439170628,-24.1520975584,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148844715,2026-04-01,T-05 自我对冲/打水,OBSERVED,4,2,2,2,1.0,1,0.0,21.082368815,-0.4216473763,0.0,0,4,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148844715,2026-05-01,T-05 自我对冲/打水,OBSERVED,30,15,15,15,1.0,7,0.0,281.4830374952,-3.4660224766,0.0,0,30,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
148844715,2026-06-01,T-05 自我对冲/打水,OBSERVED,14,7,7,7,1.0,5,0.0,145.4001620176,-1.0385725858,0.0,0,14,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149548633,2026-05-01,T-05 自我对冲/打水,OBSERVED,38,19,19,19,1.0,12,0.0,1407.4151874808,-12.0785631761,0.0,0,38,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149548633,2026-06-01,T-05 自我对冲/打水,OBSERVED,2,1,1,1,1.0,0,0.0,103.8572585838,-2.5964314646,0.0,0,2,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149573414,2026-05-01,T-05 自我对冲/打水,OBSERVED,112,56,56,56,1.0,35,0.0,4774.009668664,-46.0536258796,0.0,0,112,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149589144,2026-05-01,T-05 自我对冲/打水,OBSERVED,32,16,16,16,1.0,9,0.0,1344.3965969968,-16.2798025417,0.0,0,32,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149589144,2026-06-01,T-05 自我对冲/打水,OBSERVED,2,1,1,1,1.0,0,0.0,103.8572585838,-2.5964314646,0.0,0,2,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149592410,2026-05-01,T-05 自我对冲/打水,OBSERVED,44,22,22,22,1.0,11,0.0,381.899409137,-5.2240956913,0.0,0,44,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149592410,2026-06-01,T-05 自我对冲/打水,OBSERVED,6,3,3,3,1.0,1,0.0,28.486782133,-0.534127165,0.0,0,6,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149614638,2026-05-01,T-05 自我对冲/打水,OBSERVED,60,30,30,30,1.0,17,0.0,7991.277054074,-86.9181108159,0.0,0,60,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149615255,2026-05-01,T-05 自我对冲/打水,OBSERVED,58,29,29,29,1.0,14,0.0,7524.2543690958,-97.2963927045,0.0,0,58,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149616593,2026-05-01,T-05 自我对冲/打水,OBSERVED,62,31,31,31,1.0,17,0.0,8043.1684635162,-90.8099665242,0.0,0,62,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149617594,2026-05-01,T-05 自我对冲/打水,OBSERVED,66,33,33,33,1.0,18,0.0,8562.0825579366,-97.2963927045,0.0,0,66,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149620432,2026-05-01,T-05 自我对冲/打水,OBSERVED,80,40,40,40,1.0,20,0.0,10378.281888408,-129.728523606,0.0,0,80,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149622808,2026-05-01,T-05 自我对冲/打水,OBSERVED,80,40,40,40,1.0,17,0.0,10378.281888408,-149.1878021469,0.0,0,80,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149623756,2026-05-01,T-05 自我对冲/打水,OBSERVED,74,37,37,37,1.0,21,0.0,9599.9107467774,-103.7828188848,0.0,0,74,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149624151,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,14,0.0,9340.4536995672,-142.7013759666,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149624815,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,16,0.0,9599.9107467772,-132.323094078,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149624841,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,17,0.0,9340.4536995672,-123.2420974257,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149625387,2026-05-01,T-05 自我对冲/打水,OBSERVED,66,33,33,33,1.0,16,0.0,9496.1279278926,-121.9448121891,0.0,0,66,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149625872,2026-05-01,T-05 自我对冲/打水,OBSERVED,74,37,37,37,1.0,20,0.0,9599.9107467774,-110.2692450651,0.0,0,74,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149625880,2026-05-01,T-05 自我对冲/打水,OBSERVED,80,40,40,40,1.0,23,0.0,10378.281888408,-110.2692450651,0.0,0,80,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149626198,2026-05-01,T-05 自我对冲/打水,OBSERVED,54,27,27,27,1.0,20,0.0,4566.4440308968,-29.8375604289,0.0,0,54,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149626497,2026-05-01,T-05 自我对冲/打水,OBSERVED,82,41,41,41,1.0,22,0.0,10689.6303450602,-114.1611007724,0.0,0,82,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149626573,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,22,0.0,9651.8021562192,-92.1072517598,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149626816,2026-05-01,T-05 自我对冲/打水,OBSERVED,76,38,38,38,1.0,16,0.0,9599.9107467774,-141.4040907305,0.0,0,76,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149626993,2026-05-01,T-05 自我对冲/打水,OBSERVED,62,31,31,31,1.0,17,0.0,8043.1684635162,-90.8099665242,0.0,0,62,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149627552,2026-05-01,T-05 自我对冲/打水,OBSERVED,80,40,40,40,1.0,22,0.0,10949.08739227,-123.242097425,0.0,0,80,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149627585,2026-05-01,T-05 自我对冲/打水,OBSERVED,48,24,24,24,1.0,13,0.0,9340.4536995648,-103.782818884,0.0,0,48,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149627651,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,20,0.0,9340.4536995672,-103.7828188848,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149627723,2026-05-01,T-05 自我对冲/打水,OBSERVED,70,35,35,35,1.0,20,0.0,9911.259203429,-101.1882484122,0.0,0,70,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149627844,2026-05-01,T-05 自我对冲/打水,OBSERVED,50,25,25,25,1.0,10,0.0,9548.0193373354,-142.7013759666,0.0,0,50,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149627846,2026-05-01,T-05 自我对冲/打水,OBSERVED,46,23,23,23,1.0,9,0.0,8717.7567862606,-132.3230940771,0.0,0,46,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149628286,2026-05-01,T-05 自我对冲/打水,OBSERVED,54,27,27,27,1.0,17,0.0,7005.3402746754,-64.864261803,0.0,0,54,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149628599,2026-05-01,T-05 自我对冲/打水,OBSERVED,80,40,40,40,1.0,21,0.0,11052.870211154,-128.4312383693,0.0,0,80,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149628605,2026-05-01,T-05 自我对冲/打水,OBSERVED,42,21,21,21,1.0,12,0.0,8717.7567862602,-93.4045369956,0.0,0,42,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149628798,2026-05-01,T-05 自我对冲/打水,OBSERVED,66,33,33,33,1.0,18,0.0,9444.2365184506,-107.6746745923,0.0,0,66,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149629017,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,20,0.0,9392.3451090092,-105.0801041208,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149629081,2026-05-01,T-05 自我对冲/打水,OBSERVED,42,21,21,21,1.0,10,0.0,9599.9107467774,-123.2420974257,0.0,0,42,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149629230,2026-05-01,T-05 自我对冲/打水,OBSERVED,44,22,22,22,1.0,11,0.0,8406.4083296084,-108.9719598282,0.0,0,44,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149629364,2026-05-01,T-05 自我对冲/打水,OBSERVED,70,35,35,35,1.0,20,0.0,9080.996652357,-97.2963927045,0.0,0,70,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149629624,2026-05-01,T-05 自我对冲/打水,OBSERVED,42,21,21,21,1.0,11,0.0,8510.1911484922,-101.1882484119,0.0,0,42,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149629663,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,15,0.0,9340.4536995672,-136.2149497863,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149630190,2026-05-01,T-05 自我对冲/打水,OBSERVED,62,31,31,31,1.0,18,0.0,8043.1684635162,-84.3235403439,0.0,0,62,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149630196,2026-05-01,T-05 自我对冲/打水,OBSERVED,66,33,33,33,1.0,20,0.0,9392.3451090086,-97.2963927038,0.0,0,66,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149630261,2026-05-01,T-05 自我对冲/打水,OBSERVED,60,30,30,30,1.0,13,0.0,9340.453699566,-132.3230940771,0.0,0,60,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149630430,2026-05-01,T-05 自我对冲/打水,OBSERVED,74,37,37,37,1.0,20,0.0,9599.9107467774,-110.2692450651,0.0,0,74,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149630563,2026-05-01,T-05 自我对冲/打水,OBSERVED,76,38,38,38,1.0,18,0.0,9963.1506128716,-132.3230940774,0.0,0,76,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149631009,2026-05-01,T-05 自我对冲/打水,OBSERVED,50,25,25,25,1.0,10,0.0,9236.670880681,-142.7013759655,0.0,0,50,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149631039,2026-05-01,T-05 自我对冲/打水,OBSERVED,40,20,20,20,1.0,9,0.0,8406.4083296082,-116.7556712446,0.0,0,40,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149631126,2026-05-01,T-05 自我对冲/打水,OBSERVED,40,20,20,20,1.0,13,0.0,9859.367793987,-88.215396052,0.0,0,40,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149631517,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,15,0.0,9340.4536995672,-136.2149497863,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149631558,2026-05-01,T-05 自我对冲/打水,OBSERVED,66,33,33,33,1.0,16,0.0,9651.8021562186,-123.2420974251,0.0,0,66,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149631734,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,21,0.0,9340.4536995672,-97.2963927045,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149631969,2026-05-01,T-05 自我对冲/打水,OBSERVED,74,37,37,37,1.0,18,0.0,9599.9107467774,-123.2420974257,0.0,0,74,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149632083,2026-05-01,T-05 自我对冲/打水,OBSERVED,84,42,42,42,1.0,20,0.0,11468.0014866904,-145.2959464378,0.0,0,84,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149632105,2026-05-01,T-05 自我对冲/打水,OBSERVED,48,24,24,24,1.0,9,0.0,9340.4536995672,-142.7013759666,0.0,0,48,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149632473,2026-05-01,T-05 自我对冲/打水,OBSERVED,56,28,28,28,1.0,16,0.0,8821.5396051456,-93.4045369956,0.0,0,56,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149632935,2026-05-01,T-05 自我对冲/打水,OBSERVED,78,39,39,39,1.0,17,0.0,10118.8248411978,-142.7013759666,0.0,0,78,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149633268,2026-05-01,T-05 自我对冲/打水,OBSERVED,66,33,33,33,1.0,21,0.0,9340.4536995666,-83.0262551074,0.0,0,66,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149633281,2026-05-01,T-05 自我对冲/打水,OBSERVED,44,22,22,22,1.0,12,0.0,9029.1052429124,-103.782818884,0.0,0,44,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149633290,2026-05-01,T-05 自我对冲/打水,OBSERVED,74,37,37,37,1.0,22,0.0,9599.9107467774,-97.2963927045,0.0,0,74,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
149633463,2026-05-01,T-05 自我对冲/打水,OBSERVED,72,36,36,36,1.0,18,0.0,9340.4536995672,-116.7556712454,0.0,0,72,0,洗码合计为零且等额自对押局>0,§Z-12 硬编码版实测（2026-08-18），§Z-14 v1 交集 258 行四项数值零差互证
