dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率
1385,68461616.7778564634,50049,32928,8,-2578135.7071394607,32928,0.13606379357130427,0.1189565
2106,68444472.9159535826,48872,32592,7,-1260692.0705497430,32592,0.13713875603902423,0.1331308
1710,68374285.2726958359,49493,33101,7,-519123.2033773686,33101,0.13634837872770528,0.1177910
2134,68250435.7920349331,48186,30927,8,-1160011.0923117744,30927,0.1380948013052014,0.1001390
2258,67969767.3272359884,47789,32992,6,-1175450.6726242988,32992,0.07144793654123505,0.0784129
2229,66687005.6532370059,49166,33077,6,-314626.2546771306,33077,0.07751493564380824,0.0733138
1704,66555253.4718444107,48658,29592,7,-1785815.1181476072,29592,0.13745688460934685,0.1320289
2121,66430211.5430618460,49461,31143,7,-1402873.2158034583,31143,0.14307161655811076,0.1122885
2155,65835888.2790952695,48917,30664,8,-609362.8250986389,30664,0.1369035611431135,0.1231738
1205,65400914.9444419696,49859,32017,7,-981188.4978128399,32017,0.13629396115963405,0.1007277
526,65324367.6371604317,47473,33650,7,-1467239.7854537232,33650,0.1350961477422166,0.0918574
1405,65205391.0672554314,48389,32370,7,-1897258.3439832492,32370,0.13739391167381562,0.0984245
1115,65056581.9266386230,47296,33618,6,-1628642.3834193503,33618,0.08463539980673422,0.0543756
2167,64594753.9120701249,47836,32014,7,-1106608.1019488223,32014,0.13941639224365512,0.1162616
529,64303946.2391261497,48598,30592,7,206902.1457134330,30592,0.13598940689227745,0.0938481
2147,64024005.9032084378,47586,31236,7,-1958478.5704586752,31236,0.13805705188912618,0.1125944
1485,63758877.3579354737,48333,30227,8,-556978.4864030895,30227,0.13593850581247321,0.1042445
772,63532078.2607633003,46720,31089,7,-1028345.4360725172,31089,0.13640730278177857,0.1273119
2266,63450275.3979548281,45400,29313,5,-2353070.1712209336,29313,0.06736465877628767,0.0447924
1304,63002857.4334613653,47464,32147,7,-2155317.0467471857,32147,0.1384333483482768,0.1295922
1157,62675483.0226824047,45707,30003,7,-1557268.2216455726,30003,0.13785684922290734,0.0909576
1382,62495609.5725894393,47643,30047,7,-857275.8506729407,30047,0.14134382955384955,0.0963158
1645,62446465.4473894495,48779,30430,7,-1055134.6927026704,30430,0.1384766659222123,0.0807427
