table,census_verdict,pack_credibility,pack_usage,pack_mcode,pack_entity,rows,ncol,n_own
S05_member_month_panel.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M15,会员,278729,145,27
S_player_tail.csv,PER_ROW,OK,PRIMARY,M15,会员,159603,145,27
S_second_dist.csv,PER_ROW,OK,SUPPORT,M15,桌台,30,135,17
T02_daily_roi.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M15,会员,1160259,132,14
T03_arbitrage.csv,PER_ROW,OK,PRIMARY,M02,会员,80631,137,19
TL00_table_inventory.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,桌台,47,132,14
TL02_config_change.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M09,全窗/元数据,5,131,13
TL03b_pseudo_treatment.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,会员,148,135,17
TL04_log_schema.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,桌台,50,132,14
TL06_log_mem_change.csv,PER_ROW,OK,REFERENCE,Z00,日期,139,129,11
TL07_mem_change_shape.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M09,全窗/元数据,3,137,19
TL08_treatment_events.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,会员,8707,136,18
TL09_member_schema.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,会员,53,131,13
TL10_treatment_ledger.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,会员,8589,137,19
TL11_treatment_episode.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,会员,315,151,33
TL11c_population_reconcile.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M09,全窗/元数据,6,134,16
TL14_limit_treatment.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,会员,568,142,24
T_table_span.csv,PER_ROW,OK,SUPPORT,M15,桌台,147,133,15
VB_00_validbet_contract.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,1,140,22
VB_00b_zero_five_rates.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M05,会员,1,145,27
VB_41_identity_global.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M05,风控专员,1,144,26
VB_41b_identity_strata.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M05,产品,51,137,19
VB_41b_identity_strata_v18b.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M05,风控专员,51,145,27
VB_41c1_964_detail.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M05,会员,964,149,31
VB_41c2_concentration.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,2,147,29
VB_41c2_concentration_v2.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M05,会员,2,147,29
V_ipmatch.csv,MIXED,WRONG_GRAIN,NOT_FOR_DECISION,M04,会员,1668,132,14
V_recon.csv,PER_ROW,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,1,139,21
V_table_counts.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,桌台,9,129,11
X_combo.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M06,全窗/元数据,2,133,15
Z01_table_inventory.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,桌台,131,132,14
Z02_excluded_tables.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,桌台,5,131,13
Z03_column_dictionary.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,2353,135,17
Z04_name_collision.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,137,133,15
Z05_missing_typehint.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,1370,133,15
Z06_generated_probe_sql.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,1590,132,14
Z07_probe_bet02.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,169059,133,15
Z08_roundkey_integrity.csv,PER_ROW,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,1,136,18
Z09_time_axis_recon.csv,PER_ROW,INVALID,NOT_FOR_DECISION,Z00,日期,1,144,26
Z11_sentinel_impact.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M09,全窗/元数据,1,140,22
Z14_zero_month_diagnosis.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M12,会员,14060,150,32
_P12b-pre.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,会员,20,131,13
_PH0_1b_table_inventory.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,会员,131,137,19
_PH0_2b_column_inventory.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,桌台,667,138,20
_PH0_3_lmc_category.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M10,全窗/元数据,3,139,21
_PH0_4L1_member_columns.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,会员,87,132,14
_PH0_4b_rg_keyword.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M10,全窗/元数据,3,138,20
_PH0_4w2_balance_points.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M12,日期,1,139,21
_PH0_6b_member_daily.csv,PER_ROW,OK,PRIMARY,Z00,会员,139,133,15
