column,n_tables
night_share_pct,1
avg_latency_sec,1
share_stake_pct,1
share_revenue_pct,1
verdict_observability,1
category_value,1
pct_of_total,1
n_pnl_house_win,1
n_pnl_player_win,1
n_b41_zero,1
payout_sum,1
n_rebet_flag,1
shape_hint,1
n_b13_null,1
n_pnl_zero_stake_pos,1
verdict_contamination,1
nd_bet06,1
nd_bet07,1
nd_bet10,1
nd_bet23,1
nd_bet24,1
nd_bet25,1
nd_bet26,1
nd_bet28,1
nd_bet29,1
nd_bet30,1
nd_bet31,1
nd_bet38,1
nd_category,1
nd_commission,1
pct_of_field,1
n_null,1
pct_pnl_pos,1
pct_pnl_neg,1
payout_over_stake,1
verdict_state,1
verdict_align,1
bet09_family,1
n_bet09_in_family,1
n_payout_zero_stake_pos,1
pct_player_win,1
mu0_pct,1
verdict_family,1
max_round,1
min_round,1
rounds_with_bet,1
gap,1
n_bettors,1
anomaly_type,1
hi_cut_used,1
table_flag,1
n_shoes_old,1
n_shoes_delta,1
avg_max_round,1
avg_max_round_old,1
avg_maxround_inflation,1
sd_max_round,1
min_max_round,1
ceiling_observed,1
ceiling_old,1
p50_max_round,1
p90_max_round,1
p99_max_round,1
collision_flag,1
n_stub_shoes,1
avg_n_bettors,1
round_at_pos080,1
corr_len_density,1
corr_density_lo95,1
corr_density_hi95,1
corr_density_verdict,1
corr_len_bettors,1
corr_bettors_lo95,1
corr_bettors_hi95,1
mean_len,1
sd_len,1
p0,1
p01,1
p25,1
p100,1
n_len_ge_70,1
n_len_le_5,1
pct_with_gap,1
corr_cross_table,1
round_at_080_shortest,1
round_at_080_longest,1
uid1,1
uid2,1
n_same_orders,1
rounds_1,1
rounds_2,1
same_rate,1
jaccard,1
lift,1
exp_same,1
first_day,1
last_day,1
roi_same,1
roi_non_same,1
avg_stake_same,1
avg_stake_non_same,1
share_same,1
hold_rate_same,1
roi_delta_same,1
ramp_same,1
total_bet_amount,1
delta_z,1
win_rate_all,1
win_rate_other,1
eligibility_min_n,1
eligibility_rule,1
n_push,1
push_rate,1
p_base_dnb,1
p_base_incl,1
n_bucket,1
n_dealers,1
n_rounds_total,1
人工标记史,1
投注产品结构熵,1
索提诺稳定性,1
生命周期阶段,1
在桌洗码量,1
客群广度,1
桌面输赢,1
当值时长,1
节奏稳定度,1
特定玩家复现率,1
平均每局秒数,1
局速,1
agent_level,1
agent_id,1
top_agent_id,1
parent_agent_id,1
is_test_line,1
n_bets_all,1
n_bets_prod,1
n_bets_testline,1
n_members_all,1
n_members_prod,1
own_share_pct_unw,1
own_share_pct_w,1
cost_ownshare_a,1
stake_testline_audit,1
profit_testline_audit,1
agent_status,1
entity_id,1
标注产量,1
覆盖IP广度,1
判定详尽度,1
理由空白数,1
首次登记,1
最近登记,1
round_key,1
risk_label,1
n_rounds_tail,1
tail_share,1
tail_win,1
tail_lose,1
tail_winrate,1
norm_winrate,1
winrate_diff,1
tail_stake,1
tail_valid_bet,1
tail_game_pnl,1
tail_rebate,1
tail_net_pnl,1
tail_roi,1
norm_game_pnl,1
norm_roi,1
tail_profit_share,1
p95,1
max_progress,1
列数,1
时间列数,1
处置类列数,1
定日类列数,1
变更列,1
发生变更的会员数,1
在册会员数,1
变更率,1
cate,1
prev_date,1
change_date,1
action_type,1
条数,1
涉及会员数,1
操作者数,1
最早异动,1
最晚异动,1
内容平均长度,1
内容样例,1
SQL平均长度,1
SQL样例,1
raw_sql,1
business_field,1
enforcement_type,1
episode_id,1
start_date,1
start_time,1
start_operator,1
start_operator_lv,1
parse_sep,1
parse_status,1
release_date,1
censored,1
last_bet_date,1
n_bets_in_window,1
last_config_time,1
days_since_last_bet,1
censor_cutoff_days,1
censor_reason,1
duration_days,1
episode_seq,1
lvl,1
level_name,1
n_all,1
n_baccarat,1
n_member_all,1
n_member_bac,1
definition,1
grp_before,1
grp_after,1
max_hi_before,1
max_hi_after,1
n_grp_before,1
n_grp_after,1
has_zero_group,1
mean_sec,1
n_vb_pos,1
n_vb_neg,1
null_rate_pct,1
n_fallback_also_null,1
verdict_contract,1
n_base_rows,1
n_active_member,1
n_zero_rows,1
n_zero_member,1
zero_record_rate_pct,1
zero_amount_rate_pct,1
zero_member_rate_pct,1
zero_profit_rate_pct,1
zero_active_rate_pct,1
zero_stake_sum,1
zero_ggr_sum,1
all_stake_sum,1
all_ggr_sum,1
zero_mu0_pct,1
base_mu0_pct,1
n_zero_both,1
verdict_zero,1
test,1
n_exact_equal,1
pct_exact_equal,1
d_p01,1
d_p05,1
d_p50,1
d_p95,1
d_p99,1
verdict_identity,1
pct_value_diff,1
n_both_zero,1
n_b41_zero_vb_pos,1
n_b41_pos_vb_zero,1
d_sign_uniform,1
bet01,1
bet_time,1
rebet_flag,1
agent_lv1,1
stake_raw,1
fx_rate,1
payout_raw,1
rebate_raw,1
net_raw,1
bet41,1
diff_vb_minus_b41,1
updatetime,1
sync_time,1
top1_member_n,1
max_member_diff_sum,1
min_date,1
max_date,1
top_date_n,1
min_stake,1
max_stake,1
top_bet09_share_pct,1
top_stake_share_pct,1
st_member,1
st_date,1
st_table,1
st_bet09,1
st_stake,1
n_dims_high,1
n_dims_near_or_high,1
n_member_log,1
country,1
city,1
in_bet_ip,1
n_matched_round,1
mae_turnover,1
mae_rebate,1
mae_net,1
scale_turnover,1
scale_rebate,1
scale_net,1
mase_turnover,1
mase_rebate,1
mase_net,1
pct_exact_turnover,1
pct_exact_net,1
flag_ip,1
flag_tail_p90,1
表类型,1
疑似性质,1
处置,1
可空,1
原始类型,1
业务含义,1
释义数,1
类型数,1
出现表数,1
风险,1
明细,1
状态,1
待执行SQL,1
t,1
c,1
v,1
注单行数,1
局键数,1
单局最大注单行数,1
单局最大会员数,1
单局会员数P999,1
跨桌局键数_应为0,1
bet03跨桌数,1
bet03唯一值数,1
局键含哨兵值行数,1
dt等于账务日,1
dt等于下注日,1
账务日等于下注日,1
账务日不可用,1
开局时间不可用,1
下注时间不可用,1
下注时间纪元哨兵,1
开局时间纪元哨兵,1
账务日最小,1
账务日最大,1
下注早于开局_时序异常,1
下注距开局秒_最小,1
下注距开局秒_P50,1
下注距开局秒_P99,1
下注距开局秒_P999,1
下注距开局秒_最大,1
未处置_注单行数,1
已处置_注单行数,1
未处置_局键数,1
已处置_局键数,1
未处置_会员数,1
已处置_会员数,1
未处置_IP数,1
已处置_IP数,1
未处置_单局最大会员数,1
已处置_单局最大会员数,1
单局最大会员数_差额,1
剔除行数,1
剔除占比,1
bet_month,1
zero_kind,1
vb_sum_state,1
n_rounds_month,1
n_days_month,1
n_tables_month,1
n_vb_true_zero,1
n_vb_positive,1
vb_null_share,1
sum_valid_bet,1
sum_game_pnl,1
sum_rebate,1
n_order_nocomm,1
n_hedge_rounds,1
n_hedge_eq,1
n_zero_pnl_rounds,1
hedge_eq_share,1
verdict_hint,1
h_src,1
has_uid,1
has_time,1
has_amount,1
n_cols,1
table_nature,1
name_style,1
col_family,1
fp_flag,1
n_target_id,1
n_operator,1
dt_min,1
dt_max,1
avg_len_content,1
avg_len_sql,1
n_content_hit_mem01617,1
n_sql_hit_mem01617,1
n_hit_rg_semantics,1
rg_self_exclusion,1
rg_cooling_off,1
rg_responsible,1
biz_limit,1
biz_freeze,1
biz_disable,1
biz_block,1
amb_exclude_any,1
dt_slice,1
n_user_active,1
n_pts_total,1
pts_avg,1
pts_min,1
pts_p50,1
pts_p90,1
pts_p99,1
pts_max,1
pts_ok_avg,1
n_user_single_pt,1
pct_single_pt,1
n_mem001,1
rows_per_key,1
n_enable_N,1
n_canbet_N,1
