table,mb,rows,ncol,n_own,column,nonempty,fill_rate,n_distinct,status,vmin,vmax,vmed
_PH0_4L1_member_columns.csv,0.1,87,132,14,residual_b,87,1,1,CONSTANT_BROADCAST,208511585.0246,208511585.0246,208511585.0246
_PH0_4L1_member_columns.csv,0.1,87,132,14,hold_rate,87,1,1,CONSTANT_BROADCAST,0.01681532,0.01681532,0.01681532
_PH0_4L1_member_columns.csv,0.1,87,132,14,roi,87,1,1,CONSTANT_BROADCAST,-0.01681532,-0.01681532,-0.01681532
_PH0_4L1_member_columns.csv,0.1,87,132,14,roi_ex_rebate,87,1,1,CONSTANT_BROADCAST,-0.01742716,-0.01742716,-0.01742716
_PH0_4L1_member_columns.csv,0.1,87,132,14,economic_value,87,1,1,CONSTANT_BROADCAST,0,0,0
_PH0_4L1_member_columns.csv,0.1,87,132,14,risk_value,87,1,1,CONSTANT_BROADCAST,0,0,0
_PH0_4L1_member_columns.csv,0.1,87,132,14,action_priority,87,1,1,CONSTANT_BROADCAST,,,
_PH0_4L1_member_columns.csv,0.1,87,132,14,decision_status,87,1,1,CONSTANT_BROADCAST,,,
_PH0_4L1_member_columns.csv,0.1,87,132,14,vip_tier,87,1,5,LOW_CARDINALITY,1,5,3
_PH0_4L1_member_columns.csv,0.1,87,132,14,pr_qualified,87,1,1,CONSTANT_BROADCAST,0,0,0
_PH0_4L1_member_columns.csv,0.1,87,132,14,evidence_rate,87,1,1,CONSTANT_BROADCAST,,,
_PH0_4L1_member_columns.csv,0.1,87,132,14,hold_ci_halfwidth_approx,87,1,1,CONSTANT_BROADCAST,0.0007571,0.0007571,0.0007571
_PH0_4L1_member_columns.csv,0.1,87,132,14,n_bets,87,1,1,CONSTANT_BROADCAST,124713543,124713543,124713543
_PH0_4L1_member_columns.csv,0.1,87,132,14,n_rounds,87,1,1,CONSTANT_BROADCAST,6048562,6048562,6048562
_PH0_4L1_member_columns.csv,0.1,87,132,14,active_days,87,1,1,CONSTANT_BROADCAST,139,139,139
_PH0_4L1_member_columns.csv,0.1,87,132,14,agent_cost_bet23_formal_canonical,87,1,1,CONSTANT_BROADCAST,9199860.2962,9199860.2962,9199860.2962
_PH0_4w2_balance_points.csv,0,1,139,21,stake,1,1,1,PER_ROW,13436093473.3333,13436093473.3333,13436093473.3333
_PH0_4w2_balance_points.csv,0,1,139,21,valid_bet,1,1,1,PER_ROW,12101545164.6445,12101545164.6445,12101545164.6445
_PH0_4w2_balance_points.csv,0,1,139,21,profit,1,1,1,PER_ROW,225932201.2126,225932201.2126,225932201.2126
_PH0_4w2_balance_points.csv,0,1,139,21,rebate_cost,1,1,1,PER_ROW,8220755.8918,8220755.8918,8220755.8918
_PH0_4w2_balance_points.csv,0,1,139,21,ngr,1,1,1,PER_ROW,217711445.3207,217711445.3207,217711445.3207
_PH0_4w2_balance_points.csv,0,1,139,21,net_margin_bet23_formal_canonical,1,1,1,PER_ROW,208511585.0246,208511585.0246,208511585.0246
_PH0_4w2_balance_points.csv,0,1,139,21,net_margin_chain_nested_canonical,1,1,1,PER_ROW,174476591.9375,174476591.9375,174476591.9375
_PH0_4w2_balance_points.csv,0,1,139,21,residual_a,1,1,1,PER_ROW,979104.4043,979104.4043,979104.4043
_PH0_4w2_balance_points.csv,0,1,139,21,residual_b,1,1,1,PER_ROW,208511585.0246,208511585.0246,208511585.0246
_PH0_4w2_balance_points.csv,0,1,139,21,hold_rate,1,1,1,PER_ROW,0.01681532,0.01681532,0.01681532
_PH0_4w2_balance_points.csv,0,1,139,21,roi,1,1,1,PER_ROW,-0.01681532,-0.01681532,-0.01681532
_PH0_4w2_balance_points.csv,0,1,139,21,roi_ex_rebate,1,1,1,PER_ROW,-0.01742716,-0.01742716,-0.01742716
_PH0_4w2_balance_points.csv,0,1,139,21,economic_value,1,1,1,PER_ROW,0,0,0
_PH0_4w2_balance_points.csv,0,1,139,21,risk_value,1,1,1,PER_ROW,0,0,0
_PH0_4w2_balance_points.csv,0,1,139,21,action_priority,1,1,1,PER_ROW,,,
_PH0_4w2_balance_points.csv,0,1,139,21,decision_status,1,1,1,PER_ROW,,,
_PH0_4w2_balance_points.csv,0,1,139,21,vip_tier,1,1,1,PER_ROW,1,1,1
_PH0_4w2_balance_points.csv,0,1,139,21,pr_qualified,1,1,1,PER_ROW,0,0,0
_PH0_4w2_balance_points.csv,0,1,139,21,evidence_rate,1,1,1,PER_ROW,,,
_PH0_4w2_balance_points.csv,0,1,139,21,hold_ci_halfwidth_approx,1,1,1,PER_ROW,0.0007571,0.0007571,0.0007571
_PH0_4w2_balance_points.csv,0,1,139,21,n_bets,1,1,1,PER_ROW,124713543,124713543,124713543
_PH0_4w2_balance_points.csv,0,1,139,21,n_rounds,1,1,1,PER_ROW,6048562,6048562,6048562
_PH0_4w2_balance_points.csv,0,1,139,21,active_days,1,1,1,PER_ROW,139,139,139
_PH0_4w2_balance_points.csv,0,1,139,21,agent_cost_bet23_formal_canonical,1,1,1,PER_ROW,9199860.2962,9199860.2962,9199860.2962
_PH0_6b_member_daily.csv,0.2,139,133,15,stake,139,1,139,PER_ROW,9515288.7127,152549613.0395,95733171.029
_PH0_6b_member_daily.csv,0.2,139,133,15,valid_bet,139,1,139,PER_ROW,8496832.5934,137813562.069,86278537.247
_PH0_6b_member_daily.csv,0.2,139,133,15,profit,139,1,139,PER_ROW,-195720.0326,3968249.0097,1611045.9555
_PH0_6b_member_daily.csv,0.2,139,133,15,rebate_cost,139,1,139,PER_ROW,3580.1173,156210.558,57223.4437
_PH0_6b_member_daily.csv,0.2,139,133,15,ngr,139,1,139,PER_ROW,-269861.8957,3866954.3768,1550258.0922
_PH0_6b_member_daily.csv,0.2,139,133,15,net_margin_bet23_formal_canonical,139,1,139,PER_ROW,-270859.2153,3705409.1717,1488120.1726
_PH0_6b_member_daily.csv,0.2,139,133,15,net_margin_chain_nested_canonical,139,1,139,PER_ROW,-285380.5228,3163624.9159,1259463.3768
_PH0_6b_member_daily.csv,0.2,139,133,15,residual_a,139,1,139,PER_ROW,-73144.5436,63140.6001,4586.704
_PH0_6b_member_daily.csv,0.2,139,133,15,residual_b,139,1,139,PER_ROW,-270859.2153,3705409.1717,1488120.1726
_PH0_6b_member_daily.csv,0.2,139,133,15,hold_rate,139,1,139,PER_ROW,-0.00202408,0.02892995,0.01641889
_PH0_6b_member_daily.csv,0.2,139,133,15,roi,139,1,139,PER_ROW,-0.02892995,0.00202408,-0.01641889
_PH0_6b_member_daily.csv,0.2,139,133,15,roi_ex_rebate,139,1,139,PER_ROW,-0.02962915,0.00125732,-0.01690579
_PH0_6b_member_daily.csv,0.2,139,133,15,economic_value,139,1,139,PER_ROW,0,1,0.5
_PH0_6b_member_daily.csv,0.2,139,133,15,risk_value,139,1,139,PER_ROW,0,1,0.5
_PH0_6b_member_daily.csv,0.2,139,133,15,action_priority,139,1,3,LOW_CARDINALITY,,,
_PH0_6b_member_daily.csv,0.2,139,133,15,decision_status,139,1,1,CONSTANT_BROADCAST,,,
_PH0_6b_member_daily.csv,0.2,139,133,15,vip_tier,139,1,5,LOW_CARDINALITY,1,5,3
_PH0_6b_member_daily.csv,0.2,139,133,15,pr_qualified,139,1,139,PER_ROW,0,1,0.5
_PH0_6b_member_daily.csv,0.2,139,133,15,evidence_rate,139,1,3,LOW_CARDINALITY,,,
_PH0_6b_member_daily.csv,0.2,139,133,15,hold_ci_halfwidth_approx,139,1,135,PER_ROW,0.00869429,0.02711682,0.00878673
_PH0_6b_member_daily.csv,0.2,139,133,15,n_bets,139,1,139,PER_ROW,117343,1169753,910433
_PH0_6b_member_daily.csv,0.2,139,133,15,n_rounds,139,1,135,PER_ROW,4715,45866,44906
_PH0_6b_member_daily.csv,0.2,139,133,15,active_days,139,1,1,CONSTANT_BROADCAST,1,1,1
_PH0_6b_member_daily.csv,0.2,139,133,15,agent_cost_bet23_formal_canonical,139,1,139,PER_ROW,997.3196,161545.2051,62675.1032
A_anchor.csv,0,18,132,14,stake,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,valid_bet,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,profit,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,rebate_cost,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,ngr,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,net_margin_bet23_formal_canonical,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,net_margin_chain_nested_canonical,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,residual_a,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,residual_b,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,hold_rate,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,roi,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,roi_ex_rebate,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,economic_value,18,1,1,CONSTANT_BROADCAST,0,0,0
A_anchor.csv,0,18,132,14,risk_value,18,1,1,CONSTANT_BROADCAST,0,0,0
A_anchor.csv,0,18,132,14,action_priority,18,1,1,CONSTANT_BROADCAST,,,
A_anchor.csv,0,18,132,14,decision_status,18,1,1,CONSTANT_BROADCAST,,,
A_anchor.csv,0,18,132,14,vip_tier,18,1,5,PER_ROW,1,5,3
A_anchor.csv,0,18,132,14,pr_qualified,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,evidence_rate,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,hold_ci_halfwidth_approx,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,n_bets,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,n_rounds,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,active_days,0,0,0,EMPTY,,,
A_anchor.csv,0,18,132,14,agent_cost_bet23_formal_canonical,0,0,0,EMPTY,,,
B_online_base.csv,1.2,836,134,16,stake,836,1,30,LOW_CARDINALITY,4700866.8383,1073692990.8964,232096310.8751
B_online_base.csv,1.2,836,134,16,valid_bet,836,1,835,PER_ROW,0,118476114.829937,5160876.94531148
B_online_base.csv,1.2,836,134,16,profit,836,1,30,LOW_CARDINALITY,-57756.2773,19095652.0938,4831424.6292
B_online_base.csv,1.2,836,134,16,rebate_cost,836,1,30,LOW_CARDINALITY,2178.4941,557107.3325,108588.0984
B_online_base.csv,1.2,836,134,16,ngr,836,1,30,LOW_CARDINALITY,-59934.7714,18578398.327,4740784.5906
B_online_base.csv,1.2,836,134,16,net_margin_bet23_formal_canonical,836,1,30,LOW_CARDINALITY,-56989.1544,17800518.714,4549461.8942
B_online_base.csv,1.2,836,134,16,net_margin_chain_nested_canonical,836,1,30,LOW_CARDINALITY,-51176.6755,14901032.4617,3792983.6084
