table,column,rows,sum,max_abs,ratio_to_stake,ratio_to_gross_ggr,units_verdict
I_ip_player.csv,stake_ip,696403,11650752680.8847,97050361.9512528,0.867123520954934,49.7570169677743,PLAUSIBLE
I_ip_player.csv,game_pnl_ip,696403,-132501638.086122,2443212.47221622,-0.00986161925298115,-0.565876423188174,PLAUSIBLE
I_ip_player.csv,rebate_ip,696403,7596759.921115,790797.906347132,0.000565399454530894,0.0324435787668204,PLAUSIBLE
I_ip_player.csv,net_pnl_ip,696403,-124904878.164999,1854297.4,-0.00929621979844966,-0.533432844421319,PLAUSIBLE
I_ip_player.csv,net_pnl_all,696403,-5769774466.26019,4016417.7737817,-0.429423513427417,-24.6410488559216,CHECK
I_ip_player.csv,game_pnl_all,696403,-6013744299.39116,4016417.7737817,-0.447581308593596,-25.6829739108272,CHECK
K01_risk_feature_matrix.csv,validbet,120063,11704192719.2619,101787084.697759,0.871100870359462,49.9852440161999,PLAUSIBLE
P01C_split_by_dim.csv,commission,2999,2301,999,0.00000017125513487132,0.00000982690982967075,PLAUSIBLE
P0C04_同日泄漏检验.csv,标记日_洗码量,125,15656889.5,4311092,0.00116528584223722,0.0668660761971398,PLAUSIBLE
P0C04_同日泄漏检验.csv,前30日均_洗码量,125,24274345.4195677,6075000,0.00180665202031337,0.103668754286125,PLAUSIBLE
P0C09_安慰剂检验.csv,参照日_洗码量,4807,209981706,23850000,0.0156281813913689,0.896771530092322,PLAUSIBLE
P0C09_安慰剂检验.csv,前30日均_洗码量,4807,184719205.29605,3994150,0.0137479845355489,0.788882648523564,PLAUSIBLE
P11_阿泽尾段投注总帐.csv,stake_sum,2,13459650933.96,13436093473.33,1.00175329683451,57.4823016370572,PLAUSIBLE
P11_阿泽尾段投注总帐.csv,validbet_sum,2,12122821705.48,12101545164.64,0.90225791664187,51.7730881273044,PLAUSIBLE
P11_阿泽尾段投注总帐.csv,ggr_sum,2,234454517,234152957.1,0.0174496044893634,1.00128787384529,PLAUSIBLE
P11_阿泽尾段投注总帐.csv,ngr_by16,2,226229615.32,225932201.21,0.0168374547081762,0.966161682116793,PLAUSIBLE
P11_雷欧尾段投注总帐.csv,stake_sum,2,26203481665.41,13436093473.33,1.9502306765354,111.907540873279,CHECK
P11_雷欧尾段投注总帐.csv,validbet_sum,2,23601342195.13,12101545164.64,1.75656281650203,100.794550895587,CHECK
P11_雷欧尾段投注总帐.csv,ggr_sum,2,430336176.72,234152957.1,0.0320283702669238,1.83784215778909,CHECK
P11_雷欧尾段投注总帐.csv,ngr_by16,2,414139070.36,225932201.21,0.0308228780312842,1.76866897060904,CHECK
P12a_platform_daily.csv,stake_sum,139,13436093473.3328,152549613.0395,0.999999999964915,57.3816944917293,PLAUSIBLE
P12a_platform_daily.csv,validbet_sum,139,12101545164.644,137813562.069,0.900674380409595,51.6822221350042,PLAUSIBLE
P12a_platform_daily.csv,ggr_sum,139,234152957.1035,4069543.6425,0.0174271604733934,0.999999998177687,PLAUSIBLE
P12a_platform_daily.csv,stake_ramp_day,139,131.174766,1.079047,0.00000000976286494699862,0.000000560209733772343,PLAUSIBLE
P12c_member_daily_pnl.csv,day_stake,1595911,12767388192.4263,29605331.8244,0.950230676596464,54.5258463830405,PLAUSIBLE
P12c_member_daily_pnl.csv,day_vb,1595911,11499797030.8327,26357552.5282,0.855888436118235,49.1123287620636,PLAUSIBLE
P12c_member_daily_pnl.csv,day_pnl,1595911,-196183219.944,1621074.5,-0.0146012098179051,-0.837842161010062,PLAUSIBLE
PI01_treatment_delta_member.csv,stake_pre,186,160159514.59,22104639.7,0.0119200952942354,0.683995266510112,PLAUSIBLE
PI01_treatment_delta_member.csv,stake_post,186,283373030.81,42814839.09,0.021090433120496,1.21020479006101,PLAUSIBLE
PI01_treatment_delta_member.csv,d_stake,186,123213516.2,35319138.19,0.00917033782477208,0.526209523465483,PLAUSIBLE
PI01_treatment_delta_member.csv,d_validbet,186,114793700.61,32355232.24,0.00854368130393024,0.490250910434024,PLAUSIBLE
PI01_treatment_delta_member.csv,d_revenue,186,4435783.08,1526163.17,0.000330139343600747,0.0189439549548628,PLAUSIBLE
PI02_treatment_delta_platform.csv,sum_stake,3,13436093473.33,12992560927.9,0.999999999964707,57.3816944917173,PLAUSIBLE
PI02_treatment_delta_platform.csv,sum_validbet,3,12101545164.64,11703241043.57,0.900674380409297,51.6822221349871,PLAUSIBLE
PI02_treatment_delta_platform.csv,sum_revenue,3,234152957.1,229821016.77,0.0174271604731329,0.99999999816274,PLAUSIBLE
PI02_treatment_delta_platform.csv,revenue_per_member,3,48716.42,48709.57,0.00000362578751740455,0.000208053831622933,PLAUSIBLE
PI04_member_5d_profile.csv,sum_stake,723442,13436093493.96,113094762,1.00000000150012,57.3816945798221,PLAUSIBLE
PI04_member_5d_profile.csv,sum_validbet,723442,12101545184.49,101787084.7,0.900674381886661,51.6822222197608,PLAUSIBLE
PI04_member_5d_profile.csv,sum_revenue,723442,234152975.98,4016417.77,0.0174271618783033,1.00000007879379,PLAUSIBLE
P_player_month.csv,game_pnl,1030097,-234152957.1044,2578966,-0.0174271604734604,-0.999999998181532,PLAUSIBLE
P_player_month.csv,rebate,1030097,8220755.89183145,232458.473982533,0.000611841225119423,0.0351084862584799,PLAUSIBLE
P_player_month.csv,net_pnl,1030097,-225932201.212561,2578966,-0.0168153192483404,-0.964891511923016,PLAUSIBLE
QSB_01a_category_census.csv,stake_sum,2,676914983188.21,676914511000.81,50.3803419132178,2890.90938815456,EXCEEDS_PLATFORM_STAKE_3X
QSB_01a_category_census.csv,payout_sum,2,663425594031.68,663425594031.68,49.376375307684,2833.3000831139,EXCEEDS_PLATFORM_STAKE_3X
QSB_01a_category_census.csv,validbet_sum,2,604032736752.17,604032736752.17,44.9559790522318,2579.65025564225,EXCEEDS_PLATFORM_STAKE_3X
QSB_01c_cat1_contamination.csv,stake_sum,23,676914511000.81,330779501341.07,50.3803067700119,2890.90737157785,EXCEEDS_PLATFORM_STAKE_3X
