TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_a168_categoryLevel,depositLimitMin,varchar,"source_type=decimal(16,4); 最低存款限額, 0為不限制"
ods_a168_categoryLevel,depositLimitMax,varchar,"source_type=decimal(16,4); 最高存款限額, 0為不限制"
ods_a168_categoryLevel,withdrawLimitMin,varchar,"source_type=decimal(16,4); 最低提款限額, 0為不限制"
ods_a168_categoryLevel,withdrawLimitMax,varchar,"source_type=decimal(16,4); 最高提款限額, 0為不限制"
ods_a168_categoryLevel,upgradeCondition,varchar,source_type=varchar(20); 晉級條件
ods_a168_categoryLevel,keepCondition,varchar,source_type=varchar(20); 保級條件
ods_a168_categoryLevel,build_time,varchar,source_type=timestamp; 建立時間
ods_a168_categoryLevel,remark,varchar,source_type=varchar(20); 備註
ods_a168_categoryLevel,op_level,varchar,source_type=int(11); 操作者層級
ods_a168_categoryLevel,op_mid,varchar,source_type=int(11); 操作者編號
ods_a168_categoryLevel,source_db,varchar,来源库
ods_a168_categoryLevel,source_table,varchar,来源表
ods_a168_categoryLevel,ods_table_name,varchar,ODS表名
ods_a168_categoryLevel,sync_time,datetime,同步时间
ods_a168_dailyreport2,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_dailyreport2,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_dailyreport2,id,varchar,source_type=bigint(20);
ods_a168_dailyreport2,time,varchar,source_type=date; 日期
ods_a168_dailyreport2,bet02,varchar,source_type=int(11); 遊戲編號
ods_a168_dailyreport2,bet05,varchar,source_type=int(11); 會員編號
ods_a168_dailyreport2,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_a168_dailyreport2,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_a168_dailyreport2,bet15,varchar,"source_type=decimal(16,4); 會員退水%數"
ods_a168_dailyreport2,bet41,varchar,"source_type=decimal(16,4); 有效投注"
ods_a168_dailyreport2,bet18,varchar,source_type=int(11); LV1ID
ods_a168_dailyreport2,bet19,varchar,source_type=int(11); LV2ID
ods_a168_dailyreport2,bet20,varchar,source_type=int(11); LV3ID
ods_a168_dailyreport2,bet21,varchar,source_type=int(11); LV4ID
ods_a168_dailyreport2,bet22,varchar,source_type=int(11); LV5ID
ods_a168_dailyreport2,bet23,varchar,"source_type=decimal(16,4); LV1佔成"
ods_a168_dailyreport2,bet24,varchar,"source_type=decimal(16,4); LV2佔成"
ods_a168_dailyreport2,bet25,varchar,"source_type=decimal(16,4); LV3佔成"
ods_a168_dailyreport2,bet26,varchar,"source_type=decimal(16,4); LV4佔成"
ods_a168_dailyreport2,bet27,varchar,"source_type=decimal(16,4); LV5佔成"
ods_a168_dailyreport2,bet28,varchar,"source_type=decimal(16,4); LV1退水"
ods_a168_dailyreport2,bet29,varchar,"source_type=decimal(16,4); LV2退水"
ods_a168_dailyreport2,bet30,varchar,"source_type=decimal(16,4); LV3退水"
ods_a168_dailyreport2,bet31,varchar,"source_type=decimal(16,4); LV4退水"
ods_a168_dailyreport2,bet32,varchar,"source_type=decimal(16,4); LV5退水"
ods_a168_dailyreport2,bet39,varchar,source_type=int(11);
ods_a168_dailyreport2,bet10,varchar,source_type=int(11); 幣別
ods_a168_dailyreport2,bet11,varchar,"source_type=decimal(16,4); 匯率"
ods_a168_dailyreport2,category,varchar,source_type=int(11);
ods_a168_dailyreport2,count,varchar,source_type=int(11); 筆數
ods_a168_dailyreport2,risk,varchar,source_type=tinyint(1); 風險單1:是
ods_a168_dailyreport2,source_db,varchar,来源库
ods_a168_dailyreport2,source_table,varchar,来源表
ods_a168_dailyreport2,ods_table_name,varchar,ODS表名
ods_a168_dailyreport2,sync_time,datetime,同步时间
ods_a168_dailyreport_member,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_dailyreport_member,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_dailyreport_member,id,varchar,source_type=bigint(20);
ods_a168_dailyreport_member,time,varchar,source_type=date; 日期
ods_a168_dailyreport_member,bet02,varchar,source_type=int(11); 遊戲編號
ods_a168_dailyreport_member,bet05,varchar,source_type=int(11); 會員編號
ods_a168_dailyreport_member,bet13,varchar,"source_type=decimal(16,4); 下注金額"
ods_a168_dailyreport_member,bet14,varchar,"source_type=decimal(16,4); 派彩金額"
ods_a168_dailyreport_member,bet15,varchar,"source_type=decimal(16,4); 會員退水%數"
ods_a168_dailyreport_member,bet41,varchar,"source_type=decimal(16,4); 有效投注"
ods_a168_dailyreport_member,bet18,varchar,source_type=int(11); LV1ID
ods_a168_dailyreport_member,bet19,varchar,source_type=int(11); LV2ID
ods_a168_dailyreport_member,bet20,varchar,source_type=int(11); LV3ID
ods_a168_dailyreport_member,bet21,varchar,source_type=int(11); LV4ID
ods_a168_dailyreport_member,bet22,varchar,source_type=int(11); LV5ID
ods_a168_dailyreport_member,bet23,varchar,"source_type=decimal(16,4); LV1占成"
ods_a168_dailyreport_member,bet24,varchar,"source_type=decimal(16,4); LV2占成"
ods_a168_dailyreport_member,bet25,varchar,"source_type=decimal(16,4); LV3占成"
ods_a168_dailyreport_member,bet26,varchar,"source_type=decimal(16,4); LV4占成"
ods_a168_dailyreport_member,bet27,varchar,"source_type=decimal(16,4); LV5占成"
ods_a168_dailyreport_member,bet28,varchar,"source_type=decimal(16,4); LV1退水"
ods_a168_dailyreport_member,bet29,varchar,"source_type=decimal(16,4); LV2退水"
ods_a168_dailyreport_member,bet30,varchar,"source_type=decimal(16,4); LV3退水"
ods_a168_dailyreport_member,bet31,varchar,"source_type=decimal(16,4); LV4退水"
ods_a168_dailyreport_member,bet32,varchar,"source_type=decimal(16,4); LV5退水"
