n,module,CTE数_A,CTE数_B,CTE一致,六层表达式数,表达式一致,业务列数_A,业务列数_B,业务列一致,外层附加_A,外层附加_B,唯一合法差异
24,K01_risk_feature_matrix.csv,10,10,True,63,True,78,78,True,audit_rn,audit_rn|batch_id,batch_id
25,K01b_seed_goldip.csv,3,3,True,63,True,65,65,True,audit_rn,audit_rn|batch_id,batch_id
26,K01b_seed_manual.csv,3,3,True,63,True,65,65,True,audit_rn,audit_rn|batch_id,batch_id
27,K01c_seed_dated.csv,3,3,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
28,L_label_dist.csv,3,3,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
29,P01A_crosstab.csv,3,3,True,63,True,76,76,True,audit_rn,audit_rn|batch_id,batch_id
30,P01B_diff_ratio.csv,3,3,True,63,True,74,74,True,audit_rn,audit_rn|batch_id,batch_id
31,P01C_split_by_dim.csv,3,3,True,63,True,77,77,True,audit_rn,audit_rn|batch_id,batch_id
32,P01D_vs_validbet.csv,3,3,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
33,P01E_identity_test.csv,3,3,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
34,P02A_lmc_samples.csv,4,4,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
35,P02B_changestatus_patterns.csv,3,3,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
36,P02C_key_check.csv,3,3,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
37,P02D_events_in_window.csv,3,3,True,63,True,67,67,True,audit_rn,audit_rn|batch_id,batch_id
38,P0C02_标签口径.csv,3,3,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
39,P0C03_标记次数分布.csv,3,3,True,63,True,66,66,True,audit_rn,audit_rn|batch_id,batch_id
40,P0C04_同日泄漏检验.csv,5,5,True,63,True,70,70,True,audit_rn,audit_rn|batch_id,batch_id
41,P0C05_标记时点定位.csv,3,3,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
42,P0C06_LabelB骨架.csv,6,6,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
43,P0C09_安慰剂检验.csv,5,5,True,63,True,70,70,True,audit_rn,audit_rn|batch_id,batch_id
44,P11_阿泽尾段投注总帐.csv,13,13,True,63,True,84,84,True,audit_rn,audit_rn|batch_id,batch_id
45,P11_阿泽尾段投注模型会员名单.csv,8,8,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
46,P11_雷欧尾段投注总帐.csv,11,11,True,63,True,84,84,True,audit_rn,audit_rn|batch_id,batch_id
47,P12a_platform_daily.csv,8,8,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
48,P12b_member_events.csv,8,8,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
49,P12c_member_daily_pnl.csv,7,7,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
50,P13_personal_entry.csv,9,9,True,63,True,70,70,True,audit_rn,audit_rn|batch_id,batch_id
51,PH0_8r1_rg_case.csv,3,3,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
52,PH0_8r2_rg_crosstable.csv,3,3,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
53,PI01_treatment_delta_member.csv,12,12,True,63,True,84,84,True,audit_rn,audit_rn|batch_id,batch_id
54,PI02_treatment_delta_platform.csv,11,11,True,63,True,76,76,True,audit_rn,audit_rn|batch_id,batch_id
55,PI03_reinvest_loop.csv,8,8,True,63,True,76,76,True,audit_rn,audit_rn|batch_id,batch_id
56,PI04_member_5d_profile.csv,6,6,True,63,True,83,83,True,audit_rn,audit_rn|batch_id,batch_id
57,P_player_month.csv,7,7,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
58,QSB_01a_category_census.csv,3,3,True,63,True,85,85,True,audit_rn,audit_rn|batch_id,batch_id
59,QSB_01c_cat1_contamination.csv,3,3,True,63,True,73,73,True,audit_rn,audit_rn|batch_id,batch_id
60,QSB_02a_lowcard_fields.csv,3,3,True,63,True,81,81,True,audit_rn,audit_rn|batch_id,batch_id
61,QSB_02b2_lowcard_five_gates.csv,3,3,True,63,True,82,82,True,audit_rn,audit_rn|batch_id,batch_id
62,QSB_02b_state_cross.csv,3,3,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
63,QSB_02c_push_by_family.csv,3,3,True,63,True,73,73,True,audit_rn,audit_rn|batch_id,batch_id
64,R01_late_shoe.csv,9,9,True,63,True,78,78,True,audit_rn,audit_rn|batch_id,batch_id
65,R01_late_shoe_w2.csv,9,9,True,63,True,78,78,True,audit_rn,audit_rn|batch_id,batch_id
66,R01anm_shoe_anomaly.csv,9,9,True,63,True,74,74,True,audit_rn,audit_rn|batch_id,batch_id
67,R01chk_shoe_len_by_table.csv,12,12,True,63,True,91,91,True,audit_rn,audit_rn|batch_id,batch_id
68,R01inv_shoe_len_census.csv,9,9,True,63,True,82,82,True,audit_rn,audit_rn|batch_id,batch_id
69,R02_same_table.csv,11,11,True,63,True,75,75,True,audit_rn,audit_rn|batch_id,batch_id
70,R03_player_dealer.csv,11,11,True,63,True,96,96,True,audit_rn,audit_rn|batch_id,batch_id
71,R03b_player_dealer_daily.csv,9,9,True,63,True,87,87,True,audit_rn,audit_rn|batch_id,batch_id
72,R03chk_settlement_form.csv,6,6,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
73,R03inv_pair_census.csv,7,7,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
74,R_rebate_dist.csv,3,3,True,63,True,66,66,True,audit_rn,audit_rn|batch_id,batch_id
75,S01_player_score.csv,13,13,True,63,True,74,74,True,audit_rn,audit_rn|batch_id,batch_id
76,S02_dealer_score.csv,14,14,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
77,S02b_dealer_pace.csv,9,9,True,63,True,66,66,True,audit_rn,audit_rn|batch_id,batch_id
78,S03_agent_score.csv,11,11,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
79,S04_analyst_score.csv,3,3,True,63,True,70,70,True,audit_rn,audit_rn|batch_id,batch_id
80,S05_member_month_panel.csv,8,8,True,63,True,73,73,True,audit_rn,audit_rn|batch_id,batch_id
81,S_player_tail.csv,10,10,True,63,True,81,81,True,audit_rn,audit_rn|batch_id,batch_id
82,S_second_dist.csv,9,9,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
83,T02_daily_roi.csv,7,7,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
84,T03_arbitrage.csv,9,9,True,63,True,73,73,True,audit_rn,audit_rn|batch_id,batch_id
85,TL00_table_inventory.csv,3,3,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
86,TL02_config_change.csv,3,3,True,63,True,67,67,True,audit_rn,audit_rn|batch_id,batch_id
87,TL03_pseudo_treatment.csv,5,5,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
88,TL03b_pseudo_treatment.csv,5,5,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
89,TL04_log_schema.csv,3,3,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
90,TL06_log_mem_change.csv,3,3,True,63,True,65,65,True,audit_rn,audit_rn|batch_id,batch_id
91,TL07_mem_change_shape.csv,3,3,True,63,True,73,73,True,audit_rn,audit_rn|batch_id,batch_id
92,TL08_treatment_events.csv,5,5,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
93,TL09_member_schema.csv,3,3,True,63,True,67,67,True,audit_rn,audit_rn|batch_id,batch_id
94,TL10_treatment_ledger.csv,8,8,True,63,True,73,73,True,audit_rn,audit_rn|batch_id,batch_id
95,TL11_treatment_episode.csv,14,14,True,63,True,87,87,True,audit_rn,audit_rn|batch_id,batch_id
96,TL11c_population_reconcile.csv,7,7,True,63,True,70,70,True,audit_rn,audit_rn|batch_id,batch_id
97,TL14_limit_treatment.csv,10,10,True,63,True,78,78,True,audit_rn,audit_rn|batch_id,batch_id
98,T_table_span.csv,3,3,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
99,VB_00_validbet_contract.csv,3,3,True,63,True,76,76,True,audit_rn,audit_rn|batch_id,batch_id
100,VB_00b_zero_five_rates.csv,6,6,True,63,True,81,81,True,audit_rn,audit_rn|batch_id,batch_id
101,VB_41_identity_global.csv,4,4,True,63,True,80,80,True,audit_rn,audit_rn|batch_id,batch_id
102,VB_41b_identity_strata.csv,3,3,True,63,True,73,73,True,audit_rn,audit_rn|batch_id,batch_id
103,VB_41b_identity_strata_v18b.csv,4,4,True,63,True,81,81,True,audit_rn,audit_rn|batch_id,batch_id
104,VB_41c1_964_detail.csv,3,3,True,63,True,85,85,True,audit_rn,audit_rn|batch_id,batch_id
105,VB_41c2_concentration.csv,7,7,True,63,True,83,83,True,audit_rn,audit_rn|batch_id,batch_id
106,VB_41c2_concentration_v2.csv,6,6,True,63,True,83,83,True,audit_rn,audit_rn|batch_id,batch_id
107,V_ipmatch.csv,5,5,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
108,V_recon.csv,8,8,True,63,True,75,75,True,audit_rn,audit_rn|batch_id,batch_id
109,V_table_counts.csv,3,3,True,63,True,65,65,True,audit_rn,audit_rn|batch_id,batch_id
110,X_combo.csv,11,11,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
111,Z01_table_inventory.csv,3,3,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
112,Z02_excluded_tables.csv,3,3,True,63,True,67,67,True,audit_rn,audit_rn|batch_id,batch_id
113,Z03_column_dictionary.csv,3,3,True,63,True,71,71,True,audit_rn,audit_rn|batch_id,batch_id
114,Z04_name_collision.csv,4,4,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
115,Z05_missing_typehint.csv,3,3,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
116,Z06_generated_probe_sql.csv,3,3,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
117,Z07_probe_bet02.csv,3,3,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
118,Z08_roundkey_integrity.csv,6,6,True,63,True,72,72,True,audit_rn,audit_rn|batch_id,batch_id
119,Z09_time_axis_recon.csv,4,4,True,63,True,80,80,True,audit_rn,audit_rn|batch_id,batch_id
120,Z11_sentinel_impact.csv,8,8,True,63,True,76,2,False,audit_rn,audit_rn|batch_id,batch_id
121,Z14_zero_month_diagnosis.csv,9,9,True,63,True,86,86,True,audit_rn,audit_rn|batch_id,batch_id
122,_P12b-pre.csv,3,3,True,63,True,67,67,True,audit_rn,audit_rn|batch_id,batch_id
123,_PH0_1b_table_inventory.csv,4,4,True,63,True,73,73,True,audit_rn,audit_rn|batch_id,batch_id
124,_PH0_2b_column_inventory.csv,4,4,True,63,True,70,70,True,audit_rn,audit_rn|batch_id,batch_id
125,_PH0_3_lmc_category.csv,3,3,True,63,True,75,75,True,audit_rn,audit_rn|batch_id,batch_id
126,_PH0_4L1_member_columns.csv,3,3,True,63,True,68,68,True,audit_rn,audit_rn|batch_id,batch_id
127,_PH0_4b_rg_keyword.csv,3,3,True,63,True,74,74,True,audit_rn,audit_rn|batch_id,batch_id
128,_PH0_4w2_balance_points.csv,4,4,True,63,True,75,75,True,audit_rn,audit_rn|batch_id,batch_id
129,_PH0_6b_member_daily.csv,3,3,True,63,True,69,69,True,audit_rn,audit_rn|batch_id,batch_id
