No,output,declared_cols,AVG_hits,RATE_hits,ROI_hits,RAMP_hits,has_avg,has_rate,has_roi,has_ramp,triage_class,missing_four
59,QSB_01c_cat1_contamination.csv,10,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
60,QSB_02a_lowcard_fields.csv,18,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
61,QSB_02b2_lowcard_five_gates.csv,19,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
62,QSB_02b_state_cross.csv,9,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
63,QSB_02c_push_by_family.csv,10,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
64,R01_late_shoe.csv,15,"stake_early_avg, stake_late_avg",,,stake_ramp,True,False,False,True,BUSINESS/ANALYTIC CANDIDATE,"RATE, ROI"
65,R01_late_shoe_w2.csv,15,"stake_early_avg, stake_late_avg",,,stake_ramp,True,False,False,True,BUSINESS/ANALYTIC CANDIDATE,"RATE, ROI"
66,R01anm_shoe_anomaly.csv,11,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
67,R01chk_shoe_len_by_table.csv,28,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
68,R01inv_shoe_len_census.csv,19,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
69,R02_same_table.csv,12,,same_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
70,R03_player_dealer.csv,33,,"NO_BASE_RATE, win_rate, win_rate_all, win_rate_other",,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
71,R03b_player_dealer_daily.csv,24,,"NO_BASE_RATE, win_rate",,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
72,R03chk_settlement_form.csv,6,,push_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
73,R03inv_pair_census.csv,6,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
74,R_rebate_dist.csv,3,,rebate_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
75,S01_player_score.csv,11,,,"dd_roi_d, mu_roi_d",,False,False,True,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, RAMP"
76,S02_dealer_score.csv,9,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
77,S02b_dealer_pace.csv,3,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
78,S03_agent_score.csv,9,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
79,S04_analyst_score.csv,7,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
80,S05_member_month_panel.csv,10,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
81,S_player_tail.csv,18,,"norm_winrate, tail_winrate, winrate_diff","norm_roi, tail_roi",,False,True,True,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RAMP"
82,S_second_dist.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
83,T02_daily_roi.csv,5,,,T02_daily_roi,,False,False,True,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, RAMP"
84,T03_arbitrage.csv,10,,hedge_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
85,TL00_table_inventory.csv,5,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
86,TL02_config_change.csv,4,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
87,TL03_pseudo_treatment.csv,6,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
88,TL03b_pseudo_treatment.csv,8,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
89,TL04_log_schema.csv,5,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
90,TL06_log_mem_change.csv,2,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
91,TL07_mem_change_shape.csv,10,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
92,TL08_treatment_events.csv,9,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
93,TL09_member_schema.csv,4,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
94,TL10_treatment_ledger.csv,10,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
95,TL11_treatment_episode.csv,24,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
96,TL11c_population_reconcile.csv,7,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
97,TL14_limit_treatment.csv,15,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
98,T_table_span.csv,6,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
99,VB_00_validbet_contract.csv,13,,"null_rate, null_rate_pct",,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
100,VB_00b_zero_five_rates.csv,18,,"VB_00b_zero_five_rates, zero_active_rate_pct, zero_amount_rate_pct, zero_member_rate_pct, zero_profit_rate_pct, zero_record_rate_pct",,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
101,VB_41_identity_global.csv,17,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
102,VB_41b_identity_strata.csv,10,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
103,VB_41b_identity_strata_v18b.csv,18,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
104,VB_41c1_964_detail.csv,22,,fx_rate,,,False,True,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, ROI, RAMP"
105,VB_41c2_concentration.csv,20,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
106,VB_41c2_concentration_v2.csv,20,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
107,V_ipmatch.csv,5,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
108,V_recon.csv,12,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
109,V_table_counts.csv,2,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
110,X_combo.csv,6,,,,,False,False,False,False,BUSINESS/ANALYTIC CANDIDATE,"AVG, RATE, ROI, RAMP"
111,Z01_table_inventory.csv,5,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
112,Z02_excluded_tables.csv,4,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
113,Z03_column_dictionary.csv,8,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
114,Z04_name_collision.csv,6,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
115,Z05_missing_typehint.csv,6,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
116,Z06_generated_probe_sql.csv,5,,Z06_generated_probe_sql,,,False,True,False,False,DIAGNOSTIC/INFRA,"AVG, ROI, RAMP"
117,Z07_probe_bet02.csv,5,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
118,Z08_roundkey_integrity.csv,9,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
119,Z09_time_axis_recon.csv,17,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
120,Z11_sentinel_impact.csv,13,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
121,Z14_zero_month_diagnosis.csv,23,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
122,_P12b-pre.csv,4,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
123,_PH0_1b_table_inventory.csv,10,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
124,_PH0_2b_column_inventory.csv,11,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
125,_PH0_3_lmc_category.csv,12,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
126,_PH0_4L1_member_columns.csv,5,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
127,_PH0_4b_rg_keyword.csv,11,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
128,_PH0_4w2_balance_points.csv,12,"pts_avg, pts_ok_avg",,,,True,False,False,False,DIAGNOSTIC/INFRA,"RATE, ROI, RAMP"
129,_PH0_6b_member_daily.csv,6,,,,,False,False,False,False,DIAGNOSTIC/INFRA,"AVG, RATE, ROI, RAMP"
