eid,bet39,bet09,bet10,n_rows,n_bet01,n_extra,dup_rate_pct
-1,112,Lucky7,24,66,65,1,1.515152
-1,112,Lucky7,4,13,13,0,0
-1,112,Lucky7,8,3,3,0,0
-1,112,PPair,1,19,19,0,0
-1,112,PPair,13,117,116,1,0.854701
-1,112,PPair,14,3,3,0,0
-1,112,PPair,16,7,7,0,0
-1,112,PPair,18,2,2,0,0
-1,112,PPair,19,2,2,0,0
-1,112,PPair,23,3,3,0,0
-1,112,PPair,24,95,94,1,1.052632
-1,112,PPair,25,2,2,0,0
-1,112,PPair,26,1,1,0,0
-1,112,PPair,4,3,3,0,0
-1,112,PPair,8,4,4,0,0
-1,112,PerfectPair,24,2,2,0,0
-1,112,PerfectPair,8,1,1,0,0
-1,112,Player,1,152,150,2,1.31579
-1,112,Player,13,505,496,9,1.782178
-1,112,Player,14,40,40,0,0
-1,112,Player,16,43,43,0,0
-1,112,Player,17,8,8,0,0
-1,112,Player,18,5,5,0,0
-1,112,Player,19,24,24,0,0
-1,112,Player,20,1,1,0,0
-1,112,Player,23,17,16,1,5.882353
-1,112,Player,24,774,762,12,1.550388
-1,112,Player,25,15,15,0,0
-1,112,Player,26,1,1,0,0
-1,112,Player,27,27,27,0,0
-1,112,Player,28,32,30,2,6.25
-1,112,Player,4,40,39,1,2.5
-1,112,Player,41,2,2,0,0
-1,112,Player,8,35,35,0,0
-1,112,PlayerDragonBonus,1,2,2,0,0
-1,112,PlayerDragonBonus,13,3,3,0,0
-1,112,PlayerDragonBonus,24,1,1,0,0
-1,112,PlayerNatural,13,1,1,0,0
-1,112,Small,18,1,1,0,0
-1,112,Super6,1,13,13,0,0
-1,112,Super6,13,84,83,1,1.190476
-1,112,Super6,14,1,1,0,0
-1,112,Super6,16,8,8,0,0
-1,112,Super6,24,52,51,1,1.923077
-1,112,Super6,27,1,1,0,0
-1,112,Super6,4,10,10,0,0
-1,112,SuperLucky7,1,19,18,1,5.263158
-1,112,SuperLucky7,13,67,66,1,1.492537
-1,112,SuperLucky7,14,3,3,0,0
-1,112,SuperLucky7,16,8,8,0,0
-1,112,SuperLucky7,19,1,1,0,0
-1,112,SuperLucky7,24,41,40,1,2.439024
-1,112,SuperLucky7,4,10,10,0,0
-1,112,SuperLucky7,8,2,2,0,0
-1,112,Tie,1,19,19,0,0
-1,112,Tie,13,178,174,4,2.247191
-1,112,Tie,14,1,1,0,0
-1,112,Tie,16,15,15,0,0
-1,112,Tie,17,2,2,0,0
-1,112,Tie,18,3,3,0,0
-1,112,Tie,19,5,5,0,0
-1,112,Tie,20,1,1,0,0
-1,112,Tie,23,1,1,0,0
-1,112,Tie,24,145,145,0,0
-1,112,Tie,25,2,2,0,0
-1,112,Tie,26,1,1,0,0
-1,112,Tie,27,1,1,0,0
-1,112,Tie,28,1,1,0,0
-1,112,Tie,4,10,9,1,10
-1,112,Tie,8,5,5,0,0
-1,113,AnyPair,23,1,1,0,0
-1,113,AnyPair,24,1,1,0,0
-1,113,BPair,1,5,5,0,0
-1,113,BPair,13,76,74,2,2.631579
-1,113,BPair,14,5,4,1,20
-1,113,BPair,16,4,4,0,0
-1,113,BPair,18,3,3,0,0
-1,113,BPair,19,2,2,0,0
-1,113,BPair,23,1,1,0,0
-1,113,BPair,24,78,76,2,2.564103
-1,113,BPair,27,4,4,0,0
-1,113,BPair,28,1,1,0,0
-1,113,BPair,4,4,4,0,0
-1,113,BPair,8,2,2,0,0
-1,113,Banker,1,110,109,1,0.909091
-1,113,Banker,13,349,341,8,2.292264
-1,113,Banker,14,33,31,2,6.060606
-1,113,Banker,16,42,41,1,2.380952
-1,113,Banker,17,2,2,0,0
-1,113,Banker,18,4,4,0,0
-1,113,Banker,19,31,29,2,6.451613
-1,113,Banker,20,1,1,0,0
-1,113,Banker,23,10,10,0,0
-1,113,Banker,24,602,591,11,1.827243
-1,113,Banker,25,10,10,0,0
-1,113,Banker,27,16,16,0,0
-1,113,Banker,28,23,21,2,8.695652
-1,113,Banker,4,27,27,0,0
-1,113,Banker,8,25,25,0,0
-1,113,BankerDragonBonus,1,1,1,0,0
-1,113,BankerDragonBonus,16,1,1,0,0
-1,113,BankerDragonBonus,24,1,1,0,0
-1,113,BankerNatural,1,1,1,0,0
-1,113,BankerNatural,24,1,1,0,0
-1,113,Big,1,3,3,0,0
-1,113,Lucky7,1,7,7,0,0
-1,113,Lucky7,13,63,62,1,1.587302
-1,113,Lucky7,14,5,5,0,0
-1,113,Lucky7,16,5,5,0,0
-1,113,Lucky7,18,1,1,0,0
-1,113,Lucky7,23,3,3,0,0
-1,113,Lucky7,24,40,40,0,0
-1,113,Lucky7,25,1,1,0,0
-1,113,Lucky7,27,2,2,0,0
-1,113,Lucky7,28,1,1,0,0
-1,113,Lucky7,4,9,9,0,0
-1,113,Lucky7,8,3,3,0,0
-1,113,PPair,1,5,5,0,0
-1,113,PPair,13,74,72,2,2.702703
-1,113,PPair,14,4,3,1,25
-1,113,PPair,16,4,4,0,0
-1,113,PPair,18,2,2,0,0
-1,113,PPair,19,2,2,0,0
-1,113,PPair,23,1,1,0,0
-1,113,PPair,24,76,74,2,2.631579
-1,113,PPair,27,4,4,0,0
-1,113,PPair,28,1,1,0,0
-1,113,PPair,4,5,5,0,0
-1,113,PPair,8,2,2,0,0
-1,113,PerfectPair,16,1,1,0,0
-1,113,PerfectPair,23,1,1,0,0
-1,113,PerfectPair,24,2,2,0,0
-1,113,Player,1,125,125,0,0
-1,113,Player,13,356,347,9,2.52809
-1,113,Player,14,23,22,1,4.347826
-1,113,Player,16,26,26,0,0
-1,113,Player,17,6,6,0,0
-1,113,Player,18,6,6,0,0
-1,113,Player,19,35,33,2,5.714286
-1,113,Player,20,2,2,0,0
-1,113,Player,23,16,16,0,0
-1,113,Player,24,613,601,12,1.957586
-1,113,Player,25,7,7,0,0
-1,113,Player,27,21,20,1,4.761905
-1,113,Player,28,20,18,2,10
-1,113,Player,4,30,30,0,0
-1,113,Player,8,22,21,1,4.545455
-1,113,PlayerDragonBonus,1,1,1,0,0
-1,113,PlayerDragonBonus,24,4,3,1,25
-1,113,Small,18,1,1,0,0
-1,113,Super6,1,6,6,0,0
-1,113,Super6,13,58,56,2,3.448276
-1,113,Super6,14,2,2,0,0
-1,113,Super6,16,5,5,0,0
-1,113,Super6,18,1,1,0,0
-1,113,Super6,19,2,2,0,0
-1,113,Super6,23,4,4,0,0
-1,113,Super6,24,44,44,0,0
-1,113,Super6,25,1,1,0,0
-1,113,Super6,27,1,1,0,0
-1,113,Super6,4,5,5,0,0
-1,113,Super6,8,2,2,0,0
-1,113,SuperLucky7,1,8,8,0,0
-1,113,SuperLucky7,13,45,44,1,2.222222
-1,113,SuperLucky7,14,3,3,0,0
-1,113,SuperLucky7,16,9,9,0,0
-1,113,SuperLucky7,18,1,1,0,0
-1,113,SuperLucky7,19,2,2,0,0
-1,113,SuperLucky7,23,4,4,0,0
-1,113,SuperLucky7,24,29,29,0,0
-1,113,SuperLucky7,25,1,1,0,0
-1,113,SuperLucky7,27,1,1,0,0
-1,113,SuperLucky7,28,2,2,0,0
-1,113,SuperLucky7,4,6,6,0,0
-1,113,SuperLucky7,8,4,4,0,0
-1,113,Tie,1,8,8,0,0
-1,113,Tie,13,139,137,2,1.438849
-1,113,Tie,14,7,6,1,14.285714
-1,113,Tie,16,4,4,0,0
-1,113,Tie,18,3,3,0,0
-1,113,Tie,19,3,3,0,0
-1,113,Tie,23,2,2,0,0
-1,113,Tie,24,113,111,2,1.769912
-1,113,Tie,25,2,2,0,0
-1,113,Tie,27,6,6,0,0
-1,113,Tie,28,2,2,0,0
-1,113,Tie,4,7,7,0,0
-1,113,Tie,8,8,8,0,0
-1,115,AnyPair,24,1,1,0,0
-1,115,AnyPair,4,1,1,0,0
-1,115,BPair,1,4,4,0,0
-1,115,BPair,13,40,39,1,2.5
-1,115,BPair,14,1,1,0,0
-1,115,BPair,16,5,5,0,0
-1,115,BPair,18,1,1,0,0
-1,115,BPair,19,4,4,0,0
-1,115,BPair,23,1,1,0,0
-1,115,BPair,24,51,51,0,0
-1,115,BPair,4,1,1,0,0
-1,115,Banker,1,47,47,0,0
-1,115,Banker,13,214,212,2,0.934579
-1,115,Banker,14,16,15,1,6.25
-1,115,Banker,16,21,21,0,0
-1,115,Banker,17,4,4,0,0
-1,115,Banker,18,3,3,0,0
-1,115,Banker,19,16,16,0,0
-1,115,Banker,23,12,12,0,0
-1,115,Banker,24,360,360,0,0
-1,115,Banker,25,2,2,0,0
-1,115,Banker,26,1,1,0,0
-1,115,Banker,27,9,9,0,0
-1,115,Banker,28,9,9,0,0
-1,115,Banker,4,22,22,0,0
-1,115,Banker,8,13,13,0,0
-1,115,BankerDragonBonus,1,1,1,0,0
-1,115,BankerDragonBonus,13,1,1,0,0
-1,115,BankerDragonBonus,16,1,1,0,0
-1,115,BankerDragonBonus,24,1,1,0,0
-1,115,BankerNatural,1,1,1,0,0
-1,115,BankerNatural,13,1,1,0,0
-1,115,BankerNatural,16,1,1,0,0
-1,115,Lucky7,1,4,4,0,0
-1,115,Lucky7,13,36,36,0,0
-1,115,Lucky7,14,1,1,0,0
-1,115,Lucky7,16,5,5,0,0
-1,115,Lucky7,19,1,1,0,0
-1,115,Lucky7,23,1,1,0,0
-1,115,Lucky7,24,31,31,0,0
-1,115,Lucky7,25,2,2,0,0
-1,115,Lucky7,4,3,3,0,0
-1,115,PPair,1,5,5,0,0
-1,115,PPair,13,44,43,1,2.272727
-1,115,PPair,16,5,5,0,0
-1,115,PPair,18,1,1,0,0
-1,115,PPair,19,4,4,0,0
-1,115,PPair,23,1,1,0,0
-1,115,PPair,24,48,48,0,0
-1,115,PPair,4,1,1,0,0
-1,115,PerfectPair,13,1,1,0,0
-1,115,PerfectPair,16,1,1,0,0
-1,115,PerfectPair,24,1,1,0,0
-1,115,PerfectPair,4,1,1,0,0
-1,115,Player,1,62,62,0,0
-1,115,Player,13,204,204,0,0
-1,115,Player,14,13,13,0,0
-1,115,Player,16,16,16,0,0
-1,115,Player,17,2,2,0,0
-1,115,Player,18,2,2,0,0
-1,115,Player,19,11,11,0,0
-1,115,Player,23,11,11,0,0
-1,115,Player,24,399,399,0,0
-1,115,Player,25,4,4,0,0
-1,115,Player,27,6,6,0,0
-1,115,Player,28,12,12,0,0
-1,115,Player,4,11,11,0,0
-1,115,Player,41,1,1,0,0
-1,115,Player,8,30,29,1,3.333333
-1,115,PlayerDragonBonus,1,1,1,0,0
-1,115,PlayerDragonBonus,13,2,2,0,0
-1,115,PlayerDragonBonus,4,1,1,0,0
-1,115,PlayerNatural,1,1,1,0,0
-1,115,PlayerNatural,27,1,1,0,0
-1,115,Small,13,1,1,0,0
-1,115,Small,18,1,1,0,0
-1,115,Super6,1,5,5,0,0
-1,115,Super6,13,25,25,0,0
-1,115,Super6,16,4,4,0,0
-1,115,Super6,19,2,2,0,0
-1,115,Super6,23,1,1,0,0
-1,115,Super6,24,33,33,0,0
-1,115,Super6,27,1,1,0,0
-1,115,Super6,4,4,4,0,0
-1,115,SuperLucky7,1,4,4,0,0
-1,115,SuperLucky7,13,25,25,0,0
-1,115,SuperLucky7,14,1,1,0,0
-1,115,SuperLucky7,16,4,4,0,0
-1,115,SuperLucky7,19,1,1,0,0
-1,115,SuperLucky7,23,2,2,0,0
-1,115,SuperLucky7,24,28,28,0,0
-1,115,SuperLucky7,4,1,1,0,0
-1,115,Tie,1,5,5,0,0
-1,115,Tie,13,74,74,0,0
-1,115,Tie,14,1,1,0,0
-1,115,Tie,16,4,4,0,0
-1,115,Tie,18,1,1,0,0
-1,115,Tie,19,3,3,0,0
-1,115,Tie,23,2,2,0,0
-1,115,Tie,24,54,54,0,0
-1,115,Tie,25,1,1,0,0
-1,115,Tie,26,1,1,0,0
-1,115,Tie,4,2,2,0,0
-1,115,Tie,8,5,5,0,0
-1,116,BPair,1,4,4,0,0
-1,116,BPair,13,55,55,0,0
-1,116,BPair,14,2,2,0,0
-1,116,BPair,16,1,1,0,0
-1,116,BPair,19,3,3,0,0
-1,116,BPair,24,48,48,0,0
-1,116,BPair,27,2,2,0,0
-1,116,BPair,4,3,3,0,0
-1,116,BPair,8,1,1,0,0
-1,116,Banker,1,88,88,0,0
-1,116,Banker,13,327,327,0,0
-1,116,Banker,14,18,18,0,0
-1,116,Banker,16,32,32,0,0
-1,116,Banker,17,10,10,0,0
-1,116,Banker,18,3,3,0,0
-1,116,Banker,19,17,17,0,0
-1,116,Banker,20,2,2,0,0
-1,116,Banker,23,6,6,0,0
-1,116,Banker,24,451,451,0,0
-1,116,Banker,25,5,5,0,0
-1,116,Banker,27,20,20,0,0
-1,116,Banker,28,17,17,0,0
-1,116,Banker,29,1,1,0,0
-1,116,Banker,4,23,23,0,0
-1,116,Banker,41,1,1,0,0
-1,116,Banker,8,19,19,0,0
-1,116,BankerDragonBonus,1,2,2,0,0
-1,116,BankerDragonBonus,13,2,2,0,0
-1,116,BankerDragonBonus,16,1,1,0,0
-1,116,BankerDragonBonus,24,2,2,0,0
-1,116,BankerNatural,13,1,1,0,0
-1,116,BankerNatural,27,1,1,0,0
-1,116,Big,1,1,1,0,0
-1,116,Lucky7,1,6,6,0,0
-1,116,Lucky7,13,41,41,0,0
-1,116,Lucky7,14,1,1,0,0
-1,116,Lucky7,16,2,2,0,0
-1,116,Lucky7,19,1,1,0,0
-1,116,Lucky7,23,1,1,0,0
-1,116,Lucky7,24,27,27,0,0
-1,116,Lucky7,27,2,2,0,0
-1,116,Lucky7,8,2,2,0,0
-1,116,PPair,1,4,4,0,0
-1,116,PPair,13,50,50,0,0
-1,116,PPair,14,2,2,0,0
-1,116,PPair,16,1,1,0,0
-1,116,PPair,19,3,3,0,0
-1,116,PPair,24,43,43,0,0
-1,116,PPair,27,1,1,0,0
-1,116,PPair,4,2,2,0,0
-1,116,PPair,8,1,1,0,0
-1,116,PerfectPair,1,1,1,0,0
-1,116,PerfectPair,24,2,2,0,0
-1,116,PerfectPair,4,1,1,0,0
-1,116,Player,1,86,86,0,0
-1,116,Player,13,275,275,0,0
-1,116,Player,14,10,10,0,0
-1,116,Player,16,25,25,0,0
-1,116,Player,17,6,5,1,16.666667
-1,116,Player,18,2,2,0,0
-1,116,Player,19,16,16,0,0
-1,116,Player,20,1,1,0,0
-1,116,Player,23,7,7,0,0
-1,116,Player,24,425,424,1,0.235294
-1,116,Player,25,7,7,0,0
-1,116,Player,27,19,19,0,0
-1,116,Player,28,13,13,0,0
-1,116,Player,4,16,16,0,0
-1,116,Player,41,1,1,0,0
-1,116,Player,43,1,1,0,0
-1,116,Player,8,26,26,0,0
-1,116,PlayerDragonBonus,13,3,3,0,0
-1,116,PlayerNatural,13,2,2,0,0
-1,116,Super6,1,8,8,0,0
-1,116,Super6,13,48,48,0,0
-1,116,Super6,14,3,3,0,0
-1,116,Super6,16,4,4,0,0
-1,116,Super6,17,1,1,0,0
-1,116,Super6,19,4,4,0,0
-1,116,Super6,23,1,1,0,0
-1,116,Super6,24,25,25,0,0
-1,116,Super6,25,1,1,0,0
-1,116,Super6,27,3,3,0,0
-1,116,Super6,4,3,3,0,0
-1,116,SuperLucky7,1,6,6,0,0
-1,116,SuperLucky7,13,32,32,0,0
-1,116,SuperLucky7,14,1,1,0,0
-1,116,SuperLucky7,16,1,1,0,0
-1,116,SuperLucky7,17,1,1,0,0
-1,116,SuperLucky7,23,1,1,0,0
-1,116,SuperLucky7,24,26,26,0,0
-1,116,SuperLucky7,26,1,1,0,0
-1,116,SuperLucky7,8,2,2,0,0
-1,116,Tie,1,6,6,0,0
-1,116,Tie,13,123,123,0,0
-1,116,Tie,14,1,1,0,0
-1,116,Tie,16,1,1,0,0
-1,116,Tie,17,1,1,0,0
-1,116,Tie,19,5,5,0,0
-1,116,Tie,23,4,4,0,0
-1,116,Tie,24,66,65,1,1.515152
-1,116,Tie,25,1,1,0,0
-1,116,Tie,27,2,2,0,0
-1,116,Tie,28,1,1,0,0
-1,116,Tie,4,2,2,0,0
-1,116,Tie,8,4,4,0,0
-1,2,AnyPair,13,2,2,0,0
-1,2,BPair,1,3,3,0,0
-1,2,BPair,13,16,16,0,0
-1,2,BPair,19,2,2,0,0
-1,2,BPair,24,13,13,0,0
-1,2,BPair,4,1,1,0,0
-1,2,BPair,8,1,1,0,0
-1,2,Banker,1,17,17,0,0
-1,2,Banker,13,93,93,0,0
-1,2,Banker,14,8,8,0,0
-1,2,Banker,16,5,5,0,0
-1,2,Banker,17,2,2,0,0
-1,2,Banker,18,5,5,0,0
-1,2,Banker,19,6,6,0,0
-1,2,Banker,23,1,1,0,0
-1,2,Banker,24,138,138,0,0
-1,2,Banker,25,2,2,0,0
-1,2,Banker,27,6,6,0,0
-1,2,Banker,28,2,2,0,0
-1,2,Banker,4,7,7,0,0
-1,2,Banker,41,1,1,0,0
-1,2,Banker,8,7,7,0,0
-1,2,BankerDragonBonus,13,1,1,0,0
-1,2,Big,1,1,1,0,0
-1,2,Big,24,1,1,0,0
-1,2,Big,29,1,1,0,0
-1,2,Lucky7,13,12,12,0,0
-1,2,Lucky7,24,7,7,0,0
-1,2,Lucky7,25,1,1,0,0
-1,2,Lucky7,4,1,1,0,0
-1,2,PPair,1,2,2,0,0
-1,2,PPair,13,13,13,0,0
-1,2,PPair,19,2,2,0,0
-1,2,PPair,24,8,8,0,0
-1,2,PPair,4,1,1,0,0
-1,2,PPair,8,1,1,0,0
-1,2,PerfectPair,1,1,1,0,0
-1,2,PerfectPair,13,2,2,0,0
-1,2,Player,1,20,20,0,0
-1,2,Player,13,94,94,0,0
-1,2,Player,14,3,3,0,0
-1,2,Player,16,9,9,0,0
-1,2,Player,17,1,1,0,0
-1,2,Player,18,1,1,0,0
-1,2,Player,19,6,6,0,0
-1,2,Player,23,1,1,0,0
-1,2,Player,24,117,117,0,0
-1,2,Player,25,1,1,0,0
-1,2,Player,27,5,5,0,0
-1,2,Player,28,3,3,0,0
-1,2,Player,4,12,12,0,0
-1,2,Player,41,2,2,0,0
-1,2,Player,8,4,4,0,0
-1,2,PlayerNatural,13,1,1,0,0
-1,2,Super6,1,3,3,0,0
-1,2,Super6,13,8,8,0,0
-1,2,Super6,19,2,2,0,0
-1,2,Super6,24,4,4,0,0
-1,2,Super6,27,1,1,0,0
-1,2,Super6,28,1,1,0,0
-1,2,SuperLucky7,1,2,2,0,0
-1,2,SuperLucky7,13,8,8,0,0
-1,2,SuperLucky7,24,5,5,0,0
-1,2,Tie,1,5,5,0,0
-1,2,Tie,13,25,25,0,0
-1,2,Tie,24,11,11,0,0
-1,2,Tie,25,1,1,0,0
-1,2,Tip_1_,24,2,2,0,0
-1,3,AnyPair,24,1,1,0,0
-1,3,AnyPair,4,1,1,0,0
-1,3,BPair,1,3,3,0,0
-1,3,BPair,13,31,29,2,6.451613
-1,3,BPair,14,1,1,0,0
-1,3,BPair,16,1,1,0,0
-1,3,BPair,19,2,2,0,0
-1,3,BPair,24,11,10,1,9.090909
-1,3,BPair,27,1,1,0,0
-1,3,BPair,28,1,1,0,0
-1,3,BPair,4,2,2,0,0
-1,3,BPair,8,1,1,0,0
-1,3,Banker,1,35,35,0,0
-1,3,Banker,13,169,164,5,2.95858
-1,3,Banker,14,8,8,0,0
-1,3,Banker,16,14,13,1,7.142857
-1,3,Banker,17,2,2,0,0
-1,3,Banker,18,2,2,0,0
-1,3,Banker,19,11,10,1,9.090909
-1,3,Banker,20,1,1,0,0
-1,3,Banker,23,2,2,0,0
-1,3,Banker,24,173,167,6,3.468208
-1,3,Banker,25,2,2,0,0
-1,3,Banker,27,9,9,0,0
-1,3,Banker,28,4,4,0,0
-1,3,Banker,29,1,1,0,0
-1,3,Banker,4,14,13,1,7.142857
-1,3,Banker,8,14,14,0,0
-1,3,BankerDragonBonus,13,1,1,0,0
-1,3,BankerDragonBonus,24,3,2,1,33.333333
-1,3,BankerDragonBonus,4,1,1,0,0
-1,3,Lucky7,13,19,18,1,5.263158
-1,3,Lucky7,16,3,3,0,0
-1,3,Lucky7,19,1,1,0,0
-1,3,Lucky7,24,9,9,0,0
-1,3,Lucky7,28,1,1,0,0
-1,3,Lucky7,4,1,1,0,0
-1,3,PPair,1,1,1,0,0
-1,3,PPair,13,25,23,2,8
-1,3,PPair,14,1,1,0,0
-1,3,PPair,16,1,1,0,0
-1,3,PPair,19,2,2,0,0
-1,3,PPair,24,9,8,1,11.111111
-1,3,PPair,27,1,1,0,0
-1,3,PPair,4,3,3,0,0
-1,3,PerfectPair,4,1,1,0,0
-1,3,Player,1,39,37,2,5.128205
-1,3,Player,13,200,182,18,9
-1,3,Player,14,5,5,0,0
-1,3,Player,16,13,13,0,0
-1,3,Player,17,3,3,0,0
-1,3,Player,19,9,9,0,0
-1,3,Player,23,2,2,0,0
-1,3,Player,24,215,201,14,6.511628
-1,3,Player,25,3,3,0,0
-1,3,Player,27,5,5,0,0
-1,3,Player,28,9,9,0,0
-1,3,Player,4,8,7,1,12.5
-1,3,Player,8,10,10,0,0
-1,3,Small,13,2,1,1,50
-1,3,Small,24,2,2,0,0
-1,3,Super6,1,3,3,0,0
-1,3,Super6,13,29,26,3,10.344828
-1,3,Super6,14,1,1,0,0
-1,3,Super6,16,3,3,0,0
-1,3,Super6,19,2,2,0,0
-1,3,Super6,24,9,9,0,0
-1,3,Super6,25,1,1,0,0
-1,3,Super6,27,2,2,0,0
-1,3,Super6,28,1,1,0,0
-1,3,Super6,4,1,1,0,0
-1,3,SuperLucky7,13,13,13,0,0
-1,3,SuperLucky7,19,1,1,0,0
-1,3,SuperLucky7,24,9,9,0,0
-1,3,Tie,1,3,3,0,0
-1,3,Tie,13,36,33,3,8.333333
-1,3,Tie,16,1,1,0,0
-1,3,Tie,19,4,4,0,0
-1,3,Tie,24,27,24,3,11.111111
-1,3,Tie,27,2,2,0,0
-1,3,Tie,28,1,1,0,0
-1,3,Tie,8,1,1,0,0
-1,3,Tip_1_,14,1,1,0,0
-1,31,AnyPair,13,1,1,0,0
-1,31,AnyPair,14,1,1,0,0
-1,31,AnyPair,16,2,2,0,0
-1,31,AnyPair,24,3,2,1,33.333333
-1,31,AnyPair,28,1,1,0,0
-1,31,BPair,1,14,14,0,0
-1,31,BPair,13,104,99,5,4.807692
-1,31,BPair,14,4,4,0,0
-1,31,BPair,16,10,10,0,0
-1,31,BPair,19,10,9,1,10
-1,31,BPair,24,87,84,3,3.448276
-1,31,BPair,27,3,3,0,0
-1,31,BPair,28,2,2,0,0
