dup_per_member,n_members,n_dup_contributed
705,1,705
706,1,706
710,1,710
716,1,716
717,1,717
721,1,721
725,1,725
729,2,1458
730,1,730
753,2,1506
758,1,758
759,1,759
760,1,760
763,1,763
764,1,764
767,1,767
768,1,768
769,2,1538
770,1,770
772,1,772
775,1,775
776,1,776
780,1,780
787,1,787
789,1,789
791,2,1582
792,1,792
793,1,793
798,1,798
809,1,809
810,1,810
814,1,814
815,1,815
825,1,825
828,1,828
834,1,834
837,2,1674
845,1,845
847,1,847
848,1,848
853,1,853
858,1,858
860,1,860
863,1,863
864,1,864
871,1,871
872,1,872
874,2,1748
875,1,875
890,1,890
901,1,901
914,1,914
915,1,915
916,1,916
919,1,919
921,1,921
922,1,922
925,1,925
929,1,929
931,1,931
936,1,936
941,1,941
945,1,945
947,2,1894
949,1,949
960,1,960
984,1,984
985,1,985
988,1,988
989,1,989
994,1,994
995,1,995
996,1,996
998,1,998
1022,1,1022
1027,1,1027
1032,1,1032
1033,1,1033
1045,1,1045
1056,1,1056
1057,2,2114
1074,1,1074
1080,1,1080
1085,1,1085
1086,1,1086
1109,1,1109
1125,1,1125
1133,1,1133
1154,1,1154
1165,1,1165
1174,1,1174
1184,1,1184
1200,1,1200
1216,1,1216
1218,1,1218
1223,1,1223
1236,1,1236
1241,1,1241
1254,1,1254
1260,1,1260
1286,1,1286
1303,1,1303
1320,1,1320
1341,1,1341
1362,1,1362
1386,1,1386
1412,1,1412
1418,1,1418
1437,1,1437
1558,1,1558
1611,1,1611
1620,1,1620
1644,1,1644
1661,1,1661
1750,1,1750
1778,1,1778
1801,1,1801
1813,1,1813
2160,1,2160
2234,1,2234
2288,2,4576
2398,1,2398
2560,1,2560
2944,1,2944
3886,1,3886
4169,1,4169
4831,1,4831
5356,1,5356
