源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,sn,time,member,money,op_code,op_lv,op_aid,memo,site,subtotal,来源库,来源表,ODS表名,同步时间
4135585304,2026-03-30,4135585304,2026-03-30T00:00:09Z,130347636,-0.66,122,5,51050,2026032912000936289205,0,0,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585310,2026-03-30,4135585310,2026-03-30T00:00:09Z,128781944,-10,502,7,128781944,101_114592543_51,0,296.76,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585327,2026-03-30,4135585327,2026-03-30T00:00:10Z,147700247,-10,502,7,147700247,101_114592550_30,0,57,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585333,2026-03-30,4135585333,2026-03-30T00:00:10Z,123814629,-50,502,7,123814629,101_124817_55,0,940.8,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585338,2026-03-30,4135585338,2026-03-30T00:00:10Z,99298915,-500,502,7,99298915,101_114592541_40,0,7093.78,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585346,2026-03-30,4135585346,2026-03-30T00:00:11Z,112603415,-20,502,7,112603415,101_114592555_12,0,30.06,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585352,2026-03-30,4135585352,2026-03-30T00:00:11Z,7724308,-40,502,7,7724308,108_114592478_117,0,443.14,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585359,2026-03-30,4135585359,2026-03-30T00:00:11Z,147905531,-30,502,7,147905531,108_114592478_117,0,158.67,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585365,2026-03-30,4135585365,2026-03-30T00:00:12Z,104023950,-60,502,7,104023950,107_114592474_68,0,941.16,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585371,2026-03-30,4135585371,2026-03-30T00:00:12Z,134296707,-1000,502,7,134296707,101_124818_41,0,327.7,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585384,2026-03-30,4135585384,2026-03-30T00:00:13Z,108815419,-10,502,7,108815419,108_114592478_117,0,50.85,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585390,2026-03-30,4135585390,2026-03-30T00:00:13Z,147647914,-30,502,7,147647914,108_114592478_117,0,77.2,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585402,2026-03-30,4135585402,2026-03-30T00:00:14Z,131509192,-100,502,7,131509192,108_114592478_117,0,301.5,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585409,2026-03-30,4135585409,2026-03-30T00:00:14Z,147911603,-50,502,7,147911603,108_114592478_117,0,11491.75,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585416,2026-03-30,4135585416,2026-03-30T00:00:15Z,145199674,-300,502,7,145199674,101_114592556_11,0,2881.15,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585421,2026-03-30,4135585421,2026-03-30T00:00:15Z,135400949,-100,502,7,135400949,107_114592474_68,0,218.11,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585435,2026-03-30,4135585435,2026-03-30T00:00:17Z,146796421,-300,502,7,146796421,101_114592551_28,0,500.72,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585440,2026-03-30,4135585440,2026-03-30T00:00:17Z,116500316,-10,502,7,116500316,101_114592551_28,0,169,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585454,2026-03-30,4135585454,2026-03-30T00:00:18Z,141279950,-0.7,122,5,43049,639103824183173207z26z2272063,0,0,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585463,2026-03-30,4135585463,2026-03-30T00:00:19Z,133848671,2,501,7,133848671,101_114592545_29,0,13.6,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585468,2026-03-30,4135585468,2026-03-30T00:00:19Z,145663969,1600,501,7,145663969,104_114592473_135,0,1811.4,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585477,2026-03-30,4135585477,2026-03-30T00:00:19Z,123814629,-100,502,7,123814629,101_124818_41,0,790.8,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585482,2026-03-30,4135585482,2026-03-30T00:00:19Z,127954141,500,121,5,42413,1774800020209,0,500.85,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585489,2026-03-30,4135585489,2026-03-30T00:00:20Z,147901784,-50,502,7,147901784,101_114592538_43,0,2869.24,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585496,2026-03-30,4135585496,2026-03-30T00:00:21Z,142056158,80,501,7,142056158,101_124820_35,0,250.94,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585507,2026-03-30,4135585507,2026-03-30T00:00:21Z,133193564,-3000,502,7,133193564,101_114592522_43,0,50818.45,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585513,2026-03-30,4135585513,2026-03-30T00:00:22Z,139938408,-20000,502,7,139938408,101_124825_15,0,130114.85,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585518,2026-03-30,4135585518,2026-03-30T00:00:22Z,134754532,0.01,121,5,43049,639103824225162432z26z2558960,0,0.01,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585524,2026-03-30,4135585524,2026-03-30T00:00:22Z,144879743,-60,502,7,144879743,101_114592541_40,0,59.42,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585530,2026-03-30,4135585530,2026-03-30T00:00:23Z,74770471,500,501,7,74770471,101_114592542_40,0,2100.5,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585545,2026-03-30,4135585545,2026-03-30T00:00:24Z,147404948,20,501,7,147404948,101_114592554_18,0,162.44,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585551,2026-03-30,4135585551,2026-03-30T00:00:24Z,119823596,292.5,501,7,119823596,101_124819_40,0,1161.33,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585566,2026-03-30,4135585566,2026-03-30T00:00:24Z,112603415,39,501,7,112603415,101_114592555_12,0,69.06,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585572,2026-03-30,4135585572,2026-03-30T00:00:24Z,138239304,136.5,501,7,138239304,101_114592555_12,0,193.05,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585579,2026-03-30,4135585579,2026-03-30T00:00:24Z,139455439,-1000,502,7,139455439,101_124817_55,0,4223.87,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585587,2026-03-30,4135585587,2026-03-30T00:00:26Z,144714518,-100,502,7,144714518,101_114592539_39,0,104269.65,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585593,2026-03-30,4135585593,2026-03-30T00:00:26Z,122474714,3528,501,7,122474714,108_114592478_117,0,10715.92,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585598,2026-03-30,4135585598,2026-03-30T00:00:26Z,102666476,1000,501,7,102666476,108_114592478_117,0,5255.38,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585603,2026-03-30,4135585603,2026-03-30T00:00:26Z,146877699,686,501,7,146877699,108_114592478_117,0,3637.27,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585608,2026-03-30,4135585608,2026-03-30T00:00:26Z,76039496,78.4,501,7,76039496,108_114592478_117,0,398.85,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585617,2026-03-30,4135585617,2026-03-30T00:00:26Z,142076463,-90,502,7,142076463,101_124818_41,0,2203.65,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585620,2026-03-30,4135585620,2026-03-30T00:00:26Z,111670192,-534,502,7,111670192,107_114592474_68,0,215.14,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585634,2026-03-30,4135585634,2026-03-30T00:00:27Z,145960871,-20,502,7,145960871,101_114592539_39,0,76.99,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585641,2026-03-30,4135585641,2026-03-30T00:00:28Z,147948002,-50,502,7,147948002,101_114592538_43,0,135.45,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585655,2026-03-30,4135585655,2026-03-30T00:00:30Z,14841119,-185,502,7,14841119,108_114592560_2,0,1079.04,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585662,2026-03-30,4135585662,2026-03-30T00:00:30Z,93873456,58.5,501,7,93873456,101_114592549_30,0,138.5,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585669,2026-03-30,4135585669,2026-03-30T00:00:31Z,147946256,-20,502,7,147946256,102_114592530_65,0,40.16,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585676,2026-03-30,4135585676,2026-03-30T00:00:31Z,111949237,-10,502,7,111949237,101_114592550_31,0,1460.9,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585683,2026-03-30,4135585683,2026-03-30T00:00:32Z,147537136,600,501,7,147537136,101_114592551_28,0,17011.76,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585688,2026-03-30,4135585688,2026-03-30T00:00:32Z,111949237,-10,502,7,111949237,101_114592550_31,0,1450.9,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585697,2026-03-30,4135585697,2026-03-30T00:00:33Z,15314198,-1000,502,7,15314198,101_114592522_43,0,1000,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585706,2026-03-30,4135585706,2026-03-30T00:00:33Z,142008133,-1,122,5,30105,"",0,1019,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585712,2026-03-30,4135585712,2026-03-30T00:00:33Z,58352628,97.5,501,7,58352628,101_124823_18,0,2194.13,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585719,2026-03-30,4135585719,2026-03-30T00:00:34Z,142016797,-302,122,5,52258,vndf2T01487964719108296705,0,0.85,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585725,2026-03-30,4135585725,2026-03-30T00:00:34Z,121732938,-50,502,7,121732938,101_114592542_41,0,21051.33,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585731,2026-03-30,4135585731,2026-03-30T00:00:34Z,147948315,-100.1,122,5,45878,d749c20b-c115-4329-b22a-e59db7b55bd3,0,0,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585744,2026-03-30,4135585744,2026-03-30T00:00:35Z,72216248,-30,502,7,72216248,101_114592554_19,0,1311.06,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585750,2026-03-30,4135585750,2026-03-30T00:00:35Z,142341333,-50,502,7,142341333,108_114592560_2,0,1308.56,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585767,2026-03-30,4135585767,2026-03-30T00:00:37Z,125977176,-300,502,7,125977176,101_124820_36,0,506,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585773,2026-03-30,4135585773,2026-03-30T00:00:37Z,144714518,-100,502,7,144714518,101_114592542_41,0,104069.65,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585778,2026-03-30,4135585778,2026-03-30T00:00:37Z,145798355,-20,502,7,145798355,101_114592550_31,0,946.5,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585786,2026-03-30,4135585786,2026-03-30T00:00:38Z,127006158,-100,502,7,127006158,101_124820_36,0,301.07,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585792,2026-03-30,4135585792,2026-03-30T00:00:38Z,142981861,-150,502,7,142981861,108_114592563_1,0,434.19,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585799,2026-03-30,4135585799,2026-03-30T00:00:38Z,147401121,-50,502,7,147401121,101_114592538_43,0,1072,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585800,2026-03-30,4135585800,2026-03-30T00:00:38Z,147948334,-20,502,7,147948334,101_114592554_19,0,58.07,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585814,2026-03-30,4135585814,2026-03-30T00:00:39Z,147651461,-3715,122,5,52258,vnssT01487964741560406017,0,0,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585823,2026-03-30,4135585823,2026-03-30T00:00:40Z,142007342,600,501,7,142007342,101_114592533_49,0,5602.2,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585828,2026-03-30,4135585828,2026-03-30T00:00:40Z,127883178,-80,502,7,127883178,101_114592555_13,0,202.39,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585837,2026-03-30,4135585837,2026-03-30T00:00:40Z,142025603,-14,502,7,142025603,101_114592542_41,0,52.2,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585842,2026-03-30,4135585842,2026-03-30T00:00:41Z,144714518,195,501,7,144714518,101_114592556_11,0,104264.65,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585849,2026-03-30,4135585849,2026-03-30T00:00:41Z,147948367,-100,122,5,55113,f2459233dbe1477d96c32f2faeaa27e4,0,0,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585856,2026-03-30,4135585856,2026-03-30T00:00:41Z,74770471,-50,502,7,74770471,101_114592542_41,0,2050.5,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585861,2026-03-30,4135585861,2026-03-30T00:00:42Z,147647914,-30,502,7,147647914,108_114592560_2,0,47.2,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585875,2026-03-30,4135585875,2026-03-30T00:00:43Z,142056158,-100,502,7,142056158,101_124820_36,0,150.94,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585880,2026-03-30,4135585880,2026-03-30T00:00:43Z,134240639,-20,502,7,134240639,101_114592542_41,0,4764.37,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585894,2026-03-30,4135585894,2026-03-30T00:00:44Z,127883178,-20,502,7,127883178,101_114592555_13,0,182.39,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585905,2026-03-30,4135585905,2026-03-30T00:00:45Z,140513384,-1800,502,7,140513384,101_124820_36,0,11140.63,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585911,2026-03-30,4135585911,2026-03-30T00:00:45Z,139289611,-50,502,7,139289611,101_114592554_19,0,359.24,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585926,2026-03-30,4135585926,2026-03-30T00:00:46Z,142433196,-200,502,7,142433196,101_114592555_13,0,428.4,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585932,2026-03-30,4135585932,2026-03-30T00:00:47Z,142021254,-10,502,7,142021254,101_114592542_41,0,88.85,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585939,2026-03-30,4135585939,2026-03-30T00:00:47Z,64523837,300,121,5,18503,"",0,300.95,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585947,2026-03-30,4135585947,2026-03-30T00:00:47Z,139954326,-10,502,7,139954326,101_114592549_31,0,794.86,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585953,2026-03-30,4135585953,2026-03-30T00:00:48Z,139954326,-10,502,7,139954326,101_114592549_31,0,784.86,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585958,2026-03-30,4135585958,2026-03-30T00:00:48Z,143569042,-20,502,7,143569042,101_114592549_31,0,4001.9,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585964,2026-03-30,4135585964,2026-03-30T00:00:49Z,80273678,-10,502,7,80273678,108_114592560_2,0,75.38,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585970,2026-03-30,4135585970,2026-03-30T00:00:49Z,147524455,1000,501,7,147524455,101_124825_15,0,2250.79,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585985,2026-03-30,4135585985,2026-03-30T00:00:50Z,139954326,-10,502,7,139954326,101_114592549_31,0,734.86,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135585991,2026-03-30,4135585991,2026-03-30T00:00:50Z,111821048,-20,502,7,111821048,104_114592564_1,0,1142.36,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586001,2026-03-30,4135586001,2026-03-30T00:00:51Z,6122836,-5460,502,7,6122836,108_114592560_2,0,37507.84,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586015,2026-03-30,4135586015,2026-03-30T00:00:52Z,80326645,-450,502,7,80326645,108_114592560_2,0,2490.32,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586022,2026-03-30,4135586022,2026-03-30T00:00:52Z,147836898,50,501,7,147836898,101_114592541_40,0,50.66,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586029,2026-03-30,4135586029,2026-03-30T00:00:52Z,147466990,384,501,7,147466990,101_114592541_40,0,384.85,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586036,2026-03-30,4135586036,2026-03-30T00:00:53Z,147368666,-20,502,7,147368666,108_114592560_2,0,106,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586043,2026-03-30,4135586043,2026-03-30T00:00:53Z,127470497,360,501,7,127470497,103_114592475_73,0,360.36,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586048,2026-03-30,4135586048,2026-03-30T00:00:53Z,111911675,-20,502,7,111911675,101_114592542_41,0,640.87,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586057,2026-03-30,4135586057,2026-03-30T00:00:54Z,76039496,-60,502,7,76039496,108_114592478_118,0,278.85,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586060,2026-03-30,4135586060,2026-03-30T00:00:54Z,74770471,-10,502,7,74770471,101_114592542_41,0,2010.5,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586074,2026-03-30,4135586074,2026-03-30T00:00:55Z,112345806,-110,502,7,112345806,101_114592555_13,0,256.42,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586081,2026-03-30,4135586081,2026-03-30T00:00:55Z,142981861,-34,502,7,142981861,108_114592563_1,0,400.19,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586095,2026-03-30,4135586095,2026-03-30T00:00:55Z,140715054,-3000,502,7,140715054,108_114592563_1,0,7050,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586104,2026-03-30,4135586104,2026-03-30T00:00:55Z,128986504,-200,502,7,128986504,101_114592542_41,0,318.25,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586110,2026-03-30,4135586110,2026-03-30T00:00:56Z,144332376,-80,502,7,144332376,101_114592555_13,0,636.61,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586127,2026-03-30,4135586127,2026-03-30T00:00:58Z,142150729,1000,501,7,142150729,101_114592538_43,0,4208.5,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586133,2026-03-30,4135586133,2026-03-30T00:00:58Z,114636798,40,501,7,114636798,101_114592538_43,0,1560.69,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586138,2026-03-30,4135586138,2026-03-30T00:00:58Z,137533779,60,501,7,137533779,101_114592538_43,0,266.4,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586146,2026-03-30,4135586146,2026-03-30T00:00:58Z,146479618,100,501,7,146479618,101_114592557_8,0,2580.95,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586152,2026-03-30,4135586152,2026-03-30T00:00:58Z,147723583,-100,502,7,147723583,101_114592533_50,0,1506.95,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586159,2026-03-30,4135586159,2026-03-30T00:00:59Z,147778845,25.11,121,5,55805,6a1b1e13fd9d4fac8ac9fedd99291759,0,25.11,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586165,2026-03-30,4135586165,2026-03-30T00:01:00Z,136048501,195,501,7,136048501,101_124826_11,0,3607.42,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586171,2026-03-30,4135586171,2026-03-30T00:01:01Z,122568972,-200,502,7,122568972,108_114592478_118,0,2816.84,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586184,2026-03-30,4135586184,2026-03-30T00:01:02Z,145960871,89.7,501,7,145960871,101_114592539_39,0,90.69,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586190,2026-03-30,4135586190,2026-03-30T00:01:03Z,147352059,-20,502,7,147352059,102_114592530_66,0,256.16,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586200,2026-03-30,4135586200,2026-03-30T00:01:04Z,123483915,-100,502,7,123483915,101_114592550_32,0,608.4,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586214,2026-03-30,4135586214,2026-03-30T00:01:05Z,146877699,588,501,7,146877699,108_114592560_2,0,3775.27,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586223,2026-03-30,4135586223,2026-03-30T00:01:05Z,108815419,19.6,501,7,108815419,108_114592560_2,0,79.65,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586228,2026-03-30,4135586228,2026-03-30T00:01:05Z,146183389,98,501,7,146183389,108_114592560_2,0,1402.17,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
4135586237,2026-03-30,4135586237,2026-03-30T00:01:06Z,132285398,100,121,5,44854,b53d1dae33d3449cb643d8a8064d8337,0,100,a168,in_out_m,ods_a168_in_out_m,2026-05-21T23:54:06Z
