源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",日期,會員編號,遊戲編號,桌號,LV1ID,来源库,来源表,ODS表名,同步时间
346527926,2026-03-27,346527926,2026-03-27,7721141,101,115,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527932,2026-03-27,346527932,2026-03-27,7745202,101,36,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527939,2026-03-27,346527939,2026-03-27,7865925,101,2,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527947,2026-03-27,346527947,2026-03-27,7865925,101,116,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527953,2026-03-27,346527953,2026-03-27,7873855,101,113,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527958,2026-03-27,346527958,2026-03-27,7875818,101,33,6286,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527964,2026-03-27,346527964,2026-03-27,7932829,101,6,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527970,2026-03-27,346527970,2026-03-27,7948166,101,3,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527985,2026-03-27,346527985,2026-03-27,7948166,101,909,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346527991,2026-03-27,346527991,2026-03-27,7980324,101,3,1254,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528001,2026-03-27,346528001,2026-03-27,8041264,101,113,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528015,2026-03-27,346528015,2026-03-27,8204612,101,903,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528022,2026-03-27,346528022,2026-03-27,8564030,101,905,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528029,2026-03-27,346528029,2026-03-27,8884424,101,1,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528036,2026-03-27,346528036,2026-03-27,9812358,101,5,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528043,2026-03-27,346528043,2026-03-27,10117012,101,907,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528048,2026-03-27,346528048,2026-03-27,10649715,101,7,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528057,2026-03-27,346528057,2026-03-27,10649715,101,912,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528060,2026-03-27,346528060,2026-03-27,10796640,101,6,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528074,2026-03-27,346528074,2026-03-27,10805015,101,33,21050,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528081,2026-03-27,346528081,2026-03-27,10805015,101,116,21050,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528095,2026-03-27,346528095,2026-03-27,10842879,101,8,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528104,2026-03-27,346528104,2026-03-27,10842879,101,901,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528110,2026-03-27,346528110,2026-03-27,10842879,101,913,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528127,2026-03-27,346528127,2026-03-27,10871271,101,911,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528133,2026-03-27,346528133,2026-03-27,11099505,101,115,5076,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528138,2026-03-27,346528138,2026-03-27,11133048,101,31,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528146,2026-03-27,346528146,2026-03-27,11191069,101,32,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528152,2026-03-27,346528152,2026-03-27,11191069,101,902,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528159,2026-03-27,346528159,2026-03-27,11236104,101,913,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528165,2026-03-27,346528165,2026-03-27,11250740,101,7,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528171,2026-03-27,346528171,2026-03-27,11250740,101,36,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528184,2026-03-27,346528184,2026-03-27,11250740,101,909,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528190,2026-03-27,346528190,2026-03-27,11255730,101,112,1180,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528200,2026-03-27,346528200,2026-03-27,11322948,101,33,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528214,2026-03-27,346528214,2026-03-27,11413166,101,36,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528223,2026-03-27,346528223,2026-03-27,11413166,101,905,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528228,2026-03-27,346528228,2026-03-27,11432100,101,6,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528237,2026-03-27,346528237,2026-03-27,11432100,101,112,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528242,2026-03-27,346528242,2026-03-27,11432100,101,902,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528249,2026-03-27,346528249,2026-03-27,11432100,101,910,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528256,2026-03-27,346528256,2026-03-27,11566520,101,112,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528261,2026-03-27,346528261,2026-03-27,11955024,101,36,3057,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528275,2026-03-27,346528275,2026-03-27,12054325,101,5,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528280,2026-03-27,346528280,2026-03-27,12054325,101,33,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528294,2026-03-27,346528294,2026-03-27,12413613,101,116,486,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528305,2026-03-27,346528305,2026-03-27,13096262,101,3,3057,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528311,2026-03-27,346528311,2026-03-27,13096262,101,36,3057,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528326,2026-03-27,346528326,2026-03-27,13196903,101,35,4202,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528332,2026-03-27,346528332,2026-03-27,13275693,101,113,4317,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528339,2026-03-27,346528339,2026-03-27,13365362,101,115,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528347,2026-03-27,346528347,2026-03-27,13476302,101,112,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528353,2026-03-27,346528353,2026-03-27,13515875,101,112,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528358,2026-03-27,346528358,2026-03-27,13579424,101,6,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528364,2026-03-27,346528364,2026-03-27,13579424,101,35,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528370,2026-03-27,346528370,2026-03-27,13579424,101,901,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528385,2026-03-27,346528385,2026-03-27,13825726,101,33,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528391,2026-03-27,346528391,2026-03-27,13825726,101,115,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528403,2026-03-27,346528403,2026-03-27,13881859,101,1,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528408,2026-03-27,346528408,2026-03-27,14008726,101,113,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528417,2026-03-27,346528417,2026-03-27,14189942,101,113,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528420,2026-03-27,346528420,2026-03-27,14281193,101,909,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528434,2026-03-27,346528434,2026-03-27,14489678,101,907,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528441,2026-03-27,346528441,2026-03-27,14502162,101,7,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528455,2026-03-27,346528455,2026-03-27,14561121,101,3,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528462,2026-03-27,346528462,2026-03-27,14561121,101,33,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528469,2026-03-27,346528469,2026-03-27,14561121,101,116,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528476,2026-03-27,346528476,2026-03-27,14561121,101,908,490,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528483,2026-03-27,346528483,2026-03-27,14642867,101,113,21047,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528488,2026-03-27,346528488,2026-03-27,14685701,101,7,4202,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528497,2026-03-27,346528497,2026-03-27,14685701,101,910,4202,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528506,2026-03-27,346528506,2026-03-27,14750031,101,8,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528512,2026-03-27,346528512,2026-03-27,14750031,101,112,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528519,2026-03-27,346528519,2026-03-27,14751019,101,5,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528525,2026-03-27,346528525,2026-03-27,14751019,101,33,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528531,2026-03-27,346528531,2026-03-27,14751019,101,115,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528544,2026-03-27,346528544,2026-03-27,14751019,101,913,12402,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528550,2026-03-27,346528550,2026-03-27,14786296,101,31,4328,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528567,2026-03-27,346528567,2026-03-27,14842656,101,1,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528573,2026-03-27,346528573,2026-03-27,14842656,101,8,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528578,2026-03-27,346528578,2026-03-27,14842656,101,37,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
346528586,2026-03-27,346528586,2026-03-27,14842656,101,907,4298,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,2026-05-22T02:43:05Z
