源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,會員編號,會員帳號,指定網址,備註,最後異動者,最後異動時間,来源库,来源表,ODS表名,同步时间
b2d4fbd7681c53f95dc73cdbd13d501d,2026-03-28,147887705,51807!yxlzqlzqnp123,https://wmtc.bapi2026.net,WM561,csMiya,2026-03-28T19:16:43Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
810b89d6471dc001847e539cd50e1142,2026-03-28,146979536,51807!yxj657ye,https://wmtc.hbhbnk.com,WM561,rowena,2026-03-28T15:34:24Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
952b5570dd7b7b0fe3f352c72010eaed,2026-03-22,146606217,53367!xychen0720,https://wmtc.bapi2026.net,WM561,csNei,2026-03-22T13:01:52Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
f90203e593922f2a086c2f5168dc7d55,2026-06-13,151263327,51807!kswxr123,https://wmtc.bapi2026.net,WM561,csKiKi,2026-06-13T15:30:46Z,a168,member_url,ods_a168_member_url,2026-06-14T07:14:15Z
a19fb6c666ce732b7c61b6622703d041,2026-03-26,130587846,50065!gdl688688j,https://wmtc.hbhbnk.com,WM561,rowena,2026-03-26T13:31:32Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
e4e835afb9a98fa383a221dbabb8b247,2026-04-13,121595555,VND00013iiz,https://wmtc.zrohp.com,WM316,全家幹架王,2026-04-13T16:00:16Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
e7d07cf2364b5ad84b83be1bb0794b52,2026-05-02,148821934,51807!ybzj5201314,https://wmtc.bapi2026.net,WM561,csKiKi,2026-05-02T23:39:33Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
64b5906f864271fd9d0911d7e83962f7,2026-03-15,145753326,51807!kswbmb748,https://wmtc.bapi2026.net,WM561,csKiKi,2026-03-15T05:22:14Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
44f0b51d6029bd08c720a29292406dd6,2026-04-02,147259331,53369!k9cc8899,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
7a9316111ee611b0973dbb8456356ecb,2026-04-02,142170473,52302!hmqq177000,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
7b15f4e82e7837dd3510bfabe3d3eb2f,2026-04-18,148519895,52302!hmgame6772,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-18T14:08:24Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
1205cc7d379ceafa5d03d59b9636c76f,2026-05-03,119493040,50065!gdyy690867,https://wmtc.bapi2026.net,WM561,全家幹架王,2026-05-03T11:47:17Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
6d78aea0b91ddb9bde7ccfbbb35a764d,2026-03-28,147661554,51807!hgwtw1315520,https://wmtc.hbhbnk.com,WM561,rowena,2026-03-28T15:34:09Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
5b7f2311e27a9e2d6a183a14d34a05c7,2026-04-02,134476019,50065!gdsun1663433,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
ae947f41390641eda89251de56d29cae,2026-04-02,146917447,53369!k9zhangyu111,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
d54faabdf372d086a6eb8cb8a2c1a788,2026-04-02,145492839,51807!kysq1991429,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
0fe9f15f0a09a8430e22777a0097e580,2026-03-15,143852266,51807!ybyb2025000,https://wmtc.bapi2026.net,WM561,全家幹架王,2026-03-15T14:21:50Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
7070486dbfa5afe5fc3abe3021cedc2f,2026-03-15,146755908,51807!yxywh090410,https://wmtc.bapi2026.net,WM561,全家幹架王,2026-03-15T09:38:06Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
49a6ae23647958a510c6c5373a2acbf8,2026-04-02,146974376,50065!gdzh52866,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
697e9bcb2a241334f1b72d2851525e98,2026-04-02,135886132,50065!gdshen154174,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
855c5502955b8d5a56bdf066fa9f027b,2026-04-02,134054696,50065!gddzj8818,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
ac1144a11f480f8cda4401dba3760d31,2026-04-02,144229799,50065!gdnszsp1,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
ea313c3d365d8078c478da14884ccdad,2026-04-02,133733154,53368!mgtangjie12,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
46d9d041a3c9227633e47b342e0b2133,2026-03-19,147237887,51807!ksa4331823,https://wmtc.bapi2026.net,WM561,彰化呂布,2026-03-19T22:13:12Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
0b705151f42ab519a637ff434b2b6f30,2026-03-21,147307228,53369!k9yao888,https://wmtc.bapi2026.net,WM561,csKiKi,2026-03-21T23:12:21Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
bb72b479ad4340c0261933b545d001bc,2026-03-21,144902949,51807!yxhzj135308,https://wmtc.bapi2026.net,WM561,csKiKi,2026-03-21T21:42:25Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
2c671caf8d18d52aaab3d4c1c3d3a8bf,2026-04-02,126759382,52302!hmzhanhaiyan8,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
874a4eebf72b249e4f7e32a80cd00f0e,2026-04-02,147657272,51807!yxtzlhh0576,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
ba1a4b5a89838ade5ba2d539c071695d,2026-04-02,140566879,51807!yxyly230,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
e729ba7a70adfea300477c410729652c,2026-04-16,148730356,51807!sfabc123321,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-16T16:03:15Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
5bdddfa92ffba7c8fce8a340110cf3bd,2026-04-09,148398541,LTJEBADA,https://wmin.w1773.net,WM369,全家幹架王,2026-04-09T13:49:31Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
4801a7b9cffdb2e913ce2fb164eb293e,2026-03-22,130120658,50065!gdslc5301,https://wmtc.bapi2026.net,WM561,rowena,2026-03-22T08:39:57Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
901beae98f617a6d1bd10abd7d0d2a9e,2026-03-28,135721646,53810!gccsh123,https://wmtc.hbhbnk.com,WM561,rowena,2026-03-28T14:38:22Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
49193aee99a6c98bb8e7b18675d5c9ee,2026-03-28,146495299,51807!yxzlb123z,https://wmtc.hbhbnk.com,WM561,rowena,2026-03-28T14:07:29Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
63a833f8b9e4b386234923b35ac227cd,2026-04-02,147260714,51807!yxyxb1234,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
b04131bc9c088cc5b8efb76f5da1116f,2026-04-02,147419095,53369!k9cxks2026,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
ed2a4a80f4a1e8b970b86ebce905d783,2026-04-02,77232854,on3yf1992xt,https://wmtc.hbhbnk.com,WM148,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-19T18:52:29Z
b9a584b51da9730d191668891f55f987,2026-03-21,147572995,53369!k9zh19961016,https://wmtc.bapi2026.net,WM561,rowena,2026-03-21T14:00:37Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
cba434359c715d97b7c5dbedd9466d31,2026-03-15,90357852,103502618,https://wmkh.joya99.com,WM339,小拳石,2026-03-15T05:35:51Z,a168,member_url,ods_a168_member_url,2026-05-19T18:52:29Z
034c5c62764e4ecf06307b23d270c5cc,2026-04-30,125284358,52302!hmlwlw883012,https://wmtc.bapi2026.net,WM561,全家幹架王,2026-04-30T11:02:14Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
902395c28cd232caab5ace97a03b37f5,2026-05-06,101466185,on3bobo036,https://wmtc.hbhbnk.com,【WM148】,csJay,2026-05-06T17:34:53Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
32a7a24540a6ccf6a19833fcd0dfd257,2026-04-02,144205026,53367!xywy609435111,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
532b92515e68c7e401f053cd44c01e3f,2026-04-02,146164179,53367!xypoo373762,https://wmtc.hbhbnk.com,WM561,全家幹架王,2026-04-02T15:49:02Z,a168,member_url,ods_a168_member_url,2026-05-20T07:14:03Z
