源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,id,t_permission id,0:禁用;1啟用,"",_1,_2,_3,_4,最後修改時間,来源库,来源表,ODS表名,同步时间
6f4922f45568161a8cdf4ad2299f6d23,2018-10-05,18,43,1,\\0,\\0,\\0,\\0,\\0,2018-10-05T17:00:52Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
6512bd43d9caa6e02c990b0a82652dca,2018-10-05,11,39,1,\\0,\\0,\\0,\\0,\\0,2018-10-05T17:00:52Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
c81e728d9d4c2f636f067f89cc14862c,2018-10-05,2,7,1,\\0,\\0,\\0,\\0,\\0,2018-10-05T17:00:52Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19T18:52:56Z
02e74f10e0327ad868d138f2b4fdd6f0,2024-11-21,27,132,0,\\0,\\0,\\0,\\0,\\0,2024-11-21T08:56:43Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
b6d767d2f8ed5d21a44b0e5886680cb9,2021-02-21,22,73,0,\\0,\\0,\\0,\\0,\\0,2021-02-21T12:23:12Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
1ff1de774005f8da13f42943881c655f,2025-03-24,24,84,0,\\0,\\0,\\0,\\0,\\0,2025-03-24T11:13:51Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
37693cfc748049e45d87b8c7d8b9aacd,2025-03-24,23,80,0,\\0,\\0,\\0,\\0,\\0,2025-03-24T11:13:51Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
1f0e3dad99908345f7439f8ffabdffc4,2018-11-20,19,61,1,\\0,\\0,\\0,\\0,\\0,2018-11-20T10:08:29Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
1679091c5a880faf6fb5e6087eb1b2dc,2018-10-05,6,15,1,\\0,\\0,\\0,\\0,\\0,2018-10-05T17:00:52Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19T18:52:56Z
9bf31c7ff062936a96d3c8bd1f8f2ff3,2018-10-05,15,46,1,\\0,\\0,\\0,\\0,\\0,2018-10-05T17:00:52Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
aab3238922bcc25a6f606eb525ffdc56,2019-11-12,14,45,0,\\0,\\0,\\0,\\0,\\0,2019-11-12T11:38:20Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
45c48cce2e2d7fbdea1afc51c7c6ad26,2018-10-05,9,18,1,\\0,\\0,\\0,\\0,\\0,2018-10-05T17:00:52Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19T18:52:56Z
c51ce410c124a10e0db5e4b97fc2af39,2018-10-05,13,41,1,\\0,\\0,\\0,\\0,\\0,2018-10-05T17:00:52Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
33e75ff09dd601bbe69f351039152189,2024-11-26,28,131,0,\\0,\\0,\\0,\\0,\\0,2024-11-26T10:09:19Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
a87ff679a2f3e71d9181a67b7542122c,2020-11-23,4,19,1,\\0,\\0,\\0,\\0,\\0,2020-11-23T23:10:00Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19T18:52:56Z
c20ad4d76fe97759aa27a0c99bff6710,2017-08-07,12,6,0,\\0,\\0,\\0,\\0,\\0,2017-08-07T16:42:26Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
c74d97b01eae257e44aa9d5bade97baf,2020-11-23,16,49,1,\\0,\\0,\\0,\\0,\\0,2020-11-23T23:05:02Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
8e296a067a37563370ded05f5a3bf3ec,2023-02-12,25,53,1,\\0,\\0,\\0,\\0,\\0,2023-02-12T11:42:40Z,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20T07:14:30Z
