源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,注單編號,操作者(管理員),操作時間,来源库,来源表,ODS表名,同步时间
e092adc1e73f40384b3bf93a2ab1d7b4,2025-12-29,5207100924,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
e75f65c0572517b428afdb10e6d7f34d,2025-12-29,5211513870,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
0d0e08502be80b0cf3e15d75179a50cd,2025-12-29,5207100298,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
0f93c9e0dc1ed1ed2aa1fc09681d90e7,2025-12-29,5205948929,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
13c1ac4c5f1ef4ca7ca93bf0d886703a,2025-12-29,5209913190,273,2025-12-29T12:43:00Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
2cb9ee6250ec67d8299adf9b8cabb29f,2025-12-29,5209244116,273,2025-12-29T12:56:32Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
2fdedf5aa87b160a1371d25be26312a3,2025-12-29,5209132352,273,2025-12-29T12:57:37Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
4cdfd320b6d87c4351bc34ed81058347,2025-12-29,5205348180,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
5ea9631f198e18b8de740d1a693e1483,2025-12-29,5209686177,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
6038eaf7a1309d060f1d59ee77586ab0,2025-12-29,5205348667,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
65b43dd60672c68c6fa89cd115510936,2025-12-29,5207075232,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
6ab3026026afed8b1f6d2442c548a0a4,2025-12-29,5205956649,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
6ddefc96c9f546032a340f471af5fa44,2025-12-29,5208275050,273,2025-12-29T12:41:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
84ee6ffde306cb251e429538f2fbee60,2025-12-29,5211509910,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
8680bfcc74ed7c6e087803ff62d6b63e,2025-12-29,5205345818,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
8d3ada3beeb233b28c5b5b71f42ef557,2025-12-29,5211535400,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
8f02c9280c3fa15ae82c0c3c124845b5,2025-12-29,5207071642,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
90a8bac8ac106586045ec0608fd4428e,2025-12-29,5206417048,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
9cf5c6b0908301d013c48aa9f6fc9f67,2025-12-29,5211279540,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
af5d4e4c3649ac3b060c979cf45fc206,2025-12-29,5208462332,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
c9ec74917eb0fcac10b4efd5fa10e6ac,2025-12-29,5207097021,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
da4633758bf7e724beb1246eb7cce01e,2025-12-29,5208452689,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
edf43f240efb4e7f61aae6a27bd494f7,2025-12-29,5205966598,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
f443a37555ae4b1c87d768400e85379a,2025-12-29,5208359333,273,2025-12-29T12:41:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
250e453fc29de641176f508edacd3933,2026-06-20,5468143021,249,2026-06-20T18:07:38Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
30c04027a3373901e08cd6efb2b8abf7,2025-12-29,5211503539,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
332ecf47e0cddb9a72e355b667f4e0d3,2025-12-29,5208997744,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
3c12f3607ede166b6de017eae45cc44c,2025-12-29,5207329945,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
72475cbe43da60dea00672b5d248a8f4,2025-12-29,5208889273,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
9045e291bb0d136db900ec0f584153c2,2025-12-29,5207819094,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
9e2cc291e16bb7cfb709ee9a2ee4baa7,2025-12-29,5211277536,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
a37f0ba63e942d5aa5a5cd7f7987922e,2025-12-29,5209130532,273,2025-12-29T12:57:37Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
a44236854e9843a25fb358f35901995e,2025-12-29,5209742417,273,2025-12-29T12:44:46Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
c83fa34444fff44f4bbc9d99b680df3b,2025-12-29,5207834626,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
