源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,_5,_6,来源库,来源表,ODS表名,同步时间
7f39f8317fbdb1988ef4c628eba02591,2021-06-23,61,101,341,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
9f61408e3afb633e50cdf1b20de6f466,2021-06-23,56,101,109,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
c16a5320fa475530d9583c34fd356ef5,2021-06-23,31,106,1,30,3,92,2021-06-23T15:05:31Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
c51ce410c124a10e0db5e4b97fc2af39,2021-06-23,13,113,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
d3d9446802a44259755d38e6d163e820,2021-06-23,10,110,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
d645920e395fedad7bbbed0eca3fe2e0,2021-06-23,40,101,31,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
ea5d2f1c4608232e07d3aa3d998e5135,2021-06-23,64,108,5,40,3,92,2021-06-23T19:17:51Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
1c383cd30b7c298ab50293adfecb7b18,2021-10-14,35,111,1,10,1,250,2021-10-14T18:04:58Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
a1d0c6e83f027327d8461063f4ac58a6,2021-10-15,42,102,31,30,3,92,2021-10-15T10:00:57Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
6c8349cc7260ae62e3b1396831a8398f,2021-06-23,45,112,1,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
8f14e45fceea167a5a36dedd4bea2543,2021-06-23,7,107,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
a5771bce93e200c36f7cd9dfd0e5deaa,2021-06-23,38,101,32,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
a87ff679a2f3e71d9181a67b7542122c,2021-06-23,4,104,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
c4ca4238a0b923820dcc509a6f75849b,2021-06-23,1,101,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
d9d4f495e875a2e075a1a4a6e1b9770f,2021-06-23,46,101,37,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
fc490ca45c00b1249bbe3554a4fdf6fb,2021-06-23,65,101,501,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
6364d3f0f495b6ab9dcf8d3b5c6e0b01,2021-07-01,32,107,1,30,1,250,2021-07-01T22:20:42Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
1ff1de774005f8da13f42943881c655f,2021-06-24,24,102,1,50,3,92,2021-06-24T17:13:46Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
6512bd43d9caa6e02c990b0a82652dca,2021-10-14,11,111,0,20,1,250,2021-10-14T18:07:16Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
f7177163c833dff4b38fc8d2872f1ec6,2021-10-14,44,111,31,10,1,250,2021-10-14T18:05:25Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
67c6a1e7ce56d3d6fa748ab6d9af3fd7,2021-11-03,47,101,101,200,1,243,2021-11-03T11:57:07Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
1679091c5a880faf6fb5e6087eb1b2dc,2021-06-23,6,106,0,0,0,92,2021-06-23T15:05:15Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
17e62166fc8586dfa4d1bc0e1742c08b,2021-06-23,43,105,31,30,3,92,2021-06-23T15:04:26Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
8e296a067a37563370ded05f5a3bf3ec,2021-06-23,25,103,1,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
98f13708210194c475687be6106a3b84,2021-06-23,20,101,5,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
9bf31c7ff062936a96d3c8bd1f8f2ff3,2021-06-23,15,121,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
e2c420d928d4bf8ce0ff2ec19b371514,2021-06-23,71,101,506,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
03afdbd66e7929b125f8597834fa83a4,2021-06-23,63,101,343,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
37693cfc748049e45d87b8c7d8b9aacd,2021-06-23,23,101,8,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
7cbbc409ec990f19c78c75bd1e06f215,2021-06-23,70,102,3,50,3,211,2021-06-23T23:51:50Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
aab3238922bcc25a6f606eb525ffdc56,2021-06-23,14,117,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
c20ad4d76fe97759aa27a0c99bff6710,2021-06-23,12,112,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
c81e728d9d4c2f636f067f89cc14862c,2021-06-23,2,102,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
e369853df766fa44e1ed0ff613f563bd,2021-06-23,34,110,1,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
66f041e16a60928b05a7e228a89c3799,2021-06-23,58,101,202,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
b53b3a3d6ab90ce0268229151c9bde11,2021-06-23,55,101,108,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
c0c7c76d30bd3dcaefc96f40275bdc0a,2021-06-23,50,101,103,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
c74d97b01eae257e44aa9d5bade97baf,2021-06-23,16,128,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
c9f0f895fb98ab9159f51fd0297e236d,2021-06-23,8,108,0,0,0,92,2021-06-23T15:42:41Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
e4da3b7fbbce2345d7772b0674a318d5,2021-06-23,5,105,0,60,3,92,2021-06-23T15:03:11Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
eccbc87e4b5ce2fe28308fd9f2a7baf3,2021-06-23,3,103,0,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
a684eceee76fc522773286a895bc8436,2023-10-13,54,108,2,15,0,249,2023-10-13T02:57:19Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
d2ddea18f00665ce8623e36bd4e3c7c5,2021-10-15,73,128,1,10,1,92,2021-10-15T10:42:41Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
f457c545a9ded88f18ecee47145a72c0,2021-11-03,49,101,102,200,1,243,2021-11-03T11:57:19Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
093f65e080a295f8076b1c5722a46aa2,2021-06-23,59,101,203,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
14bfa6bb14875e45bba028a21ed38046,2021-06-23,69,101,115,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
1f0e3dad99908345f7439f8ffabdffc4,2021-06-23,19,101,3,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
3416a75f4cea9109507cacd8e2f2aefc,2021-06-23,41,101,36,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
4e732ced3463d06de0ca9a15b6153677,2021-06-23,26,104,1,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
6f4922f45568161a8cdf4ad2299f6d23,2021-06-23,18,101,2,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
70efdf2ec9b086079795c442636b55fb,2021-06-23,17,101,1,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
d67d8ab4f4c10bf22aa353e27879133c,2021-06-23,39,101,33,0,0,,2021-06-23T14:30:56Z,a168,member_explosion_setting,ods_a168_member_explosion_setting,2026-07-23T04:16:04Z
