源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",遊戲編號,wm桌號,第三方桌台號/名稱,廠商,第三方桌號,第三方狀態,是否已開桌,串流網址,荷官名字,荷官圖片,建立時間,更新時間,来源库,来源表,ODS表名,同步时间
e4da3b7fbbce2345d7772b0674a318d5,2026-01-15,5,101,573,BA02,winto,CRZZZM,1,1,https://streaming.wintocasinos.com/live/f829185a5349e080c5d5ef039eb06d30.flv,Moomii,https://oss.wintocasinos.com/backend/a7655bd88a404341b3d8a498e70e65a8.png,2025-08-18T11:41:27Z,2026-01-15T23:56:58Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-19T18:52:36Z
6512bd43d9caa6e02c990b0a82652dca,2026-01-05,11,101,574,SB03,winto,FZ85MD,0,0,https://streaming.wintocasinos.com/live/954506d9cf132fe404aa56c16177842e.flv,Lily1,https://oss.wintocasinos.com/backend/a550379cbd544f7d9b07a01ee4ab323b.png,2025-08-18T11:41:27Z,2026-01-05T17:24:32Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
a5771bce93e200c36f7cd9dfd0e5deaa,2026-04-06,38,101,908,WM08,BY,WM08,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
45c48cce2e2d7fbdea1afc51c7c6ad26,2025-11-10,9,101,571,"",winto,XVGX82,0,0,https://streaming.wintocasinos.com/live/13fcc591e3cb0eeb4046a99ac88ca177.flv,Ning,https://oss.wintocasinos.com/backend/2f43ab30df744acfb2c58d0cd3b9fda4.png,2025-08-18T11:41:27Z,2025-11-10T08:30:12Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-19T18:52:36Z
c51ce410c124a10e0db5e4b97fc2af39,2025-10-22,13,102,558,"",winto,AZZHMC,0,0,https://streaming.wintocasinos.com/live/ec9ec74b022d15e437c5cee8d24b2b8d.flv,Lily1,https://oss.wintocasinos.com/backend/a550379cbd544f7d9b07a01ee4ab323b.png,2025-08-18T11:41:27Z,2025-10-22T00:08:37Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
02e74f10e0327ad868d138f2b4fdd6f0,2026-01-15,27,101,578,DB02,winto,NDFZJY,1,1,https://streaming.wintocasinos.com/live/417a2f4797a83ff4e31f924ddf3275db.flv,Amelia,https://oss.wintocasinos.com/backend/53364445753d4dbc9ca360124505b5f1.png,2025-08-18T11:41:27Z,2026-01-15T23:58:21Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
3c59dc048e8850243be8079a5c74d079,2026-01-15,21,101,570,BA01,winto,E8E7PP,1,1,https://streaming.wintocasinos.com/live/e671de611f0dc1d2786caf555326478c.flv,Jiuce,https://oss.wintocasinos.com/backend/90d1f5b81c374eca9896b23580e87d4c.png,2025-08-18T11:41:27Z,2026-01-15T23:57:07Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
b6d767d2f8ed5d21a44b0e5886680cb9,2026-01-15,22,104,557,SC01,winto,B95AFG,1,1,https://streaming.wintocasinos.com/live/3e030a58c8607e9295a857cbab25addf.flv,Mey,https://oss.wintocasinos.com/backend/3444a3461df24930bd2cfc29b105fcc7.png,2025-08-18T11:41:27Z,2026-01-15T23:56:00Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
a87ff679a2f3e71d9181a67b7542122c,2026-01-15,4,107,557,FT01,winto,M3A62T,1,1,https://streaming.wintocasinos.com/live/d6b8f42837c949f705f0e9496fcd1fad.flv,Nely,https://oss.wintocasinos.com/backend/2d21fd31c59844a18d3d82d96ca898cd.png,2025-08-18T11:41:27Z,2026-01-15T23:57:39Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-19T18:52:36Z
33e75ff09dd601bbe69f351039152189,2025-11-06,28,102,559,"",winto,7MZGSX,0,0,https://streaming.wintocasinos.com/live/4bf62ffc699ac559ebf56ce3d7b5da03.flv,Lily1,https://oss.wintocasinos.com/backend/a550379cbd544f7d9b07a01ee4ab323b.png,2025-08-18T11:41:27Z,2025-11-06T08:13:45Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
c4ca4238a0b923820dcc509a6f75849b,2025-11-10,1,128,0,"",winto,SDFNZ2,0,0,https://streaming.wintocasinos.com/live/5d9ef1099f362614c46d7561a3c28a9e.flv,Trea,https://oss.wintocasinos.com/backend/02beed16923f4ded9ba5e8f26b655ab2.png,2025-08-18T11:41:27Z,2025-11-10T08:30:40Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-19T18:52:36Z
34173cb38f07f89ddbebc2ac9128303f,2025-11-10,30,101,0,"",winto,MS593U,0,0,https://streaming.wintocasinos.com/live/8a0f1f1bc7484da6fbaa15a3b30ec054.flv,Ing,https://oss.wintocasinos.com/backend/f2f1f8f5f00c46daa06c9b1424f0bd3e.png,2025-10-29T14:25:28Z,2025-11-10T07:55:40Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
eccbc87e4b5ce2fe28308fd9f2a7baf3,2025-11-10,3,106,0,"",winto,DHR5YT,0,0,https://streaming.wintocasinos.com/live/13f4ced5debd1bd8f9d003a6f028a647.flv,Hwang,https://oss.wintocasinos.com/backend/a5aa9365d0634bc1beca8f66d15312e2.png,2025-08-18T11:41:27Z,2025-11-10T08:30:32Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-19T18:52:36Z
182be0c5cdcd5072bb1864cdee4d3d6e,2026-04-06,33,101,903,WM03,BY,WM03,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
c16a5320fa475530d9583c34fd356ef5,2026-04-06,31,101,901,WM01,BY,WM01,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
d645920e395fedad7bbbed0eca3fe2e0,2026-04-06,40,101,910,WM10,BY,WM10,0,0,"","","",2026-04-06T12:03:59Z,2026-04-06T12:03:59Z,a168,tablelimit_third,ods_a168_tablelimit_third,2026-05-20T07:14:10Z
