player_a,player_b,same_round_count,贝叶斯显著,Autoencoder前1percent,XGB残差前1percent,命中方法数
14841119,142945808,387,FALSE,FALSE,TRUE,1
14841119,143094453,210,FALSE,FALSE,TRUE,1
14841119,143227669,315,FALSE,FALSE,TRUE,1
14841119,143346184,87,FALSE,TRUE,FALSE,1
14841119,143471171,157,FALSE,FALSE,TRUE,1
14841119,143523637,469,FALSE,FALSE,TRUE,1
14841119,143609338,1377,FALSE,FALSE,TRUE,1
14841119,143726239,76,FALSE,TRUE,FALSE,1
14841119,143972113,1578,FALSE,FALSE,TRUE,1
14841119,144025733,80,FALSE,TRUE,FALSE,1
14841119,144150919,596,FALSE,FALSE,TRUE,1
14841119,144179433,119,FALSE,FALSE,TRUE,1
14841119,144315450,78,FALSE,TRUE,FALSE,1
14841119,144453200,1342,FALSE,FALSE,TRUE,1
14841119,144465024,350,FALSE,FALSE,TRUE,1
14841119,14843681,530,FALSE,FALSE,TRUE,1
14841119,18659232,262,FALSE,FALSE,TRUE,1
14841119,20934739,294,FALSE,FALSE,TRUE,1
14841119,21902342,115,FALSE,TRUE,FALSE,1
14841119,23185062,2489,TRUE,FALSE,FALSE,1
14841119,23608158,228,FALSE,FALSE,TRUE,1
14841119,24052002,455,FALSE,FALSE,TRUE,1
14841119,27187665,118,FALSE,FALSE,TRUE,1
14841119,28026075,181,FALSE,FALSE,TRUE,1
14841119,30146681,132,FALSE,FALSE,TRUE,1
14841119,32219836,851,FALSE,FALSE,TRUE,1
14841119,32586100,79,FALSE,TRUE,FALSE,1
14841119,32604546,515,FALSE,FALSE,TRUE,1
14841119,34782907,1777,FALSE,FALSE,TRUE,1
14841119,36028456,840,FALSE,FALSE,TRUE,1
14841119,37391287,1025,FALSE,FALSE,TRUE,1
14841119,44022927,71,FALSE,TRUE,FALSE,1
14841119,45276461,140,FALSE,FALSE,TRUE,1
14841119,46169878,179,FALSE,FALSE,TRUE,1
14841119,48570871,224,FALSE,FALSE,TRUE,1
14841119,52214773,907,FALSE,FALSE,TRUE,1
14841119,55208348,143,FALSE,FALSE,TRUE,1
14841119,59231089,58,FALSE,TRUE,FALSE,1
14841119,62349778,246,FALSE,FALSE,TRUE,1
14841119,63985991,280,FALSE,FALSE,TRUE,1
14841119,65380764,745,FALSE,FALSE,TRUE,1
14841119,65556447,334,FALSE,FALSE,TRUE,1
14841119,65603068,1670,FALSE,FALSE,TRUE,1
14841119,67927220,345,FALSE,FALSE,TRUE,1
14841119,68099505,831,FALSE,FALSE,TRUE,1
14841119,68753255,62,FALSE,TRUE,FALSE,1
14841119,68795816,151,FALSE,FALSE,TRUE,1
14841119,69064280,3262,TRUE,FALSE,FALSE,1
14841119,70156003,133,FALSE,FALSE,TRUE,1
14841119,71032203,182,FALSE,FALSE,TRUE,1
14841119,71510854,871,FALSE,FALSE,TRUE,1
14841119,71718248,523,FALSE,FALSE,TRUE,1
14841119,74360674,119,FALSE,FALSE,TRUE,1
14841119,75686652,168,FALSE,FALSE,TRUE,1
14841119,76426634,280,FALSE,FALSE,TRUE,1
14841119,76486902,98,FALSE,FALSE,TRUE,1
14841119,76494449,246,FALSE,FALSE,TRUE,1
14841119,76887603,90,FALSE,FALSE,TRUE,1
14841119,78616592,1639,FALSE,FALSE,TRUE,1
14841119,78807500,609,FALSE,FALSE,TRUE,1
14841119,78887542,657,FALSE,FALSE,TRUE,1
14841119,79217463,231,FALSE,FALSE,TRUE,1
14841119,79582799,160,FALSE,FALSE,TRUE,1
14841119,80931813,775,FALSE,FALSE,TRUE,1
14841119,84375430,80,FALSE,FALSE,TRUE,1
14841119,84815230,376,FALSE,FALSE,TRUE,1
