player_id,总流水,总局数,活跃天数,流水分位,度中心性,中介中心性,度中心性分位,分级
129568204,275581,22,42.001875,0.893162266828273,1,0,0.59417033730452,长期客户
129568835,49931,409,59.5404861111111,0.759674224731723,0,0,0.253140982055754,长期客户
129569967,4250,22,16.1458449074074,0.282422325361398,1,0,0.59417033730452,一般客户
129575400,17310,422,54.223275462963,0.58723800514382,6,0,0.907751204659,长期客户
129576845,21926,9,0.00453703703703704,0.634167972329796,0,0,0.253140982055754,一般客户
129578438,1110,55,0.965046296296296,0.0125934904070713,1,0,0.59417033730452,试水型
129583219,49496,1036,56.3960300925926,0.758595205013747,10,0,0.962263872054867,L3-高危群
129585469,9542,24,12.08875,0.458686847784314,0,0,0.253140982055754,一般客户
129589061,116576,483,34.4772106481482,0.840985011972684,7,0,0.92840039022083,长期客户
129591725,6800,80,40.2039814814815,0.387796730422444,1,0,0.59417033730452,长期客户
129594208,122990,319,4.39202546296296,0.845153279924321,0,0,0.253140982055754,一般客户
129594419,4820,31,0.0585763888888889,0.310048186360008,0,0,0.253140982055754,一般客户
129598557,4860,153,1.29719907407407,0.312073195967718,0,0,0.253140982055754,一般客户
129600143,21441,81,41.2021064814815,0.630117953114376,0,0,0.253140982055754,长期客户
129600795,24360,415,15.6337962962963,0.652053093682561,1,0,0.59417033730452,一般客户
129602043,2030,25,0.0118287037037037,0.131256097200461,0,0,0.253140982055754,试水型
129603049,8118,45,47.0926967592593,0.426493629349336,2,0,0.725781180713631,长期客户
129605130,3659,53,0.0912268518518519,0.249963047269932,4,0,0.84703047861176,试水型
129609978,26000,2,0.000914351851851852,0.664454429893281,0,0,0.253140982055754,一般客户
129610090,55031,101,42.757349537037,0.771306944157034,0,0,0.253140982055754,长期客户
129610601,5876,21,27.1776967592593,0.355825228367872,1,0,0.59417033730452,一般客户
129611513,1818,25,9.45123842592593,0.11147899606823,3,0,0.798311999290508,一般客户
129612335,4598,189,41.7382523148148,0.300130073609838,0,0,0.253140982055754,长期客户
129612479,15184,167,53.3130671296296,0.561504123924676,1,0,0.59417033730452,长期客户
129613558,15800,104,31.6975694444444,0.569811097643894,2,0,0.725781180713631,长期客户
129613711,20801,25,0.0481365740740741,0.624752416708546,2,0,0.725781180713631,一般客户
129614487,1620,29,0.00954861111111111,0.0890708605551778,0,0,0.253140982055754,试水型
129615192,15400,5,0.000671296296296296,0.564401217961983,0,0,0.253140982055754,一般客户
129615400,13107,86,55.3468981481482,0.530936825612676,4,0,0.84703047861176,长期客户
129615450,1160,22,0.00863425925925926,0.0195553847518255,0,0,0.253140982055754,试水型
129617046,6220,31,0.00608796296296296,0.369276022112514,0,0,0.253140982055754,一般客户
129619159,14709,486,60.760150462963,0.55364058296627,5,0,0.881263487746475,长期客户
129619177,106345,59,17.3546527777778,0.834303958376445,6,0,0.907751204659,一般客户
129623566,1410,71,0.00907407407407407,0.0605285718508883,0,0,0.253140982055754,试水型
129628451,380785,125,57.9509490740741,0.908386791616165,0,0,0.253140982055754,长期客户
129628467,1070,22,11.0715856481481,0.00722795400124161,0,0,0.253140982055754,一般客户
129630146,1029,27,54.8994675925926,0.00261625328879298,1,0,0.59417033730452,长期客户
129632280,49506,524,31.0009375,0.758683891565909,16,1e-04,0.988234250746445,L3-高危群
129638651,15258,21,18.6956134259259,0.562272740710084,0,0,0.253140982055754,一般客户
129639037,15121128,350,58.6405787037037,0.985898838206167,1,0,0.59417033730452,黄金级
129644228,12854,431,59.1126273148148,0.525852129955361,3,0,0.798311999290508,长期客户
129644654,9770,96,32.7596527777778,0.463756762349602,0,0,0.253140982055754,长期客户
129649969,2140000,2,0.000613425925925926,0.960549265379726,0,0,0.253140982055754,一般客户
129652322,12250,10,0.000486111111111111,0.516022703757354,0,0,0.253140982055754,一般客户
129658624,119601,200,7.84175925925926,0.842788305199988,2,0,0.725781180713631,一般客户
129658699,2220649,268,60.7104513888889,0.961184852336891,3,0,0.798311999290508,黄金级
129660161,1086,24,0.0883912037037037,0.0094155556212493,0,0,0.253140982055754,试水型
129665635,17290,23,57.3649537037037,0.586957164395306,0,0,0.253140982055754,长期客户
129665901,5946,22,0.161412037037037,0.358751884589233,1,0,0.59417033730452,一般客户
129669100,11204,21,0.00501157407407407,0.497575900907559,0,0,0.253140982055754,一般客户
129669785,23700,199,52.0561226851852,0.647737014810654,2,0,0.725781180713631,长期客户
129670034,7150,22,0.00275462962962963,0.398705176338428,1,0,0.59417033730452,一般客户
129670612,12283,863,37.9124884259259,0.516480917610193,1,0,0.59417033730452,长期客户
129672820,123020,796,63.0759375,0.845241966476483,5,0,0.881263487746475,长期客户
129672992,6660,30,0.00612268518518519,0.383421527182428,0,0,0.253140982055754,一般客户
129674616,1270,58,0.00611111111111111,0.0371153220799953,1,0,0.59417033730452,试水型
129675180,8717,52,10.7913657407407,0.439619239069382,0,0,0.253140982055754,一般客户
129679631,67224,688,59.6037037037037,0.791911786442782,3,0,0.798311999290508,长期客户
129685573,29120,256,8.04158564814815,0.682679516362669,0,0,0.253140982055754,一般客户
129688625,7780,23,24.0963425925926,0.417299790108493,1,0,0.59417033730452,一般客户
129691984,114673,434,55.5201736111111,0.839802524610518,2,0,0.725781180713631,长期客户
129692899,5755,84,61.1605671296296,0.350770094894611,1,0,0.59417033730452,长期客户
129693125,11340,46,0.00503472222222222,0.499778283619594,0,0,0.253140982055754,一般客户
129694065,3102,41,0.0121180555555556,0.215759600319272,0,0,0.253140982055754,试水型
129694240,6380,103,34.0695601851852,0.374671120702398,0,0,0.253140982055754,长期客户
129694732,57115,330,47.9470949074074,0.775268276820292,7,0,0.92840039022083,长期客户
129696233,18641,103,37.0008101851852,0.601738256422384,0,0,0.253140982055754,长期客户
129696571,7377,91,43.3809027777778,0.404854110621693,0,0,0.253140982055754,长期客户
129697001,4370,21,0.0923726851851852,0.288970349129394,3,0,0.798311999290508,试水型
129700445,2700,33,0.00736111111111111,0.184911461258758,0,0,0.253140982055754,试水型
129702927,1137,35,3.83622685185185,0.0163035445058681,0,0,0.253140982055754,一般客户
129711995,101765,36,25.9393171296296,0.831199929050758,0,0,0.253140982055754,一般客户
129715996,424550,307,0.25630787037037,0.913028054512667,2,0,0.725781180713631,一般客户
129726708,12102,157,52.7219560185185,0.513465574836669,1,0,0.59417033730452,长期客户
129729921,1254,28,0.0158101851851852,0.0340851982144441,0,0,0.253140982055754,试水型
129731274,7010,95,58.7345833333333,0.394256067638277,0,0,0.253140982055754,长期客户
129731589,8607608,2097,64.4412731481481,0.980755018180743,4,0,0.84703047861176,黄金级
129737018,21633,42,53.3695717592593,0.631655186685192,1,0,0.59417033730452,长期客户
129739939,2880,21,0.003125,0.198850031040293,0,0,0.253140982055754,试水型
129740815,14833,4,2.31452546296296,0.55556212492979,1,0,0.59417033730452,一般客户
