dealer_id,Estimate,Est.Error,Q2.5,Q97.5,n_obs,mean_roi,total_turnover,Q0.25,Q99.75,Q0.05,Q99.95,显著_p005,显著_p001
1331,-0.0398349541157658,0.00956079773690985,-0.0583616013439123,-0.0211035818365472,1560,0.411154915056141,2083750635,-0.0663878081759555,-0.0106274736375232,-0.0723963075012134,-0.00567456858538208,TRUE,TRUE
1490,-0.0393848587095156,0.00935906087015699,-0.057721437774122,-0.0210871372181532,1740,0.411646550498867,3158828540,-0.0671219585242776,-0.0131676990296186,-0.0710889108682833,-0.00584574534074072,TRUE,TRUE
1221,-0.0389205827528293,0.00979915376272012,-0.0581772647090143,-0.0198504961008387,1444,0.411795617035117,2015802875,-0.0676437439753527,-0.0129293368795169,-0.0711996493901375,-0.00987408119363048,TRUE,TRUE
1396,-0.0382552473129868,0.00914516394157873,-0.0567536647578009,-0.0210852509478799,1610,0.412802063120653,1200879013,-0.0652623451204673,-0.012612126049621,-0.0690046313404128,-0.00976442422223879,TRUE,TRUE
2167,-0.037769104759066,0.0100282994480542,-0.0576824352527285,-0.0181683389277431,1489,0.413267080321887,2633111780,-0.0667243420691173,-0.00975789743908856,-0.0697776366403086,-0.00679704767597528,TRUE,TRUE
1325,-0.037681663188933,0.0191787815071927,-0.0752583715343721,-0.000406388815187815,246,0.407864244806829,321992358,-0.0943059350895686,0.0127403193507252,-0.100629103462572,0.0212578164139803,FALSE,FALSE
1157,-0.0373333611792844,0.0097025229511211,-0.0566672721156018,-0.01824433777957,1468,0.413651040638099,2337627465,-0.0643129388482549,-0.010709835642276,-0.0670013690631118,-0.00583240661368083,TRUE,TRUE
987,-0.0370963011771102,0.0101843207358204,-0.0577630815744676,-0.0169939406893406,1282,0.413601770595936,4119471067,-0.0666845738399492,-0.00921230637308859,-0.0704883264018495,-0.00491416620890704,TRUE,TRUE
1383,-0.0369828525589115,0.00935998399404597,-0.0554841967602059,-0.0183105454559223,1572,0.414151556572456,1985240748,-0.062060579415044,-0.010284199475501,-0.0689825865285356,-0.00660162415844107,TRUE,TRUE
2134,-0.0352976295757937,0.009736895924189,-0.0549116463349752,-0.0162902217071945,1474,0.415713609419669,1214441523,-0.0632317936839417,-0.00604246226589674,-0.0656293312555992,-0.00396924390392575,TRUE,TRUE
2246,-0.0350793683206943,0.0095850646865058,-0.0545036490419786,-0.0163741091807588,1605,0.415943521387639,996298562,-0.0627739182323035,-0.00752211316737054,-0.0653967197978879,-0.00265622564921808,TRUE,TRUE
1304,-0.0346808640660264,0.0100479755458791,-0.0542956598139553,-0.0147179604673103,1284,0.416257515893155,2490800525,-0.063674798227985,-0.00722731917653218,-0.067307094613489,-0.0039379343040817,TRUE,TRUE
1094,-0.0344738278796853,0.00976056271685523,-0.0534832840532693,-0.015582136008448,1455,0.416583353655389,1363400167,-0.061812106795507,-0.0072206545456994,-0.0685230314697759,-0.0041010420049305,TRUE,TRUE
1485,-0.0343268395836436,0.0104160072027869,-0.0552969622816638,-0.013801295907948,1148,0.416495418879982,1749676929,-0.0632807891802931,-0.00438352148881448,-0.0737182270306006,-0.00125745691218769,TRUE,TRUE
2106,-0.0337850094141446,0.00966858473215164,-0.0532199425277594,-0.0151309954864713,1423,0.417283240182986,1695818049,-0.0598833533544045,-0.00736712793631261,-0.0639209997166794,-0.00254262044006951,TRUE,TRUE
2196,-0.0328709578334561,0.00949470360924471,-0.0518565971575973,-0.0139069309965933,1586,0.418303314221337,4205833984,-0.0583419208094692,-0.00646504830498456,-0.0626560065045806,-0.00265299026270257,TRUE,TRUE
2223,-0.0321518685579741,0.0128653547551473,-0.0573825112519967,-0.00701558945950941,681,0.417663871245756,1286255539,-0.068134100976567,0.00759140777988924,-0.0728843589589697,0.0129709943463494,FALSE,FALSE
2169,-0.0320475028440755,0.00961239618379359,-0.0506530622678178,-0.0134630827589116,1458,0.419001621013628,1708096411,-0.059177534873586,-0.00554964119610555,-0.0633672529080975,-0.00121198691548146,TRUE,TRUE
