player_id,度中心性,中介中心性,所属连通分量,分量大小
5860586,189,0.0014,1,44638
5182499,182,0.0035,1,44638
5147036,179,0.0012,1,44638
12617217,167,0.001,1,44638
15766746,162,0.0055,1,44638
11448466,162,0.0032,1,44638
8073,161,0.0055,1,44638
4697334,160,0.0023,1,44638
5492827,159,0.004,1,44638
4591646,152,0.003,1,44638
6203775,147,0.0045,1,44638
14093820,145,0.0015,1,44638
5789475,143,0.0015,1,44638
3158143,143,0.0027,1,44638
5868498,133,0.0026,1,44638
4397486,132,0.0031,1,44638
7163604,130,0.0027,1,44638
5040776,121,0.0028,1,44638
5827552,121,0.0016,1,44638
7703699,119,5e-04,1,44638
18060237,105,0.0012,1,44638
5113519,102,0.0021,1,44638
6862979,101,0.0011,1,44638
17517397,100,0.0015,1,44638
1242690,97,0.0015,1,44638
4380884,94,0.0017,1,44638
8190193,92,0.0017,1,44638
11045763,85,8e-04,1,44638
5743326,84,6e-04,1,44638
5850931,84,7e-04,1,44638
5532129,83,0.0013,1,44638
2532548,82,3e-04,1,44638
12040866,81,0.0012,1,44638
7856048,80,0.0022,1,44638
7126982,80,0.0013,1,44638
7126394,80,9e-04,1,44638
6291854,80,0.0019,1,44638
3908989,79,0.001,1,44638
145846574,77,7e-04,1,44638
16127626,74,5e-04,1,44638
13492968,74,0.0031,1,44638
6679654,72,6e-04,1,44638
6319872,71,0.0083,1,44638
556418,70,3e-04,1,44638
4752106,69,0.0017,1,44638
7664556,69,0.0012,1,44638
18421648,67,0.0017,1,44638
7092420,67,0.0018,1,44638
4110309,66,0.0021,1,44638
5389542,66,0.0038,1,44638
21141149,64,1e-04,1,44638
7433521,63,2e-04,1,44638
7880370,63,2e-04,1,44638
18378709,62,7e-04,1,44638
7474120,59,2e-04,1,44638
2497654,58,0.0035,1,44638
5102585,58,0.0079,1,44638
123591261,57,4e-04,1,44638
141556233,56,1e-04,1,44638
142020180,55,3e-04,1,44638
5806467,53,0.0031,1,44638
7672136,53,7e-04,1,44638
18386553,52,6e-04,1,44638
142668385,52,5e-04,1,44638
7057105,51,0.0017,1,44638
6580638,51,3e-04,1,44638
4341682,50,9e-04,1,44638
7572837,49,8e-04,1,44638
6144095,48,0.0021,1,44638
13783014,47,0.0015,1,44638
4032317,47,0.0017,1,44638
146517701,46,7e-04,1,44638
4713686,44,2e-04,1,44638
118118853,44,0.001,1,44638
16560579,43,0.0018,1,44638
112955939,43,6e-04,1,44638
8865610,42,0.002,1,44638
22036037,42,2e-04,1,44638
5066904,41,0.0334,1,44638
5620379,41,7e-04,1,44638
5805676,41,0.0011,1,44638
11721721,41,0.0206,1,44638
105595582,41,0.0017,1,44638
7603989,40,0.0012,1,44638
136684119,40,0.001,1,44638
7589191,39,7e-04,1,44638
49285724,39,0,1,44638
5276632,38,8e-04,1,44638
7663446,38,0.0015,1,44638
6462411,38,0.0013,1,44638
5736737,37,0.0028,1,44638
123903499,37,1e-04,1,44638
149384716,37,0.0333,1,44638
5140222,36,7e-04,1,44638
128096699,36,0.001,1,44638
130850377,36,7e-04,1,44638
148405514,36,0,1,44638
142006751,36,5e-04,1,44638
2383841,35,8e-04,1,44638
3624833,35,4e-04,1,44638
1338730,35,6e-04,1,44638
137377337,35,0.0019,1,44638
99441221,35,0,1,44638
89596067,35,4e-04,1,44638
10418768,34,0.0041,1,44638
20528051,34,1e-04,1,44638
148541506,34,2e-04,1,44638
148630990,34,1e-04,1,44638
106303777,34,0,1,44638
147668619,33,4e-04,1,44638
110985716,33,1e-04,1,44638
5854133,32,8e-04,1,44638
150576499,32,0.0036,1,44638
120249935,32,0,1,44638
142262798,32,1e-04,1,44638
122589326,32,0,1,44638
7091899,31,0.0026,1,44638
6011469,31,0.0035,1,44638
142478759,31,1e-04,1,44638
19570235,31,2e-04,1,44638
31160697,31,8e-04,1,44638
148048286,31,1e-04,1,44638
148243297,31,2e-04,1,44638
11512749,30,5e-04,1,44638
5892712,30,6e-04,1,44638
7183706,30,0.0033,1,44638
51234574,30,0,1,44638
73703589,30,0,1,44638
118670037,30,4e-04,1,44638
139554510,30,0,1,44638
148408157,30,0,1,44638
81846921,30,1e-04,1,44638
124139798,30,2e-04,1,44638
4215750,29,7e-04,1,44638
139554464,29,0,1,44638
149592717,29,1e-04,1,44638
76821344,29,0.0022,1,44638
142144261,29,0,1,44638
148029999,29,0,1,44638
148592766,29,0,1,44638
7906462,28,3e-04,1,44638
6339682,28,6e-04,1,44638
11333817,28,8e-04,1,44638
103211739,28,2e-04,1,44638
111220023,28,0,1,44638
27556632,28,1e-04,1,44638
12443725,27,5e-04,1,44638
21424833,27,7e-04,1,44638
22403820,27,7e-04,1,44638
136179948,27,0.0012,1,44638
97159139,27,1e-04,1,44638
142010048,27,3e-04,1,44638
122364604,27,0,1,44638
145924880,27,0,1,44638
130461362,27,0,1,44638
132379841,27,6e-04,1,44638
135337023,27,0,1,44638
151163823,27,0,1,44638
151250169,27,0,1,44638
149628688,27,1e-04,1,44638
6994514,26,5e-04,1,44638
38559714,26,1e-04,1,44638
139634377,26,5e-04,1,44638
147761702,26,1e-04,1,44638
149651647,26,0,1,44638
127684170,26,0,1,44638
131826697,26,0,1,44638
143335474,26,0,1,44638
118225245,26,1e-04,1,44638
151400679,26,4e-04,1,44638
4757086,25,0.0023,1,44638
7461216,25,5e-04,1,44638
80385852,25,1e-04,1,44638
105761693,25,2e-04,1,44638
101506309,25,1e-04,1,44638
108544750,25,1e-04,1,44638
122657819,25,0.0036,1,44638
139169953,25,1e-04,1,44638
142024819,25,3e-04,1,44638
142024935,25,1e-04,1,44638
124567595,25,2e-04,1,44638
73724876,25,0,1,44638
111645889,25,0,1,44638
113311676,25,1e-04,1,44638
135715113,25,1e-04,1,44638
123336815,25,0,1,44638
144453200,25,0,1,44638
137208463,25,0,1,44638
150014770,25,1e-04,1,44638
11200282,24,0.002,1,44638
7019505,24,3e-04,1,44638
146420863,24,0,1,44638
127775974,24,1e-04,1,44638
71816929,24,1e-04,1,44638
84877977,24,0,1,44638
114219666,24,0,1,44638
114645549,24,3e-04,1,44638
150453335,24,4e-04,1,44638
129510359,24,0,1,44638
134729808,24,1e-04,1,44638
134920997,24,4e-04,1,44638
142007615,24,0,1,44638
142016301,24,2e-04,1,44638
142068801,24,3e-04,1,44638
150435964,24,0,1,44638
65347031,24,2e-04,1,44638
101995071,24,0,1,44638
4702580,23,5e-04,1,44638
18353733,23,5e-04,1,44638
123112419,23,0,1,44638
142012746,23,3e-04,1,44638
145870516,23,0,1,44638
87525057,23,1e-04,1,44638
91935079,23,1e-04,1,44638
125557111,23,4e-04,1,44638
135702585,23,1e-04,1,44638
130461705,23,1e-04,1,44638
142010624,23,0,1,44638
106436042,23,3e-04,1,44638
144854420,23,0,1,44638
17265993,22,3e-04,1,44638
3947398,22,5e-04,1,44638
6809979,22,6e-04,1,44638
34513931,22,0,1,44638
68360281,22,0,1,44638
114749708,22,2e-04,1,44638
120013995,22,1e-04,1,44638
124073014,22,5e-04,1,44638
125552398,22,1e-04,1,44638
147684953,22,0,1,44638
60953973,22,5e-04,1,44638
151423938,22,2e-04,1,44638
40344615,22,0.0012,1,44638
90473758,22,0,1,44638
119636387,22,0,1,44638
142966761,22,0,1,44638
144554498,22,0,1,44638
147095398,22,0,1,44638
123035961,22,0,1,44638
130994019,22,0,1,44638
139343192,22,0,1,44638
142414254,22,0,1,44638
113606534,22,3e-04,1,44638
122550717,22,0,1,44638
1957536,21,8e-04,1,44638
5789498,21,4e-04,1,44638
8083169,21,0.0011,1,44638
131238514,21,1e-04,1,44638
112845720,21,0.0054,1,44638
152352973,21,8e-04,1,44638
132136670,21,5e-04,1,44638
71191275,21,0,1,44638
35850504,21,0,1,44638
95941494,21,0.0063,1,44638
139196117,21,0,1,44638
142006858,21,0,1,44638
142011802,21,0,1,44638
142012996,21,0,1,44638
72314003,21,2e-04,1,44638
149873169,21,0,1,44638
150214345,21,1e-04,1,44638
71476013,21,0,1,44638
76092093,21,0,1,44638
102460691,21,1e-04,1,44638
121058883,21,0,1,44638
151368049,21,0,1,44638
152638777,21,4e-04,1,44638
148477240,21,0,1,44638
148549376,21,0,1,44638
18659156,20,2e-04,1,44638
10807146,20,3e-04,1,44638
116997263,20,1e-04,1,44638
101211241,20,4e-04,1,44638
107312460,20,0,1,44638
124470180,20,3e-04,1,44638
137046699,20,0,1,44638
149835124,20,0,1,44638
122139598,20,1e-04,1,44638
151676314,20,0,1,44638
30725037,20,0,1,44638
47667878,20,0,1,44638
50221060,20,0,1,44638
97111750,20,2e-04,1,44638
135843743,20,1e-04,1,44638
146975331,20,0,1,44638
122671225,20,0,1,44638
123019788,20,0,1,44638
128110141,20,0,1,44638
131981560,20,0,1,44638
142083119,20,0,1,44638
142532245,20,0,1,44638
142888928,20,0,1,44638
150389642,20,0,1,44638
150780288,20,0,1,44638
94794524,20,0,1,44638
120177749,20,0,1,44638
147023458,20,0,1,44638
148426890,20,0,1,44638
148885106,20,1e-04,1,44638
150180829,20,0,1,44638
5364172,19,3e-04,1,44638
10844767,19,5e-04,1,44638
11622372,19,8e-04,1,44638
149467022,19,4e-04,1,44638
126404796,19,0.0012,1,44638
7697855,19,0,1,44638
68754199,19,0,1,44638
104785657,19,1e-04,1,44638
114881779,19,0,1,44638
131167599,19,0,1,44638
133831900,19,0.001,1,44638
137963671,19,1e-04,1,44638
142112306,19,2e-04,1,44638
144106846,19,0,1,44638
144492584,19,0,1,44638
146539785,19,3e-04,1,44638
148423606,19,0,1,44638
148768163,19,0,1,44638
148407325,19,0,1,44638
112564592,19,0,1,44638
149368632,19,4e-04,1,44638
41019043,19,0,1,44638
72781258,19,1e-04,1,44638
94863925,19,1e-04,1,44638
118419115,19,2e-04,1,44638
120187306,19,1e-04,1,44638
120978178,19,1e-04,1,44638
131113734,19,1e-04,1,44638
142078611,19,0,1,44638
142673277,19,1e-04,1,44638
144399797,19,0,1,44638
144747024,19,1e-04,1,44638
146515674,19,1e-04,1,44638
125682290,19,1e-04,1,44638
126716139,19,0,1,44638
130445789,19,0,1,44638
142072076,19,0,1,44638
142767288,19,0,1,44638
143290167,19,3e-04,1,44638
143972113,19,0,1,44638
125285899,19,0,1,44638
125419106,19,3e-04,1,44638
149955590,19,2e-04,1,44638
150884849,19,0,1,44638
151591057,19,0,1,44638
23426165,19,0,1,44638
39175936,19,2e-04,1,44638
88247187,19,1e-04,1,44638
97599461,19,0,1,44638
148739858,19,5e-04,1,44638
150832975,19,0,1,44638
151290699,19,0,1,44638
151378947,19,0,1,44638
54585191,19,0,1,44638
147075807,19,0,1,44638
151016195,19,0,1,44638
146120263,19,0,1,44638
14835464,18,3e-04,1,44638
13346476,18,4e-04,1,44638
6884876,18,3e-04,1,44638
5799615,18,3e-04,1,44638
150132692,18,0,1,44638
148427937,18,0,1,44638
6255961,18,0,1,44638
80550177,18,0,1,44638
90527988,18,0,1,44638
100582476,18,0,1,44638
123814629,18,0,1,44638
132319851,18,0,1,44638
136885752,18,1e-04,1,44638
140608290,18,1e-04,1,44638
149249408,18,0,1,44638
149960975,18,1e-04,1,44638
151154809,18,0,1,44638
145453781,18,1e-04,1,44638
44540989,18,2e-04,1,44638
52169523,18,0,1,44638
63006662,18,1e-04,1,44638
106854977,18,0,1,44638
115314671,18,0,1,44638
119951357,18,0,1,44638
121386597,18,0,1,44638
135896895,18,1e-04,1,44638
122670079,18,0,1,44638
129522786,18,0,1,44638
134078295,18,1e-04,1,44638
106267365,18,0.0023,1,44638
136075977,18,1e-04,1,44638
148629498,18,1e-04,1,44638
149120032,18,1e-04,1,44638
150016240,18,1e-04,1,44638
151764694,18,0.0012,1,44638
51423781,18,1e-04,1,44638
65603068,18,0,1,44638
69064280,18,0,1,44638
104381941,18,0,1,44638
112136663,18,0,1,44638
121446677,18,0,1,44638
149158803,18,1e-04,1,44638
150464062,18,1e-04,1,44638
149228785,18,3e-04,1,44638
147855753,18,1e-04,1,44638
150172853,18,0,1,44638
151273447,18,0,1,44638
371579,17,3e-04,1,44638
12517479,17,3e-04,1,44638
2510118,17,5e-04,1,44638
17658682,17,0,1,44638
122940545,17,1e-04,1,44638
148189395,17,0.001,1,44638
80507532,17,0,1,44638
87981786,17,0,1,44638
112066335,17,3e-04,1,44638
122893642,17,4e-04,1,44638
128768638,17,0,1,44638
147964099,17,4e-04,1,44638
149755362,17,0,1,44638
150583034,17,0,1,44638
82845780,17,0,1,44638
8837928,17,1e-04,1,44638
27918930,17,0,1,44638
61358713,17,0,1,44638
65213955,17,0,1,44638
65922930,17,0,1,44638
68940888,17,0,1,44638
80537647,17,0,1,44638
81527006,17,0,1,44638
85205672,17,0,1,44638
99319439,17,0,1,44638
116343053,17,0,1,44638
123076168,17,1e-04,1,44638
134896269,17,0,1,44638
137014834,17,0.0011,1,44638
142391599,17,3e-04,1,44638
143314074,17,0,1,44638
146312689,17,1e-04,1,44638
147393177,17,0,1,44638
147443762,17,0,1,44638
147699526,17,0,1,44638
125581080,17,1e-04,1,44638
130235868,17,0,1,44638
137621471,17,0,1,44638
139554548,17,0,1,44638
140120910,17,0,1,44638
142255348,17,1e-04,1,44638
142983141,17,0,1,44638
144078271,17,0,1,44638
91744398,17,0,1,44638
97561852,17,1e-04,1,44638
151288315,17,0.0022,1,44638
151294083,17,0,1,44638
152174446,17,0,1,44638
64263114,17,0,1,44638
68795816,17,0,1,44638
112318407,17,0,1,44638
113890314,17,0,1,44638
119592528,17,0,1,44638
148935344,17,0.006,1,44638
151653350,17,0,1,44638
145453429,17,3e-04,1,44638
147101609,17,0,1,44638
149242976,17,0,1,44638
149746208,17,0,1,44638
150666931,17,0,1,44638
150685668,17,0,1,44638
150814446,17,0,1,44638
151277003,17,0,1,44638
151299268,17,0,1,44638
151616136,17,0,1,44638
4807204,16,0,1,44638
5893915,16,5e-04,1,44638
13360566,16,1e-04,1,44638
5910204,16,5e-04,1,44638
4213436,16,3e-04,1,44638
19972226,16,5e-04,1,44638
118038235,16,0,1,44638
139289611,16,0,1,44638
144298687,16,0,1,44638
129169801,16,1e-04,1,44638
146490625,16,0,1,44638
148450676,16,1e-04,1,44638
42966775,16,4e-04,1,44638
75849035,16,1e-04,1,44638
122313879,16,0,1,44638
123900024,16,0.0027,1,44638
131067716,16,0,1,44638
143901669,16,2e-04,1,44638
145524668,16,0,1,44638
145599494,16,1e-04,1,44638
149949430,16,0,1,44638
130022201,16,0,1,44638
142389247,16,0,1,44638
141324699,16,0,1,44638
147390563,16,4e-04,1,44638
143498124,16,0,1,44638
151174104,16,0,1,44638
7462908,16,0,1,44638
61086988,16,0,1,44638
78168680,16,1e-04,1,44638
89353522,16,0,1,44638
102886251,16,2e-04,1,44638
110196595,16,0,1,44638
115718596,16,6e-04,1,44638
121732938,16,0,1,44638
123059622,16,0,1,44638
127260036,16,2e-04,1,44638
128406392,16,0,1,44638
132266683,16,0,1,44638
141082211,16,1e-04,1,44638
145244009,16,0,1,44638
146329475,16,0,1,44638
146406963,16,0,1,44638
147744814,16,1e-04,1,44638
125561248,16,1e-04,1,44638
125787679,16,0,1,44638
129458205,16,1e-04,1,44638
129632280,16,1e-04,1,44638
130748093,16,0,1,44638
138143019,16,0,1,44638
142006502,16,0,1,44638
142010705,16,0,1,44638
142011897,16,0,1,44638
142012998,16,0,1,44638
142016302,16,4e-04,1,44638
143375665,16,0,1,44638
143609338,16,0,1,44638
86187453,16,3e-04,1,44638
126562561,16,3e-04,1,44638
149406595,16,2e-04,1,44638
21026054,16,0,1,44638
39239029,16,0,1,44638
62085868,16,0,1,44638
99350660,16,0,1,44638
109875575,16,0,1,44638
116799850,16,3e-04,1,44638
148737345,16,0,1,44638
149109488,16,0,1,44638
149253869,16,0,1,44638
149280754,16,0,1,44638
150635356,16,0,1,44638
151418303,16,0,1,44638
13201787,16,1e-04,1,44638
139672842,16,0,1,44638
125600163,16,5e-04,1,44638
148451793,16,0,1,44638
148944861,16,0,1,44638
149065721,16,0,1,44638
149743121,16,2e-04,1,44638
150722156,16,0,1,44638
152050895,16,3e-04,1,44638
147193069,16,2e-04,1,44638
151113231,16,0,1,44638
4305405,15,1e-04,1,44638
5487372,15,4e-04,1,44638
868040,15,2e-04,1,44638
146165294,15,3e-04,1,44638
147203341,15,0,1,44638
147870006,15,0,1,44638
148019793,15,0,1,44638
65489508,15,0,1,44638
142008057,15,2e-04,1,44638
142014010,15,2e-04,1,44638
145568886,15,0,1,44638
145783330,15,2e-04,1,44638
145918895,15,0,1,44638
147669076,15,0,1,44638
107587651,15,0,1,44638
128697604,15,0,1,44638
47821625,15,0,1,44638
50661677,15,0,1,44638
58352628,15,0,1,44638
90304782,15,5e-04,1,44638
93388807,15,0,1,44638
104351962,15,0,1,44638
107906451,15,0,1,44638
111304225,15,1e-04,1,44638
111940841,15,0,1,44638
114185987,15,0,1,44638
122550758,15,0.0015,1,44638
122613559,15,8e-04,1,44638
122650490,15,0,1,44638
123957748,15,0,1,44638
126378299,15,0,1,44638
127829185,15,0,1,44638
137153038,15,2e-04,1,44638
137242099,15,1e-04,1,44638
141175946,15,2e-04,1,44638
143246960,15,0,1,44638
145353047,15,0,1,44638
147077467,15,0,1,44638
128734586,15,0,1,44638
129865072,15,0,1,44638
132133020,15,0,1,44638
132675567,15,0,1,44638
137246063,15,0,1,44638
139253887,15,0,1,44638
140541696,15,0,1,44638
141025902,15,0,1,44638
142005700,15,0,1,44638
142008642,15,0,1,44638
142009261,15,0,1,44638
142011720,15,0,1,44638
142174146,15,0,1,44638
143797354,15,0,1,44638
144278149,15,0,1,44638
130822294,15,0,1,44638
132858314,15,0,1,44638
149243919,15,0,1,44638
149938857,15,0,1,44638
149976050,15,0,1,44638
151111771,15,0,1,44638
28633698,15,0,1,44638
53969052,15,0,1,44638
56357215,15,0,1,44638
78616592,15,0,1,44638
90235592,15,0,1,44638
101365161,15,0,1,44638
101962312,15,0,1,44638
103517820,15,0,1,44638
105819654,15,1e-04,1,44638
109489505,15,0,1,44638
112482092,15,0,1,44638
113968283,15,0,1,44638
113990847,15,0,1,44638
122278476,15,0,1,44638
122554173,15,0,1,44638
122558771,15,2e-04,1,44638
122591394,15,0,1,44638
149125963,15,0,1,44638
149721682,15,0,1,44638
149806990,15,0,1,44638
150001660,15,0,1,44638
151171758,15,0,1,44638
11593064,15,0,1,44638
146790744,15,0,1,44638
145457690,15,0,1,44638
147164982,15,0,1,44638
148809689,15,0,1,44638
150537687,15,0,1,44638
151184011,15,0,1,44638
151462605,15,0,1,44638
119622273,15,1e-04,1,44638
142105868,15,1e-04,1,44638
151315610,15,0,1,44638
148089546,15,0,1,44638
147596060,15,0,1,44638
148403900,15,0,1,44638
150758219,15,0,1,44638
146136838,15,0,1,44638
148563317,15,0,1,44638
3930789,14,1e-04,1,44638
17324006,14,2e-04,1,44638
17688526,14,1e-04,1,44638
10001802,14,4e-04,1,44638
7114049,14,3e-04,1,44638
35093160,14,5e-04,1,44638
114870646,14,0,1,44638
144755776,14,0,1,44638
149176254,14,0,1,44638
150297896,14,4e-04,1,44638
149753910,14,0,1,44638
146650259,14,5e-04,1,44638
150282495,14,0,1,44638
65080655,14,0,1,44638
72634316,14,0,1,44638
109182873,14,0,1,44638
110750769,14,0,1,44638
116122468,14,0,1,44638
122991424,14,0,1,44638
125821184,14,1e-04,1,44638
136796137,14,0,1,44638
144523207,14,2e-04,1,44638
146338726,14,0,1,44638
149938512,14,1e-04,1,44638
148405894,14,0,1,44638
113988022,14,3e-04,1,44638
12179026,14,0,1,44638
14561121,14,0,1,44638
23109553,14,2e-04,1,44638
28204802,14,0,1,44638
60625355,14,0,1,44638
65658118,14,0,1,44638
66075719,14,0,1,44638
68076555,14,0,1,44638
76947269,14,0,1,44638
100131625,14,0,1,44638
101054871,14,0,1,44638
105558588,14,0,1,44638
106195450,14,0,1,44638
117192942,14,0,1,44638
121125993,14,2e-04,1,44638
125798923,14,0,1,44638
126558303,14,0,1,44638
126976807,14,1e-04,1,44638
128888068,14,1e-04,1,44638
131850174,14,0,1,44638
134503813,14,0,1,44638
137085081,14,0,1,44638
141169263,14,0,1,44638
141546999,14,0,1,44638
142367268,14,0,1,44638
142816705,14,1e-04,1,44638
143313106,14,0,1,44638
144179433,14,2e-04,1,44638
145787149,14,0,1,44638
146102651,14,0,1,44638
146417963,14,0,1,44638
147607617,14,0,1,44638
125244886,14,0,1,44638
125761914,14,0,1,44638
125968474,14,0,1,44638
127803454,14,0,1,44638
129511236,14,0,1,44638
130298507,14,0,1,44638
130942761,14,0,1,44638
132369263,14,0,1,44638
134962059,14,0,1,44638
135793646,14,0,1,44638
139262381,14,0,1,44638
142008887,14,0,1,44638
142027992,14,0,1,44638
142043865,14,0,1,44638
142053187,14,0,1,44638
142054039,14,0,1,44638
142117038,14,0,1,44638
142194958,14,0,1,44638
142392025,14,1e-04,1,44638
143468772,14,0,1,44638
144150919,14,0,1,44638
131389355,14,0,1,44638
150483752,14,0,1,44638
150964474,14,0,1,44638
151367238,14,2e-04,1,44638
151494340,14,0,1,44638
15331010,14,0,1,44638
66045134,14,0,1,44638
69829861,14,0,1,44638
76581649,14,0,1,44638
79096802,14,0,1,44638
88387569,14,0,1,44638
92102732,14,0,1,44638
101457083,14,0,1,44638
107154334,14,0,1,44638
109177016,14,0,1,44638
114987737,14,1e-04,1,44638
120588322,14,0,1,44638
148041484,14,0,1,44638
148424754,14,2e-04,1,44638
148951721,14,0,1,44638
149651292,14,0,1,44638
152889066,14,3e-04,1,44638
13861511,14,0,1,44638
150498482,14,0.0011,1,44638
139543249,14,0,1,44638
147810056,14,9e-04,1,44638
148404715,14,3e-04,1,44638
148405938,14,0,1,44638
148547615,14,0,1,44638
148802691,14,0,1,44638
150660572,14,0,1,44638
150712021,14,0,1,44638
150974558,14,0,1,44638
151478078,14,0,1,44638
152019296,14,0,1,44638
67840062,14,2e-04,1,44638
147598360,14,0,1,44638
145649779,14,0,1,44638
145270909,14,0,1,44638
148462172,14,0,1,44638
150405852,14,0,1,44638
148239805,14,0,1,44638
150296569,14,1e-04,1,44638
150664707,14,4e-04,1,44638
151360297,14,0,1,44638
148483285,14,0,1,44638
3033014,13,3e-04,1,44638
17821674,13,0,1,44638
11198213,13,2e-04,1,44638
7830560,13,0,1,44638
6831790,13,1e-04,1,44638
112316307,13,1e-04,1,44638
145909650,13,2e-04,1,44638
110987459,13,0,1,44638
115504989,13,1e-04,1,44638
132180160,13,0,1,44638
151959058,13,4e-04,1,44638
7079277,13,0,1,44638
45113100,13,0,1,44638
55385214,13,0,1,44638
74119380,13,2e-04,1,44638
104846702,13,1e-04,1,44638
124694529,13,1e-04,1,44638
128494667,13,0,1,44638
132684686,13,0,1,44638
136357726,13,0,1,44638
139350339,13,0,1,44638
142043711,13,1e-04,1,44638
136114698,13,0,1,44638
17529000,13,0,1,44638
49291334,13,0,1,44638
55614745,13,0,1,44638
63093963,13,0,1,44638
66052671,13,1e-04,1,44638
77302483,13,0,1,44638
77713066,13,0,1,44638
81889980,13,0.0012,1,44638
82193564,13,0,1,44638
83095108,13,0,1,44638
85007544,13,0,1,44638
101448544,13,1e-04,1,44638
101478559,13,0,1,44638
101731001,13,0,1,44638
108842071,13,0,1,44638
111979675,13,1e-04,1,44638
115822008,13,0,1,44638
116007922,13,0,1,44638
120316504,13,1e-04,1,44638
121220767,13,0,1,44638
121736427,13,0,1,44638
121830042,13,0,1,44638
125338962,13,0,1,44638
125566836,13,0,1,44638
125778423,13,0,1,44638
128064401,13,0,1,44638
135010526,13,0,1,44638
137220178,13,0,1,44638
139136427,13,0,1,44638
139887843,13,0,1,44638
141326448,13,3e-04,1,44638
142018847,13,3e-04,1,44638
146992042,13,0,1,44638
147315647,13,2e-04,1,44638
122595710,13,0,1,44638
122634216,13,0,1,44638
123247317,13,0,1,44638
125143568,13,0,1,44638
125504219,13,0,1,44638
125738464,13,0,1,44638
135252795,13,0,1,44638
135386218,13,0,1,44638
137976543,13,0,1,44638
142006056,13,0,1,44638
142007560,13,0,1,44638
142009996,13,0,1,44638
142011092,13,0,1,44638
142015994,13,0,1,44638
142159260,13,0,1,44638
142317279,13,0,1,44638
36894888,13,6e-04,1,44638
145336091,13,0,1,44638
150371096,13,0,1,44638
150457160,13,3e-04,1,44638
151173555,13,5e-04,1,44638
151638345,13,0,1,44638
151868468,13,1e-04,1,44638
20840319,13,0,1,44638
24052002,13,0,1,44638
32972811,13,1e-04,1,44638
34782907,13,0,1,44638
65380764,13,0,1,44638
69400001,13,0,1,44638
71510854,13,0,1,44638
77375195,13,0,1,44638
79864754,13,0,1,44638
81316529,13,0,1,44638
89383642,13,0,1,44638
94113628,13,0,1,44638
105566931,13,0,1,44638
111232601,13,0,1,44638
111929509,13,0,1,44638
112647789,13,0,1,44638
114282983,13,0,1,44638
116464224,13,0,1,44638
117178588,13,0,1,44638
121482714,13,0,1,44638
122551838,13,0,1,44638
148386221,13,0,1,44638
149745493,13,0,1,44638
150128656,13,0,1,44638
150517783,13,0,1,44638
150549202,13,0,1,44638
150941931,13,0,1,44638
152979882,13,0,1,44638
103791949,13,6e-04,1,44638
142045089,13,0.0037,1,44638
146705593,13,0,1,44638
146825747,13,1e-04,1,44638
147175450,13,0,1,44638
147454393,13,0,1,44638
148083047,13,0,1,44638
148427082,13,0,1,44638
150573012,13,0,1,44638
150636820,13,0,1,44638
