层,距开局秒,计数,占比,累计占比
注单层·逐秒,45,69,5E-7,0.9999949
注单层·逐秒,46,56,4E-7,0.9999953
注单层·逐秒,47,61,5E-7,0.9999958
注单层·逐秒,48,59,5E-7,0.9999962
注单层·逐秒,49,45,3E-7,0.9999966
注单层·逐秒,50,53,4E-7,0.9999970
注单层·逐秒,51,40,3E-7,0.9999973
注单层·逐秒,52,45,3E-7,0.9999976
注单层·逐秒,53,34,3E-7,0.9999979
注单层·逐秒,54,29,2E-7,0.9999981
注单层·逐秒,55,29,2E-7,0.9999983
注单层·逐秒,56,30,2E-7,0.9999986
注单层·逐秒,57,23,2E-7,0.9999987
注单层·逐秒,58,15,1E-7,0.9999989
注单层·逐秒,59,18,1E-7,0.9999990
注单层·逐秒,60,16,1E-7,0.9999991
注单层·逐秒,61,15,1E-7,0.9999992
注单层·逐秒,62,10,1E-7,0.9999993
注单层·逐秒,63,3,0E-7,0.9999993
注单层·逐秒,64,8,1E-7,0.9999994
注单层·逐秒,65,2,0E-7,0.9999994
注单层·逐秒,66,5,0E-7,0.9999995
注单层·逐秒,67,6,0E-7,0.9999995
注单层·逐秒,68,7,1E-7,0.9999995
注单层·逐秒,69,5,0E-7,0.9999996
注单层·逐秒,70,2,0E-7,0.9999996
注单层·逐秒,71,2,0E-7,0.9999996
注单层·逐秒,72,2,0E-7,0.9999996
注单层·逐秒,73,3,0E-7,0.9999997
注单层·逐秒,74,3,0E-7,0.9999997
注单层·逐秒,75,1,0E-7,0.9999997
注单层·逐秒,77,1,0E-7,0.9999997
注单层·逐秒,78,2,0E-7,0.9999997
注单层·逐秒,79,4,0E-7,0.9999997
注单层·逐秒,80,1,0E-7,0.9999997
注单层·逐秒,81,4,0E-7,0.9999998
注单层·逐秒,82,7,1E-7,0.9999998
注单层·逐秒,83,2,0E-7,0.9999998
注单层·逐秒,84,1,0E-7,0.9999999
注单层·逐秒,85,2,0E-7,0.9999999
注单层·逐秒,87,2,0E-7,0.9999999
注单层·逐秒,90,3,0E-7,0.9999999
注单层·逐秒,92,2,0E-7,0.9999999
注单层·逐秒,93,1,0E-7,0.9999999
注单层·逐秒,96,2,0E-7,0.9999999
注单层·逐秒,98,1,0E-7,1.0000000
注单层·逐秒,101,1,0E-7,1.0000000
注单层·逐秒,131,1,0E-7,1.0000000
注单层·逐秒,132,1,0E-7,1.0000000
注单层·逐秒,142,1,0E-7,1.0000000
注单层·逐秒,175,1,0E-7,1.0000000
注单层·逐秒,215,1,0E-7,1.0000000
