桌号,房间,年月,局数,短制式局数,长制式局数,逾制局数,制式纯度,最末下注秒P50,最末下注秒P95,最末下注秒最大
912,4,2026-05,2265,57,2022,186,0.8927152,24.0,33.0,35
912,0,2026-06,24814,2659,22154,1,0.8928025,23.0,25.0,60
907,0,2026-05,25110,2686,22422,2,0.8929510,23.0,25.0,55
907,0,2026-04,21135,2255,18879,1,0.8932576,23.0,25.0,50
911,0,2026-07,25828,2752,23073,3,0.8933328,23.0,25.0,46
907,2,2026-03,282,2,252,28,0.8936170,24.0,33.0,35
910,9,2026-05,47,2,42,3,0.8936170,24.0,30.29999542236328,35
910,0,2026-06,24974,2635,22337,2,0.8944102,23.0,25.0,96
907,0,2026-08,9991,1053,8938,0,0.8946051,23.0,25.0,25
906,0,2026-08,10099,1046,9053,0,0.8964254,23.0,25.0,25
909,7,2026-05,311,8,279,24,0.8971061,24.0,33.949981689453125,35
910,0,2026-07,26459,2718,23741,0,0.8972750,23.0,25.0,25
909,0,2026-06,24711,2528,22181,2,0.8976164,23.0,25.0,52
910,2,2026-05,1395,40,1253,102,0.8982079,24.0,33.0,35
903,7,2026-05,267,7,240,20,0.8988764,24.0,33.0,35
907,0,2026-07,26562,2676,23881,5,0.8990663,23.0,25.0,67
908,8,2026-05,119,5,107,7,0.8991597,24.0,32.09999084472656,34
909,11,2026-05,735,20,661,54,0.8993197,24.0,32.0,35
906,11,2026-05,805,15,724,66,0.8993789,24.0,33.0,35
908,0,2026-07,26150,2621,23528,1,0.8997323,23.0,25.0,29
906,9,2026-05,60,0,54,6,0.9000000,24.0,33.0,34
909,0,2026-07,26178,2604,23567,7,0.9002598,23.0,25.0,57
913,0,2026-06,24631,2454,22177,0,0.9003695,23.0,25.0,25
908,0,2026-06,25148,2502,22645,1,0.9004692,23.0,25.0,26
906,0,2026-04,24538,2431,22104,3,0.9008069,23.0,25.0,30
912,6,2026-05,242,8,218,16,0.9008264,24.0,30.399993896484375,35
902,0,2026-03,7213,709,6501,3,0.9012893,23.0,25.0,56
911,10,2026-05,962,21,868,73,0.9022869,24.0,33.0,35
910,4,2026-05,2248,58,2029,161,0.9025801,24.0,33.0,41
911,2,2026-05,1390,30,1255,105,0.9028777,24.0,33.0,35
907,0,2026-06,24848,2408,22440,0,0.9030908,23.0,25.0,25
906,0,2026-07,26606,2575,24029,2,0.9031421,23.0,25.0,41
905,0,2026-08,10159,980,9178,1,0.9034354,23.0,25.0,48
905,0,2026-04,24602,2353,22246,3,0.9042354,23.0,25.0,45
910,8,2026-05,115,5,104,6,0.9043478,24.0,27.25,35
906,8,2026-05,115,2,104,9,0.9043478,24.0,33.0,35
908,6,2026-05,241,4,218,19,0.9045643,24.0,33.44999694824219,35
912,7,2026-05,265,5,240,20,0.9056604,24.0,33.0,35
912,2,2026-05,1303,33,1181,89,0.9063699,24.0,33.0,35
913,0,2026-07,26025,2433,23591,1,0.9064745,23.0,25.0,26
903,8,2026-05,150,3,136,11,0.9066667,24.0,34.0,35
906,4,2026-05,2303,34,2091,178,0.9079462,24.0,33.0,35
909,6,2026-05,230,5,209,16,0.9086957,24.0,33.0,35
906,0,2026-06,25160,2292,22868,0,0.9089030,23.0,25.0,25
901,0,2026-03,7170,653,6517,0,0.9089261,23.0,25.0,25
909,9,2026-08,22,2,20,0,0.9090909,23.5,25.0,25
910,9,2026-03,11,1,10,0,0.9090909,23.0,24.0,24
912,11,2026-05,782,21,711,50,0.9092072,24.0,33.0,35
905,0,2026-06,25171,2279,22891,1,0.9094196,23.0,25.0,40
906,6,2026-05,267,4,243,20,0.9101124,24.0,33.0,35
910,7,2026-05,280,5,255,20,0.9107143,24.0,32.0,35
912,7,2026-03,56,5,51,0,0.9107143,24.0,25.0,25
903,2,2026-05,1471,16,1340,115,0.9109449,24.0,34.0,35
903,0,2026-08,10107,896,9209,2,0.9111507,23.0,25.0,131
901,4,2026-05,2232,13,2034,185,0.9112903,24.0,34.0,35
908,1,2026-05,1489,24,1357,108,0.9113499,24.0,34.0,35
909,4,2026-05,2113,51,1926,136,0.9115002,24.0,32.0,35
901,2,2026-05,1387,15,1265,107,0.9120404,24.0,33.1500244140625,35
903,1,2026-05,1592,8,1452,132,0.9120603,24.0,34.0,35
903,0,2026-04,24827,2177,22648,2,0.9122326,23.0,25.0,30
905,0,2026-07,26589,2321,24266,2,0.9126330,23.0,25.0,29
908,10,2026-05,836,14,763,59,0.9126794,24.0,32.70001220703125,35
912,10,2026-05,826,25,754,47,0.9128329,24.0,31.0,35
910,10,2026-05,868,22,793,53,0.9135945,24.0,32.0999755859375,35
908,4,2026-05,2097,34,1916,147,0.9136862,24.0,33.0,35
910,3,2026-05,3544,62,3240,242,0.9142212,24.0,33.0,35
906,10,2026-05,877,20,804,53,0.9167617,24.0,32.0,35
902,7,2026-05,265,5,243,17,0.9169811,24.0,33.25,35
910,11,2026-05,773,17,709,47,0.9172057,24.0,32.0,35
902,10,2026-05,994,10,912,72,0.9175050,24.0,33.0,35
901,9,2026-05,49,0,45,4,0.9183673,24.0,34.0,34
902,3,2026-05,3689,35,3388,266,0.9184061,24.0,33.0,35
905,2,2026-05,1413,14,1298,101,0.9186129,24.0,33.0,35
903,4,2026-05,2151,19,1976,156,0.9186425,24.0,33.0,35
901,1,2026-05,1586,8,1457,121,0.9186633,24.0,34.0,35
905,1,2026-05,1526,12,1402,112,0.9187418,24.0,33.0,35
911,3,2026-05,3744,89,3440,215,0.9188034,24.0,32.0,35
900,0,2026-03,2598,208,2388,2,0.9191686,23.0,25.0,47
902,0,2026-04,24446,1969,22473,4,0.9192915,23.0,25.0,48
902,0,2026-08,10169,819,9349,1,0.9193628,23.0,25.0,58
906,7,2026-05,249,4,229,16,0.9196787,24.0,34.0,35
909,3,2026-05,3654,60,3361,233,0.9198139,24.0,32.0,35
903,0,2026-07,26507,2121,24382,4,0.9198325,23.0,25.0,55
901,5,2026-05,100,1,92,7,0.9200000,24.0,33.5,35
902,9,2026-08,25,2,23,0,0.9200000,24.0,25.0,25
903,0,2026-06,25350,2021,23326,3,0.9201578,23.0,25.0,56
903,10,2026-05,815,11,750,54,0.9202454,24.0,32.0,35
911,7,2026-05,214,4,197,13,0.9205607,24.0,30.0,35
902,6,2026-05,240,4,221,15,0.9208333,24.0,32.0,35
902,2,2026-05,1417,14,1305,98,0.9209598,24.0,33.0,35
911,1,2026-05,1519,36,1399,84,0.9210007,24.0,30.0,35
912,5,2026-05,114,1,105,8,0.9210526,24.0,34.0,35
902,9,2026-05,38,0,35,3,0.9210526,24.0,32.599998474121094,35
901,7,2026-05,279,4,257,18,0.9211470,24.0,33.0,35
912,1,2026-05,1636,35,1508,93,0.9217604,24.0,30.699951171875,35
902,4,2026-05,2263,17,2086,160,0.9217852,24.0,33.0,58
908,2,2026-05,1389,20,1281,88,0.9222462,24.0,33.0,35
913,9,2026-08,13,1,12,0,0.9230769,24.0,25.0,25
908,3,2026-05,3826,82,3533,211,0.9234187,24.0,31.0,35
902,0,2026-07,27069,2070,24997,2,0.9234549,23.0,25.0,45
909,2,2026-05,1402,28,1295,79,0.9236805,24.0,31.0,35
910,1,2026-05,1707,31,1578,98,0.9244288,24.0,31.0,35
909,8,2026-05,120,2,111,7,0.9250000,24.0,31.5,35
908,11,2026-05,871,14,806,51,0.9253731,24.0,31.0,35
905,4,2026-05,2133,26,1974,133,0.9254571,24.0,32.8499755859375,35
901,6,2026-05,283,2,262,19,0.9257951,24.0,33.0,35
909,1,2026-05,1593,34,1475,84,0.9259259,24.0,31.0,35
911,4,2026-05,2063,38,1912,113,0.9268056,24.0,30.3499755859375,35
911,5,2026-05,123,0,114,9,0.9268293,24.0,34.0,35
907,9,2026-06,41,3,38,0,0.9268293,24.0,25.0,25
906,2,2026-05,1426,17,1322,87,0.9270687,24.0,32.0,35
911,8,2026-04,124,9,115,0,0.9274194,24.0,25.0,25
902,0,2026-06,25393,1831,23558,4,0.9277360,23.0,25.0,215
903,3,2026-05,3793,29,3520,244,0.9280253,24.0,33.0,35
912,3,2026-05,3678,105,3414,159,0.9282219,24.0,25.0,35
908,7,2026-05,293,6,272,15,0.9283276,24.0,26.70001220703125,35
902,5,2026-05,112,2,104,6,0.9285714,24.0,32.20001220703125,35
907,9,2026-03,14,1,13,0,0.9285714,23.5,25.0,25
906,3,2026-05,3807,46,3536,225,0.9288153,24.0,32.0,35
902,11,2026-05,835,10,776,49,0.9293413,24.0,32.75,35
901,0,2026-08,10300,717,9582,1,0.9302913,23.0,25.0,47
901,0,2026-04,24773,1719,23050,4,0.9304485,23.0,25.0,30
911,11,2026-03,247,17,230,0,0.9311741,23.0,25.0,25
905,3,2026-05,3746,48,3496,202,0.9332621,24.0,30.199951171875,48
910,5,2026-05,135,1,126,8,0.9333333,24.0,29.75,35
905,9,2026-05,30,0,28,2,0.9333333,24.0,31.0,31
901,0,2026-06,25866,1722,24142,2,0.9333488,23.0,25.0,30
902,1,2026-05,1688,12,1576,100,0.9336493,24.0,32.0,35
903,6,2026-05,258,5,241,12,0.9341085,24.0,25.0,34
903,6,2026-03,61,4,57,0,0.9344262,24.0,25.0,25
902,9,2026-04,46,3,43,0,0.9347826,24.0,25.0,25
907,9,2026-04,31,2,29,0,0.9354839,23.0,25.0,25
906,1,2026-05,1539,17,1440,82,0.9356725,24.0,30.5499267578125,35
901,3,2026-05,3708,23,3470,215,0.9358145,24.0,32.0,35
905,11,2026-05,844,11,790,43,0.9360190,24.0,28.0,35
910,9,2026-07,47,3,44,0,0.9361702,23.0,25.0,25
912,8,2026-05,127,5,119,3,0.9370079,24.0,25.0,35
913,9,2026-07,48,3,45,0,0.9375000,24.0,25.0,25
910,6,2026-05,260,1,244,15,0.9384615,24.0,30.5,34
909,5,2026-05,130,2,122,6,0.9384615,24.0,25.0,35
909,11,2026-03,263,16,247,0,0.9391635,24.0,25.0,25
905,6,2026-05,214,1,201,12,0.9392523,24.0,31.600006103515625,35
912,9,2026-05,33,1,31,1,0.9393939,24.0,25.0,34
912,8,2026-08,50,3,47,0,0.9400000,24.0,25.0,25
913,8,2026-08,67,4,63,0,0.9402985,23.0,25.0,25
901,0,2026-07,27054,1601,25450,3,0.9407112,23.0,25.0,41
905,8,2026-04,119,7,112,0,0.9411765,24.0,25.0,25
913,8,2026-03,17,1,16,0,0.9411765,24.0,25.0,25
901,11,2026-05,912,7,859,46,0.9418860,24.0,26.7999267578125,38
905,7,2026-05,277,2,261,14,0.9422383,24.0,29.549957275390625,35
911,11,2026-05,818,20,771,27,0.9425428,24.0,25.0,35
901,8,2026-05,140,1,132,7,0.9428571,24.0,29.5,35
909,9,2026-05,35,0,33,2,0.9428571,24.0,32.5,35
908,9,2026-04,53,3,50,0,0.9433962,24.0,25.0,25
36,0,2026-08,12770,718,12050,2,0.9436179,24.0,25.0,61
35,0,2026-08,12811,712,12096,3,0.9441886,24.0,25.0,50
36,9,2026-03,18,1,17,0,0.9444444,24.0,25.0,25
901,10,2026-05,875,6,827,42,0.9451429,24.0,25.0,62
906,9,2026-06,37,2,35,0,0.9459459,24.0,25.0,25
910,8,2026-08,38,2,36,0,0.9473684,23.0,25.0,25
912,9,2026-08,19,1,18,0,0.9473684,24.0,25.0,25
902,9,2026-03,19,1,18,0,0.9473684,24.0,25.0,25
35,9,2026-08,19,1,18,0,0.9473684,24.0,25.0,25
902,8,2026-05,120,0,114,6,0.9500000,24.0,29.0,35
910,9,2026-06,40,2,38,0,0.9500000,24.0,25.0,25
911,8,2026-03,40,2,38,0,0.9500000,24.0,25.0,25
909,8,2026-03,41,2,39,0,0.9512195,23.0,25.0,25
908,5,2026-05,126,1,120,5,0.9523810,24.0,25.0,35
906,6,2026-08,105,5,100,0,0.9523810,24.0,25.0,25
903,11,2026-05,808,7,770,31,0.9529703,24.0,25.0,35
910,6,2026-03,65,3,62,0,0.9538462,24.0,25.0,25
905,9,2026-06,44,2,42,0,0.9545455,24.0,25.0,25
908,8,2026-03,44,2,42,0,0.9545455,24.0,25.0,25
911,9,2026-03,22,1,21,0,0.9545455,22.5,25.0,25
33,0,2026-08,12662,567,12092,3,0.9549834,24.0,25.0,49
909,8,2026-07,135,6,129,0,0.9555556,24.0,25.0,25
906,6,2026-03,90,4,86,0,0.9555556,24.0,25.0,25
903,9,2026-06,45,2,43,0,0.9555556,24.0,25.0,25
906,9,2026-07,45,2,43,0,0.9555556,24.0,25.0,25
908,5,2026-08,45,2,43,0,0.9555556,24.0,25.0,25
36,0,2026-05,32651,1447,31204,0,0.9556828,24.0,25.0,25
35,0,2026-03,10882,476,10405,1,0.9561661,24.0,25.0,55
36,0,2026-03,10441,453,9986,2,0.9564218,24.0,25.0,43
35,0,2026-04,32226,1401,30824,1,0.9564948,24.0,25.0,48
913,9,2026-06,69,3,66,0,0.9565217,24.0,25.0,25
901,8,2026-03,46,1,44,1,0.9565217,23.5,25.0,50
902,5,2026-03,46,2,44,0,0.9565217,24.0,25.0,25
36,0,2026-04,31281,1321,29957,3,0.9576740,24.0,25.0,48
910,10,2026-03,310,13,297,0,0.9580645,24.0,25.0,25
32,0,2026-08,12612,526,12086,0,0.9582937,24.0,25.0,25
906,5,2026-05,144,1,138,5,0.9583333,24.0,25.0,35
909,7,2026-03,72,3,69,0,0.9583333,23.0,25.0,25
900,7,2026-03,24,1,23,0,0.9583333,23.0,24.0,24
911,6,2026-06,267,11,256,0,0.9588015,24.0,25.0,25
903,8,2026-03,49,2,47,0,0.9591837,24.0,25.0,25
912,10,2026-08,369,15,354,0,0.9593496,24.0,25.0,25
36,0,2026-07,32849,1316,31522,11,0.9596030,24.0,25.0,51
35,0,2026-05,33231,1305,31919,7,0.9605188,24.0,25.0,48
33,0,2026-03,10629,416,10212,1,0.9607677,24.0,25.0,41
913,7,2026-03,51,2,49,0,0.9607843,23.0,25.0,25
910,7,2026-03,51,2,49,0,0.9607843,23.0,25.0,25
35,0,2026-06,31857,1243,30610,4,0.9608563,24.0,25.0,61
911,8,2026-05,130,1,125,4,0.9615385,24.0,25.0,35
911,7,2026-08,104,4,100,0,0.9615385,24.0,25.0,25
907,9,2026-07,52,2,50,0,0.9615385,23.0,25.0,25
912,5,2026-07,132,5,127,0,0.9621212,24.0,25.0,25
33,0,2026-04,32145,1216,30928,1,0.9621403,24.0,25.0,51
35,0,2026-07,33665,1267,32392,6,0.9621862,24.0,25.0,51
905,9,2026-04,53,2,51,0,0.9622642,24.0,25.0,25
911,9,2026-07,53,2,51,0,0.9622642,24.0,25.0,25
36,0,2026-06,31692,1186,30504,2,0.9625142,24.0,25.0,51
911,2,2026-03,378,14,364,0,0.9629630,24.0,25.0,25
906,5,2026-08,54,2,52,0,0.9629630,24.0,25.0,25
900,5,2026-03,27,1,26,0,0.9629630,24.0,25.0,25
912,2,2026-08,489,18,471,0,0.9631902,24.0,25.0,25
910,11,2026-08,354,12,341,1,0.9632768,24.0,25.0,54
910,7,2026-08,109,4,105,0,0.9633028,24.0,25.0,25
913,5,2026-05,109,4,105,0,0.9633028,24.0,25.0,25
908,4,2026-03,630,23,607,0,0.9634921,24.0,25.0,25
912,3,2026-03,1096,39,1056,1,0.9635036,24.0,25.0,43
912,9,2026-06,55,2,53,0,0.9636364,24.0,25.0,25
913,2,2026-03,248,9,239,0,0.9637097,24.0,25.0,25
33,0,2026-06,31747,1148,30595,4,0.9637131,24.0,25.0,42
901,7,2026-03,84,3,81,0,0.9642857,24.0,25.0,25
1,9,2026-08,28,27,0,1,0.9642857,13.0,14.700006484985352,30
913,7,2026-08,113,4,109,0,0.9646018,24.0,25.0,25
908,8,2026-06,113,4,109,0,0.9646018,24.0,25.0,25
31,0,2026-08,12915,457,12458,0,0.9646148,24.0,25.0,25
912,5,2026-08,57,2,55,0,0.9649123,23.0,25.0,25
32,0,2026-03,10704,371,10331,2,0.9651532,24.0,25.0,60
33,0,2026-05,32995,1138,31850,7,0.9652978,24.0,25.0,54
913,4,2026-03,433,15,418,0,0.9653580,24.0,25.0,25
912,11,2026-03,231,8,223,0,0.9653680,24.0,25.0,25
33,0,2026-07,33034,1131,31892,11,0.9654296,24.0,25.0,61
912,10,2026-03,264,9,255,0,0.9659091,23.0,25.0,25
913,11,2026-06,861,29,832,0,0.9663182,24.0,25.0,25
912,7,2026-08,119,4,115,0,0.9663866,24.0,25.0,25
906,7,2026-06,268,9,259,0,0.9664179,24.0,25.0,25
913,11,2026-07,953,32,921,0,0.9664218,24.0,25.0,25
909,6,2026-03,90,3,87,0,0.9666667,24.0,25.0,25
907,8,2026-08,60,2,58,0,0.9666667,24.0,25.0,25
32,0,2026-07,33111,1089,32018,4,0.9669898,24.0,25.0,42
909,10,2026-03,243,8,235,0,0.9670782,23.0,25.0,25
903,10,2026-03,276,8,267,1,0.9673913,24.0,25.0,28
913,11,2026-04,811,26,785,0,0.9679408,24.0,25.0,25
905,5,2026-05,125,3,121,1,0.9680000,24.0,25.0,35
910,7,2026-04,283,9,274,0,0.9681979,24.0,25.0,25
906,10,2026-03,225,7,218,0,0.9688889,24.0,25.0,25
912,2,2026-03,419,13,406,0,0.9689737,24.0,25.0,25
912,6,2026-07,259,8,251,0,0.9691120,24.0,25.0,25
32,0,2026-05,32774,1009,31762,3,0.9691219,24.0,25.0,51
913,7,2026-05,260,8,252,0,0.9692308,24.0,25.0,25
910,11,2026-03,195,6,189,0,0.9692308,24.0,25.0,25
911,8,2026-08,65,2,63,0,0.9692308,24.0,25.0,25
909,4,2026-08,887,27,860,0,0.9695603,24.0,25.0,25
32,0,2026-04,31860,965,30895,0,0.9697112,24.0,25.0,25
910,11,2026-07,793,23,769,1,0.9697352,24.0,25.0,29
913,10,2026-05,933,28,905,0,0.9699893,24.0,25.0,25
907,8,2026-04,100,3,97,0,0.9700000,24.0,25.0,25
912,10,2026-04,836,25,811,0,0.9700957,24.0,25.0,25
907,7,2026-05,305,9,296,0,0.9704918,24.0,25.0,25
910,6,2026-08,102,3,99,0,0.9705882,24.0,25.0,25
907,6,2026-04,205,6,199,0,0.9707317,24.0,25.0,25
32,0,2026-06,31603,916,30681,6,0.9708256,24.0,25.0,61
913,11,2026-08,379,11,368,0,0.9709763,24.0,25.0,25
913,11,2026-05,724,21,703,0,0.9709945,24.0,25.0,25
906,8,2026-08,69,2,67,0,0.9710145,24.0,25.0,25
903,7,2026-06,242,7,235,0,0.9710744,24.0,25.0,25
913,10,2026-04,935,27,908,0,0.9711230,24.0,25.0,25
31,0,2026-03,10754,306,10445,3,0.9712665,24.0,25.0,57
913,3,2026-03,662,19,643,0,0.9712991,24.0,25.0,25
908,6,2026-08,105,3,102,0,0.9714286,24.0,25.0,25
907,6,2026-08,106,3,103,0,0.9716981,24.0,25.0,25
911,11,2026-08,284,8,276,0,0.9718310,24.0,25.0,25
908,6,2026-03,71,2,69,0,0.9718310,23.0,25.0,25
31,0,2026-07,33160,924,32226,10,0.9718335,24.0,25.0,59
31,0,2026-05,32872,911,31955,6,0.9721039,24.0,25.0,78
913,10,2026-07,934,26,908,0,0.9721627,24.0,25.0,25
910,9,2026-04,36,1,35,0,0.9722222,23.5,25.0,25
911,9,2026-06,36,1,35,0,0.9722222,24.0,25.0,25
31,0,2026-06,31687,868,30814,5,0.9724493,24.0,25.0,62
909,11,2026-04,764,21,743,0,0.9725131,24.0,25.0,25
908,11,2026-08,292,8,284,0,0.9726027,24.0,25.0,25
912,6,2026-04,256,7,249,0,0.9726563,24.0,25.0,25
913,1,2026-04,1542,42,1500,0,0.9727626,24.0,25.0,25
911,3,2026-04,3713,100,3612,1,0.9727983,24.0,25.0,48
910,6,2026-07,295,8,287,0,0.9728814,24.0,25.0,25
910,8,2026-03,37,1,36,0,0.9729730,24.0,25.0,25
909,11,2026-06,778,21,757,0,0.9730077,24.0,25.0,25
909,7,2026-06,261,7,254,0,0.9731801,24.0,25.0,25
903,11,2026-03,300,8,292,0,0.9733333,24.0,25.0,25
909,8,2026-04,150,4,146,0,0.9733333,24.0,25.0,25
911,10,2026-06,901,24,877,0,0.9733629,24.0,25.0,25
906,11,2026-03,228,6,222,0,0.9736842,24.0,25.0,25
911,5,2026-04,152,4,148,0,0.9736842,24.0,25.0,25
913,5,2026-06,114,3,111,0,0.9736842,24.0,25.0,25
1,9,2026-05,76,74,0,2,0.9736842,13.0,13.0,34
900,11,2026-03,76,2,74,0,0.9736842,24.0,25.0,25
912,8,2026-03,38,1,37,0,0.9736842,24.0,25.0,25
903,5,2026-07,153,4,149,0,0.9738562,24.0,25.0,25
912,11,2026-04,768,20,748,0,0.9739583,24.0,25.0,25
912,7,2026-04,269,7,262,0,0.9739777,24.0,25.0,25
913,6,2026-08,77,2,75,0,0.9740260,24.0,25.0,25
912,3,2026-08,1392,36,1356,0,0.9741379,24.0,25.0,25
911,8,2026-07,116,3,113,0,0.9741379,24.0,25.0,25
913,2,2026-04,1437,37,1400,0,0.9742519,24.0,25.0,25
906,3,2026-03,1011,26,985,0,0.9742829,24.0,25.0,25
911,10,2026-04,779,20,759,0,0.9743261,24.0,25.0,25
909,9,2026-06,39,1,38,0,0.9743590,23.0,25.0,25
911,10,2026-07,860,22,838,0,0.9744186,24.0,25.0,25
910,4,2026-03,626,16,610,0,0.9744409,24.0,25.0,25
910,11,2026-04,823,21,802,0,0.9744836,24.0,25.0,25
31,0,2026-04,32229,814,31411,4,0.9746191,24.0,25.0,54
910,1,2026-03,473,12,461,0,0.9746300,24.0,25.0,25
911,3,2026-03,1030,26,1004,0,0.9747573,24.0,25.0,25
911,11,2026-06,793,20,773,0,0.9747793,24.0,25.0,25
913,9,2026-05,40,1,39,0,0.9750000,23.5,25.0,25
912,1,2026-08,601,15,586,0,0.9750416,24.0,25.0,25
903,10,2026-08,361,9,352,0,0.9750693,24.0,25.0,25
908,11,2026-06,804,20,784,0,0.9751244,24.0,25.0,25
913,1,2026-03,323,8,315,0,0.9752322,24.0,25.0,25
910,3,2026-08,1577,39,1538,0,0.9752695,24.0,25.0,25
909,3,2026-03,1011,25,986,0,0.9752720,24.0,25.0,25
913,4,2026-05,2073,51,2022,0,0.9753980,24.0,25.0,25
912,6,2026-06,244,6,238,0,0.9754098,24.0,25.0,25
913,4,2026-08,896,22,874,0,0.9754464,24.0,25.0,25
911,11,2026-04,940,23,917,0,0.9755319,24.0,25.0,25
907,7,2026-07,287,7,280,0,0.9756098,24.0,25.0,25
909,7,2026-07,287,7,280,0,0.9756098,24.0,25.0,25
913,1,2026-08,657,16,641,0,0.9756469,24.0,25.0,25
911,10,2026-03,247,6,241,0,0.9757085,24.0,25.0,25
908,10,2026-04,1114,27,1087,0,0.9757630,24.0,25.0,25
912,8,2026-04,124,3,121,0,0.9758065,24.0,25.0,25
913,10,2026-03,166,4,162,0,0.9759036,24.0,25.0,25
909,5,2026-07,166,4,162,0,0.9759036,24.0,25.0,25
911,3,2026-08,1417,34,1383,0,0.9760056,24.0,25.0,25
913,3,2026-05,3628,87,3541,0,0.9760198,24.0,25.0,25
910,3,2026-04,3424,82,3342,0,0.9760514,24.0,25.0,25
910,10,2026-07,1003,24,979,0,0.9760718,24.0,25.0,25
909,10,2026-04,878,21,857,0,0.9760820,24.0,25.0,25
911,2,2026-07,1464,34,1429,1,0.9760929,24.0,25.0,29
911,7,2026-06,293,7,286,0,0.9761092,24.0,25.0,25
908,2,2026-03,420,10,410,0,0.9761905,24.0,25.0,25
905,7,2026-08,126,3,123,0,0.9761905,24.0,25.0,25
903,9,2026-05,42,0,41,1,0.9761905,24.0,25.0,31
901,9,2026-07,42,1,41,0,0.9761905,24.0,25.0,25
907,5,2026-08,42,1,41,0,0.9761905,24.0,25.0,25
901,9,2026-04,42,1,41,0,0.9761905,24.0,25.0,25
902,5,2026-08,42,1,41,0,0.9761905,24.0,25.0,25
909,9,2026-07,42,1,41,0,0.9761905,24.0,25.0,25
913,9,2026-04,42,1,41,0,0.9761905,24.0,25.0,25
907,10,2026-05,842,20,822,0,0.9762470,24.0,25.0,25
912,4,2026-03,635,15,620,0,0.9763780,24.0,25.0,25
