日期,有效订单数,本金,洗码量,游戏输赢,退水,下注退水,净输赢,残差式一,残差式二,残差式三,游戏输赢率洗码量为分母,游戏输赢率本金为分母,免佣订单数,佣金标脏值订单数
2026-04-07,1015789,100636969.7941326873,90577685.5574982960,-1151711.1618243842,41999.0194435518,90574042.5441066755,-1109712.1423808004,3.20E-8,-90574042.5441066435,-90532043.5246630917,-0.012715175429,-0.011444215423,76871,0
2026-04-08,1060446,119082498.3788929783,106680347.7734168647,-2955878.2823871157,53216.4982421151,106680347.7734168647,-2902661.7841450223,-2.17E-8,-106680347.7734168864,-106627131.2751747713,-0.027707805084,-0.024822105033,85113,0
2026-04-09,1058765,108558678.1294956761,97553590.1277316177,-1716129.5179402946,39310.3167847770,97553590.1277316177,-1676819.2011554049,1.127E-7,-97553590.1277315050,-97514279.8109467280,-0.017591659268,-0.015808312587,74355,0
2026-04-10,1169753,119168017.6932995650,107782774.9432179638,-835567.5996863557,43263.6734119726,107782774.9432179638,-792303.9262742744,1.087E-7,-107782774.9432178551,-107739511.2698058825,-0.007752329629,-0.007011676588,79244,0
2026-04-11,1072109,103866078.4835760619,93371555.9186393727,-1425552.8315733680,67903.3179139595,93371555.9186393727,-1357649.5136594303,-2.18E-8,-93371555.9186393945,-93303652.6007254350,-0.015267527863,-0.013724912429,81452,0
2026-04-12,913266,82785312.9320206406,75224728.3105989299,-750781.6804728067,34577.0011287002,75224728.3105989299,-716204.6793440990,7.5E-9,-75224728.3105989224,-75190151.3094702222,-0.009980517010,-0.009069020263,67501,0
2026-04-13,809086,84369735.8672964116,75520607.5812254272,-2001721.5135105020,33137.8118069378,75520607.5812254272,-1968583.7017035216,4.26E-8,-75520607.5812253846,-75487469.7694184468,-0.026505633067,-0.023725587060,62584,0
2026-04-14,995325,105538074.3313890711,95212835.3755191211,-2394114.6630503321,82274.0663273828,95212835.3755191211,-2311840.5967229672,-1.79E-8,-95212835.3755191390,-95130561.3091917562,-0.025144873100,-0.022684843155,70765,0
2026-04-15,1008329,104382734.3939527016,94548981.1454068871,-2104209.9670306937,76069.4142114120,94548981.1454068871,-2028140.5528192782,3.5E-9,-94548981.1454068836,-94472911.7311954716,-0.022255236826,-0.020158601700,75933,0
2026-04-16,1014772,96334980.8173377965,86793876.0413737357,-2239228.6174611168,95144.5646977806,86793876.0413737357,-2144084.0527633940,-5.78E-8,-86793876.0413737935,-86698731.4766760129,-0.025799384929,-0.023244190204,69299,0
2026-04-17,977094,86784312.0400449655,78714026.6240834382,-1443110.7706330741,41629.9207691453,78714026.6240834382,-1401480.8498639419,-1.31E-8,-78714026.6240834513,-78672396.7033143060,-0.018333591007,-0.016628705543,64883,0
2026-04-18,969696,99689443.4150515731,90166483.8987788209,-1015462.0236855243,42751.5220523224,90166483.8987788209,-972710.5016332392,-3.73E-8,-90166483.8987788582,-90123732.3767265358,-0.011262078544,-0.010186254320,63266,0
2026-04-19,796703,75975926.5944871284,68332134.0177409549,-2251101.8460754074,59610.0695843016,68332134.0177409549,-2191491.7764911079,-2.1E-9,-68332134.0177409570,-68272523.9481566554,-0.032943532036,-0.029629146323,55760,0
2026-04-20,731013,71464121.4173431922,64161190.6363244703,15827.3763347384,41499.3531546717,64161190.6363244703,57326.7294893981,-1.20E-8,-64161190.6363244823,-64119691.2831698106,0.000246681462,0.000221473042,52620,0
2026-04-21,984609,102445092.3336642845,92126082.7027528579,-862691.5233510994,72822.6386109979,92126082.7027528579,-789868.8847401479,-4.64E-8,-92126082.7027529043,-92053260.0641419064,-0.009364248409,-0.008421013674,66299,0
2026-04-22,925598,81914301.0142193576,74298154.7827564894,-1845488.3456450989,41676.1665437458,74298154.7827564894,-1803812.1791013747,-2.16E-8,-74298154.7827565110,-74256478.6162127652,-0.024838952610,-0.022529501232,65691,0
2026-04-23,859185,86702082.6875426637,78474347.5187854247,-1500969.2491592195,52035.0668311687,78474347.5187854247,-1448934.1823280621,-1.13E-8,-78474347.5187854360,-78422312.4519542673,-0.019126877720,-0.017311801547,66664,0
2026-04-24,1037265,88463819.6575984207,80002912.3897176986,-1423337.7195051429,45913.7235361674,80002912.3897176986,-1377423.9959689929,-1.74E-8,-80002912.3897177160,-79956998.6661815486,-0.017791073812,-0.016089489749,67175,0
2026-04-25,910433,93581214.7075912101,84697867.8418117341,-1644114.6775151624,33068.7220343266,84697867.8418117341,-1611045.9554809438,-1.080E-7,-84697867.8418118421,-84664799.1197775155,-0.019411523801,-0.017568853777,59211,0
2026-04-26,766313,81396284.0798904057,73663675.7940924204,-1010995.3237356338,76080.7311141030,73663675.7940924204,-934914.5926215008,3.00E-8,-73663675.7940923904,-73587595.0629782874,-0.013724475637,-0.012420656977,52808,0
2026-04-27,825628,87278843.5512473140,78471356.7537098157,-1489912.9332621233,82623.4541801687,78471356.7537098157,-1407289.4790820318,-7.72E-8,-78471356.7537098929,-78388733.2995297242,-0.018986710500,-0.017070722670,54452,0
2026-04-28,965408,100722075.5784328203,90658511.7264758016,-1702746.2954073629,85655.3758091958,90658511.7264758016,-1617090.9195982024,-3.53E-8,-90658511.7264758369,-90572856.3506666411,-0.018781979353,-0.016905393238,64445,0
2026-04-29,1000330,113496297.3552982407,102598661.5177913838,-1627413.3813847182,47798.3434761957,102598661.5177913838,-1579615.0379085220,5E-10,-102598661.5177913833,-102550863.1743151876,-0.015861935792,-0.014338911659,68945,0
2026-04-30,1043544,109123964.5444976241,98619822.8640919098,-1453567.5524195009,87760.3878608590,98619822.8640919098,-1365807.1645586051,3.68E-8,-98619822.8640918730,-98532062.4762310140,-0.014739101229,-0.013320333059,76724,0
