源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,遊戲ID,"傳送的桌子列表,留空代表所有桌都送",啟停用,註解,来源库,来源表,ODS表名,同步时间
1a7d0f0069655a48ad75166eb4212566,2026-07-23,2096,4096,106,1,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
2c452a39579e33e15587bd296294dab3,2026-07-23,2180,4180,101,"112,113,115",1,Casinogame,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
2e0a1e8d79824bc9a9a5e613692352bf,2026-07-23,2095,4095,102,"1,31",1,tg,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
3fbb536f11b963285569af7eb115f2f4,2026-07-23,2142,4142,108,"1,2,5",1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
44bd0b5990afd790a3f6df1f357e278e,2026-07-23,2103,4103,103,1,1,pp,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
5b64b5ad5dc44f2ddfb98529f4b930b2,2026-07-23,2164,4164,108,"1,2,5",1,ong,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
64442c5bf7dc47d3a46fb3cbeaa0bb44,2026-07-23,16110,30110,110,"",1,現場平板-魚蝦蟹,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
677c4f7d5a23156a209a8a378720ca3a,2026-07-23,2172,4172,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,112,113,115,116",1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
7faa228cf3564c4aa4a8bd4a8f6a8e45,2026-07-23,2132,4132,101,"1,2,5,6,7,8,31,32,33,35,36,112,113,115,116",1,玖鼎,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
8a7cff4e9bd5514527e26b190b7dd7b6,2026-07-23,2099,4099,101,501,1,line,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
8f379f6b66e5540b95f517126f3eebed,2026-07-23,2069,4069,104,1,1,cituo,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
a1d4f1b4589a38b41f52637c889e5ac5,2026-07-23,2101,4101,101,"6,8,101,102,103,105,106,108",1,cnet,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
a412489042b294e677ccd010d9adee29,2026-07-23,2174,4174,103,1,1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
aaa81b902eea687be7e3f245d116f5ae,2026-07-23,2104,4104,104,1,1,pp,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
b2e74b080e5e60dd0c5c048e23e4715b,2026-07-23,2140,4140,105,31,1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
c85d607449b33dc158526931dc9682d1,2026-07-23,2177,4177,107,1,1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
eb97190bd89b4326fe74ee3bd575502b,2026-07-23,2149,4149,108,"1,2",1,kx1,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
30a2c801b11b82ececd34c0c3f08439e,2026-07-23,16111,30111,111,"",1,現場平板-炸金花,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
516c86f343ce0399bcedf86c7a61bdbb,2026-07-23,2078,4078,107,1,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
69d3ac6f3388c92c22f6cda04b0152e4,2026-07-23,2167,4167,104,1,1,ong,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
8a0713e451d23dc01636e9218584c9ee,2026-07-23,2158,4158,102,1,1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
8bfb8fb2d6fa35ab6c649546a6ac72cd,2026-07-23,2137,4137,102,"1,3,31",1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
94a6553d9f63458e5e1c6b149d8b3175,2026-07-23,2080,4080,110,1,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
96215e77d14432b3803242592aff839e,2026-07-23,2138,4138,103,1,1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
b0eff2fe10cfa3bbc265aba0c6c8df8e,2026-07-23,2178,4178,108,"1,2,5",1,WE,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
e51ff48a69000af5d5ab4f7a6e36292b,2026-07-23,2106,4106,102,"1,3,31",1,yy,a168,game_transfer,ods_a168_game_transfer,2026-07-23T04:10:58Z
