IP,承载会员数,订单数,活跃天数,投注金额,游戏盈利,净盈利,订单占全量比,投注额占全量比,入选门槛_承载会员数P999
103.199.33.91,82,1381,63,63982.77408412301,7369.327902186997,7369.327902186997,1.0650953664101977e-05,4.602243670961955e-06,44
104.28.71.167,82,994,89,542847.1745851426,34342.75224368479,34342.752243684794,7.666218640200844e-06,3.9046681068397065e-05,44
49.48.233.212,81,3140,64,44755.01561700202,-1461.7716539856112,-1457.2338113151561,2.4217229909688783e-05,3.219202204273638e-06,44
49.48.233.253,81,3084,74,158440.95232847167,-7359.890307199053,-7338.813115711207,2.3785330267987326e-05,1.1396565411749422e-05,44
49.48.233.104,81,2910,74,495428.5065276576,10255.45998772766,10273.91716804317,2.2443356381272087e-05,3.563588389561303e-05,44
49.48.233.130,81,2627,80,105120.98684151849,3349.29159801538,3495.608982216116,2.0260720691959374e-05,7.561291352272017e-06,44
103.199.32.13,81,1825,57,224359.04921894718,-1763.6969483789032,-1763.6969483789032,1.4075300823306378e-05,1.6138015724878746e-05,44
104.28.119.139,81,1575,86,457522.9200167452,44901.242978391536,44901.242978391536,1.214717742285345e-05,3.29093571372611e-05,44
103.199.33.41,81,1570,52,93761.98216937624,-2609.9841154145256,-2609.9841154145274,1.2108614954844391e-05,6.744244762637414e-06,44
103.199.57.52,81,1215,58,58113.128239912985,-9051.438709851847,-9051.438709851847,9.370679726201233e-06,4.1800434643596755e-06,44
103.199.32.207,81,1154,57,39825.75374154844,3447.9466315119926,3447.9466315119926,8.900217616490718e-06,2.8646432687858813e-06,44
14.188.66.118,81,361,8,5409.005580271041,-54.5555069817677,-54.55550698176776,2.784210190254029e-06,3.8906662073249344e-07,44
49.48.233.156,80,3502,67,59535.27839398974,-4074.342493836252,-3885.870236469819,2.7009152593544624e-05,4.282337896563443e-06,44
49.48.233.9,80,3006,71,66742.58482158389,-7117.915757584829,-7098.129709350245,2.3183755767046013e-05,4.800755249763349e-06,44
49.48.233.196,80,2734,62,54052.11468247137,-1029.074231213847,-1007.6862349079439,2.1085957507353227e-05,3.887937124646216e-06,44
103.199.33.16,80,1867,59,242705.89116632607,9922.350591806622,9922.350591806622,1.439922555458247e-05,1.7457693379421336e-05,44
103.199.32.78,80,1768,56,115314.66955231177,-414.58965009681094,-414.58965009681094,1.363568868800311e-05,8.294517012007581e-06,44
103.199.32.17,80,898,61,35347.820770300445,-7148.767093772425,-7148.767093772425,6.9258192544269194e-06,2.5425481584860006e-06,44
116.96.45.252,80,777,39,13468.910819928762,-935.8215009989208,-935.8215009989208,5.9926075286077015e-06,9.688109098594077e-07,44
116.99.255.252,80,278,11,18542.04243828547,-1612.8080479807697,-1612.8080479807697,2.1440732213036563e-06,1.3337183121524377e-06,44
103.199.33.115,79,3089,57,122845.45650073657,1862.4623144197685,1862.4623144197685,2.3823892735996386e-05,8.836202130648777e-06,44
103.199.33.194,79,2941,60,102038.38599467292,-1914.9381120151295,-1914.9381120151295,2.268244368292825e-05,7.339561668922489e-06,44
49.48.233.215,79,2875,71,104013.3112121526,1701.271201957371,1770.952500678306,2.2173419105208677e-05,7.481616889454486e-06,44
49.48.233.230,79,2405,72,159749.24789760972,4663.401208578844,4913.362251201071,1.854854711235717e-05,1.1490670349976963e-05,44
103.199.32.223,79,2153,59,107690.78588115462,-4890.307013403062,-4890.307013403062,1.660499872470062e-05,7.746135500327552e-06,44
49.48.233.43,79,2100,64,49677.403874682364,1401.6230077562448,1425.172353839497,1.61962365638046e-05,3.573266724438735e-06,44
49.48.233.153,79,2097,62,44579.5528509018,-3826.419997273091,-3809.063657007005,1.6173099082999166e-05,3.206581269712212e-06,44
49.48.233.248,79,1897,76,67872.40139438845,5597.639280700467,5606.376594147858,1.4630600362636821e-05,4.8820222977456904e-06,44
