IP,承载会员数,订单数,活跃天数,投注金额,游戏盈利,净盈利,订单占全量比,投注额占全量比,入选门槛_承载会员数P999
103.199.33.136,75,2100,59,112835.51072626148,3979.3319074460233,3979.3319074460233,1.61962365638046e-05,8.116192561718849e-06,44
49.48.233.171,75,1858,67,77958.13396634239,-254.4526839560076,-202.9958655324981,1.4329813112166165e-05,5.607483166873713e-06,44
103.199.32.50,75,1809,60,82598.07482876007,-540.1189724073572,-540.1189724073568,1.3951900925677391e-05,5.94123141041851e-06,44
49.48.233.37,75,1647,63,38457.13800239453,-1232.573709161121,-1162.9271790467235,1.2702476962183893e-05,2.7661995358646012e-06,44
49.48.233.245,75,1640,61,43582.43434045474,578.7015052988593,716.4830732552473,1.264848950697121e-05,3.1348591160608167e-06,44
49.48.233.109,75,1579,75,41295.07447340908,-572.4299523165116,-567.9634758264863,1.2178027397260697e-05,2.970330653173561e-06,44
103.199.32.141,75,1471,64,81677.96939461226,-2321.2561021691963,-2321.2561021691963,1.1345078088265032e-05,5.875048762486474e-06,44
103.199.33.107,75,1469,57,120286.67381136162,7718.206196473305,7718.206196473305,1.1329653101061408e-05,8.652150382250685e-06,44
103.199.57.90,75,1197,49,59296.268933696134,-1554.323471538358,-1554.323471538358,9.231854841368622e-06,4.265146085303586e-06,44
103.199.33.155,75,912,53,26978.938405382272,2616.092385003908,2616.092385003908,7.033794164852284e-06,1.940579324713174e-06,44
103.199.56.37,75,886,48,55645.13303693125,2752.6255716959413,2752.6255716959413,6.833269331205179e-06,4.002522006975638e-06,44
103.199.33.177,75,862,53,34494.95774878504,-6298.752361540365,-6298.752361540365,6.648169484761698e-06,2.4812022181270196e-06,44
171.246.20.165,75,166,3,1934.926576446876,-80.62194068528648,-80.62194068528645,1.2802739379007446e-06,1.3917814158105482e-07,44
49.48.233.67,74,2917,69,237000.09055282368,22504.598693230742,22536.229922005245,2.249734383648477e-05,1.7047278464826713e-05,44
49.48.233.57,74,2110,63,114602.1616664139,16723.10558709208,17181.44059184492,1.6273361499822716e-05,8.243266734799022e-06,44
49.48.233.2,74,2058,73,73438.88532461932,793.3922321158918,876.3663151415021,1.5872311832528508e-05,5.282416244462256e-06,44
49.48.233.228,74,1796,71,37347.90214670996,-3326.981815083216,-3313.8155396960265,1.3851638508853839e-05,2.686412846876773e-06,44
103.199.32.109,74,1481,55,51730.006050514414,-3776.1077670021778,-3776.1077670021778,1.142220302428315e-05,3.7209092033394724e-06,44
103.199.32.159,74,1478,55,115994.79047023694,-8518.96260415312,-8518.96260415312,1.1399065543477713e-05,8.343437713474739e-06,44
103.199.32.111,74,1462,51,106568.86608300118,-5502.963085540418,-5502.963085540418,1.1275665645848726e-05,7.665436462746125e-06,44
103.199.33.84,74,1449,51,74145.0227097644,4601.699455400895,4601.699455400895,1.1175403229025174e-05,5.333208295262379e-06,44
103.199.33.75,74,1286,67,71586.21426056066,-5986.962891232863,-5986.962891232863,9.918266771929865e-06,5.149154693974809e-06,44
103.199.33.148,74,1098,56,404814.68956502597,-31551.394662655082,-31551.394662655082,8.468317974789263e-06,2.9118084822542522e-05,44
103.199.32.150,74,922,54,53249.597137801255,-1264.067928803126,-1264.067928803126,7.1109191008704e-06,3.830212505111308e-06,44
103.199.33.105,74,731,50,109997.39826673007,16297.726483066635,16297.726483066635,5.637832822924363e-06,7.912048785658381e-06,44
49.48.233.162,73,3342,74,140918.0406520284,431.701309263073,899.0870235360087,2.577515361725475e-05,1.013615258166946e-05,44
49.48.233.246,73,3154,70,835679.8430012082,-39411.72524931132,-39393.08843527889,2.4325204820114145e-05,6.010996433737242e-05,44
49.48.233.195,73,2864,66,115925.84887681648,-4140.066878689986,-4024.723177400281,2.208858167558875e-05,8.338478784817344e-06,44
49.48.233.118,73,2364,73,122843.79924537902,-22172.545904403796,-22169.00069326387,1.8232334874682892e-05,8.836082925236232e-06,44
49.48.233.82,73,2340,73,55234.26792226173,-7882.7592685256095,-7878.12719477707,1.8047235028239412e-05,3.972968718599601e-06,44
49.48.233.209,73,2291,70,54663.76854217767,-4639.792612111457,-4624.935601680257,1.7669322841750637e-05,3.93193303049662e-06,44
103.199.56.16,73,2088,50,125895.43653645898,920.4653035748494,920.4653035748494,1.610368664058286e-05,9.055585418055299e-06,44
49.48.233.30,73,2021,63,55359.68000011548,1657.679112371848,1704.7844225034348,1.5586949569261474e-05,3.981989536309158e-06,44
49.48.233.84,73,2015,62,50975.25971650127,-815.2482218314415,-811.0865389708802,1.5540674607650605e-05,3.6666207391611795e-06,44
49.48.233.165,73,1613,67,49193.79840485384,-7952.044436885125,-7883.307174655115,1.2440252179722294e-05,3.5384812646861673e-06,44
103.199.32.89,73,1457,49,208489.82787004256,4988.942305308164,4988.942305308164,1.1237103177839668e-05,1.4996551876811338e-05,44
103.199.33.70,73,1431,47,40021.93268956985,-2146.6708777186386,-2146.6708777186386,1.1036578344192563e-05,2.8787543062460643e-06,44
103.199.33.7,73,1372,52,66007.56897482299,-4132.740606199641,-4132.74060619964,1.0581541221685672e-05,4.7478859880404275e-06,44
103.199.32.35,73,1118,52,56462.56133012379,-3030.8713939053755,-3030.8713939053755,8.622567846825496e-06,4.061319147966499e-06,44
104.28.119.141,73,1039,87,109983.57671512179,-11385.478218930035,-11385.478218930035,8.013280852282372e-06,7.911054609502022e-06,44
14.188.203.119,73,153,1,3367.013061801429,57.74415621809807,57.74415621809801,1.1800115210771923e-06,2.4218728830588587e-07,44
103.199.32.183,72,3521,58,95696.71643669142,992.7759046935928,992.7759046935928,2.7155689971979046e-05,6.8834090715346425e-06,44
103.199.32.47,72,3130,56,140976.59136083903,-4923.277830446663,-4923.277830446663,2.4140104973670665e-05,1.0140364100049386e-05,44
49.48.233.160,72,2990,72,77954.29549837405,-1389.5405977483947,-1382.5967443306417,2.3060355869417027e-05,5.607207068108595e-06,44
49.48.233.123,72,2583,71,59475.436654600926,431.7718552313023,527.8804343124224,1.992137097347966e-05,4.27803351510603e-06,44
103.199.33.180,72,2528,60,197527.5792886349,-18488.016186235458,-18488.01618623545,1.9497183825380014e-05,1.4208043721679406e-05,44
103.199.56.114,72,2203,46,95899.58858079014,6865.926330155809,6865.926330155809,1.6990623404791207e-05,6.898001546689991e-06,44
49.48.233.105,72,1945,70,142076.45731950106,-2576.403791287107,-2488.4245914681205,1.5000800055523784e-05,1.0219476817802193e-05,44
49.48.233.247,72,1827,60,58981.61306593998,2240.9878667720577,2265.4442449743638,1.4090725810510002e-05,4.242513072017731e-06,44
103.199.32.246,72,1645,57,62110.21141423591,-3254.489071429008,-3254.489071429008,1.268705197498027e-05,4.4675513288538e-06,44
103.199.56.7,72,1634,63,97630.71893942263,8197.60301458906,8197.60301458906,1.2602214545360341e-05,7.022520745031588e-06,44
103.199.32.100,72,1554,53,122819.17750483708,-7461.639693514027,-7461.639693514027,1.1985215057215403e-05,8.834311897780807e-06,44
103.199.33.20,72,1541,50,72620.34841786597,8950.024561243077,8950.024561243077,1.1884952640391851e-05,5.2235393615437155e-06,44
49.48.233.93,72,1515,66,65481.90662652782,-2220.4092581773616,-2210.0985830889645,1.1684427806744747e-05,4.710075401517191e-06,44
49.48.233.77,72,1467,60,69373.88592508616,-3132.461536659217,-2947.5216440488502,1.1314228113857785e-05,4.990023205448839e-06,44
103.199.32.98,72,1418,56,113016.03987397696,-16152.458341780253,-16152.458341780253,1.0936315927369011e-05,8.129177918158777e-06,44
103.199.32.216,72,1402,55,161751.78642024446,39898.512509751556,39898.512509751556,1.0812916029740023e-05,1.1634711779464469e-05,44
103.199.32.211,72,1389,51,89976.46295936505,812.6735930908867,812.6735930908867,1.071265361291647e-05,6.471954570863718e-06,44
103.199.32.28,72,1356,58,40629.09458367702,-3069.2702622727547,-3069.2702622727547,1.0458141324056684e-05,2.9224271076274193e-06,44
103.199.32.182,72,1313,52,56020.15597975378,-1574.8461436560426,-1574.8461436560426,1.012650409917878e-05,4.029497188808193e-06,44
49.48.233.169,72,1242,67,29245.13642913671,-4297.245977875888,-4296.002193371848,9.57891705345015e-06,2.1035856285389154e-06,44
103.199.33.2,72,911,52,92078.14604648048,-17736.143166959013,-17736.143166959013,7.0260816712504715e-06,6.623127411124249e-06,44
103.199.32.84,71,3133,59,79617.8868416035,-615.8335375684321,-615.8335375684321,2.41632424544761e-05,5.726868224412612e-06,44
49.48.233.6,71,2408,59,67535.66404278766,-4431.463535813208,-4429.870014928379,1.8571684593162607e-05,4.85780097618899e-06,44
49.48.233.211,71,2255,66,860010.1504325893,-37592.45763280621,-37589.87282792389,1.7391673072085415e-05,6.186002917890949e-05,44
49.48.233.42,71,2073,67,385583.94423903874,-86140.76189871658,-83791.85344805339,1.5987999236555683e-05,2.7734828512835753e-05,44
49.48.233.29,71,1951,64,101808.42534517618,-11003.936528829005,-10787.504743663434,1.5047075017134653e-05,7.323020733352468e-06,44
103.199.32.90,71,1910,53,123643.88070820928,-2932.5062333049887,-2932.5062333049896,1.4730862779460375e-05,8.893632318823376e-06,44
103.199.32.25,71,1834,58,106598.74117571411,16012.600467808184,16012.600467808184,1.4144713265722683e-05,7.667585360763218e-06,44
49.48.233.233,71,1756,58,64916.01244781269,-4913.8886317138795,-4876.775518830196,1.354313876478137e-05,4.6693709628662225e-06,44
103.199.33.173,71,1700,56,264486.9455414645,24342.457058410106,24342.457058410106,1.3111239123079914e-05,1.9024391933520655e-05,44
49.48.233.100,71,1601,58,55768.744547712515,-492.6940700220797,-378.92775062953683,1.2347702256500554e-05,4.011413310944471e-06,44
103.199.33.102,71,1547,58,89670.063522043,-2808.2633333268295,-2808.263333326831,1.1931227602002722e-05,6.449915437809754e-06,44
103.199.33.13,71,1387,55,216585.61332289243,1847.3900784885868,1847.3900784885868,1.0697228625712847e-05,1.557887700877353e-05,44
49.48.233.40,71,1267,70,36356.40495726479,892.774037389153,930.9225573658937,9.771729393495442e-06,2.6150950315707173e-06,44
103.199.33.134,71,1098,48,72591.62432458559,-7044.053082975358,-7044.053082975358,8.468317974789263e-06,5.221473254245367e-06,44
103.199.33.61,71,894,52,68835.4520710071,-4052.1681506190644,-4052.1681506190644,6.894969280019673e-06,4.951293971953758e-06,44
49.48.233.125,70,2948,66,65402.000167024904,-1628.6536329281614,-1609.4234820221327,2.2736431138140933e-05,4.704327776429338e-06,44
49.48.233.124,70,2632,62,51802.743186591215,-1497.661325201983,-1459.1082391639025,2.029928315996843e-05,3.7261411431692965e-06,44
103.199.56.28,70,2118,52,104553.50770080155,-2695.6052840527354,-2695.6052840527354,1.633506144863721e-05,7.520472908227473e-06,44
103.199.33.66,70,1939,54,110695.12009709228,-2656.2138178427854,-2656.2138178427854,1.4954525093912913e-05,7.962235510504894e-06,44
49.48.233.207,70,1709,60,40980.1932344646,921.1754078268533,927.7525868971677,1.318065156549622e-05,2.947681429069405e-06,44
103.199.33.30,70,1694,51,109169.54816562832,-8260.061363017774,-8260.061363017774,1.3064964161469043e-05,7.85250201009514e-06,44
103.199.32.44,70,1676,59,148327.32354419172,-10570.797090655302,-10570.797090655302,1.2926139276636432e-05,1.0669097984317871e-05,44
103.199.57.30,70,1575,53,199197.65038428336,-16375.608950142949,-16375.608950142949,1.214717742285345e-05,1.4328170962800573e-05,44
49.48.233.108,70,1455,66,62102.96825773934,-6256.007731419427,-6241.067348921438,1.1221678190636043e-05,4.46703033282602e-06,44
49.48.233.129,70,1431,59,33260.82886470056,-824.0165599933973,-776.1586913786152,1.1036578344192563e-05,2.3924320463545122e-06,44
103.199.33.93,70,1417,49,77583.44514862231,-5783.658786836198,-5783.658786836198,1.09286034337672e-05,5.580532018465156e-06,44
104.28.160.164,70,1400,57,113040.18110744501,-936.0481384253069,-936.0481384253069,1.07974910425364e-05,8.130914383020264e-06,44
103.199.33.242,70,1385,55,65382.06617362876,-815.2228630184156,-815.2228630184156,1.0681803638509224e-05,4.702893935895576e-06,44
103.199.33.198,70,1342,54,76558.957811733,-2410.5638085898,-2410.5638085898,1.035016641363132e-05,5.506841241069658e-06,44
103.199.32.73,70,1299,53,78335.50797556087,4243.624728739705,4243.624728739705,1.0018529188753417e-05,5.634627459542673e-06,44
103.199.33.110,70,1196,50,123372.38342261578,21870.255885447954,21870.255885447954,9.22414234776681e-06,8.87410367721332e-06,44
103.199.32.210,70,1141,50,48045.65974991613,1092.6756305772049,1092.6756305772049,8.799955199667166e-06,3.4558963200082984e-06,44
103.199.33.15,70,1122,52,38937.20756146974,-2992.0695386536977,-2992.0695386536977,8.653417821232743e-06,2.8007306596162928e-06,44
103.199.33.124,70,1095,55,77328.64024303149,-6708.408428110217,-6708.408428110215,8.445180493983827e-06,5.562204050025657e-06,44
103.199.32.119,70,954,53,47083.242081651224,997.3501989802057,997.3501989802057,7.357718896128375e-06,3.3866701777223982e-06,44
103.199.33.212,70,945,53,42068.05607529216,-3976.4850328923912,-3976.4850328923912,7.28830645371207e-06,3.0259307695479967e-06,44
103.199.32.165,70,894,54,45015.39909304451,2250.530071829113,2250.530071829113,6.894969280019673e-06,3.2379314360363005e-06,44
103.199.32.5,70,719,49,42870.217490830335,-6914.959261755471,-6914.959261755471,5.545282899702622e-06,3.0836297729218836e-06,44
49.48.233.19,69,2783,64,67578.48754226728,-518.3328914347466,-504.2866405501289,2.1463869693842e-05,4.860881245562578e-06,44
49.48.233.103,69,2689,66,86372.31447855245,3924.0892513916474,4210.248534575701,2.07388952952717e-05,6.212710269995823e-06,44
49.48.233.127,69,2639,66,106330.79602478213,-7210.680627486795,-7153.59360585145,2.0353270615181112e-05,7.648312222130305e-06,44
103.199.32.69,69,2406,56,87406.12600023918,-6547.95546899553,-6547.95546899553,1.8556259605958983e-05,6.2870717305726155e-06,44
103.199.33.8,69,2368,53,89415.96604158345,-3555.2088835616896,-3555.2088835616896,1.8263184849090137e-05,6.431638354047884e-06,44
103.199.32.214,69,2327,50,80440.96901261134,-4343.004614211022,-4343.004614211022,1.794697261141586e-05,5.7860720455414375e-06,44
49.48.233.177,69,2223,59,185510.42096656878,4145.055481318771,4147.563921192694,1.7144873276827442e-05,1.3343656523369409e-05,44
49.48.233.244,69,2180,62,129114.2614707613,-8259.08533516708,-8156.747083120367,1.6813236051949536e-05,9.28711362066731e-06,44
103.199.32.74,69,2056,55,87924.0286846029,-5288.394665816075,-5288.394665816075,1.5856886845324884e-05,6.32432416898914e-06,44
101.43.218.100,69,2029,103,570148.0,-16264.0,-16264.0,1.5648649518075968e-05,4.101041353820791e-05,44
49.48.233.74,69,1961,72,57523.64539654813,-4372.301724286431,-4344.130942215914,1.5124199953152771e-05,4.13764230680046e-06,44
49.48.233.8,69,1881,70,42602.14041093463,-447.5408360066219,-440.08013461454425,1.4507200465007834e-05,3.0643471447154565e-06,44
49.48.233.221,69,1733,63,72022.66904366881,733.0552287057915,741.5721921542095,1.3365751411939701e-05,5.180548632296076e-06,44
103.199.33.85,69,1705,56,119972.14597495736,-16697.932986419648,-16697.932986419648,1.3149801591088973e-05,8.629526578185397e-06,44
103.199.57.82,69,1602,55,72479.36359630302,-3559.3831257493202,-3559.3831257493202,1.2355414750102366e-05,5.213398405450023e-06,44
103.199.33.55,69,1529,47,62842.31764922939,-3446.0555198664542,-3446.0555198664542,1.1792402717170111e-05,4.520211303897092e-06,44
103.199.32.12,69,1488,55,126571.88608557246,-7985.1555377193035,-7985.1555377193035,1.147619047949583e-05,9.104242040102343e-06,44
49.48.233.24,69,1429,59,30921.77843580666,-2347.376895373466,-2342.2632683456904,1.102115335698894e-05,2.2241855114624113e-06,44
103.199.33.65,69,1377,53,59680.76702088098,1669.3910448674794,1669.3910448674794,1.062010368969473e-05,4.292802808751008e-06,44
103.199.33.28,69,1351,58,110548.86497378335,-13813.066020017126,-13813.066020017126,1.0419578856047625e-05,7.951715464676476e-06,44
103.199.32.31,69,1202,52,40726.41815143747,-2093.8122602900944,-2093.8122602900944,9.270417309377681e-06,2.929427535167058e-06,44
103.199.32.142,69,1126,52,55154.75473613571,-3951.3217416983207,-3951.3217416983207,8.68426779563999e-06,3.967249381436674e-06,44
103.199.32.156,69,1081,47,62179.138929184,-10119.13761824915,-10119.13761824915,8.337205583558462e-06,4.4725092448548765e-06,44
49.48.233.14,69,1019,57,36241.90649003518,-1842.2588527895005,-1825.6102220413923,7.859030980246137e-06,2.606859223516357e-06,44
103.199.56.10,69,989,56,48706.03927309851,-3526.00484590931,-3526.00484590931,7.627656172191785e-06,3.5033970344506434e-06,44
103.199.33.89,69,936,55,130484.27751198011,-9461.366497372657,-9461.366497372657,7.2188940112957644e-06,9.385658076500466e-06,44
103.199.32.245,69,882,48,51548.30510963942,-935.8106127145585,-935.8106127145585,6.802419356797932e-06,3.707839560500131e-06,44
49.48.233.80,69,845,60,11401.547171905006,-536.1511008571952,-529.0496206219981,6.517057093530898e-06,8.201066468622343e-07,44
49.48.233.88,68,3415,58,103420.09206216419,-4675.536896452592,-4621.761137415517,2.6338165650187002e-05,7.4389469815361745e-06,44
49.48.233.206,68,3234,67,68507.10967292606,-7058.211752213354,-7033.664098210557,2.4942204308259082e-05,4.927676494513813e-06,44
49.48.233.89,68,2809,61,35749.53620490501,662.2404128119272,705.3237628672067,2.1664394527489106e-05,2.571443315704502e-06,44
103.199.32.32,68,2701,56,182732.89353730288,17953.721021535748,17953.721021535748,2.083144521849344e-05,1.314387059324616e-05,44
103.199.33.170,68,2605,55,172492.83236459788,4706.161397814589,4706.161397814589,2.0091045832719514e-05,1.2407308957759973e-05,44
49.48.233.16,68,2184,69,56040.230435884914,-1479.0509256414548,-1442.012429892501,1.6844086026356784e-05,4.030941132744666e-06,44
49.48.233.225,68,2031,69,63709.45741253744,1000.6430758165104,1044.5936815512973,1.5664074505279592e-05,4.582584161977251e-06,44
49.48.233.213,68,1948,67,60357.662575327704,-1993.1763785389462,-1976.1905495319056,1.5023937536329219e-05,4.341491511701881e-06,44
49.48.233.205,68,1868,66,48496.86543328207,-4240.4742566600125,-4118.73309523694,1.4406938048184282e-05,3.4883512819929535e-06,44
49.48.233.176,68,1820,64,58192.28048354537,-2367.744441315193,-2231.6581944847358,1.4036738355297319e-05,4.185736839139278e-06,44
49.48.233.203,68,1810,59,45284.05537901214,-4244.169668053057,-4190.552295625076,1.3959613419279203e-05,3.2572557261981035e-06,44
49.48.233.53,68,1667,68,24432.54468648927,-297.4935393906472,-295.4249074379309,1.2856726834220127e-05,1.7574187077454789e-06,44
104.28.160.162,68,1627,60,57325.47600338603,-867.9639405011262,-867.9639405011258,1.2548227090147658e-05,4.123388097780708e-06,44
49.48.233.227,68,1605,65,148787.16869071728,-6235.300640569312,-6227.043320666975,1.2378552230907801e-05,1.0702174377855253e-05,44
103.199.32.239,68,1495,52,75663.20964679428,-5097.207818319554,-5097.207818319554,1.1530177934708513e-05,5.442410597324126e-06,44
103.199.32.196,68,1414,43,202258.96479180502,21861.544390654657,21861.544390654657,1.0905465952961765e-05,1.4548369524968532e-05,44
103.199.56.2,68,1361,48,146794.92433067964,-9841.275031287567,-9841.275031287567,1.0496703792065742e-05,1.0558873401487175e-05,44
103.199.32.40,68,1331,55,70601.58965479315,-1113.6961061301904,-1113.6961061301904,1.0265328984011392e-05,5.07833121960952e-06,44
103.199.56.21,68,1298,47,64267.95784902299,-5051.409865352894,-5051.409865352894,1.0010816695151605e-05,4.622756773056378e-06,44
103.199.56.58,68,1286,51,51215.41675795002,3569.1386990865103,3569.1386990865103,9.918266771929865e-06,3.6838950952650786e-06,44
104.28.160.174,68,1266,56,58822.13588226395,-1469.7268273488353,-1469.7268273488353,9.76401689989363e-06,4.23104197108874e-06,44
104.28.119.140,68,1211,70,98892.28382540378,159.6521155030489,159.6521155030489,9.339829751793987e-06,7.113264372439504e-06,44
103.199.56.158,68,1177,51,51053.56508245786,-2560.3887501756362,-2560.3887501756362,9.077604969332387e-06,3.672253198522855e-06,44
103.199.32.155,68,1151,50,93136.41449215564,-1701.1766211181312,-1701.1766211181312,8.877080135685283e-06,6.699248043997775e-06,44
103.199.33.40,68,1131,48,54674.84789247694,-711.0229191553108,-711.0229191553108,8.722830263649048e-06,3.932729961710108e-06,44
103.199.32.30,68,954,54,35180.279011327955,-2454.172823771637,-2454.172823771637,7.357718896128375e-06,2.5304969773534166e-06,44
104.28.161.29,68,953,53,134831.46206215137,-18725.11905867506,-18724.95354143368,7.350006402526563e-06,9.698348529031093e-06,44
103.199.33.189,68,936,53,211163.07282849113,-14190.565044103065,-14190.565044103065,7.2188940112957644e-06,1.5188836829551513e-05,44
103.199.32.4,68,919,55,131820.78154067736,1715.614068757639,1744.55463723309,7.087781620064965e-06,9.481792032793139e-06,44
103.199.33.98,68,840,58,145958.5276742169,-14391.529175477022,-14391.529175477022,6.47849462552184e-06,1.0498711877175047e-05,44
103.199.32.152,68,790,55,50525.324363611486,-4439.308320230144,-4439.308320230144,6.092869945431254e-06,3.634257151307728e-06,44
203.172.196.159,68,331,12,4325.690459384686,226.48336183046627,226.48336183046627,2.552835382199677e-06,3.1114439510030117e-07,44
5.102.124.23,68,237,1,16810.515873015876,-4598.214285714286,-4598.214285714286,1.8278609836293763e-06,1.2091706148982182e-06,44
103.199.32.66,67,3768,50,317947.0796428107,-18665.769492372307,-18665.769492372307,2.9060675891626538e-05,2.2869748239785446e-05,44
49.48.233.144,67,3062,63,102386.33446339254,9346.655495735966,9352.456068088191,2.361565540874747e-05,7.364589399603256e-06,44
103.199.33.11,67,3042,48,115674.0029337683,1750.3524137506633,1750.3524137506633,2.3461405536711235e-05,8.32036365282999e-06,44
49.48.233.81,67,2917,69,122194.84217953042,-11146.103596595236,-11122.106114766571,2.249734383648477e-05,8.789403821496512e-06,44
49.48.233.240,67,2752,64,85153.62989414383,-2585.8115102425472,-2571.2928850508733,2.1224782392185837e-05,6.125050997702951e-06,44
49.48.233.78,67,2542,72,68308.92670245105,-1590.7038338309455,-1565.720369452403,1.9605158735805377e-05,4.913421308885852e-06,44
49.48.233.154,67,2491,61,59433.5515931894,-1413.3885912481483,-1410.825416858769,1.921182156211298e-05,4.275020747036055e-06,44
49.48.233.12,67,2460,68,106537.08372367205,8869.252801157289,8968.77412016104,1.8972734260456816e-05,7.66315037615228e-06,44
103.199.32.202,67,2328,49,174417.13914081594,-8219.10555363125,-8219.10555363125,1.795468510501767e-05,1.2545723223296427e-05,44
103.199.32.209,67,2250,53,105690.61325102104,8691.197009987261,8691.197009987261,1.7353110604076358e-05,7.602264248109561e-06,44
49.48.233.238,67,2099,64,49299.59799554861,759.1713252485569,867.9849093756612,1.6188524070202787e-05,3.546091367618328e-06,44
49.48.233.252,67,2065,62,69294.31131495151,-3262.0752359544263,-3260.1334056753617,1.592629928774119e-05,4.98429945009275e-06,44
49.48.233.138,67,2040,64,99927.23019035904,-4385.038072985717,-4374.0162697499845,1.5733486947695897e-05,7.1877074616315745e-06,44
49.48.233.28,67,2034,59,32888.18571138272,-2758.0399887589274,-2697.2238328431554,1.5687211986085028e-05,2.3656280413948413e-06,44
49.48.233.35,67,1975,71,47155.515685114784,2482.999097274115,2491.116979875128,1.5232174863578135e-05,3.391868775921352e-06,44
49.48.233.197,67,1910,69,106731.98603445328,-18213.390034655546,-18161.950832973886,1.4730862779460375e-05,7.677169585839398e-06,44
49.48.233.72,67,1885,68,391681.9212175629,-30423.452849729674,-30403.29466967636,1.4538050439415081e-05,2.8173452444930137e-05,44
49.48.233.13,67,1831,64,47102.40003805357,-5367.658064426081,-5312.619126164938,1.4121575784917248e-05,3.3880481983672258e-06,44
103.199.32.106,67,1571,46,144844.8429597142,-33905.59010036934,-33905.59010036934,1.2116327448446203e-05,1.041860518436382e-05,44
103.199.32.198,67,1568,53,43157.49849749584,-1584.2224510823237,-1584.2224510823235,1.2093189967640767e-05,3.1042937283948925e-06,44
49.48.233.202,67,1454,72,43800.46260262345,-4343.507177550683,-4334.888553443522,1.1213965697034233e-05,3.1505417619607504e-06,44
103.199.32.191,67,1445,55,81291.22513919936,1760.157714373267,1760.157714373267,1.1144553254617928e-05,5.847230473466765e-06,44
103.199.33.32,67,1427,46,100264.95648818283,-6148.6949106235115,-6148.6949106235115,1.1005728369785317e-05,7.211999917514049e-06,44
103.199.33.181,67,1225,51,45100.350541277665,-966.1684351762058,-966.1684351762058,9.447804662219349e-06,3.244041944224896e-06,44
103.199.57.86,67,1142,54,46458.344471536446,-2325.406694020727,-2325.3506111010925,8.807667693268978e-06,3.341721656619378e-06,44
103.199.32.61,67,1138,56,125859.57980198033,47889.465975492836,47889.465975492836,8.776817718861731e-06,9.053006264030205e-06,44
103.199.57.38,67,1094,45,73266.76989560394,-1113.140643120615,-1113.140643120615,8.437468000382014e-06,5.270036081907574e-06,44
103.199.32.137,67,1068,47,48143.08181576409,-1682.356921430609,-1682.356921430609,8.23694316673491e-06,3.462903832457998e-06,44
103.199.32.15,67,1007,55,50545.93193871925,2742.3923453460275,2742.3923453460275,7.766481057024397e-06,3.6357394421816576e-06,44
103.199.33.38,67,826,56,79263.96786510387,-413.96319071930475,-405.6944568691756,6.370519715096476e-06,5.701411038584951e-06,44
14.191.108.104,67,167,3,2117.6347407271683,-6.740308352747157,-6.740308352747164,1.2879864315025563e-06,1.523202334132486e-07,44
49.48.233.183,66,4453,71,286792.2563885744,17701.159774563297,17721.30436451961,3.434373400886756e-05,2.0628799950278148e-05,44
175.139.87.151,66,3925,61,793127.3390451535,-252.79642440762976,4423.48178508336,3.0271537387110978e-05,5.7049187513944065e-05,44
103.199.33.253,66,2913,53,140669.01185394995,2874.0557608792756,2874.0557608792756,2.2466493862077523e-05,1.0118240085278837e-05,44
49.48.233.36,66,2731,66,63798.16469711036,4.296825799918452,6.998711754611804,2.106282002654779e-05,4.588964825286053e-06,44
103.199.33.161,66,2605,49,149040.06780459313,4887.360946119176,4887.360946119178,2.0091045832719514e-05,1.0720365263806786e-05,44
49.48.233.180,66,2206,68,50348.498227873,-1576.8754637492555,-1538.7201006306857,1.701376088559664e-05,3.621538150362362e-06,44
49.48.233.10,66,2157,62,109335.68704504396,816.0381047789409,822.2963779681297,1.6635848699107868e-05,7.864452282918355e-06,44
49.48.233.182,66,2108,63,82006.3986328753,-116.22131145225052,-113.71238602194097,1.6257936512619092e-05,5.898672486290128e-06,44
49.48.233.58,66,1971,60,42825.159302954075,-3229.584763916375,-3226.2040989091834,1.5201324889170888e-05,3.080388763713594e-06,44
49.48.233.31,66,1961,62,82255.21745038492,-3662.122150455897,-3645.9637110607437,1.5124199953152771e-05,5.916569878900745e-06,44
103.199.33.251,66,1904,52,172650.77993347566,-8927.765891147825,-8927.765891147825,1.4684587817849504e-05,1.2418670034387501e-05,44
49.48.233.70,66,1811,57,70918.69469897663,670.2849096752984,672.7916514663214,1.3967325912881013e-05,5.101140400729188e-06,44
103.199.32.120,66,1796,58,108534.588241563,1135.1669811432716,1135.1669811432716,1.3851638508853839e-05,7.806829712610791e-06,44
49.48.233.146,66,1751,62,50288.704363516066,441.32825737040935,451.8788932908997,1.3504576296772312e-05,3.617237212528106e-06,44
103.199.32.133,66,1725,50,100537.32796496151,1067.2009035884985,1067.2009035884985,1.3304051463125208e-05,7.231591439186854e-06,44
103.199.33.83,66,1712,57,103868.83795710832,-3156.739949811409,-3156.739949811409,1.3203789046301654e-05,7.471225012372435e-06,44
103.199.33.185,66,1695,50,90736.03173610916,4826.270590142809,4826.270590142809,1.3072676655070855e-05,6.5265899105386566e-06,44
49.48.233.114,66,1635,68,63127.93180816636,4706.873841717963,4881.528988723616,1.2609927038962153e-05,4.540755363983898e-06,44
49.48.233.143,66,1616,66,59701.42528470098,-2554.014559788405,-2476.219121216585,1.246338966052773e-05,4.294288745634483e-06,44
103.199.57.32,66,1589,52,105949.54249602946,5577.718713244607,5577.718713244607,1.2255152333278814e-05,7.620888877881009e-06,44
